slug	current_authors	rakuten_author
akko-no-ko	Watanao	犲木 坂
aku-musu	なか憲人	mothy＿悪ノP/けん/クリプトン・フューチャー・メディア株式会社
akudama-shigan	田辺節雄	渡辺一雄（作家）/磯田健生
akujo-wa-kyou-mo-tanoshii	KENpub. 2023	stew.J/Niniyang/SWE
akuma-ga-kitarite-fue-o-fuku	影丸穣也|Jet	横溝正史/影丸譲也
akuma-ha-rosario-ni-kiss-o-suru	二月公|田中守pub. 2021	火野　あかり/田中　守/菅原　健二
akuma-na-futago-to-abunai-ryouseikatsu	西のり子	芦原　モカ
akuma-no-memumemu-chan	三雲ネリ	四谷 啓太郎
akuma-no-shisha	桑田二郎	桑田次郎
akuma-no-temariuta	つのだじろう	いけうち誠一/横溝正史
akuma-no-youna-anata-2012	加々見絵里	松田志乃ぶ
akuma-to-keiyaku	hal	ハル
akumade-majo-no-yuuwaku-desu-kara	連城寺のあ	わたりさえ
akumade-taida-na-akuyaku-kizoku-comic	マキムラK|イコ	セロタ
akuru-chan-break	愁☆一樹	愁〓しろほし〓　一樹/ブロッコリー/中井　まれかつ
akuru-chan-high	愁☆一樹	愁〓しろほし〓　一樹/中井　まれかつ/ブロッコリー
akuryoku-1ton-no-1-kkounin	雨蘭	橋本還
akuryou-no-uta-ga-kikoeru	西東栄一	斎藤栄一（1952生）
akuryoutou	Jet	たまい　まきこ/横溝　正史
akutoku-joou-no-kokoroe	永遠幸	澪亜/エトオミユキ/双葉はづき
akuyaku-hime-desu-kirawarete-iru-hazu-no-ouji-to-kozukuri-shinaito-ikemasen	林倉吉	もちあんこ
akuyaku-no-joou-ni-tensei-shitakedo-kakushi-chara-ga-kakuretenai	植田真太郎	こわたりひろ
akuyaku-reijou-iie-gokuaku-reijou-desuwa	赤のキノコ	浅名　ゆうな/斯波浅人/花ヶ田
akuyaku-reijou-level-99	うたしま	のこみ/七夕　さとり/Tea
akuyaku-reijou-ni-nanka-narimasen-watashi-wa-futsuu-no-koushaku-reijou-desu	久保田流生	ユハズ/明。/秋咲　りお
akuyaku-reijou-ni-tensei-shita-hazu-ga-marii-antoinette-deshita	UZNo	小出　よしと
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	森長あやみ	岡野く仔
akuyaku-reijou-no-okiniiri-ouji-jama	椎名南	しいな みなみ/緋色の雨/史歩
akuyaku-reijou-no-yojouhan	森長あやみ	岡野 く仔
akuyaku-reijou-route-kara-kaihou-saremashita	みなとpub. 2023|花戸つき	みなと/吉たか 結衣/霧夢 ラテ
akuyaku-reijou-wa-danna-sama-to-rien-ga-shitai	滝こざかな	長舩みずほ/華宮ルキ（ツギクル）
akuyaku-reijou-wa-heroine-o-ijimete-iru-baai-dewa-nai	秦槙吾|丹辺るん	あずやちとせ/四宮あか
akuyaku-reijou-wa-nidome-no-jinsei-de-kaerizaku	poni	赤羽にな/雨宮れん
akuyaku-reijou-yotei-rashii-kedo-watashi-wa-okashi-ga-tabetai	pole	chany/佐槻 奏多/紫 真依
akuyuu-no-ore-ga-ponkotsu-kishi-o-miterarenaindaga-dou-sewa-o-yakya-ii	オンディ|綿桐さや	手島史詞/COMTA/双葉もも
albatross	さとう輝	佐藤輝
aldnoah-zero	篠田六	ピナケス/Olympus　Knights
alexandros	安彦良和	日本放送協会
alice-no-rakuen	蕗	ひるの つき子
alice-s-book	竹宮惠子	竹宮恵子/増山のりえ
alichino	珠黎皐夕	珠黎こうゆ
alien-crash	SYUFO	板橋しゅうほう
all-rush	今井ささる	ねじが　なめた
all-star-project	獸木野生	伸たまき
all-stars	眠田直	みんだ　なお
alpha-no-sakebi	青山アルト	九重シャム
alquaine	白梅ナズナ	三ノ咲 コノリ
amaetai-kemono	夕倉アキ	ゆいつ
amagami-osananajimi-wa-dekiaisuru	三咲	白弓サン
amaguro-joushi-no-okiniiri	さっちゃん漫画家	さっちゃん/玉紀直
amakute-atsukute-iki-mo-dekinai	臼井ともみ	蜂巣
amayaka-na-yoru-no-otogibanashi	辰巳仁	山田パン/米田ひな
amayakashite-kureru-jimu-no-onee-san	わかつきひかる	若槻 ヒカル
ame-nochi-hare-zonbiyori	飛田漱	キヨミズリュウタロウ
ame-to-kimi-to	くりもとぴんこ	二階堂 幸
amedeo-ryokouki	イトウハジメ	アボガド6
amenohousoku	外薗昌也	外園昌也
amiteeji-the-saado	大棚ザラエ|大棚ザラエ+池上竜矢|池上竜矢	池上竜也
ana-ga-aiteru	増田剛	うらまっく
anamorphosis-no-meijuu	駕籠真太郎	駕篭真太郎
