slug	title	year	missing
konnanosukininaranaiwakeganai	こんなの、好きにならないわけがない! 上	2026	説明欠
konodamedorudomome-chikaaidoruobudoukannitatasenaitogyarushachouniboku	この駄目ドルどもめ! : 地下アイドルを武道館に立たせないと、ギャル社長に僕の内臓売られちゃう!?	2026	説明欠
konohanashitsuzukiwahakabade	このハナシ、つづきは墓場で。	2026	説明欠
konokisuwajikonanoniironashinowatashiganazekasaikyounomahoutsukainitorawarete	このキスは事故なのに色無しの私がなぜか最強の魔法使いにとらわれてます	2026	説明欠
konotabikoushakukenoreijounokonyakushatonarimashitashikashiuwasadewaseika	この度、公爵家の令嬢の婚約者となりました。しかし、噂では性格が悪く、十歳も年上です。	2026	説明欠
konya-mo-hitori-desu-nanika	今夜もひとりですが何か?	2026	両方欠
konyakushasamaniwaunmeinohiroingaarawaremasugazanteikonyakuraifuoma	婚約者様には運命のヒロインが現れますが、暫定婚約ライフを満喫します! : 嫌われ悪女の猫転生譚	2026	説明欠
koorimainoaufugiisaa	氷舞のアウフギーサー	2026	説明欠
kotchimiteyosensei	こっち見てよ、先生	2026	説明欠
kotoriraidaawatokaidekurashitai-mofumofunaaibouto-nonbiriisekaibouke	小鳥ライダーは都会で暮らしたい : モフモフな相棒と、のんびり異世界冒険記	2026	説明欠
koukokunosouheki-kizumononohanayomegaiden	皇國の双璧 : 傷モノの花嫁外伝	2026	説明欠
koushakukenoitatteheiwanaitsumonoshokutaku-katabutsukoushakuwagosainiko	侯爵家のいたって平和ないつもの食卓 : 堅物侯爵は後妻に事細かに指示をする	2026	説明欠
koushakureijounorourakumisshon-maoutonoseiryakukekkongajinrui	公爵令嬢の籠絡ミッション : 魔王との政略結婚が、人類最後の切り札です!…って、魔王が女の子の場合はどうすればいいのですか!?	2026	説明欠
koutei-ni-naru-node-rikon-shite-kudasai	皇帝になるので離婚してください	2026	両方欠
kouunnoshokichigaijounitakakattakoukouseigakanzumegachadeteniireta	幸運の初期値が異常に高かった高校生が、缶詰ガチャで手に入れたスキルを使って現代ダンジョンで最強になる物語	2026	説明欠
