区分	現slug	title
新刊	saenaimunoureijounofuriyamemashita	冴えない無能令嬢のフリ、やめました
新刊	shokeisareruateumaoujiwatashigashiawaseniitashimasu	処刑される当て馬王子、私が幸せにいたします!
新刊	hatsukoinoyukuewanidomenokisukara	初恋のゆくえは二度目のキスから
新刊	irezumitopiasutokoigokoro	刺青とピアスと恋心
新刊	juunenmenomitsugetsu	十年目の蜜月
新刊	gozennijinohaatofizu	午前2時のハートフィズ
新刊	ukedatosemehara	受田と攻原
新刊	kobakunwakoigawakaranai	古葉くんは恋がワカらない
新刊	kimitonokoiwagaadofunou	君との恋はガード不能
新刊	kiminohitominiochiruyoru	君の瞳に堕ちる夜
新刊	kyuuketsuoujitoikeniehanayome	吸血皇子と生贄花嫁
新刊	agakimichiruran	吾が君散るらむ
新刊	akinainingyotosoranohatsukoi	商い人魚と蒼空の初恋
新刊	usotsukinakisudekyoumobaibai	嘘つきなキスで今日もバイバイ
新刊	kandaatokaratsugaininaruniwaafutaa	噛んだあとから番になるにはafter
新刊	kaigekinokinato	回撃のキナト
新刊	shiotaiounaosananajimiganazekaoredakeniamaindesukedo	塩対応な幼なじみがなぜか俺だけに甘いんですけど!?
新刊	oosakisantokomorisan	大崎さんと小森さん
新刊	anenoinukaramegahanasenai	姉の犬から目が離せない
新刊	himebushoumasamunemairu	姫武将まさむね参る!! ぼんたん激動編
新刊	konyakushasamaniwaunmeinohiroingaarawaremasugazanteikonyakuraifuoma	婚約者様には運命のヒロインが現れますが、暫定婚約ライフを満喫します! : 嫌われ悪女の猫転生譚
新刊	kirawaremononoorewayarinaoshinosekaidegiteitachinigomaosuru	嫌われ者の俺はやり直しの世界で義弟達にごまをする
新刊	kaseifunosetsunaikeiyaku	家政婦の切ない契約
新刊	kaseifuwashinderera	家政婦はシンデレラ
新刊	gakeppuchireijouwakishisamanokyuuainikizukanai	崖っぷち令嬢は騎士様の求愛に気づかない
新刊	teitonomeidowakoisomuru	帝都の使用人は恋染むる
新刊	toshishitaaidorukunwawagamamadeshittobukai	年下アイドル君はわがままで嫉妬深い
新刊	kouunnoshokichigaijounitakakattakoukouseigakanzumegachadeteniireta	幸運の初期値が異常に高かった高校生が、缶詰ガチャで手に入れたスキルを使って現代ダンジョンで最強になる物語
新刊	kanojotachinotsumoruhanashi	彼女たちのツモる話
新刊	koishitekurerunamaibadi	恋してくれるな、マイバディ
新刊	koitoshinkuronishitei	恋とシンクロニシティ
新刊	koinohatemadeyoyaminoounisarawarete	恋の果てまで、夜闇の王に攫われて
新刊	koimookawaridekimasuka	恋もおかわりできますか?
新刊	koiotsuzuruniariiikooru	恋を綴るニアリーイコール
新刊	koigokorokaihatsujikkyou	恋心開発実況
新刊	kyoukasannokoinohiyaku	恭花さんの恋の秘薬
