slug	title	volumes	missing
tokujou-kabachi	特上カバチ!!	34	両方欠
marugoshi-deka-special	まるごし刑事Special	34	両方欠
shingeki-no-kyojin	進撃の巨人	34	説明欠
tatsujinden	達人伝	34	両方欠
sousei-no-onmyouji	双星の陰陽師	34	説明欠
youjo-senki	幼女戦記	34	説明欠
shikkakumon-no-saikyou-kenja	失格紋の最強賢者	34	説明欠
diamond-no-a-act-2	ダイヤのA act 2	34	両方欠
shouwa-gokudoushi	昭和極道史	33	両方欠
rikon-jidai	離婚時代	33	両方欠
peppermint-age	ぺぱーみんと・エイジ	33	両方欠
kamuigaiden	カムイ外伝	33	両方欠
ipponbouchoumantarou	一本包丁満太郎	33	両方欠
shouko-no-file	翔子の事件簿	33	両方欠
kou-u-to-ryuu-hou	項羽と劉邦	33	両方欠
boys-be-2nd-season	Boys be… 2nd season	33	両方欠
yuushun-no-mon	優駿の門	33	両方欠
derby-jockey	ダービージョッキー	33	両方欠
ougon-no-rough	黄金のラフ	33	両方欠
show-ban	ショー☆バン	33	両方欠
resutoa-garage-251	レストアガレージ251	33	説明欠
worst	WORST	33	説明欠
yozakura-quartet	夜桜四重奏	33	説明欠
toaru-majutsu-no-index	とある魔術の禁書目録	33	説明欠
youkai-apaato-no-yuugana-nichijou	妖怪アパートの幽雅な日常	33	説明欠
sword-oratoria	ソード・オラトリア	33	説明欠
shy	SHY	33	説明欠
1-2-no-1-rou	1・2の三四郎	32	両方欠
survival	サバイバル	32	説明欠
warera-kunin-no-koshien	我ら九人の甲子園	32	説明欠
hikari-no-kojirou	光の小次郎	32	両方欠
okashina-futari	おかしな2人	32	キャッチ欠
minna-agechau	みんなあげちゃう	32	両方欠
obotchama-kun	おぼっちゃまくん	32	両方欠
the-go-ro	ジ・ゴ・ロ	32	両方欠
shin-jungle-no-tar-taa-chan	新ジャングルの王者ターちゃん	32	説明欠
hikari-to-yami-no-houteishiki	光と闇の方程式	32	両方欠
cuffs	CUFFS	32	両方欠
shanimu-ni-go	しゃにむにGO	32	説明欠
namikibashidooriaobajitenshaten	並木橋通りアオバ自転車店	32	説明欠
black-cat	Black cat	32	両方欠
taiyou-no-mokushiroku	太陽の黙示録	32	説明欠
tensei-shitara-slime-datta-ken	転生したらスライムだった件	32	説明欠
otoko-do-ahou-koshien	男どアホウ甲子園	31	両方欠
sabu-to-ichi-torimonohikae	佐武と市捕物控	31	説明欠
tokugawa-ieyasu	徳川家康	31	両方欠
nesshou-hanazawa-koukou	熱笑!!花沢高校	31	両方欠
meimon-takonishi-ouendan	名門!多古西応援団	31	両方欠
rontai-baby	ロンタイbaby	31	両方欠
gorilla-man	ゴリラーマン	31	両方欠
yu-yu-hakusho	幽☆遊☆白書	31	説明欠
9-banme-no-musashi	9番目のムサシ	31	両方欠
sensei	先生!	31	説明欠
yami-no-kodou	幻惑の鼓動	31	説明欠
shiro-no-fiorenteiina	白のフィオレンティーナ	31	両方欠
uryuudou-yumebanashi	雨柳堂夢咄	31	説明欠
dokaben-doriimutoonamentohen	ドカベン ドリームトーナメント編	31	両方欠
shakunetsu-kabadi	灼熱カバディ	31	説明欠
tokyo-revengers	東京卍リベンジャーズ	31	説明欠
yakyuukyou-no-uta	野球狂の詩	30	説明欠
kyudo-kun	球道くん	30	両方欠
mamonogatari	魔物語	30	両方欠
yuukan-club	有閑倶楽部	30	説明欠
just-meet	ジャストミート	30	両方欠
matendou-sonata	魔天道ソナタ	30	両方欠
haou-densetsu-takeru	覇王伝説驍	30	両方欠
twin-signal	ツインシグナル	30	説明欠
love	LOVE	30	キャッチ欠
double-hard	ダブル・ハード	30	キャッチ欠
tenshi-kinryouku	天使禁猟区	30	説明欠
tokkou-tennyo	特攻天女	30	説明欠
dear-boys-actii	DEAR BOYS ACTⅡ	30	両方欠
shin-tekken-chinmi	新鉄拳チンミ	30	説明欠
kabachitare	カバチタレ!	30	両方欠
ol-vijuarukei	OLヴィジュアル系	30	両方欠
sayonara-zetsubou-sensei	さよなら絶望先生	30	説明欠
roto-no-monshou-monshou-o-tsugu-monotachi-he	ロトの紋章 紋章を継ぐ者達へ	30	両方欠
tegami-bachi	テガミバチ	30	説明欠
shinya-shokudou	深夜食堂	30	説明欠
triage-x	トリアージX	30	説明欠
seito-sho-kun-saishuushou-tabidachi	生徒諸君!最終章・旅立ち	30	説明欠
seichou-cheat-de-nandemo-dekiru-you-ni-nattaga-mushoku-dake-wa-yamerarenai-you-desu	成長チートでなんでもできるようになったが、無職だけは辞められないようです	30	説明欠
tensei-kenja-no-isekai-life	転生賢者の異世界ライフ	30	説明欠
yoku-wakaranai-keredo-isekai-ni-tensei-shite-ita-youdesu	よくわからないけれど異世界に転生していたようです	30	説明欠
yankee-jk-kuzuhana-chan	ヤンキーJKクズハナちゃん	30	説明欠
toilet-hakase	トイレット博士	29	両方欠
kagegari	影狩り	29	両方欠
pink-no-curtain	ピンクのカーテン	29	キャッチ欠
rising	ライジング!	29	説明欠
shinpan-himitsu-tantei-jieiei	秘密探偵JA	29	両方欠
naze-shousuke	なぜか笑介	29	両方欠
shieipu-up-ran	シェイプアップ乱	29	両方欠
korogashi-ryouta	ころがし涼太	29	両方欠
umi-no-yami-tsuki-no-kage	海の闇、月の影	29	説明欠
yakumo-tatsu	八雲立つ	29	説明欠
shin-goomanizumu-sengen	新・ゴーマニズム宣言	29	両方欠
shin-angyou-onshi	新暗行御史	29	説明欠
shuningayuku	主任がゆく!	29	両方欠
fuuunjitachibakumatsuhen	風雲児たち 幕末編	29	両方欠
yaou	夜王	29	説明欠
vampire-knight	ヴァンパイア騎士	29	説明欠
vinland-saga	ヴィンランド・サガ	29	説明欠
umi-no-kishidan	海の綺士団	29	説明欠
doubutsu-no-oshaberi	動物のおしゃべり♥	29	両方欠
shanaou-yoshitsune-genpei-no-kassen	遮那王義経源平の合戦	29	説明欠
uchi-no-3-shimai	うちの3姉妹	29	両方欠
world-trigger	ワールドトリガー	29	説明欠
tsuyoshi	TSUYOSHI	29	説明欠
yozakura-san-no-daisakusen	夜桜さんちの大作戦	29	説明欠
shounen-keniya	少年ケニヤ	28	両方欠
yabou-no-oukoku	野望の王国	28	説明欠
puroresu-super-star-rendetsu	プロレススーパースター列伝	28	両方欠
nippon-no-rekishi-2007-2	日本の歴史	28	両方欠
ginganagareboshigin	銀牙-流れ星 銀-	28	説明欠
akihi	〔アキ〕姫	28	両方欠
yankee-reppuutai	ヤンキー烈風隊	28	説明欠
warau-salesman	笑ゥせぇるすまん	28	説明欠
yabou-no-mure	野望の群れ	28	両方欠
ganso-urayasu-tekkin-kazoku	元祖!浦安鉄筋家族	28	両方欠
tsubasa	ツバサ	28	説明欠
trouble	To LOVEる-とらぶる-	28	説明欠
sora-no-puratanasu	天のプラタナス	28	両方欠
tekken-chinmi-legends	鉄拳チンミLegends	28	説明欠
plus-chikku-nee-san	+ チック姉さん	28	両方欠
trouble-darkness	To LOVEるダークネス	28	両方欠
yamadakun-to-7-nin-no-majo	山田くんと7人の魔女	28	説明欠
watashi-ga-motenai-no-wa-dou-kangaetemo-omaera-ga-warui	私がモテないのはどう考えてもお前らが悪い!	28	説明欠
uq-holder	UQ HOLDER!	28	説明欠
shiyakusho	死役所	28	説明欠
tate-no-yuusha-no-nariagari	盾の勇者の成り上がり	28	説明欠
tou-no-kanri-o-shitemiyou	塔の管理をしてみよう	28	説明欠
tougen-anki	桃源暗鬼	28	説明欠
shimaizaka	姉妹坂	27	両方欠
ps-genki-desu-shunpei	P.S.元気です、俊平	27	両方欠
za-kabocha-wine	The・かぼちゃワイン	27	説明欠
versailles-no-bara	ベルサイユのばら	27	説明欠
