slug	title	have	max	miss	ratio	missing
arasu-kagayakeru-tsubasa	Alas～輝ける翼	10	11	1	0.91	9
harukanaru-toki-no-naka-de	遙かなる時空の中で	10	11	1	0.91	9
saiyaku-wa-boku-o-sukisugiru	災厄は僕を好きすぎる	10	11	1	0.91	5
vampire-naito-memories	ヴァンパイア騎士(ナイト)memories	10	11	1	0.91	10
yuusha-densetsu-no-uragawa-de-ore-wa-eiyuu-densetsu-o-tsukurimasu	勇者伝説の裏側で俺は英雄伝説を作ります	10	11	1	0.91	8
nichi-nichi-sora-no-tayori	日・日・天(そら)のたより	10	11	1	0.91	8
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	27	30	3	0.9	2,9,25
impact	インパクト	26	29	3	0.9	3,4,5
kyattsuai	キャッツ❤アイ	19	21	2	0.9	19,20
nippon-no-rekishi-2007-2	日本の歴史	18	20	2	0.9	8,9
doctor-hankotsui	ドクター反骨医	18	20	2	0.9	11,19
petshop-of-horrors	Petshop of horrors	9	10	1	0.9	7
onnakui	女喰い	9	10	1	0.9	9
joyuu	女優	9	10	1	0.9	2
alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	9	10	1	0.9	8
futsuu-no-joshikousei-ga-rokodoru-yattemita	普通の女子校生が【ろこどる】やってみた。	9	10	1	0.9	5
series-atarimae-no-zeitaku	シリーズあたりまえのぜひたく。	9	10	1	0.9	2
honoo-no-mirage-reboot	炎の蜃気楼R(ミラージュリブート)	9	10	1	0.9	9
bubble	バブル	9	10	1	0.9	7
ryojou-mystery-file	旅情ミステリー事件簿	9	10	1	0.9	8
gintarou-san-otanomi-mousu	銀太郎さんお頼み申す	9	10	1	0.9	9
hotel	ホテル	33	37	4	0.89	4,6,8,23
kantai-collection-kancolle-comic-arakaruto	艦隊これくしょん-艦これ-コミックアラカルト	17	19	2	0.89	1,2
bolt-and-nut	ボルト＆ナット	16	18	2	0.89	3,10
heart-kiyatsuchi-izumichiyan	ハート❤キャッチいずみちゃん	8	9	1	0.89	6
kasei-yakiyoku	華星夜曲	8	9	1	0.89	1
shoichi	Shoichi	8	9	1	0.89	8
nijiko-lullaby	虹子ララバイ	8	9	1	0.89	4
kouya-ni-kemono-doukokusu	荒野に獣慟哭す	8	9	1	0.89	5
umimachi-diary	海街diary	8	9	1	0.89	5
rakkiidoggu-1-blast	ラッキードッグ1 BLAST	8	9	1	0.89	2
tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	8	9	1	0.89	3
kanchigai-no-atelier-maisutaa	勘違いの工房主(アトリエマイスター)	8	9	1	0.89	7
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	アナザー・フロンティア・オンライン～生産系スキルを極めた	8	9	1	0.89	8
musume-ja-nakute-mama-ga-suki-nano	娘じゃなくて私(ママ)が好きなの!?	8	9	1	0.89	7
gurazeni-dairiiguhen	グラゼニ～大リーグ編～	8	9	1	0.89	5
karate-baka-ichidai-1972	空手バカ一代	23	26	3	0.88	18,19,24
modena-no-ken	モデナの剣	22	25	3	0.88	13,15,18
daichouhen-doraemon	大長編ドラえもん	21	24	3	0.88	18,21,22
gegege-no-kitarou	ゲゲゲの鬼太郎	15	17	2	0.88	14,15
haruka-naru-toki-no-naka-de	遥かなる時空の中で	15	17	2	0.88	10,11
kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府	15	17	2	0.88	1,6
tsuihousareta-sareta-tensei-juukishi-wa-game-chishiki-de-musou-suru	追放された転生重騎士はゲーム知識で無双する	15	17	2	0.88	13,16
shounen-keniya	少年ケニヤ	14	16	2	0.88	11,12
image	イマージュ	14	16	2	0.88	14,15
choco-banana	チョコバナナ	14	16	2	0.88	1,2
fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta	不遇職〈鑑定士〉が実は最強だった	14	16	2	0.88	13,15
iara	イアラ	7	8	1	0.88	7
nagi	椰	7	8	1	0.88	3
bird	バード	7	8	1	0.88	2
ohanashi-chouhyakka-pocket-monster	おはなし超ひゃっかポケットモンスター	7	8	1	0.88	1
uiui-days	ういうい❤days	7	8	1	0.88	5
papillon	パピヨン	7	8	1	0.88	6
api	Api	7	8	1	0.88	4
mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生	7	8	1	0.88	3
oji-sama-shinshi-wa-kedamono-joushi	オジサマ紳士はケダモノ上司	7	8	1	0.88	1
hallelujah-baby	ハレルヤベイビー	7	8	1	0.88	7
pachinko	ぱちん娘(こ)。	7	8	1	0.88	6
cobra-1995	Cobra	13	15	2	0.87	13,14
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	13	15	2	0.87	9,10
asami-mitsuhiko-mystery-ando-ryojou-sasupensu	浅見光彦ミステリー＆旅情サスペンス	13	15	2	0.87	1,2
live-dungeon	ライブダンジョン!	13	15	2	0.87	13,14
toilet-hakase	トイレット博士	24	28	4	0.86	7,24,25,26
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	12	14	2	0.86	1,2
ookami-no-seiza	狼の星座	6	7	1	0.86	5
dragon-ken	ドラゴン拳	6	7	1	0.86	4
shippo-ga-tomodachi	シッポがともだち	6	7	1	0.86	3
tokyo-babylon	東京BABYLON	6	7	1	0.86	4
intron-depot	INTRON DEPOT	6	7	1	0.86	2
ame-no-hi-wa-koi-o-suru	雨の日は恋をする	6	7	1	0.86	1
joker	JOKER	6	7	1	0.86	2
kyougeki-burai-ryouran	京劇的無頼繚乱	6	7	1	0.86	2
omega-7	Omega 7	6	7	1	0.86	6
hajime-ningen-gon	はじめ人間ゴン	6	7	1	0.86	6
condor-king	コンドル・キング	6	7	1	0.86	6
bishou-hari	美少玻璃	6	7	1	0.86	4
daikaizoku-doumei-extra-edition	大海賊同盟 EXTRA EDITION	6	7	1	0.86	6
mondeki	モンでき。	6	7	1	0.86	1
gokuritsu	ごくりっ	6	7	1	0.86	6
new-normal	ニューノーマル	6	7	1	0.86	6
saikou-nando-meikyuu-de-party-ni-okizari-ni-sareta-esu-rank-kenshi-hontou-ni-mayoimakutte-daremo	最高難度迷宮でパーティに置き去りにされたSランク剣士、本	6	7	1	0.86	6
sora-made-itchau	空までイっちゃう	6	7	1	0.86	1
sandman	サンドマン	6	7	1	0.86	5
judo-itchokusen	柔道一直線	11	13	2	0.85	11,12
x-men-1994-5	X-MEN	11	13	2	0.85	11,12
