slug	title	top_prefix	top_n	minority	total
genjitsu-shugi-yuusha-no-oukoku-saikenki	現実主義勇者の王国再建記	86554	7	"{""8240"": 7}"	14
kami-sama-no-tsukurikata	神さまのつくりかた。	87025	7	"{""7575"": 7}"	14
seimaden	聖魔伝	04	10	"{""344"": 7}"	17
keishichou-tokuhanka-007	警視庁特犯課007	86423	11	"{""88741"": 7}"	18
taimashin	退魔針	7897	11	"{""344"": 7}"	18
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	07	20	"{""8402"": 7}"	27
onmyouji	陰陽師	592	13	"{""7962"": 7}"	20
mahou-shoujo-pretty-bell	魔法少女プリティ☆ベル	8000	21	"{""86127"": 7}"	28
8	8マン	87120	7	"{""594"": 6}"	13
fake	Fake	88271	6	"{""8352"": 1, ""87031"": 5}"	12
live	LIVE!!	7897	7	"{""7962"": 2, ""8401"": 4}"	13
peach	PEACH!	09	9	"{""7767"": 6}"	15
zero-yamazaki-2009	ZERO	592	11	"{""09"": 6}"	17
oji-sama-koushaku-wa-koisuru-otoshigoro	おじさま侯爵は恋するお年頃	7767	10	"{""86176"": 1, ""86715"": 5}"	16
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	344	8	"{""7962"": 1, ""7897"": 5}"	14
susume-pirates	すすめ!!パイレーツ	04	6	"{""7780"": 4, ""8342"": 2}"	12
sono-otoko-wagamama-ni-tsuki	その男、ワガママにつき	04	10	"{""08"": 6}"	16
chii-chan-no-oshinagaki-hanjouki	ちぃちゃんのおしながき繁盛記	8019	7	"{""8124"": 6}"	13
nonnon-hiyori	のんのんびより	04	10	"{""8401"": 6}"	16
hadashi-no-gen	はだしのゲン	12	13	"{""323"": 2, ""8113"": 4}"	19
harattama-kiyottama	はらったまきよったま	04	10	"{""257"": 6}"	16
meshinuma	めしぬま。	86720	9	"{""19"": 6}"	15
asterisk	アスタリスク	88741	7	"{""86423"": 6}"	13
imuri	イムリ	04	20	"{""7577"": 6}"	26
gachikoi-nenchakujuu	ガチ恋粘着獣	86720	10	"{""8019"": 6}"	16
silent-m-bius	サイレントメビウス	04	15	"{""8211"": 6}"	21
sketchbook	スケッチブック	86127	8	"{""8000"": 6}"	14
sukeban-deka	スケバン刑事	592	20	"{""253"": 6}"	26
taboo-tattoo	タブー・タトゥー	8401	7	"{""04"": 6}"	13
choco-banana	チョコバナナ	584	7	"{""900700"": 5, ""88749"": 1}"	13
haai-akkodesu	ハーイあっこです	651	20	"{""02"": 6}"	26
baaverian-quartet	バーヴェリアン四重奏	88271	8	"{""8352"": 2, ""02"": 4}"	14
hole-in-one	ホールインワン	8342	8	"{""08"": 6}"	14
bolt-and-nut	ボルト＆ナット	7770	10	"{""87366"": 6}"	16
mobuko-no-koi	モブ子の恋	86720	19	"{""19"": 6}"	25
rain	レイン	8000	13	"{""86127"": 6}"	19
zenryaku-milk-house	前略・ミルクハウス	09	15	"{""257"": 6}"	21
kita-kaikisen	北回帰線	06	8	"{""12"": 6}"	14
mugen-shinshi	夢幻紳士	19	9	"{""15"": 6}"	15
yume-furu-rabbit-town	夢降るラビット・タウン	87915	9	"{""915491"": 1, ""8401"": 5}"	15
tenshi-no-jikuusen	天使の時空船	267	7	"{""12"": 6}"	13
tensai-family-company	天才ファミリー・カンパニー	7897	11	"{""344"": 6}"	17
oku-sama-wa-idol	奥さまはアイドル♥	8019	7	"{""8124"": 6}"	13
youkai-shimatsunin-trauma	妖怪始末人トラウマ!!	253	8	"{""592"": 6}"	14
