slug	title	top_prefix	top_n	minority	total
uchi-wa-oppeke	うちはおっぺけ	8019	8	"{""8124"": 2}"	10
okashina-okashina-okashina-ano-ko-sarutobi-etsu-chan	おかしなおかしなあの子 さるとびエッちゃん	575	4	"{""12"": 2}"	6
okashina-okashina-okashina-anoko-sarutobi-etsu-chan	おかしなおかしなおかしなあの子 さるとびエッちゃん	575	4	"{""12"": 2}"	6
osakimochi	おさきもち	8124	2	"{""8019"": 2}"	4
otsu-san-boukensha-kein-no-zenkou	おっさん冒険者ケインの善行	7575	14	"{""301"": 2}"	16
omoide-poroporo	おもひでぽろぽろ	19	3	"{""08"": 2}"	5
onnanoko-pokopon	おんなのこポコポン	88475	3	"{""8124"": 2}"	5
onii-chan-dakedo-ai-sae-areba-kankei-nai-yonetsu	お兄ちゃんだけど愛さえあれば関係ないよねっ	8401	5	"{""04"": 2}"	7
omae-ni-dakareru-nante-kiitenai	お前に抱かれるなんて聞いてない!	909699	4	"{""911186"": 2}"	6
ohime-sama-no-yurikago	お姫さまの揺籠	08	3	"{""02"": 2}"	5
kashimashi-house	かしましハウス	8124	10	"{""88475"": 2}"	12
ganbare-noukyou-seijo	がんばれ農強聖女～聖女の地位と婚約者を奪われた令嬢の農業革命日誌～@COMIC	86699	3	"{""86794"": 2}"	5
garden-sisters	がーでん姉妹	8019	5	"{""8124"": 2}"	7
guruguru-tekuteku	ぐるぐるてくてく	909767	2	"{""86697"": 2}"	4
ken-mo-hororo	けんもほろろ	8124	2	"{""8019"": 2}"	4
gentsuki	げんつき	8401	2	"{""04"": 2}"	4
kokodake-no-futari	ここだけのふたり!!	8124	3	"{""88475"": 2}"	5
koko-wa-ore-10-makasete-saki-ni-yuke-to-itte-kara-10nen-ga-tattara-densetsu-ni-natteita	ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。	7575	17	"{""301"": 2}"	19
konna-onna-ja-tataneeyo	こんな女じゃ勃たねえよ	408	4	"{""16"": 2}"	6
gochisou-omega-wa-chuu-to-naku	ごちそうΩはチュウと鳴く	86123	2	"{""86787"": 2}"	4
saraba-uchiyuu-senkan-yamato	さらば宇宙戦艦ヤマト	257	3	"{""8401"": 2}"	5
sarutobi-etsu-chan	さるとびエッちゃん	575	4	"{""12"": 2}"	6
sumikko-no-sora-san	すみっこの空さん	8000	6	"{""86127"": 2}"	8
super-tamutamu	すーぱータムタム	8322	3	"{""575"": 2}"	5
souda-baikoku-shiyou-tensai-ouji-no-akaji-kokka-saiseijutsu	そうだ、売国しよう	7575	16	"{""301"": 2}"	18
sofutenitsu	そふてにっ	86127	6	"{""8000"": 2}"	8
sorapen	そらペン	909064	4	"{""907150"": 2}"	6
sorejaa-yoshida-kun	それじゃあ吉田くん!	901926	2	"{""86127"": 2}"	4
tada-no-love-nanka-dekikkonai	ただの恋愛なんかできっこない	86123	3	"{""86787"": 2}"	5
tanpopo-san-no-uta	たんぽぽさんの詩	575	4	"{""396"": 2}"	6
damekko-doubutsu	だめっこどうぶつ	8124	6	"{""8019"": 2}"	8
tsuki-tsuki	つきツキ!	8401	5	"{""04"": 2}"	7
tsunayoshi-kun	つなよしくん	08	5	"{""344"": 2}"	7
teppen-kuga-1994	てっぺん	88475	3	"{""8124"": 2}"	5
dejipara	でじぱら	04	3	"{""8402"": 2}"	5
tonari-no-neko-to-koishirazu	となりの猫と恋知らず	7575	4	"{""301"": 2}"	6
doku-doku-mori-mori	どく・どく・もり・もり	86468	2	"{""86805"": 2}"	4
nagasarete-airantou	ながされて藍蘭島	7575	42	"{""301"": 2}"	44
nanatsuiro-drops	ななついろ★ドロップス	8402	3	"{""04"": 2}"	5
nono-chan	ののちゃん	488	12	"{""19"": 2}"	14
heart-ni-nurse-call	はあとにナースコール	09	6	"{""7780"": 2}"	8
hanashippanashi	はなしっぱなし	06	2	"{""309"": 2}"	4
hitorizumou	ひとりずもう	09	2	"{""08"": 2}"	4
futari-wa-oshiriai	ふたりはおしり愛	7780	3	"{""09"": 2}"	5
buttobi-shiipiiyuu	ぶっとび!!CPU	592	3	"{""8401"": 2}"	5
maajan-hourouki-1990	まあじゃんほうろうき	88475	4	"{""8124"": 2}"	6
maicching-machiko-sensei	まいっちんぐマチコ先生	05	6	"{""88377"": 2}"	8
mamotte-shugo-getten	まもって守護月天!	87025	9	"{""901926"": 1, ""7575"": 1}"	11
maria-holic	まりあ✝ほりっく	8401	12	"{""04"": 2}"	14
moimon	もいもん	7575	2	"{""301"": 2}"	4
yatchimattayo-ikkodate	やっちまったよ一戸建て!!	575	2	"{""16"": 2}"	4
yumekuri	ゆめくり	04	3	"{""8401"": 2}"	5
koma-no-ko	よんこまのこ	8124	4	"{""8019"": 2}"	6
ringo-chan-to-ohi-sama-no-mori-no-nakamatachi	りんごちゃんと、おひさまの森のなかまたち	925253	3	"{""86626"": 2}"	5
romantic-ushinosuke	ろまんちっく牛之介	253	2	"{""19"": 2}"	4
out	アウト	8291	11	"{""253"": 2}"	13
aqua-step-up	アクア・ステップ・アップ	7897	2	"{""344"": 2}"	4
aquarion-evol	アクエリオンEVOL	8401	3	"{""04"": 2}"	5
asura	アシュラ	537	3	"{""344"": 2}"	5
attacker-you	アタッカーYou!	06	3	"{""257"": 2}"	5
adoribu-tenchou	アドリブ店長	89367	3	"{""86191"": 2}"	5
alice-no-hanamichi	アリスの花道	592	2	"{""04"": 1, ""8211"": 1}"	4
a-little-dragon	ア・リトル・ドラゴン	07	3	"{""8402"": 2}"	5
earthian	アーシアン	420	8	"{""403"": 2}"	10
itsu-yame	イツやめ	86123	4	"{""86787"": 2}"	6
will-sama-wa-kyou-mo-mahou-de-asonde-imasu-next	ウィル様は今日も魔法で遊んでいます。ねくすと!	8242	4	"{""89199"": 2}"	6
umeboshi-denka	ウメ星デンカ	09	5	"{""12"": 2}"	7
ultraman	ウルトラマン	257	2	"{""06"": 2}"	4
elan	エラン	19	3	"{""7962"": 2}"	5
eris-no-seihai	エリスの聖杯	7575	12	"{""301"": 2}"	14
ace-maid	エースメイド	8401	2	"{""04"": 2}"	4
occult-virgin	オカルト・バージン	19	3	"{""257"": 2}"	5
offered	オファード	88315	5	"{""09"": 2}"	7
orange-city	オレンジ・シティ	09	3	"{""06"": 2}"	5
on-air	オン・エア	09	3	"{""8211"": 2}"	5
kagaku-chop	カガクチョップ	593	4	"{""86675"": 2}"	6
katekyo	カテキョ!	86252	2	"{""86436"": 2}"	4
charisma	カリスマ	88271	4	"{""7767"": 2}"	6
gundriver	ガンドライバー	8402	6	"{""07"": 2}"	8
girls	ガールズ	06	3	"{""12"": 2}"	5
kirepapa	キレパパ。	87734	2	"{""86252"": 2}"	4
gal-ni-yasashii-wotaku-kun	ギャルに優しいオタク君	7575	4	"{""301"": 2}"	6
queen-emeraldas	クイーンエメラルダス	06	3	"{""8354"": 2}"	5
christie-london-massive	クリスティ・ロンドンマッシブ	04	3	"{""8401"": 2}"	5
cool-na-megami-sama-to-isshokenmei-ni-sundara-amayakashisugite-ponkotsu-ni-shiteshimatta-ken-ni	クールな女神様と一緒に住んだら、甘やかしすぎてポンコツにしてしまった件について	7575	3	"{""301"": 2}"	5
getter-robo	ゲッターロボ	88653	5	"{""575"": 2}"	7
gamerz-heaven	ゲーマーズヘブン!	901926	2	"{""86127"": 2}"	4
game-sekai-tensei-dankatsu	ゲーム世界転生〈ダン活〉～ゲーマーは〈ダンジョン就活のススメ〉を〈はじめから〉プレイする～@COMIC	86794	3	"{""86699"": 2}"	5
kokkuri-san-ga-tooru	コックリさんが通る	09	3	"{""8401"": 2}"	5
godzilla-rulers-of-earth	ゴジラ:ルーラーズ・オブ・アース	434	3	"{""909434"": 2}"	5
gomikku-haikibutsu	ゴミック「廃貴物」	89086	4	"{""930767"": 2}"	6
ghost-rhapsody	ゴースト・ラプソディー	08	4	"{""06"": 2}"	6
sayonara-sankaku-obiya-2017	サヨナラさんかく	908588	2	"{""909767"": 2}"	4
salaryman-yamasaki-shigeru	サラリーマン山崎シゲル	86529	5	"{""344"": 2}"	7
the-kureetaa	ザ・クレーター	06	3	"{""253"": 2}"	5
shutter	シャッター	575	7	"{""88315"": 2}"	9
jientoruman	ジェントル萬	7962	5	"{""8401"": 2}"	7
giant-robo	ジャイアントロボ	253	9	"{""06"": 2}"	11
jiro-ga-yuku	ジロがゆく	7767	3	"{""257"": 2}"	5
star-ocean-sekando-story-4koma-4-ga-gekijou	スターオーシャン セカンドストーリー 4コママンガ劇場	7575	13	"{""87025"": 2}"	15
spirit-circus	スピリット☆サーカス	06	2	"{""575"": 2}"	4
super-kuishinbou	スーパーくいしん坊	06	13	"{""12"": 2}"	15
sexaroid	セクサロイド	594	4	"{""09"": 2}"	6
sword-oratoria	ソード・オラトリア	7575	31	"{""301"": 2}"	33
time-slip-otagirl	タイムスリップオタガール	86675	6	"{""593"": 2}"	8
takeru-1997-2	タケル	7901	6	"{""7962"": 2}"	8
double-step-father	ダブルステップファザー	596	6	"{""302"": 2}"	8
tennessee-waltz	テネシー・ワルツ	06	3	"{""12"": 2}"	5
desert-coral	デザート・コーラル	901926	3	"{""86127"": 2}"	5
dead-mount-death-play	デッドマウント・デスプレイ	7575	15	"{""301"": 2}"	17
derorinman	デロリンマン	916085	3	"{""19"": 2}"	5
transistor-ni-venus	トランジスタにヴィーナス	8401	5	"{""88991"": 2}"	7
tropical-hanjirou	トロピカル半次郎	04	2	"{""575"": 2}"	4
dragon-4-esuto-monsters-terii-no-wonderland-4koma-manga-gekijou	ドラゴンクエストモンスターズ テリーのワンダーランド 4コママンガ劇場	7575	3	"{""87025"": 2}"	5
dragon-quest-princess-aleana	ドラゴンクエスト～プリンセスアリーナ～	87025	3	"{""7575"": 2}"	5
doraneko-theater	ドラネコシアター	7561	2	"{""7572"": 1, ""7577"": 1}"	4
knuckle-wars	ナックル・ウォーズ	253	3	"{""575"": 2}"	5
nibelung-no-yubiwa-1989	ニーベルングの指環	403	3	"{""04"": 2}"	5
neko-no-te-ichiban	ネコの手一番	09	2	"{""257"": 2}"	4
noomaaku-bakuhaitou	ノーマーク爆牌党	88475	5	"{""8124"": 2}"	7
hanabi-chan-wa-okuregachi	ハナビちゃんは遅れがち	86468	8	"{""86805"": 2}"	10
haniihanii-no-sutekina-bouken	ハニー・ハニーのすてきな冒険	257	2	"{""575"": 2}"	4
hamster-club	ハムスター倶楽部	8401	3	"{""7962"": 2}"	5
harukoro	ハルコロ	267	2	"{""00"": 2}"	4
heartstopper	ハートストッパー	908406	3	"{""910352"": 2}"	5
hardboiled-enji-cosmo-kun	ハードボイルド園児宇宙くん	908588	7	"{""909767"": 2}"	9
violence-de-shinina	バイオレンスで死にな	592	3	"{""257"": 2}"	5
bara-to-saiaku-no-tamashii	バラと最悪の魂	06	4	"{""592"": 2}"	6
baransaa	バランサー	09	3	"{""8401"": 2}"	5
bird-black-maaketto	バード	8019	7	"{""8124"": 2}"	9
pachislo-bakappuru	パチスロバカップル	89367	2	"{""86191"": 2}"	4
pandora	パンドラ	09	3	"{""575"": 2}"	5
pumpkin-night	パンプキンナイト	86697	5	"{""8019"": 2}"	7
biollante	ビオランテ	575	3	"{""8211"": 2}"	5
big-x	ビッグX	06	6	"{""8354"": 1, ""253"": 1}"	8
beautiful-place	ビューティフルプレイス	86468	2	"{""86805"": 2}"	4
billy-no-mori-jodi-no-ki	ビリーの森ジョディの樹	391	2	"{""592"": 2}"	4
final-fantasy-lost-stranger	ファイナルファンタジーロスト・ストレンジャー	7575	12	"{""301"": 2}"	14
five	ファイブ	575	13	"{""08"": 2}"	15
fetish-berry	フェティッシュベリー	86127	3	"{""8000"": 2}"	5
black-na-kishidan-no-dorei-ga-white-na-boukensha-guild-ni-hikinukarete-esuranku-ni-narimashita	ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました	8240	8	"{""86554"": 2}"	10
black-angels	ブラック・エンジェルズ	08	30	"{""8342"": 2}"	32
burubon-no-fuuin	ブルボンの封印	04	3	"{""06"": 2}"	5
blue-archive-game-kaihatsubu-daibouken	ブルーアーカイブゲーム開発部だいぼうけん!	7575	3	"{""301"": 2}"	5
versailles-no-bara	ベルサイユのばら	12	25	"{""08"": 2}"	27
hotel-hibiscus	ホテル・ハイビスカス	938923	2	"{""89982"": 2}"	4
hawkwood	ホークウッド	04	6	"{""8401"": 2}"	8
boku-no-shotaiken	ボクの初体験	420	2	"{""08"": 2}"	4
boyish-kanojo-ga-kawaisugiru	ボーイッシュ彼女が可愛すぎる	301	3	"{""7575"": 2}"	5
poyopoyo-kansatsu-nikki	ポヨポヨ観察日記	8124	13	"{""8019"": 2}"	15
ponkotsu-outaishi-no-mobu-ane-joou-rashiikedo-akuyaku-reijou-ga-kawaisou-nanode-tasukeyou-to	ポンコツ王太子のモブ姉王女らしいけど、悪役令嬢が可哀想なので助けようと思います～王女ルートがない!?なら作ればいいのよ!～@COMIC	86699	2	"{""86794"": 2}"	4
maguma-taishi	マグマ大使	06	3	"{""253"": 2}"	5
mama-wa-yashinomiwari	ママはやしの実わり	592	3	"{""8211"": 2}"	5
manga-rekishi-jinbutsu-ni-manabu-otona-ni-naru-made-ni-mi-ni-tsuketai-taisetsu-na-kokoro	マンガ歴史人物に学ぶ大人になるまでに身につけたい大切な心	925253	2	"{""86626"": 2}"	4
microid-s	ミクロイドS	06	3	"{""253"": 2}"	5
mystery-eve	ミステリー・イヴ	257	2	"{""02"": 2}"	4
mutant-sabu	ミュータント・サブ	257	2	"{""575"": 2}"	4
miraizer-ban	ミライザーバン	257	2	"{""06"": 2}"	4
muka-muka-paradise	ムカムカパラダイス	09	3	"{""575"": 2}"	5
murasaki	ムラサキ	86697	3	"{""909767"": 2}"	5
meideea-tensei-monogatari	メイデーア転生物語	7575	9	"{""301"": 2}"	11
made-in-abyss	メイドインアビス	8019	12	"{""8124"": 2}"	14
mechanical-buddy-universe-1-tenzero	メカニカルバディユニバース1.0	7575	4	"{""301"": 2}"	6
mega-cross	メガクロス	267	2	"{""8401"": 2}"	4
megiddo-no-hi	メギドの火	06	2	"{""88475"": 2}"	4
melodrama	メロドラマ	06	2	"{""08"": 2}"	4
ubel-blatt-2	ユーベルブラットⅡ	7575	2	"{""301"": 2}"	4
ragna-crimson	ラグナクリムゾン	7575	15	"{""301"": 2}"	17
lacheria-no-koi	ラチェリアの恋	596	2	"{""302"": 2}"	4
rakkiidoggu-1-blast	ラッキードッグ1 BLAST	04	6	"{""8401"": 2}"	8
radiant	ラディアン	86410	17	"{""86801"": 2}"	19
radical-cc	ラディカルCC	05	2	"{""06"": 2}"	4
remote-jugyou-ni-nattara-class-1-no-bishoujo-to-doukyo-suru-koto-ni-natta	リモート授業になったらクラス1の美少女と同居することになった	7575	2	"{""301"": 2}"	4
lupin-iii	ルパン三世	12	21	"{""575"": 2}"	23
ludwig-2sei	ルートヴィヒⅡ世	04	3	"{""575"": 2}"	5
locomotion	ロコモーション	06	3	"{""12"": 2}"	5
robottokeiji	ロボット刑事	12	3	"{""257"": 2}"	5
rondo-capriccioso	ロンド・カプリチオーソ	09	2	"{""06"": 2}"	4
wild-cat	ワイルド・キャット	575	2	"{""253"": 1, ""257"": 1}"	4
washizu-tenka-sousei-touhairoku	ワシズ 天下創世闘牌録	8124	2	"{""8019"": 2}"	4
isshou-tsuzukerarenai-shigoto	一生続けられない仕事	8124	2	"{""8019"": 2}"	4
nanairo-inko	七色いんこ	253	8	"{""06"": 2}"	10
fukakai-na-boku-no-subete-o	不可解なぼくのすべてを	8236	3	"{""8148"": 2}"	5
bukiyou-na-senpai	不器用な先輩。	7575	9	"{""301"": 2}"	11
futoku-no-guild	不徳のギルド	7575	15	"{""301"": 2}"	17
fushisha-no-deshi	不死者の弟子	86554	2	"{""8240"": 2}"	4
furyou-taimashi-reina	不良退魔師レイナ	86697	4	"{""909767"": 2}"	6
ushimitsu-no-mori	丑三つの森	253	4	"{""8211"": 2}"	6
sekai-wa-owattemo-ikiru-tte-tanoshii	世界は終わっても生きるって楽しい	8240	6	"{""86554"": 2}"	8
chuunen-majutsushi-no-yuuyuu-jiteki-na-dungeon-kouryaku-skill-oobu-o-tsukattara-saikyou-skill-o-te	中年魔術師の悠々自適なダンジョン攻略～スキルオーブを使ったら最強スキルを手に入れたので、好きに生きようと思います～@COMIC	86794	4	"{""86699"": 1, ""86854"": 1}"	6
kuzuryuu	九頭竜	88991	3	"{""06"": 2}"	5
jijou-o-shiranai-tenkousei-ga-guigui-kuru	事情を知らない転校生がグイグイくる。	7575	21	"{""301"": 2}"	23
kyougane-ke-no-hanayome	京兼家の花嫁	7575	3	"{""301"": 2}"	5
kyouraku-region	京洛れぎおん	86127	3	"{""8000"": 2}"	5
kyou-kara-city-hunter	今日からシティハンター	19	5	"{""86720"": 2}"	7
butsumetsu-kekkon	仏滅結婚	86468	2	"{""86805"": 2}"	4
kamen-rider	仮面ライダー	12	4	"{""88991"": 2}"	6
teizokureigari	低俗霊狩り	8470	5	"{""09"": 2}"	7
shinja-zero-no-megami-sama-to-hajimeru-isekai-kouryaku	信者ゼロの女神サマと始める異世界攻略	8240	8	"{""86554"": 2}"	10
ore-to-hero-to-mahou-shoujo	俺とヒーローと魔法少女	593	5	"{""86675"": 2}"	7
ore-no-shinsengumi	俺の新選組	8342	4	"{""8211"": 2}"	6
boku-no-kawaii-joushi-sama	僕のかわいい上司さま	8322	4	"{""575"": 2}"	6
boku-no-noroi-no-kyuuketsuki	僕の呪いの吸血姫	7575	7	"{""301"": 2}"	9
moto-saikyou-yuusha-no-sai-shuushoku	元最強勇者の再就職	86468	5	"{""86805"": 2}"	7
sensei-bokutachi-ga-sekai-o-horoboshimasu	先生!僕たちが世界を滅ぼします。	7575	7	"{""301"": 2}"	9
sensei-bokutachi-wa-koroshite-imasen	先生、僕たちは殺していません。	7575	2	"{""301"": 2}"	4
hikaru-kaze	光る風	257	3	"{""480"": 2}"	5
usagi	兎	8124	15	"{""8019"": 2}"	17
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	09	3	"{""575"": 2}"	5
hyouma-jigoku-tabi	兵馬地獄旅	8458	4	"{""06"": 2}"	6
shokeisareta-kenja-wa-lich-ni-tenseishite-shinryaku-sensou-o-hajimeru	処刑された賢者はリッチに転生して侵略戦争を始める	7575	13	"{""301"": 2}"	15
toushin-youhiden	刀神妖緋伝	88991	2	"{""8401"": 2}"	4
maeda-deka-kabuki-tabi	前田慶次かぶき旅	86720	19	"{""19"": 2}"	21
ken-to-tiara-to-haihiiru-koushaku-reijou-niwa-eiyuu-no-tamashii-ga-yadoru-attomaaku-comic	剣とティアラとハイヒール～公爵令嬢には英雄の魂が宿る～@COMIC	86699	3	"{""86794"": 2}"	5
sousei-no-akuerion	創聖のアクエリオン	7973	4	"{""593"": 2}"	6
gekiga-hyouryuu	劇画漂流	88379	2	"{""06"": 2}"	4
yuusha-party-no-nimotsumochi	勇者パーティーの荷物持ち	7575	5	"{""301"": 2}"	7
yuusha-party-o-tsuihousareta-sareta-ore-daga-ore-kara-sudatte-kureta-you-de-ureshii	勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。	7575	7	"{""301"": 2}"	9
hokusai	北斎	418	3	"{""575"": 2}"	5
nankin-road-ni-hanafubuki	南京路に花吹雪	592	5	"{""04"": 2}"	7
nangoku-shounen-papuwa-kun	南国少年パプワくん	87025	7	"{""7575"": 2}"	9
nanjou-san-wa-boku-ni-dakaretai	南條さんは僕に抱かれたい	7575	6	"{""301"": 2}"	8
tomodachi-no-imouto-ga-ore-ni-dake-uzai	友達の妹が俺にだけウザい	7575	9	"{""301"": 2}"	11
goukon-ni-ittara-onna-ga-inakatta-hanashi	合コンに行ったら女がいなかった話	7575	9	"{""301"": 2}"	11
dousei-jidai	同棲時代	575	4	"{""12"": 2}"	6
kimi-wa-kirei-na-ahiru-no-ko	君は綺麗なアヒルの子	909767	3	"{""908588"": 2}"	5
jukyousuke-sai-reisashitsu	呪凶介PSI霊査室	06	2	"{""88475"": 2}"	4
kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	88315	2	"{""86225"": 1, ""575"": 1}"	4
yuiitsu-muni-no-saikyou-tamer	唯一無二の最強テイマー	89199	2	"{""8242"": 2}"	4
kigekishinshisoutaikei	喜劇新思想大系	939138	2	"{""06"": 2}"	4
tera-e	地球へ…	257	6	"{""12"": 2}"	8
hotta	堀田	87233	2	"{""7783"": 2}"	4
dabide-no-hoshi	堕靡泥の星	88219	10	"{""7572"": 2}"	12
shio-taiou-osananajimi-ni-amasugi-body-o-taberaremashita	塩対応幼馴染に甘過ぎボディを食べられました	596	2	"{""302"": 2}"	4
hensoukyoku	変奏曲	257	3	"{""12"": 2}"	5
henshin-ninja-arashi	変身忍者嵐	88653	2	"{""253"": 2}"	4
yoru-no-meruhen	夜のメルヘン	334	2	"{""575"": 2}"	4
dai-akutou-shounen	大悪党少年	7575	2	"{""301"": 2}"	4
oedo-shitamachi-komoridou	大江戸下町こもり堂	7767	3	"{""86176"": 1, ""86715"": 1}"	5
taishuu-sakaba-wakao	大衆酒場ワカオ	86720	5	"{""19"": 2}"	7
daikenja-no-manadeshi-bougyo-mahou-no-susume-attomaaku-comic	大賢者の愛弟子～防御魔法のススメ～@COMIC	86699	4	"{""86794"": 2}"	6
osaka-geijutsu-daigaku-daigaku-manga	大阪芸術大学 大学漫画	88315	2	"{""86225"": 2}"	4
ten-made-agare	天まであがれ!	592	3	"{""253"": 2}"	5
sora-mo-tsuki-mo-hana-mo	天も月も花も	253	5	"{""8211"": 2}"	7
tenshi-no-towaaru	天使のTWIRL	391	3	"{""7767"": 2}"	5
tenshi-no-tamago	天使のたまご	05	2	"{""900963"": 1, ""344"": 1}"	4
tenshi-no-bodigaado	天使のボディガード	408	4	"{""8342"": 2}"	6
tenshi-no-mure	天使の群れ	257	3	"{""02"": 2}"	5
tenkirimatsu-yamigatari	天切り松闇がたり	06	5	"{""08"": 2}"	7
tengai-retrogical	天外レトロジカル	86127	5	"{""901926"": 2}"	7
fuufu-wa-tenka-no-mawarimono	夫婦は天下のまわりもの	592	5	"{""8211"": 2}"	7
youjo-densetsu	妖女伝説	420	2	"{""08"": 2}"	4
youkai-senki	妖怪戦記	19	3	"{""8211"": 2}"	5
youkai-touzoku-mazarisharif	妖怪盗賊マザリシャリフ	05	3	"{""253"": 2}"	5
ane-ga-kensei-de-imouto-ga-kenja-de	姉が剣聖で妹が賢者で	89199	4	"{""8242"": 2}"	6
ubume-no-natsu	姑獲鳥の夏	04	4	"{""06"": 2}"	6
kodomotachi-wa-yoru-no-juunin	子供たちは夜の住人	8033	2	"{""253"": 2}"	4
koushi	孔子	06	3	"{""418"": 2}"	5
gakkou-ni-tsutawaru-kowai-uwasa	学校に伝わる怖いうわさ	88475	2	"{""8124"": 2}"	4
uchuu-kazoku-carlvinson	宇宙家族カールビンソン	06	17	"{""19"": 2}"	19
uchuu-senkan-yamato-1993	宇宙戦艦ヤマト	257	3	"{""8401"": 2}"	5
uchuu-senkan-yamato	宇宙戦艦ヤマト	257	3	"{""8401"": 2}"	5
jikken-doll-dummy-oscar	実験人形ダミー・オスカー	88315	3	"{""07"": 2}"	5
ie-de-munou-to-iware-tsuzuketa-ore-desu-sekaiteki-niwa-chou-yuunou-datta-you-desu	家で無能と言われ続けた俺ですが、世界的には超有能だったようです	7575	5	"{""8156"": 1, ""301"": 1}"	7
chiisana-ochakai	小さなお茶会	592	7	"{""594"": 2}"	9
shounen-keniya	少年ケニヤ	04	6	"{""7759"": 2}"	8
shounen-maid	少年メイド	04	8	"{""7577"": 2}"	10
okujouhime	屋上姫	7973	2	"{""593"": 2}"	4
tokoharu-boys	常春boys	344	2	"{""86423"": 2}"	4
toshishita-kareshi-no-love-kanriheki	年下彼氏の恋愛管理癖	8124	2	"{""7997"": 2}"	4
lucky-kun	幸運男子	06	3	"{""04"": 2}"	5
youjo-musou	幼女無双	89199	2	"{""8242"": 2}"	4
yuureiou	幽霊王	7992	5	"{""86032"": 2}"	7
teihen-ryoushu-no-kanchigai-eiyuu-tan	底辺領主の勘違い英雄譚	8240	8	"{""86554"": 2}"	10
kage-no-kyuutei-majutsushi	影の宮廷魔術師	8240	7	"{""86554"": 2}"	9
kagemusha-tokugawa-ieyasu	影武者徳川家康	10	9	"{""19"": 1, ""08"": 1}"	11
koukyuu-ihi-den	後宮医妃伝	7575	4	"{""301"": 2}"	6
shinobu-koi-hodo	忍ぶ恋ほど	86123	3	"{""86787"": 2}"	5
ninja-hattori-kun	忍者ハットリくん	09	7	"{""12"": 2}"	9
shishunki-bitter-change	思春期ビターチェンジ	593	7	"{""86675"": 2}"	9
kaijin-reijou	怪人麗嬢	7575	13	"{""301"": 2}"	15
koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	恋した人は、妹の代わりに死んでくれと言った。@COMIC	86699	2	"{""86794"": 2}"	4
koi-ha-itsumo-arashi-no-youni	恋はいつも嵐のように	87775	3	"{""86093"": 2}"	5
koibito-play	恋人プレイ	06	2	"{""344"": 2}"	4
love-allergy	恋愛アレルギー	86123	3	"{""86787"": 2}"	5
love-senka	恋愛専科	06	6	"{""575"": 2}"	8
love-bou-kun	恋愛暴君	593	12	"{""86675"": 2}"	14
akujo-shigan	悪女志願	06	4	"{""575"": 2}"	6
akuyaku-reijou-desu-kouryaku-taishou-no-yousu-ga-ijou-sugiru-attomaaku-comic	悪役令嬢ですが攻略対象の様子が異常すぎる@comic	86699	5	"{""86794"": 2}"	7
akuyaku-reijou-ni-tensei-shita-hazu-ga-shujinkou-yorimo-dekiai-sareteru-mitai-desu	悪役令嬢に転生したはずが、主人公よりも溺愛されてるみたいです	8242	6	"{""89199"": 2}"	8
akuyaku-reijou-wa-iya-na-no-de-imushitsu-joshu-ni-narimashita	悪役令嬢は嫌なので、医務室助手になりました。	596	3	"{""302"": 2}"	5
rabu-wanko	愛×野獣	8019	4	"{""8124"": 2}"	6
ai-toka-ii-kara-dakishimete	愛とかいいから抱きしめて	596	4	"{""302"": 2}"	6
ai-no-sakaagari	愛のさかあがり	04	3	"{""480"": 2}"	5
ai-hitotsu-akiko	愛ひとつ晶子	06	6	"{""12"": 2}"	8
akiko-1987	愛生子	06	2	"{""575"": 2}"	4
nariyuki-de-konyaku-o-moushikonda-yowaki-binbou-reijou-desu-naze-jiki-koushaku-sama-ni-dekiai	成り行きで婚約を申し込んだ弱気貧乏令嬢ですが、何故か次期公爵様に溺愛されて囚われています@Comic	86699	2	"{""86794"": 2}"	4
waga-na-wa-nero	我が名はネロ	16	2	"{""12"": 2}"	4
wagaya-no-oinari-sama	我が家のお稲荷さま。	04	9	"{""8402"": 2}"	11
wagahai-wa-neko-madoushi-de-aru	我輩は猫魔導師である	8242	4	"{""89199"": 2}"	6
sengoku-youko	戦国妖狐	8000	15	"{""86127"": 2}"	17
sengoku-jieitai	戦国自衛隊	418	3	"{""8458"": 2}"	5
senritsu-no-majutsushi-to-goteijuu	戦慄の魔術師と五帝獣	299	11	"{""8002"": 2}"	13
sengokuhime	戦極姫	593	3	"{""7973"": 2}"	5
sentai-red-isekai-de-boukensha-ni-naru	戦隊レッド異世界で冒険者になる	7575	9	"{""301"": 2}"	11
shuchuu-ni-otoshite-iidesuka	手中に落としていいですか	86554	2	"{""8240"": 2}"	4
tezuka-osamu-tanpenshuu	手塚治虫短編集	06	2	"{""8149"": 2}"	4
shuten-douji	手天童子	06	10	"{""594"": 2}"	12
haikei-koori-no-kishi-to-hazurehime-datta-watashitachi-e	拝啓「氷の騎士とはずれ姫」だったわたしたちへ	8240	5	"{""86554"": 2}"	7
sutegataki-hitobito	捨てがたき人々	09	4	"{""344"": 2}"	6
