slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
g-taste	G-taste	standard	[1, 2, 3]	[4, 5, 6, 7]	1	RECOVERABLE	{"1": "9784063198263", "2": "9784063339536", "3": "9784063342123"}
gakuran-hachinengumi	ガクラン八年組	wideban	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784061727861", "2": "9784061727939"}
gessekai-ryokou	月世界旅行	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784797373394"}
ginga-tetsudou-no-yoru	銀河鉄道の夜	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784904732816"}
girl	ガール	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784063406429"}
gou-himetachi-no-sengoku	江姫たちの戦国	standard	[1, 2]	[3, 4, 5]	1	RECOVERABLE	{"1": "9784063656350", "2": "9784063760453"}
haguhagu	はぐはぐ	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784575725674"}
hamster-club	ハムスター倶楽部	standard	[1, 2, 3]	[4, 6]	1	RECOVERABLE	{"1": "9784840124461", "2": "9784840124478", "3": "9784840124737"}
hanagoromo-yumegoromo	花衣夢衣	standard	[1, 2, 3, 4]	[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	2	RECOVERABLE	{"1": "9784087850185", "2": "9784087850277", "3": "9784087850284", "4": "9784087850291"}
happy-hama-1994	ハッピー!	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	1	RECOVERABLE	{"1": "9784063177237", "2": "9784063177435", "3": "9784063177664", "4": "9784063177909", "5": "9784063178098", "6": "9784063178296", "7": "9784063178517", "8": "9784063178821", "9": "9784063179026", "10": "9784063179286", "11": "9784063189513", "12": "9784063189711", "13": "9784063189957", "14": "9784063190120", "15": "9784063190304", "16": "9784063190502", "17": "9784063190700", "18": "9784063191028", "19": "9784063191202", "20": "9784063191301", "21": "9784063191448", "22": "9784063191578", "23": "9784063191752"}
haru-yo-kuruna	春よ来るな	standard	[1, 2]	[3, 4, 5]	1	RECOVERABLE	{"1": "9784063774832", "2": "9784063930535"}
