slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	standard	[1]	[2]	1	SOURCE_GAP	{}
bikkuriman-omoshiro-land	ビックリマンおもしろランド	standard	[1, 2, 3]	[4, 9]	1	SOURCE_GAP	{}
bird-black-maaketto	バード	standard	[1, 2]	[3, 4, 5, 6, 7, 8, 9]	2	SOURCE_GAP	{}
black-sweep-sisters	ブラック・スイープ・シスターズ	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
blife	BLife	standard	[1]	[2, 3, 4]	3	SOURCE_GAP	{}
bloody-monday-season-2-zetsubou-no-hako	Bloody Monday season 2 絶望ノ匣	standard	[1, 2, 3, 4, 5, 6, 7]	[8]	1	SOURCE_GAP	{}
boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	standard	[1]	[2, 3, 4]	2	SOURCE_GAP	{}
bolts-and-nuts-prologue	BOLTS AND NUTS!Prologue	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[20]	1	SOURCE_GAP	{}
bon	Bon	standard	[1, 2]	[3, 5]	1	SOURCE_GAP	{}
bon-kudo	ボン	standard	[1]	[2]	1	SOURCE_GAP	{}
booska-plus	ブースカプラス	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
botsu-chan-no-jidai-1989	坊ちゃんの時代	standard	[1]	[2, 3, 4, 5]	2	SOURCE_GAP	{}
bouken-kyouryuukan	まんが 冒険恐竜館	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
bushigin	武士銀	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
buya-jitsuroku-andou-gumi	ブヤ 実録・安藤組	standard	[1, 2]	[3, 4, 5, 6, 7, 8]	1	SOURCE_GAP	{}
c-live	C-live	standard	[1]	[2, 5]	2	SOURCE_GAP	{}
cafe	cafe	standard	[1, 2, 3, 4, 5]	[6, 7, 8, 9, 10]	2	SOURCE_GAP	{}
captain-harlock-jigen-koukai	キャプテンハーロック	standard	[1, 2, 3, 4, 5, 6, 7]	[8, 9, 10]	2	SOURCE_GAP	{}
chi-chotto-dake-kaettekita-kita-dokutaa-slump	ちちょっとだけかえってきたDr.SLUMP	standard	[1]	[2]	1	SOURCE_GAP	{}
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]	[37, 38, 39, 40, 41, 42, 43, 109, 111, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 206, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 223, 224, 225, 226, 227, 228]	6	SOURCE_GAP	{}
chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]	[38, 39, 40, 41, 42, 43]	2	SOURCE_GAP	{}
chicken-iguchi-2024	チキン	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46]	3	SOURCE_GAP	{}
chippai-joshi-to-osuppai-otoko	ちっぱい女子と雄っぱい男子	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
choco-banana	チョコバナナ	standard	[1, 2]	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	1	SOURCE_GAP	{}
chotto-morimashita	ちょっと盛りました。	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
chou-ka-han-ka	蝶か犯か	standard	[1, 2, 3]	[4]	0	SOURCE_GAP	{}
chou-ten-chan	超てんちゃん!	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
chuchu-hunter	Chu❤chuハンター	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
cielo	Cielo	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
clover-1997	Clover	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
cmyk-sameda-kazuo-wa-chuunibyou-ga-naosenai	CMYK鮫田和王は厨二病が治せない	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
collar-me	Collar me	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
colorful-antinomy	カラフルアンチノミー	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
comic-bii-tarou	コミックビー太郎	standard	[1]	[2, 3, 4, 5]	4	SOURCE_GAP	{}
comic-chuurippu-1988	コミックチューリップ	standard	[1]	[2, 4, 6, 11, 14, 16]	5	SOURCE_GAP	{}
comic-cue	Comic cue	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
comic-hero	Comic HERO	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
comic-image-special	コミックイマージュ・スペシャル	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
comic-indeep	COMIC INDEEP	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
comic-luna	コミックルナ	standard	[1, 2, 3, 4]	[5, 6]	1	SOURCE_GAP	{}
comic-shin-3-goku-musou-san-battle-iryuujon	コミック真・三國無双3バトルイリュージョン	standard	[1, 2, 3, 4, 5, 6]	[7, 8]	1	SOURCE_GAP	{}
comic-shin-genjitsu	Comic新現実	standard	[1]	[2, 3, 4, 5]	4	SOURCE_GAP	{}
comic-tulip	コミックチューリップ	standard	[1]	[2, 4, 6, 11, 16]	4	SOURCE_GAP	{}
craibu	C-live	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
crash-junky-spirit	Crash junky × spirit	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
crew-1994	Crew 1994	standard	[1, 2, 3, 4, 5, 6]	[7, 9, 10]	3	SOURCE_GAP	{}
da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
dai-chouhen-doraemon	大長編ドラエもん	standard	[1]	[2]	1	SOURCE_GAP	{}
dai-kaizoku-jidai	大海賊時代	standard	[1]	[2, 9]	1	SOURCE_GAP	{}
daikazoku-gohan-monogatari	大家族ごはん物語	standard	[1]	[2]	1	SOURCE_GAP	{}
daiki-no-baka-h-special	大紀のバカHスペシャル	standard	[1]	[2, 10]	1	SOURCE_GAP	{}
dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	standard	[1]	[2]	1	SOURCE_GAP	{}
dakarete-tamaruka	抱かれてたまるか!	standard	[1]	[2]	1	SOURCE_GAP	{}
dakasete-kudasai-furutaka-shunin	抱かせてください古高主任	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
danna-sama-kaseide-rikon-sasete-itadakimasu	旦那様、稼いで離婚させていただきます!	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
danshaku-kouchou-hai	男爵校長high!	standard	[1]	[2]	1	SOURCE_GAP	{}
danshikou-no-hime	男子校の姫	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
daphne	ダフネー	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]	[29]	1	SOURCE_GAP	{}
dare-nimo-ienai-hi	誰にも言えない(秘)	standard	[1, 2, 3, 4, 5]	[6, 9, 16, 21, 25, 26, 27, 28, 32, 33, 36, 38, 43, 44]	8	SOURCE_GAP	{}
david	David	standard	[1]	[2]	1	SOURCE_GAP	{}
dfk	DFK	standard	[1]	[2]	1	SOURCE_GAP	{}
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	ドS騎士団長のご奉仕メイドに任命されましたが、私××なんですけど!?	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	standard	[1]	[2, 4, 5, 6, 7, 8, 9, 10, 11]	1	SOURCE_GAP	{}
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
doughnuts-books	Doughnuts books	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 32, 34]	1	SOURCE_GAP	{}
dr-typhoon-1996	Dr.Typhoon	wideban	[1]	[2]	1	SOURCE_GAP	{}
dramatic-maestro	ドラマチック・マエストロ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
drcl	#DRCL	standard	[1, 2, 3, 4]	[5]	0	SOURCE_GAP	{}
eguchi-hisashi-jump-works	江口寿史JUMP WORKS	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
elysion	エリュシオン	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	standard	[1]	[2, 4]	2	SOURCE_GAP	{}
f1-sokuhou-guranpuri-tengoku	F1速報グランプリ天国	standard	[1, 2, 3, 4, 5, 6]	[7]	1	SOURCE_GAP	{}
fate-grand-order	Fate/grand order	standard	[1]	[2, 3, 4, 5]	3	SOURCE_GAP	{}
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalta-	standard	[1]	[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21]	2	SOURCE_GAP	{}
fate-kishi	Fate騎士	standard	[1]	[2, 4, 5, 6, 7, 8, 9, 10, 11]	1	SOURCE_GAP	{}
feauei-no-samurai	フェアウェイの侍	standard	[1]	[2]	1	SOURCE_GAP	{}
feroumerou	フェロウメロウ	standard	[1]	[2]	1	SOURCE_GAP	{}
fluidrat	フルイドラット	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
foot-gear	Foot gear	standard	[1, 2]	[3, 4, 5, 6]	1	SOURCE_GAP	{}
fudanshi-no-ore-ga-youkya-osananajimi-ni-semarareteru-ken	腐男子の俺が陽キャ幼馴染に迫られてる件	standard	[1]	[2]	1	SOURCE_GAP	{}
fusoku-no-renjou	不測ノ恋情	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	standard	[1, 2, 3, 4, 5, 6]	[7, 11]	1	SOURCE_GAP	{}
gakkou-kachinukisen-jikken-taiketsu	学校勝ち抜き戦 実験対決	standard	[1, 2, 3, 4, 5, 6, 7, 8]	[9, 10, 11, 12, 13, 16, 18, 19, 20]	1	SOURCE_GAP	{}
gakkou-kachinukisen-jikken-taiketsu-2016	学校勝ちぬき戦 実験対決	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	[21, 22, 23, 24, 25]	2	SOURCE_GAP	{}
gal-ga-sylvanian-family-o-dekiai-shitara	ギャルがシルバニアファミリーを溺愛したら。	standard	[1]	[2, 3, 5, 6, 7]	3	SOURCE_GAP	{}
game-comic-collection	ゲームコミックコレクション	standard	[1]	[2]	1	SOURCE_GAP	{}
garou-densetsu-kumocho-1996	餓狼伝説	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
garu	天馬の空	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
gekiga-hiroike-chikurou	劇画広池千九郎	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
generous-kiss	GENEROUS KISS	standard	[1]	[2, 4, 6]	3	SOURCE_GAP	{}
gensou-fantasy	幻想ファンタジー	standard	[1, 2, 3]	[4, 5]	1	SOURCE_GAP	{}
gensou-labyrinth	幻想ラビリンス	standard	[1, 2, 3, 4]	[5, 6]	1	SOURCE_GAP	{}
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	4	SOURCE_GAP	{}
ginga-tetsudou-999-andoromedahen	銀河鉄道999アンドロメダ編	standard	[1, 2, 3, 4]	[5, 6, 7, 8, 9, 10]	1	SOURCE_GAP	{}
gokuraku-houshinden	極楽封神伝	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
grand-vacances	グラン・バカン	standard	[1]	[2]	1	SOURCE_GAP	{}
grayscale-children	グレースケールチルドレン	standard	[1]	[2]	1	SOURCE_GAP	{}
greed-packet-unlimited	グリードパケット∞	standard	[1, 2, 3]	[4]	0	SOURCE_GAP	{}
green-no-kifujin	芝の貴婦人	standard	[1]	[2]	1	SOURCE_GAP	{}
guruguru-shoukougun	ぐるぐる症候群	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 13]	1	SOURCE_GAP	{}
guy-saito-1990	ガイ	standard	[1]	[2]	1	SOURCE_GAP	{}
hai-to-gin-no-hane	灰と銀の羽根	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
hal-ayase-2017	ハル	standard	[1]	[2]	1	SOURCE_GAP	{}
hamster-family	ハムスターファミリー	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
hamster-no-kyuukyuubako	ハムスターの救急箱	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
hana-ichimonme	花いちもんめ	standard	[1]	[2]	1	SOURCE_GAP	{}
hanna-of-the-z	はんなof the Z	standard	[1]	[2]	1	SOURCE_GAP	{}
happy-birthday-komikku	ハッピーバースデー	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
haramu-made-midare-ike	孕むまで乱れいけ	standard	[1]	[2, 4, 5]	2	SOURCE_GAP	{}
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STORIES	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
hate-my-mia	Hate my Mia!	standard	[1]	[2, 3, 4]	2	SOURCE_GAP	{}
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
hereteku-no-ana	ヘレテクの穴	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
hero-special	ヒーロースペシャル	standard	[1]	[2]	1	SOURCE_GAP	{}
hi-no-ataru-sakamichi	陽のあたる坂道	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
higurashi-no-naku-koi-ni-all-you-need-is-love	ひぐらしのなく恋に All you need is love	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	standard	[1, 2, 3, 4]	[5, 6, 10, 11, 12]	3	SOURCE_GAP	{}
hiiragi-buchou-no-panst-line	柊部長のパンストライン	standard	[1]	[2]	1	SOURCE_GAP	{}
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
himegimi-no-tou-kizukurugan	姫君の塔-キズクルガン-	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
hinako	HINAKO !!!	standard	[1]	[2]	1	SOURCE_GAP	{}
hirotta-inui-kun-to-koi-o-suru	拾った戌井くんと恋をする	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
hito-wa-sore-o-furin-to-yobu	人はそれを不倫と呼ぶ	bunkobon	[1]	[2]	1	SOURCE_GAP	{}
hitomi-ni-utsuru-kimi-wa-zenbu-ore-no-mono	瞳に映るキミは、全部オレのもの	standard	[1]	[2]	1	SOURCE_GAP	{}
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
hodogaya-saichuusokuha-seven	保土ヶ谷最中速派セブン	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
holy-maruo-1996	Holy	standard	[1]	[2]	1	SOURCE_GAP	{}
honba-joshikou-manual	本場ぢょしこうマニュアル	standard	[1]	[2]	1	SOURCE_GAP	{}
honnyara-gokko-kariage-kun	ほんにゃらごっこ かりあげクン	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[51, 52, 53, 54, 55, 56, 57, 58, 59, 60]	1	SOURCE_GAP	{}
honomi-bureikutsu	ほのみぶれいくっ!	standard	[1]	[2]	1	SOURCE_GAP	{}
hontoni-atta-noroi-no-video-comic	ほんとにあった!呪いのビデオcomic	standard	[1, 2]	[3, 4, 5]	1	SOURCE_GAP	{}
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203]	[204, 205, 207, 208]	1	SOURCE_GAP	{}
hontou-ni-atta-nama-maji-giretsu-byouin-esupii	本当にあった〔○生〕マジギレッ病院SP	standard	[1]	[2]	1	SOURCE_GAP	{}
hoshizora-o-mitsumeta-sono-ato-de	星空を見つめたそのあとで	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
hot-komyunikeeshiyon	あったかファミリー ホット・コミュニケーション	standard	[1]	[2]	1	SOURCE_GAP	{}
houkago-pedal	放課後ペダル	standard	[1, 2, 3, 4, 5]	[6, 7, 8]	1	SOURCE_GAP	{}
igaguri-kun	イガグリくん	bunkobon	[1, 2, 3, 4, 5, 6, 7, 8]	[9]	0	SOURCE_GAP	{}
ijippari-na-senpai-no-shitsukekata	意地っ張りな先輩のしつけ方	standard	[1]	[2]	1	SOURCE_GAP	{}
ijiwaru-na-tsugai	いじわるな番	standard	[1]	[2]	1	SOURCE_GAP	{}
ikinari-shinrensai	いきなり新連載	standard	[1]	[2]	1	SOURCE_GAP	{}
ikukyuu-maou-to-nise-yuusha	育休魔王とニセ勇者	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
incubus-datte-junai-shitai	インキュバスだって純愛したい	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
inukko-club	犬っこ倶楽部	standard	[1, 2, 3, 4, 5]	[6, 7]	1	SOURCE_GAP	{}
invincible-iron-man-ironheart	インビンシブル・アイアンマン:アイアンハート	standard	[1]	[2]	1	SOURCE_GAP	{}
isekai-kara-elf-san-ga-ochitekita-nodesuga	異世界からエルフさんが落ちてきたのですが!?	standard	[1]	[2]	1	SOURCE_GAP	{}
jin	JIN	bunkobon	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12, 13]	1	SOURCE_GAP	{}
jiraikei-kareshi-suzu-kun	地雷系彼氏すずくん	standard	[1]	[2, 4]	1	SOURCE_GAP	{}
junai	純愛	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
junai-yakuza-to-dousei-seikatsu	純愛ヤクザと同棲生活	standard	[1]	[2]	1	SOURCE_GAP	{}
jungle	ジャングル	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	standard	[1]	[2]	1	SOURCE_GAP	{}
kaikyaku-sengen	海客宣言	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[12, 13, 14, 15]	1	SOURCE_GAP	{}
kairanban-no-etchi-na-rule-wa-zettai-desu	回覧板のエッチなルールは絶対です。	standard	[1]	[2]	1	SOURCE_GAP	{}
kaisei-no-ketsumeisha	廻生の血盟者	standard	[1]	[2, 3, 4, 5, 6]	1	SOURCE_GAP	{}
kandouou-rendetsu	感動王列伝	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 12, 13, 14, 15, 16, 17]	1	SOURCE_GAP	{}
kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[20, 21]	1	SOURCE_GAP	{}
karabuki-shitene	からぶき♥してね	standard	[1]	[2]	1	SOURCE_GAP	{}
karutetto	かるってと	standard	[1]	[2]	1	SOURCE_GAP	{}
kasei-no-hatsu-chan	火星の八ちゃん	bunkobon	[1, 2]	[3]	0	SOURCE_GAP	{}
kasei-yakiyoku	華星夜曲	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9]	1	SOURCE_GAP	{}
kasumigaseki-furiimeeson	霞ヶ関フリーメーソン	standard	[1]	[2]	1	SOURCE_GAP	{}
kasuribana	掏摸花	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
katakoi-kekkon	片恋結婚	standard	[1]	[2, 3, 4, 5, 6]	1	SOURCE_GAP	{}
katei-kyoushi-hitman-reborn-chaos-destiny	家庭教師ヒットマンreborn!カオスデスティニー	standard	[1]	[2]	1	SOURCE_GAP	{}
kawaii-kimi	かわいいきみ	standard	[1]	[2, 3, 4]	3	SOURCE_GAP	{}
kayou-manga-daizenshuu	歌謡マンガ大全集	standard	[1]	[2]	1	SOURCE_GAP	{}
kaze-no-tenpei	風の天兵	standard	[1]	[2]	0	SOURCE_GAP	{}
keishichou-0-ka-no-onna	警視庁0課の女	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
kemono-otoko-to-yuutousei-joshi	ケモノ男子と優等生女子	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
kemonomichi-kagemaru-1980	けものみち	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10]	1	SOURCE_GAP	{}
kick-ass	キック・アス	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
kiken-na-chouai	危険な寵愛	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	standard	[1]	[2, 3, 4]	2	SOURCE_GAP	{}
kimi-no-shita-wa-dolce	君の舌はドルチェ	standard	[1]	[2]	1	SOURCE_GAP	{}
kimi-o-mae-ni-shitara-ore-wa-moutsu-nikushokuha-otoko-no-junjouna-yokujou	君を前にしたら俺はもうっ…肉食派男子の純情な欲情	standard	[1]	[2]	1	SOURCE_GAP	{}
kimi-to-natsu-no-naka	君と夏のなか	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	嫌われ令嬢は銀の王子に甘やかされる	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
kirishima-kun-wa-ijimetai	桐島くんはいじめたい	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
kisaki-to-kawa	后と河	standard	[1]	[2]	1	SOURCE_GAP	{}
kizuato	痕	standard	[1]	[2, 4, 5]	1	SOURCE_GAP	{}
koala-enikki	コアラ絵日記	standard	[1]	[2, 3, 4, 5]	2	SOURCE_GAP	{}
koi-kara-wa-nigerarenai	恋からは逃げられない	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
koi-to-junrei	恋と巡礼	standard	[1, 2, 3, 4, 5, 6, 7]	[8]	1	SOURCE_GAP	{}
koisuru-milk-crown	恋するミルククラウン	standard	[1]	[2]	1	SOURCE_GAP	{}
kokou-no-ou-to-yotogi-no-jouai	孤高の王と夜伽の情愛	standard	[1]	[2]	1	SOURCE_GAP	{}
kore-wa-kitto-unmei-no-koi	これはきっと、運命の恋	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
kotoza-no-regashii	こと座のレガシー	standard	[1]	[2]	1	SOURCE_GAP	{}
koukidou-gensou-ganpareedo-march-4-koma-manga-gekijou	高機動幻想ガンパレード・マーチ 4コママンガ劇場	standard	[1]	[2]	1	SOURCE_GAP	{}
koukoukyoushimonogatari	高校教師物語	standard	[1]	[2]	1	SOURCE_GAP	{}
koyoi-omae-to	今宵おまえと	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	standard	[1, 2, 3]	[4, 5, 6]	2	SOURCE_GAP	{}
kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	standard	[1, 2, 3, 4, 5, 6, 7]	[8, 9]	1	SOURCE_GAP	{}
kuwata-kigurumi-gekijou-damekko-doubutsu	桑田着ぐるみ劇場だめっこどうぶつ	standard	[1, 2, 3, 4, 5]	[6, 7, 8, 9, 10, 11]	2	SOURCE_GAP	{}
kuzu-no-ha	葛の葉	standard	[1, 2, 3, 4, 5, 6, 7, 8]	[9]	1	SOURCE_GAP	{}
kyoufu-kaiki	恐怖怪奇	standard	[1]	[2]	1	SOURCE_GAP	{}
kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
l-gion	LÉGION	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
let-s-go-nirvana	Let's go nirvana	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
like-the-beast	Like the beast	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[14]	1	SOURCE_GAP	{}
linkman	リンクマン	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
