slug	title	type	number	kind	current	proposed	dom_pub	pubclass
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	5	PUB_SWAP	9784047120228	9784073005643	978407	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	6	PUB_SWAP	9784047120259	9784073005704	978407	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	18	PUB_SWAP	9784840209526	9784073095200	978407	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	19	PUB_SWAP	9784840210577	9784073105749	978407	multi
gingatetsudou-no-yoru	銀河鉄道の夜	standard	1	PUB_SWAP	9784061890510	9784010234051	978401	multi
girlfriend	ガールフレンド	standard	1	PUB_SWAP	9784877344610	9784088766232	978408	multi
girly-hypers	ガーリーハイパーズ	standard	1	PUB_SWAP	9784796619295	9784396764180	9784396	multi
golgo-13	ゴルゴ13	standard	1	PUB_SWAP	9784091970312	9784845825394	97848458	multi
gomenasobase	ごめんあそばせ	standard	1	PUB_SWAP	9784789781770	9784537155242	9784537	multi
gunslinger-girl	GUNSLINGER GIRL	standard	2	PUB_SWAP	9784840224215	9784048693974	978404	multi
gunslinger-girl	GUNSLINGER GIRL	standard	4	PUB_SWAP	9784840228190	9784048694278	978404	multi
gunslinger-girl	GUNSLINGER GIRL	standard	3	PUB_SWAP	9784840226226	9784048694322	978404	multi
gunslinger-girl	GUNSLINGER GIRL	standard	5	PUB_SWAP	9784840230728	9784048694353	978404	multi
gunslinger-girl	GUNSLINGER GIRL	standard	9	PUB_SWAP	9784840241083	9784048694360	978404	multi
gush-mania	GUSH mania	standard	1	PUB_SWAP	9784796407342	9784877241926	978487724	multi
hachimitsu-to-clover	ハチミツとクローバー	standard	1	PUB_SWAP	9784796620888	9784081092437	978408	multi
hakaba-kitarou	墓場鬼太郎	standard	1	PUB_SWAP	9784257961000	9784048528382	978404	multi
hakaba-kitarou	墓場鬼太郎	standard	3	PUB_SWAP	9784257961017	9784048528405	978404	multi
hamuko-mairu	はむこ参る!	standard	1	PUB_SWAP	9784022751010	9784591085639	9784591	multi
hanako-lavatory	ハナコ@ラバトリー	standard	1	PUB_SWAP	9784861768187	9784049127515	978404	multi
hanazakari-no-niwa	花盛りの庭	standard	1	PUB_SWAP	9784088641515	9784834274080	97848342	multi
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	standard	1	PUB_SWAP	9784091807014	4984343212718	4984343	multi
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	standard	2	PUB_SWAP	9784091807021	4984343212725	4984343	multi
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	standard	3	PUB_SWAP	9784091807038	4984343212732	4984343	multi
hard-core	ハード・コア	standard	1	PUB_SWAP	9784253159951	9784047347847	978404	multi
hard-core	ハード・コア	standard	3	PUB_SWAP	9784757702042	9784047347861	978404	multi
haru-o-daiteita	春を抱いていた	standard	2	PUB_SWAP	9784882719984	9784862631176	978486263	multi
haru-o-daiteita	春を抱いていた	standard	3	PUB_SWAP	9784835211398	9784862631183	978486263	multi
haru-o-daiteita	春を抱いていた	standard	4	PUB_SWAP	9784835212050	9784862631190	978486263	multi
haru-o-daiteita	春を抱いていた	standard	5	PUB_SWAP	9784835213002	9784862631398	978486263	multi
haru-o-daiteita	春を抱いていた	standard	6	PUB_SWAP	9784835213675	9784862631558	978486263	multi
haru-o-daiteita	春を抱いていた	standard	7	PUB_SWAP	9784835214191	9784862631565	978486263	multi
haru-o-daiteita	春を抱いていた	standard	8	PUB_SWAP	9784835214948	9784862631749	978486263	multi
haru-o-daiteita	春を抱いていた	standard	9	PUB_SWAP	9784835216515	9784862631756	978486263	multi
haru-o-daiteita	春を抱いていた	standard	10	PUB_SWAP	9784835217475	9784862631954	978486263	multi
haru-o-daiteita	春を抱いていた	standard	11	PUB_SWAP	9784835218632	9784862630711	978486263	multi
haru-o-daiteita	春を抱いていた	standard	1	PUB_SWAP	9784882719618	9784862630995	978486263	multi
haruchin	ハルチン	standard	2	PUB_SWAP	9784396460150	9784065196762	978406	multi
haruchin	ハルチン	standard	1	PUB_SWAP	9784838709670	9784065196779	978406	multi
hasegawa-chouji	HASEGAWA長治	standard	1	PUB_SWAP	9784063367959	9784785925482	97847859	multi
hatarake-onee-san	働け!おねえさん	standard	1	PUB_SWAP	9784832269675	9784910454078	9784910454	multi
hatenkou-yuugi	破天荒遊戯	standard	1	PUB_SWAP	9784757502833	9784758050043	97847580	multi
hatenkou-yuugi	破天荒遊戯	standard	2	PUB_SWAP	9784757504455	9784758050050	97847580	multi
hatenkou-yuugi	破天荒遊戯	standard	3	PUB_SWAP	9784757506268	9784758050067	97847580	multi
haunted-campus	ホーンテッド・キャンパス	standard	2	PUB_SWAP	9784048111294	9784022141866	978402	multi
hayate-cross-blade	はやて×ブレード	standard	1	PUB_SWAP	9784840227391	9784088775012	978408	multi
hayate-cross-blade	はやて×ブレード	standard	2	PUB_SWAP	9784840229579	9784088775029	978408	multi
hayate-cross-blade	はやて×ブレード	standard	3	PUB_SWAP	9784840231152	9784088775180	978408	multi
hayate-cross-blade	はやて×ブレード	standard	4	PUB_SWAP	9784840233200	9784088775197	978408	multi
hayate-cross-blade	はやて×ブレード	standard	5	PUB_SWAP	9784840235358	9784088775364	978408	multi
hayate-cross-blade	はやて×ブレード	standard	6	PUB_SWAP	9784840237512	9784088775371	978408	multi
hayate-cross-blade	はやて×ブレード	standard	7	PUB_SWAP	9784840239646	9784088775562	978408	multi
hayate-cross-blade	はやて×ブレード	standard	8	PUB_SWAP	9784840241762	9784088775579	978408	multi
hero-heel	Hero・heel	standard	1	PUB_SWAP	9784835217857	9784862632159	978486263	multi
hidoku-shinaide	酷くしないで	standard	1	PUB_SWAP	9784862631015	9784799730812	97847997	multi
hikarishuppatsu-shinkou	ひかり!出発進行	standard	1	PUB_SWAP	9784832252660	9784910454122	9784910454	multi
hime-2006	姫	bunkobon	1	PUB_SWAP	9784257723837	9784022671233	978402	multi
himitsu-wa-kiss-de-abakareru	秘密はキスで暴かれる	standard	1	PUB_SWAP	9784434224942	9784801965256	97848019	multi
himitsu-wa-kiss-de-abakareru	秘密はキスで暴かれる	standard	2	PUB_SWAP	9784434231582	9784801965263	97848019	multi
hina-chan-no-nichijou	ひなちゃんの日常	standard	1	PUB_SWAP	9784902970012	9784819110112	97848191	multi
hina-chan-no-nichijou	ひなちゃんの日常	standard	2	PUB_SWAP	9784902970944	9784819110129	97848191	multi
hipunoshisumaiku	ヒプノシスマイク	standard	1	PUB_SWAP	9784065160992	9784758036511	97847580	multi
hissatsu-shioki-nagaya	必殺仕置長屋	standard	2	PUB_SWAP	9784834241983	9784862259790	978486225	multi
hissatsu-yami-doushin	必殺闇同心	standard	1	PUB_SWAP	9784862254702	9784074300778	978407	multi
hito-no-ko	ひとのこ	standard	1	PUB_SWAP	9784107720535	9784845861033	97848458	multi
hitsuji-no-uta	羊のうた	standard	1	PUB_SWAP	9784796297035	9784344803480	9784344	multi
hitsuji-no-uta	羊のうた	standard	2	PUB_SWAP	9784796297219	9784344803558	9784344	multi
