巻状態	種2	tier	信号	一致	残差	疑	slug	頁題	頁著者	頁最大巻	頁巻数	isbn	楽天題	楽天副題	抽出親題	抽出巻	楽天著者	出版社	レーベル	発売日	種2sid	種2題	種2巻	除外seed
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	aku-no-hanamichi-o-ikimashou	悪の華道を行きましょう	やましろ梅太・真冬日	6	6	9784825100442	悪の華道を行きましょう　7巻		悪の華道を行きましょう	7	やましろ 梅太/真冬日	一迅社	ZERO-SUMコミックス	2026年07月31日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	私は裏ボスですが魔王ではありません		akuyaku-reijou-level-99	悪役令嬢レベル99	のこみ・七夕さとり	5	5	9784045001918	悪役令嬢レベル99 〜私は裏ボスですが魔王ではありません〜　その6		悪役令嬢レベル99 〜私は裏ボスですが魔王ではありません	6	のこみ/七夕　さとり/Tea	KADOKAWA	B's-LOG COMICS	2026年07月31日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	漫画	PUBMISMATCH	amerikano-rekishi	アメリカの歴史	手塚治虫	2	2	9784901819848	漫画アメリカの歴史（3）		漫画アメリカの歴史	3	手塚治虫/猿谷要	嶋中書店	アイランド・コミックスprimo	2004年03月05日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	漫画	PUBMISMATCH	amerikano-rekishi	アメリカの歴史	手塚治虫	2	2	9784901819886	漫画アメリカの歴史（4）		漫画アメリカの歴史	4	猿谷要/手塚治虫	嶋中書店	アイランド・コミックスｐｒｉｍｏ	2004年04月05日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	私が王子妃でいいんですか		ane-no-kawari-no-kyuuzou-konyakusha-desu-henkyou-no-ryouchi-de-shiawase-ni-narimasu	姉の代わりの急造婚約者ですが、辺境の領地で幸せになります!	新道梨果子・三枝霞	2	2	9784065420805	姉の代わりの急造婚約者ですが、辺境の領地で幸せになります！　〜私が王子妃でいいんですか？〜（3）		姉の代わりの急造婚約者ですが、辺境の領地で幸せになります! 〜私が王子妃でいいんですか?	3	三枝 霞/新道 梨果子/tanu	講談社	KCx	2026年08月28日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	ある脳外科医の日記ー		anmetto	アンメット	大槻閑人・子鹿ゆずる	15	15	9784065363829	アンメット　-ある脳外科医の日記ー（16）		アンメット -ある脳外科医の日記ー	16	大槻 閑人/子鹿 ゆずる	講談社	モーニング　KC	2024年08月22日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	ある脳外科医の日記ー		anmetto	アンメット	大槻閑人・子鹿ゆずる	15	15	9784065373118	アンメット　-ある脳外科医の日記ー（17）		アンメット -ある脳外科医の日記ー	17	大槻 閑人/子鹿 ゆずる	講談社	モーニング　KC	2024年10月22日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	錬金術と暗殺術を極めた俺は世界を陰から支配する		ansatsu-skill-de-isekai-saikyou	暗殺スキルで異世界最強	Coin・進行諸島	7	7	9784301006893	暗殺スキルで異世界最強　〜錬金術と暗殺術を極めた俺は、世界を陰から支配する〜（8）		暗殺スキルで異世界最強 〜錬金術と暗殺術を極めた俺は、世界を陰から支配する	8	進行諸島/Coin/赤井てら	スクウェア・エニックス	ガンガンコミックスUP！	2026年10月07日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	そのまま寝てたら周りが勝手に魔物の国を作ってたけど私は気にせず今日も眠ります		aru-hi-damin-o-musabotte-itara-ichizoku-kara-tsuihousareta-sarete-mori-ni-suteraremashita	ある日、惰眠を貪っていたら一族から追放されて森に捨てられました	白波ハクア・伊草さゆ	3	3	9784821159475	ある日、惰眠を貪っていたら一族から追放されて森に捨てられました　そのまま寝てたら周りが勝手に魔物の国を作ってたけど、私は気にせず今日も眠ります（4）		ある日、惰眠を貪っていたら一族から追放されて森に捨てられました そのまま寝てたら周りが勝手に魔物の国を作ってたけど、私は気にせず今日も眠ります	4	伊草さゆ/白波ハクア	ぶんか社	BKコミックス	2024年11月05日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	召喚勇者だけど下級認定されたのでメイドハーレムを作ります		astro-king	アストロキング	GEN・竜庭ケンジ	3	3	9784799219836	アストロキング　召喚勇者だけど下級認定されたのでメイドハーレムを作ります！4		アストロキング 召喚勇者だけど下級認定されたのでメイドハーレムを作ります!	4	GEN/竜庭ケンジ	キルタイムコミュニケーション	ヴァルキリーコミックス　378	2024年12月06日頃				
