seed	special_isbn	special_title	normal_isbn	normal_title
special-edition-fix.yml	9784099430320	帝都初恋心中 5 限定版プレミアムBOX 蜜樹 みこ	9784098702916	帝都初恋心中（5) 蜜樹 みこ
special-edition-fix.yml	9784099430351	トクサツガガガ 15 フィギュア付き特装版 丹羽 庭	9784098602070	トクサツガガガ（15) 丹羽 庭
special-edition-fix.yml	9784099430375	『風都探偵』5集 ライドウォッチ、ガンバライジングカード付き限定版 石ノ森 章太郎/三条 陸/佐藤 まさき	9784098602254	風都探偵（5） 石ノ森 章太郎/三条 陸/佐藤 まさき
special-edition-fix.yml	9784099430412	12歳。16 〜コイノキセツ〜 腕時計＆サイン入り生写真付き限定版 まいた 菜穂	9784098703289	12歳。（16） まいた 菜穂
special-edition-fix.yml	9784099430535	12歳。17 〜ダイスキ〜 ブック型ふせん＆缶バッジ2個付き限定版 まいた 菜穂	9784098705818	12歳。（17） まいた 菜穂
special-edition-fix.yml	9784099430566	12歳。18 〜キズナ〜 限定版 まいた 菜穂	9784098706440	12歳。18 まいた 菜穂
special-edition-fix.yml	9784099430603	12歳。19 〜ソツギョウ〜 限定版 まいた 菜穂	9784098707324	12歳。（19） まいた 菜穂
special-edition-fix.yml	9784099430634	青楼オペラ 12 限定特装版BOX 桜小路 かのこ	9784098707584	青楼オペラ（12完） 桜小路 かのこ
special-edition-fix.yml	9784099430696	トクサツガガガ 20 小冊子付き特装版 丹羽 庭	9784098607112	トクサツガガガ（20） 丹羽 庭
special-edition-fix.yml	9784099431389	にじさんじ 1 マンガのコマ厳選！ 変なチャイカアクリル付き特装版 ベラボウ/ANYCOLOR株式会社	9784091436665	にじさんじ（1） ベラボウ/ANYCOLOR株式会社
special-edition-fix.yml	9784099431556	よふかしのうた 20 「ポストカードブック」付き特装版 コトヤマ	9784098531967	よふかしのうた（20） コトヤマ
special-edition-fix.yml	9784107716583	罪と罰（2）限定版 漫F画太郎/フョードル・ミハイロヴィチ・ドストエフス	9784107716590	罪と罰（2） 漫F画太郎/ドストエフスキー
special-edition-fix.yml	9784120056505	猫ピッチャー 15　NFT特装版 そにしけんじ	9784120056499	猫ピッチャー 15 そにしけんじ
special-edition-fix.yml	9784152091246	今日の早川さん3〔限定版〕 coco	9784152091239	今日の早川さん3 coco
special-edition-fix.yml	9784152098368	今日の早川さん4〔限定版〕 coco	9784152098351	今日の早川さん4 coco
special-edition-fix.yml	9784198810528	クリムゾン・スペル（7）画集付き特装版 やまねあやの	9784199608728	クリムゾン・スペル7 やまねあやの
special-edition-fix.yml	9784253102421	ドカベン（9） 水島新司	9784253178259	ドカベン　スーパースターズ編（9） 水島新司
special-edition-fix.yml	9784344819399	ヘタリア（3）特装版 日丸屋秀和	9784344832947	ヘタリア　Axis Powers Speciale　3 日丸屋　秀和
