tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	birth-2002	BIRTH	standard	5	9784344801868	2003-01	幻冬舎	BIRTH(5)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	1
STRICT	OK	birth-2002	BIRTH	standard	6	9784344802179	2003-03	幻冬舎	BIRTH(6)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	1
STRICT	OK	birth-2002	BIRTH	standard	7	9784344800298	2002-02	幻冬舎	BIRTH(7)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	1
STRICT	OK	birth-2002	BIRTH	standard	8	9784344801578	2002-11	幻冬舎	BIRTH(8)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	1
STRICT	OK	bishoku-no-ojikan	美食のお時間	standard	4	9784420152341	2011-07	集英社クリエイティブ	美食のお時間(4)	酒川郁子	酒川郁子	オフィスユーコミックス	9784420	9784420	2
STRICT	OK	black-sheep	ブラックシープ	standard	4	9784046840776	2024-10	KADOKAWA	ブラックシープ 4	雅鳳　みゃと	雅鳳みゃと	MFコミックス ジーンシリーズ	9784046	9784046	2
STRICT	OK	blattodea	ブラトデア	standard	7	9784757595231	2024-11	スクウェア・エニックス	ブラトデア(7)	村田真哉/速水時貞	速水時貞	ガンガンコミックスJOKER	9784757	9784757	2
STRICT	OK	blue-period	ブルーピリオド	standard	16	9784065374740	2024-11	講談社	ブルーピリオド(16)	山口 つばさ	山口つばさ	アフタヌーンKC	9784065	9784065	3
STRICT	OK	boku-no-mura-no-hanashi	ぼくの村の話	standard	4	9784063283327	1993-08	講談社	ぼくの村の話(4)	尾瀬あきら	尾瀬あきら	モーニングKC	9784063	9784063	3
STRICT	OK	bokura-no-chikyuu-no-arukikata	僕らの地球の歩き方	standard	6	9784800015174	2024-11	マッグガーデン	僕らの地球の歩き方(6)	ソライモネ	ソライモネ	マッグガーデンコミックスEDENシリーズ	9784800	9784800	2
STRICT	OK	bon	Bon	standard	4	9784845808274	1995-02	リイド社	BON(4)	鈴木岳生/工藤かずや	工藤かずや / 鈴木岳生	SPコミックス	9784845	9784845	4
STRICT	OK	boukenou-biito	冒険王ビィト	standard	18	9784088842202	2024-10	集英社	冒険王ビィト 18	稲田 浩司/三条 陸	稲田浩司	ジャンプコミックス	9784088	9784088	3
