slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover	max_no	seq	cov_rate
tennis-no-ouji-sama	テニスの王子様	許斐剛	aizoban	愛蔵版コミックス	集英社	10	42	0.24	圧縮(豪華本)	2010-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3042/9784087823042.jpg?_ex=200x200	10	OK	10/10
tenshi-nanka-janai	天使なんかじゃない	矢沢あい	aizoban	愛蔵版コミックス	集英社	5	8	0.62	圧縮(豪華本)	2019-06-25	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0475/9784087920475.jpg?_ex=200x200	5	OK	5/5
urusei-yatsura	うる星やつら	高橋留美子	aizoban	少年サンデーコミックス〔復刻〕	小学館	4	34	0.12	圧縮(豪華本)	2022-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3836/9784091793836_1_7.jpg?_ex=300x300	4	OK	4/4
versailles-no-bara	ベルサイユのばら	池田理代子	aizoban	中公愛蔵版	中央公論社	2	14	0.14	圧縮(豪華本)	1996-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5595/9784120015595_1_2.jpg?_ex=300x300	2	OK	2/2
yakusai-kochou	厄災仔寵	みやすのんき	aizoban	ヤングジャンプ・愛蔵版	集英社	2	4	0.50	圧縮(豪華本)	2002-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6753/9784087826753.jpg?_ex=200x200	2	OK	2/2
zoku-thermae-romae	続テルマエ・ロマエ	ヤマザキマリ	aizoban	ジャンプ+愛蔵版コミックス	集英社	1	2	0.50	圧縮(豪華本)	2024-04-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6187/9784087926187_1_5.jpg?_ex=200x200	1	OK	1/1
3-3eyes	3×3EYES	高田裕三	deluxe	ヤンマガKCデラックス	講談社	4	40	0.10	圧縮(豪華本)	2002-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5353/9784063345353.jpg?_ex=200x200	4	OK	4/4
4p-tanaka-kun	4P田中くん	川三番地	deluxe	KCデラックス	講談社	9	51	0.18	圧縮(豪華本)	2003-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7289/9784063347289.jpg?_ex=200x200	9	OK	9/9
adam-to-ibu-no-houteishiki	♂と♀の方程式	すぎ恵美子	deluxe	Flower comics deluxe	小学館	5	10	0.50	圧縮(豪華本)	1999-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8619/9784091318619.gif?_ex=200x200	5	OK	5/5
aitsu-to-lullaby	あいつとララバイ	楠みちはる・岡村浩司	deluxe	KCデラックス	講談社	18	39	0.46	圧縮(豪華本)	1998-03-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9154/9784063199154.jpg?_ex=200x200	18	OK	18/18
