verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:七都サマコ|name:領地を立て直したい嫌われ者のお色気令嬢は成り上がり貴族に溺愛される	領地を立て直したい嫌われ者のお色気令嬢は成り上がり貴族に溺愛される	1	2026-06-22	2026-06-22	Comic PASH! PC Fiore	七都サマコ / 玉川玉子	9784391168129
本番に完全に無い		name:伊香亞紀|name:隣人さんは臆病者	隣人さんは臆病者	1	2026-06-22	2026-06-22	picn comics		9784823610691
著者は本番に在る(作品は別)		name:梅原うめ|name:転生少女の底辺から始める幸せスローライフ	転生少女の底辺から始める幸せスローライフ	2	2025-12-08	2026-06-22	Ride Comics	秋作	9784867168691
本番に完全に無い		name:家守純生|name:灰かぶりおじさんと猫王子	灰かぶりおじさんと猫王子	1	2026-06-22	2026-06-22			9784781625621
本番に完全に無い		name:七坂ハイカ|name:月下の秘め恋	月下の秘め恋	3	2025-09-13	2026-06-22	ガルドコミックス	レゥル	9784824013569
著者は本番に在る(作品は別)		name:中西ゆか|name:旅情ミステリー特選集	旅情ミステリー特選集	1	2026-06-22	2026-06-22	マンサンコミックス	西村京太郎 / 説話社 / 中西ゆか	9784408177366
著者は本番に在る(作品は別)		name:かのん1988-|name:悪役令嬢はもう全部が嫌になったので、記憶喪失のふりをすることにした	悪役令嬢はもう全部が嫌になったので、記憶喪失のふりをすることにした	2	2025-04-05	2026-06-22	ブリーゼコミックス	かのん / ゆずまんじゅう	9784799220337
著者は本番に在る(作品は別)		name:幹藻ねずみ|name:実家に帰ったら甘やかされ生活が始まりました	実家に帰ったら甘やかされ生活が始まりました	2	2024-09-06	2026-06-22	PASH!COMICS	しめさば / 幹藻ねずみ	9784391163322
著者は本番に在る(作品は別)		name:佐崎咲|name:子ども扱いしないでください!	子ども扱いしないでください!	2	2025-10-27	2026-06-22	Regina COMICS	十屋つぐみ / 佐崎咲	9784434364570
本番に完全に無い		name:ぽふぽふ|name:収納魔法が切実に欲しいと願っていたら、転生してしまった	収納魔法が切実に欲しいと願っていたら、転生してしまった	2	2026-01-26	2026-06-22	GAコミック	狐豆 / ぽふぽふ	9784815630294
著者は本番に在る(作品は別)		name:シリ崎|name:俺のこと、好きにならないでね。	俺のこと、好きにならないでね。	2	2025-10-13	2026-06-22	CITR COMICS	シリ崎	9784823609251
著者は本番に在る(作品は別)		name:さーもにずむ|name:ラストバトルのそのあとで	ラストバトルのそのあとで	1	2026-06-22	2026-06-22	ゼノンコミックス	さーもにずむ	9784867208816
著者は本番に在る(作品は別)		name:仲邑エンジツ|name:ムジナとミサキ	ムジナとミサキ	2	2025-08-06	2026-06-22	YKコミックス	仲邑エンジツ	9784785980078
本番に完全に無い		name:ニシハラハコ|name:ニシハラさんのわかりにくい恋	ニシハラさんのわかりにくい恋	5	2022-12	2026-06-22	はちみつコミックエッセイ	ニシハラハコ	9784824003287
著者は本番に在る(作品は別)		name:春雷|name:ダンジョンを造ろう	ダンジョンを造ろう	2	2025-03-31	2026-06-22	ヴァルキリーコミックス	大盛無量 / くりきまる	9784799220177
本番に完全に無い		name:谷崎修平|name:ゴンロン・エッグ	ゴンロン・エッグ	3	2026-03-23	2026-06-22	ジャンプコミックス	谷崎修平	9784088850337
本番に完全に無い		name:ダキマクラン|name:ゲームをしていると思ったらいつの間にか異世界にいた	ゲームをしていると思ったらいつの間にか異世界にいた	1	2026-06-22	2026-06-22	ヴァルキリーコミックス		9784799221761
本番に完全に無い		name:いがよ賄|name:エッジバトル・マネーショット	エッジバトル・マネーショット	1	2026-06-22	2026-06-22	Bivy comic		9784823610707
著者は本番に在る(作品は別)		name:篠崎ゆうま|name:わたくし、恋愛結婚がしたいんです。	わたくし、恋愛結婚がしたいんです。	2	2025-03-31	2026-06-22	ブリーゼコミックス	篠崎ゆうま / 青柳朔	9784799220221
著者は本番に在る(作品は別)		name:そらモチ|name:やさぐれ召喚者は動かない	やさぐれ召喚者は動かない	1	2026-06-22	2026-06-22	GAコミック	吉岡剛 / そらモチ	9784815631765
著者は本番に在る(作品は別)		name:中邑みつのり|name:ももちゃん先生料理のやくそく	ももちゃん先生料理のやくそく	1	2026-06-22	2026-06-22	思い出食堂コミックス	中邑みつのり / 桃世真弓	9784785982003
著者は本番に在る(作品は別)		name:窪美澄|name:ぼくは青くて透明で	ぼくは青くて透明で	1	2026-06-22	2026-06-22	Seasons	青井ぬゐ	9784160902442
著者は本番に在る(作品は別)		name:カズ・ヤンセ|name:ROLLS	ROLLS	1	2026-06-22	2026-06-22	YKコミックス	カズ・ヤンセ	9784785981983
本番に完全に無い		name:ソルレダ|name:ATMおじさん	ATMおじさん	2	2026-03-23	2026-06-22	ヴァルキリーコミックス	林達永 / ソルレダ	9784799221426
著者は本番に在る(作品は別)		name:三ツ矢凡人|name:おやすみメリーくん	おやすみメリーくん	1	2026-06-18	2026-06-18	MARBLE COMICS	三ツ矢凡人	9784864425568
著者は本番に在る(作品は別)		name:冨山玖呂|name:非視界戦闘アイアンレッキ	非視界戦闘アイアンレッキ	1	2026-06-15	2026-06-15	ビッグコミックス	曽田正人 / 冨山玖呂	9784098640140
著者は本番に在る(作品は別)		name:中島直俊|name:聖女ルネスと獣の少年	聖女ルネスと獣の少年	2	2025-09-20	2026-06-15	SDC YLシリーズ / 異世界SDC	中島直俊 / 秋乃茉莉	9784867781852
本番に完全に無い		name:山素|name:時間跳躍式完全無劣化転送装置	時間跳躍式完全無劣化転送装置	1	2026-06-15	2026-06-15	NEW ORDER COMIX		9784778034221
著者は本番に在る(作品は別)		qid:Q2178375|name:恋愛キャンセル界隈	恋愛キャンセル界隈	1	2026-06-15	2026-06-15	drap COMICS DX	高城リョウ	9784866539775
著者は本番に在る(作品は別)		name:午後|name:午後のおいしい薬膳日記	午後のおいしい薬膳日記	1	2026-06-15	2026-06-15	ビッグスピリッツコミックススペシャル	金丸祐基 / 午後	9784091795106
