class	slug	title	n_series	n_editions	cluster_dump
A_SPLIT_WORK?	tetsuwan-atom	鉄腕アトム	9	33	sid35350(手塚治虫/手塚企画): anime[アニメ版] 2冊 1981-09〜1981-09 ISBN0 ; bunkobon[光文社文庫コミックシリーズ] 18冊 1995-10〜1995-12-15 ISBN15 ; bunkobon[手塚治虫文庫全集] 10冊 2009-10〜2010-01 ISBN10 ; bunkobon[河出文庫] 3冊 2022-10〜2022-10 ISBN3 ; bunkobon[講談社漫画文庫] 13冊 2002-06〜2002-12 ISBN13 ; deluxe[カッパコミックスデラックス] 1冊 1965-12-05〜1965-12-05 ISBN0 ; standard[] 42冊 1965-04〜2023-01 ISBN34 ; standard[BIG COMICS SPECIAL] 7冊 2003-08〜2004-11 ISBN
A_SPLIT_WORK?	umeboshi-denka	ウメ星デンカ	2	6	sid34078(しのだひでお/藤子・F・不二雄): bunkobon[小学館コロコロ文庫] 2冊 1998-03-10〜1998-03-10 ISBN2 ; standard[The complete works of Fujiko・F・Fujio] 4冊 2011-10-30〜2012-03-28 ISBN4 ; standard[てんとう虫コミックス] 6冊 1977-05-25〜2018-05 ISBN3 ; standard[ぴっかぴかコミックス] 1冊 2006-02-05〜2006-02-05 ISBN1 ; standard[ぴっかぴかコミックス カラー版] 1冊 2006-01-05〜2006-01-05 ISBN1 | sid73817(藤子不二雄): standard[中公コミックス] 5冊 1987-08-21〜1987-12-11 ISBN5
A_SPLIT_WORK?	wild-cat	ワイルド・キャット	2	5	sid45285(雨宮淳/石ノ森章太郎): bunkobon[双葉文庫名作シリーズ] 2冊 2002-11〜2002-11 ISBN2 ; standard[プレイコミック・シリーズ] 1冊 2010-09〜2010-09 ISBN1 ; standard[石ノ森章太郎萬画大全集] 2冊 〜 ISBN0 | sid45286(石ノ森章太郎): standard[SUN WIDE COMICS] 1冊 1986-05〜1986-05 ISBN1 ; standard[サンコミックス] 3冊 1971-07-10〜1971-09-16 ISBN0
A_SPLIT_WORK?	yuka-o-yobu-umi	ユカをよぶ海	2	7	sid37109(ちばてつや): bunkobon[ちばてつや漫画文庫] 4冊 1978-03-30〜1978-06-26 ISBN0 ; standard[] 5冊 1963-08〜1963-12 ISBN0 ; standard[ちばてつや全集] 2冊 1997-07-23〜1997-09-24 ISBN2 ; standard[ホーム・コミックス] 4冊 1976-05〜1976-06-15 ISBN0 ; standard[母と娘でみる漫画名作館] 3冊 1988-07〜1988-07 ISBN2 ; standard[虫コミックス] 4冊 1968-08-25〜1968-08-25 ISBN0 | sid128158(ちばてつや/牧美也子): standard[ちばてつや全集] 1冊 1997-08-24〜1997-08-24 ISBN1
A_SPLIT_WORK?	yuuyake-banchiyou	夕やけ番長	3	7	sid31242(梶原一騎/荘司としお): standard[SUNDAY COMICS] 2冊 1968-04-25〜1968-04-25 ISBN0 ; standard[サンケイコミックス] 6冊 1986-08〜1986-11 ISBN0 ; standard[サンデーコミックス] 5冊 1968-09-20〜1969-05-30 ISBN0 ; standard[漫画名作館スペシャル] 7冊 1999-10〜2000-05 ISBN7 | sid124506(梶原一騎/荘司としお): standard[SUNDAY COMICS] 8冊 1969-08-30〜1971-04-05 ISBN0 ; standard[サンデーコミックス] 2冊 1970-03-31〜1970-03-31 ISBN0 | sid150747(梶原一騎/荘司としお): standard[サンケイコミック
A_SPLIT_WORK?	zenigata-heiji-torimonohikae	銭形平次捕物控	4	5	sid117503(野村胡堂/石森章太郎プロ): deluxe[Jump comics deluxe] 1冊 2004-06〜2004-06 ISBN1 | sid117504(野村胡堂/福田三省): bunkobon[テレビ漫画文庫] 1冊 〜 ISBN0 ; deluxe[Jump comics deluxe] 1冊 2005-04〜2005-04 ISBN1 ; standard[] 18冊 1958-12〜1958-12 ISBN0 | sid164891(シュガー佐藤/野村胡堂): standard[King series] 2冊 2009-04〜2009-04 ISBN2
B_REPRINT_MIX	0	0戦はやと	1	4	sid27575(辻なおき): standard[MANGA Shop Series] 2冊 2005-06-04〜2005-06-04 ISBN2 ; standard[サンコミックス] 5冊 1968-04-15〜1968-10-01 ISBN0 ; standard[少年コミックス] 3冊 1964-04-01〜1965-01-01 ISBN0 ; standard[辻なおき0戦シリーズ] 4冊 1973-11-01〜1973-11-01 ISBN0
B_REPRINT_MIX	akatsuki-sentoutai	あかつき戦闘隊	2	2	sid50418(園田光慶/相良俊輔): standard[MANGA Shop Series] 2冊 2005-03-05〜2005-03-05 ISBN2 | sid62432(園田光慶/相良俊輔): standard[COMIC MATE] 5冊 〜 ISBN0
B_REPRINT_MIX	apollo-no-uta	アポロの歌	1	7	sid34950(手塚治虫/阿部進): bunkobon[手塚治虫文庫全集] 1冊 2010-11〜2010-11 ISBN1 ; bunkobon[秋田文庫] 2冊 2007-11〜2007-11 ISBN2 ; bunkobon[集英社文庫] 1冊 1995-09〜1995-09 ISBN1 ; standard[] 1冊 2019-04〜2019-04 ISBN1 ; standard[COM別冊] 2冊 1971-09-15〜1971-10-15 ISBN0 ; standard[COM名作コミックス] 1冊 1973-07〜1973-07 ISBN0 ; standard[手塚治虫漫画全集] 3冊 1977-08-18〜1977-11 ISBN3
B_REPRINT_MIX	asahi-no-koibito	朝日の恋人	1	2	sid31255(かざま鋭二/梶原一騎): standard[もん・りいぶる] 2冊 2006-07〜2006-12 ISBN2 ; standard[少年チャンピオン・コミックス] 4冊 1971-08〜1973-03 ISBN0
