slug	title	adult_publishers
manga-abunai-geinoukai-dx	まんが危ない芸能界DX	コアマガジン
manga-anata-no-shiranai-zetsubou-shakai	まんがあなたの知らない絶望社会	コアマガジン
manga-ayashii-ura-shigoto	まんが怪しい裏仕事	コアマガジン
manga-fukouna-hito	まんが不幸な人	コアマガジン
manga-gokuakunin-ni-tsugu	まんが極悪人に告ぐ!!	コアマガジン
manga-gouyoku-mamire-no-ningen-file	まんが強欲まみれの人間file	コアマガジン
manga-jitsuroku-kowai-hito	まんが実録怖い人	コアマガジン
manga-jitsuwa-maddoakkusu-z	まんが実話マッドアックスZ	コアマガジン
manga-kokuhatsuhidoi-oshigoto	まんが告発!非道いお仕事	コアマガジン
manga-kowai-nippon	まんが怖い日本	コアマガジン
manga-ningenbanare-shita-kyoujintachi	まんが人間離れした狂人たち	コアマガジン
manga-ogurikyappu-monogatari	まんがオグリキャップ物語	ワニマガジン社
manner-koushi-kurosaki	マナー講師黒咲	コアマガジン
maooeru	まおーえる!	キルタイムコミュニケーション
maou-no-hajimekata	魔王の始め方	キルタイムコミュニケーション
maou-no-kodomotachi-konpuriito	魔王の子供達コンプリート	白夜書房
maou-no-kodomotachi-za-next-mireniamu	魔王の子供達the next millennium	コアマガジン
maoujou-date-daisakusen	魔王城デート大作戦!	キルタイムコミュニケーション
maria-chan-no-tsubomi	まりあちゃんのつぼみ	コアマガジン
marriage-game	マリッジ・ゲーム.	茜新社
mashou-no-ahosuta-san	マショウのあほすたさん	三和出版
masukomi-guerrilla	マスコミゲリラ	白夜書房
mesu-no-honnou	牝の本能	コアマガジン
metameta-gakuen-akademinyan	超々学園アカデミニャン	白夜書房
miaki-hitamuki	みあき♥ひたむき	エンジェル出版
midareru-megane	乱れるメガネ	オークラ出版
mietemasu-yo-aizawa-san	見えてますよ!愛沢さん	キルタイムコミュニケーション
migawari-honeymoon	身代わりハネムーン	フランス書院
migawari-nante-okotowari	身代わりなんてお断り!	一水社
mikotama	みこたま	キルタイムコミュニケーション
miku-to-neo	ミクとネオ	茜新社
milky-box	ミルキィ★ボックス	白夜書房
milky-way-1983	ミルキー・ウェイ	久保書店
miseijuku-2024	未成熟	久保書店
misokagokoro	密心	ジーオーティー
mitsumeru-manazashi	みつめるまなざし	オークラ出版
mitsurugi-haruka-kiki-ippatsu	御剣ハルカ危機一髪!	キルタイムコミュニケーション
miwaku-no-kanojo-to-xxx	魅惑のカノジョと×××!	コアマガジン
miyori-no-nai-onnanoko	身寄りのない女の子	ジーオーティー
mm-2-go	MM 2号	エンジェル出版
mobu-kara-mita-biieru	モブから見たBL	フランス書院
mobugao-reijou	モブ顔令嬢	キルタイムコミュニケーション
moeyo-tetsujin	燃えよ鉄人	ワニマガジン社
mokkai-honki-de-daite-ii	もっかい本気で抱いていい?	オークラ出版
momodatchi	ももだっち	司書房
momoiro-sankaku	桃色三角	白夜書房
momyunikeishon	もみゅにけいしょん♥	エンジェル出版
monmon	モンモン	白夜書房
monohon-honmonology	Monoほんモノロジィ	茜新社
monster-master	モンスターマスター	コアマガジン
moon-love	Moon love	コアマガジン
moriage-7	もりあげ7	エンジェル出版
motherfuckers	マザーファッカーズ	コアマガジン
motsu-chan	モッちゃん	白夜書房
mou-inai-kimi-to-wangan-o-aruite	もういない君と湾岸を歩いて	ジーオーティー
mousou-elektel	妄想エレキテル	コアマガジン
mukidou-meruhen	無軌道メルヘン	コアマガジン
mushroom-yamamoto-2003	MUSHROOM	フランス書院
musunda-koi-no-tsutaekata	結んだ恋の伝え方	コアマガジン
myuutanto-gakuen	みゅうたんと学園	ワニマガジン社
naburi-zuma	嬲り妻	エンジェル出版
naikouerosu	内向エロス	ワニマガジン社
naishobanashi	ナイショバナシ。	エンジェル出版
nakasetakute-doushiyou	泣かせたくてどうしよう	コアマガジン
namaiki-kanojo-no-shitsukekata	生意気カノジョのしつけ方	コアマガジン
name-of-love	ネーム・オブ・ラブ	コアマガジン
nanakosantekina-nichijou	菜々子さん的な日常	コアマガジン
natsuhada-no-taion	夏肌の体温	オークラ出版
natural-high	ナチュラル・ハイ	コアマガジン
nayameru-giin-no-love-kiyaku	悩める議員の恋愛規約	オークラ出版
near-death	ニア・デス	白夜書房
neko-banashi	ねこばなし	司書房
neko-no-yurikago	猫のゆりかご	フランス書院
neko-to-spica	猫とスピカ	コアマガジン
neo-magician-road	ネオ・マジシャンロード	白夜書房
nezu-san-no-ongaeshi	根津さんの恩返し	キルタイムコミュニケーション
nichijou-bitch-seitai-kansatsu	日常ビッチ性体観察	ジーオーティー
nichiyoubi-ni-kanojo-wa	日曜日に彼女は	ワニマガジン社
nietagiru-mitsu	にえたぎる蜜	久保書店
niito-dakedo-harowa-ni-ittara-isekai-ni-tsuretekareta	ニートだけどハロワにいったら異世界につれてかれた	キルタイムコミュニケーション
nikuirozukan	肉色図鑑	久保書店
nikushokujuu-no-table-manner	肉食獣のテーブルマナー	コアマガジン
ningen-ijou	人間以上	久保書店
ningyo-o-kurau-shima	人魚を喰らう島	エンジェル出版
ninja-ga-nanja	忍者がなんじゃ!!	白夜書房
ninpou-midare-karakuri	忍法乱れからくり!	フランス書院
no-step	NO STEP	久保書店
nonscale	nonscale	ワニマガジン社
norowareta-akujo-wa-shishi-no-to-ai-ni-torawareru	呪われた悪女は獣の執愛に囚われる	秋水社
not-love	Not/love	オークラ出版
notice	Notice	久保書店
nousatsu-daddy	悩殺ダディ	コアマガジン
o-b	O.B	茜新社
ochame-danetsu	おちゃめだねっ	司書房
ochikobore-taimashi-wa-isekai-kaeri-de-saikyou-to-naru	落ちこぼれ退魔師は異世界帰りで最強となる	キルタイムコミュニケーション
ochita-taiyou	堕ちた太陽	オークラ出版
odoru-omaera-to-daimeiwaku	踊るお前らと大迷惑	茜新社
off-stage-love-side	オフステージラブサイド	コアマガジン
oh-potato-boy	OH!ポテトBOY	白夜書房
ohirune	おひるね	ワニマガジン社
ohirune-chutsu	おひるねちゅっ!	ワニマガジン社
oiroke-hitozuma-yariyari-nikki	お色気人妻ヤリヤリ日記	一水社
ojamashimasu	おじゃまします	ワニマガジン社
ojou-sama-mo-majo	お嬢さまも魔女	ワニマガジン社
okamax	Okamax	ワニマガジン社
okiraku-reijou-wa-konyaku-haki-ni-hokusoemu	お気楽令嬢は、婚約破棄にほくそ笑む	キルタイムコミュニケーション
okubyou-hime-to-dekiai-naito	臆病ヒメと溺愛ナイト	フランス書院
okyan-pin	おきゃん・ピン	白夜書房
one-form	One form	キルタイムコミュニケーション
one-night-lesson	One night lesson	コアマガジン
oneekei-yakuza-ni-maiban-dekiai-dekiaisaretemasu	オネエ系ヤクザに毎晩溺愛されてます	フランス書院
onihime-vs	鬼姫vs	キルタイムコミュニケーション
onmyouji-to-tengugan	陰陽師と天狗眼	キルタイムコミュニケーション
onna-kyoushi-saiko-2002	女教師綾子2002	フランス書院
onnanoko-de-etosetora	女の子deエトセトラ	コアマガジン
onnanoko-haru-natsu-aki-fuyu	おんなのこはるなつあきふゆ	オークラ出版
onnanoko-wa-tokubetsukyou	女の子は特別教	コアマガジン
onzoushi-wakeari-no-shomin-o-oki-ni-mesu	御曹司、ワケありの庶民をお気に召す。	ジーオーティー
ookii-ganbare-douki-chan	おおきい!がんばれ同期ちゃん	ジーオーティー
oppai-festival	おっぱい♥フェスティバル	エンジェル出版
oppai-no-onee-san	おっぱいのお姉さん	エンジェル出版
orange-2002	Orange	フランス書院
ore-no-tame-dake-ni-naite	俺のためだけに鳴いて?	フランス書院
ore-to-atashi-to-shinsekai	オレとあたしと新世界	オークラ出版
oretachi-no-paizuriina	俺たちのパイズリーナ	エンジェル出版
osaka-itemae-surottaa-manmai-kun	大阪いてまえスロッター万枚くん	白夜書房
osananajimi-no-yabasugiru-aishikata	幼なじみのヤバ過ぎる愛し方	オークラ出版
osewa-yakimasu	オセワヤキマス	コアマガジン
oshi-ni-ninchi-shite-morau-tame-ni-idol-hajimemashita	推しに認知してもらうためにアイドル始めました。	キルタイムコミュニケーション
oshigoto-heaven	おしごと天国	エンジェル出版
otohime-diver	乙姫ダイバー	ジーオーティー
otome-game-no-akuyaku-reijou-ni-tensei-shitakedo-follower-ga-fukyou-shiteta-chishiki-shika-nai	乙女ゲームの悪役令嬢に転生したけどフォロワーが布教してた知識しかない	キルタイムコミュニケーション
otona-keikenchi	オトナ経験値	コアマガジン
otona-nanka-daikkirai	オトナなんかだいっきらい!!	白夜書房
otona-ni-nattemo-2008	大人になっても	コアマガジン
otsuki-sama-no-kaerimichi	おつきさまのかえりみち	ワニマガジン社
otsureai	おつれあい	ジーオーティー
ou-sama-no-kaikata	王様の飼い方	三和出版
ou-sama-no-koiasobi	王様の恋あそび	コアマガジン
ouji-sama-nante-kocchi-kara-negaisage-desuwa	王子様なんて、こっちから願い下げですわ!	キルタイムコミュニケーション
outreach	アウトリーチ	キルタイムコミュニケーション
owaru-sekai-no-sora-no-shita	終わる世界の空の下	オークラ出版
oyaji-no-wakusei	おやじの惑星	白夜書房
oyajiman	おやじマン	ワニマガジン社
oyome-ni-oideyo	お嫁においでよ!	オークラ出版
pachinko-niwa-chotto-hitokoto-iwasete-moraitai	パチンコにはちょっとひとこといわせてもらいたい	白夜書房
pachiratchi	パチラッチ	白夜書房
pachislo-bakappuru	パチスロバカップル	白夜書房
pachislo-diohead	パチスロダイオヘッド	白夜書房
pachisuro-115-bangai	パチスロ115番街	白夜書房
pachisuro-de-atta-zenbu-umai-hanashi	パチスロであった全部旨い話	白夜書房
pachisuro-hitoritabi	パチスロひとり旅	白夜書房
pachisuro-hitoritabi-gold	パチスロひとり旅GOLD	白夜書房
page-1	Page 1	白夜書房
pan-parade	パンパレード	コアマガジン
papakon	ぱぱこん	文苑堂
para-izo	ぱら★いぞ	ワニマガジン社
paradise-in-harem	パラダイスインハーレム	コアマガジン
pasotora	パソトラ	キルタイムコミュニケーション
pasotora-sp	パソトラSP	キルタイムコミュニケーション
pathos	PATHOS	オークラ出版
pegimin-h	Pegimin H	フランス書院
pet-boy-s	Pet-boy's	司書房
pez	PEZ	ワニマガジン社
phantom-shooter-io	ファントムシューター・イオ	白夜書房
pink-adams	ピンクアダムス	三和出版
pink-depend	ピンク・ディペンド	ジーオーティー
pink-royal	ピンクロイヤル	ジーオーティー
pittosporum	ピットスポルム	ジーオーティー
platonic-animal	プラトニックアニマル	オークラ出版
plus-alpha	ぷらすアルファ	ジーオーティー
pochamusume-wa-koakuma-muubu-ga-yamerarenai	ぽちゃ娘は小悪魔ムーブがやめられない	キルタイムコミュニケーション
ponkotsu-akuyaku-reijou-wa-haraguro-doesu-ouji-ni-aisareru	ポンコツ悪役令嬢は腹黒ドS王子に愛される	キルタイムコミュニケーション
ponkotsu-megami-no-isekai-souseiroku	ポンコツ女神の異世界創世録	キルタイムコミュニケーション
ponkotsu-reijou-ni-tensei-shitara-mofumofu-kara-ouji-no-meshiuma-yome-ni-ninmei-saremashita	ポンコツ令嬢に転生したら、もふもふから王子のメシウマ嫁に任命されました	キルタイムコミュニケーション
powered-miyuchan	POWERED MIYUCHAN	久保書店
powerful-mazegohan	パワフル☆まぜごはん	白夜書房
present-1983	プレゼント	久保書店
pretty-cat-s-show-time	PRETTY CAT'S SHoW TIME	コアマガジン
pumpkin	パンプキン	白夜書房
pure-pure-2006	PURE-PURE!	一水社
pure-rabu-rabo	純愛ラボ	エンジェル出版
putchin-fruits	ぷっちんフルーツ	オークラ出版
q-no-majo-den	Qの魔女伝	ワニマガジン社
rabupuni-joshikai	らぶぷに女子会	エンジェル出版
raburetaa-from-jigoku	ラブレターフロム地獄	久保書店
raki-kuri	ラキ + クリ	エンジェル出版
rakuda-ga-warau	ラクダが笑う	ワニマガジン社
ranpo-amuneshia-nijuuichi-banme-no-jinkaku	乱歩アムネシア二十一番目の人格	コアマガジン
red-dragon	Red dragon	ヒット出版社
reflex-1987	Reflex	白夜書房
refrain-1992	リフレイン	白夜書房
reijou-kishi-wa-tenseisha	令嬢騎士は転生者	キルタイムコミュニケーション
rein	Rein	コアマガジン
reinou-tantei-miko	霊能探偵ミコ	ワニマガジン社
remodeling	りもで・りんぐ	ジーオーティー
rengokujima	恋獄島	キルタイムコミュニケーション
renkashou	恋華抄	コアマガジン
reppuutai-soudouki	烈風隊騒動記	白夜書房
ressuru-ji-andaaguraundo	レッする!ジ・アンダーグラウンド	キルタイムコミュニケーション
ritou-no-umi	りとうのうみ	ワニマガジン社
road-of-the-wedding	ロード・オブ・ザ・ウェディング	ジーオーティー
rokugatsu-no-oka-no-hinageshi	六月の丘のひなげし	コアマガジン
rokujou-hitoma	六畳一魔	キルタイムコミュニケーション
romantic-nishida-2020	ロマンティック	茜新社
romantic-porno	ロマンチックポルノ	コアマガジン
rose-x-marie	ローズ×マリー	キルタイムコミュニケーション
ryouki-deka-marusai	猟奇刑事マルサイ	コアマガジン
saachi-toripuru	さーちとりぷる	エンジェル出版
sabi-no-yume	錆のゆめ	フランス書院
saikyou-majutsushi-no-ijou-naru-toubou-seikatsu	最凶魔術師の異常なる逃亡生活	キルタイムコミュニケーション
saikyou-no-youhei-shoujo-no-gakuen-seikatsu	最強の傭兵少女の学園生活	キルタイムコミュニケーション
sajou-rihito-no-chichi-to-sono-buka	佐条利人の父とその部下	茜新社
sakura-2020	さくら	ティーアイネット
sakura-hanayashiki	桜・ハナヤシキ	ワニマガジン社
sakura-no-hanamichi	さくらのはなみち	ジーオーティー
sakura-no-kuchibiru	さくらのくちびる	オークラ出版
sangokushi-f	三国志F	コアマガジン
sarasouju	沙羅双樹	白夜書房
sasotte-hoshiiyon	誘ってほしいよん	ワニマガジン社
school-girl	スクールガール	コアマガジン
secret-lady	シークレットレディ	久保書店
secret-school	シークレットスクール	コアマガジン
sedouka	SEDOUKA	ワニマガジン社
seidon-no-ryuu	世呑の竜	キルタイムコミュニケーション
seifuku-otoko	征服男子。	オークラ出版
seikatsu-shidou-ai-no-namaiki-lesson	性活指導・愛の生イキレッスン	コアマガジン
seinaru-shisou	性なる死想	久保書店
seishoujo	聖少女	久保書店
seiso-na-kanojo-ga-nikushoku-joshi-tte-hontoudesuka	清楚な彼女が肉食女子って本当ですか?	コアマガジン
seiso-na-kurokami-bishoujo-to-asa-kara-ban-made-etchi-na-date	清楚な黒髪美少女と朝から晩までエッチなデート♥	コアマガジン
seitansai	聖誕祭	茜新社
seitarounokoi	青太郎の恋	司書房
seiyoku	性欲。	エンジェル出版
sekai-no-hate-no-juunanasai	世界の果ての十七歳	コアマガジン
sekkachi-pin-chan	せっかちピンちゃん	白夜書房
sekuhara-gakuen	セクハラ学園	コアマガジン
senpuu-no-iriya	旋風のイリヤ	フランス書院
servant	SERVANT	フランス書院
sex-chan	セックスちゃん	ジーオーティー
sexy-danyuu-no-tachibana-san-ni-aisaresugite-komattemasu	セクシー男優の橘さんに、愛されすぎて困ってます!	オークラ出版
shangurira-no-tori	シャングリラの鳥	フランス書院
shiboridashi	しぼりだし	文苑堂
shiitagerare-seijo-to-itto-koushaku-kari-hajime-kon-nohazu-ga-dekiai-s	虐げられ聖女と一途公爵 仮初め婚のはずが、溺愛されています	ジーオーティー
shima-no-oto	しまのおと	ジーオーティー
shin-hanayome-wa-juunanasai	新・花嫁は十七歳	オークラ出版
shinde-mo-omae-o-hanasanai	死んでもお前を離さない	オークラ出版
shinmai-renkinjutsushi-no-tenpo-keiei	新米錬金術師の店舗経営	キルタイムコミュニケーション
shinogi	シノギ	白夜書房
shinonome-tantei-ibunroku	東雲探偵異聞録	茜新社
shinpen-o-kiyometekara-denaoshitekudasaimase	身辺を清めてから出直してくださいませ	秋水社
shinsekai-blood-street	新世界ブラッドストリート	白夜書房
shippo-no-ki-mochi	しっぽのきもち	オークラ出版
shishunki-na-adam	思春期なアダム	キルタイムコミュニケーション
shisubare	しすばれ	キルタイムコミュニケーション
shisukore	しすこれ	コアマガジン
shizuku-no-en	雫の艶	オークラ出版
shojohime	処女姫	コアマガジン
shokushuhime	触手姫	キルタイムコミュニケーション
shoujo-gensou-ayashi-no-nishikie	少女幻想怪錦絵	ワニマガジン社
shoujo-gensou-necrophilia	少女幻葬ネクロフィリア	キルタイムコミュニケーション
shoujo-guitar-o-hiku	少女、ギターを弾く	ワニマガジン社
shoujo-mandala	少女曼陀羅	久保書店
shoujo-no-enikki	少女の絵日記	久保書店
shoujo-no-kisetsu-hanaka	少女の季節	久保書店
shoujonoshinwa	少女の神話	久保書店
shounen-heroine	少年ヒロイン	オークラ出版
shouwa-maboroshi-wasuregataki-yatsutachi	昭和まぼろし忘れがたきヤツたち	ジーオーティー
shugaapotto-e-youkoso	シュガーポットへようこそ	エンジェル出版
shugaapotto-no-koibito	シュガーポットの恋人	エンジェル出版
shuki-shuki-daishuki-san	しゅきしゅき大手記さん	ジーオーティー
skip-a-sweet-baby	Skip,a sweet baby	コアマガジン
sleeping-beauty-clinic	Sleeping beauty clinic	白夜書房
sleeping-dead	スリーピングデッド	フランス書院
sometimes-blue	サムタイムズ・ブルー	ジーオーティー
sono-egao-ni-boku-no-yokkyuu-ha-genkai-toppa-shisou-desu	その笑顔に僕の欲求は限界突破しそうです?	コアマガジン
sono-koe-niwa-aragaenai	その声には抗えない	ジーオーティー
sora-kakeru-junjou	宇宙かける純情	久保書店
sora-to-hara	空と原	茜新社
sore-o-ai-dato-omounayo	それを愛だと思うなよ	オークラ出版
sore-wa-owaranai-koi-ni-naru	それは終わらない恋になる	一水社
soreike-chanpon	それいけ!!ちゃんぽん	ワニマガジン社
sotsugyousei	卒業生	茜新社
soukan-no-akai-kashi	相姦の赤い河岸	エンジェル出版
speed-yamamoto	SPEED	ワニマガジン社
spiral-over	スパイラル・オーヴァ	コアマガジン
stag-party	スタッグ・パーティー	白夜書房
study-after-school	STUDY AFTER SCHOOL	コアマガジン
suchuwaadesu-kanako-no-himitsu	スチュワーデス・加奈子のひみつ	フランス書院
suede-kirsch	スゥエード・キルシュ	白夜書房
suguru-kun-fight	スグルくんファイト!	コアマガジン
suiheisen-wa-yagate-matataku	水平線はやがて瞬く	フランス書院
suki-dakara-uso-o-tsukimashita	好きだから嘘をつきました	一水社
suki-dakedo-suki-dakara	好きだけど好きだから	ティーアイネット
sukidesu-to-surechigai	すきですとすれちがい	久保書店
sukimono-kyonyuu-oku-sama-tengoku	スキモノ!巨乳奥様天国	一水社
surf-trip-boys	Surf trip boys?	オークラ出版
susume-kaijin-club	進め!怪人くらぶ	キルタイムコミュニケーション
susumu-x-minoru	ススム×ミノル	ジーオーティー
suteishi-yuusha-maou-no-moto-de-restart	捨て石勇者、魔王の下でリスタート	キルタイムコミュニケーション
suzume-kun-no-koe	すずめくんの声	ジーオーティー
sweet-body-o-meshiagare	スイートボディを召しあがれ	オークラ出版
sweet-darling	すうぃーとダーリン	オークラ出版
sweet-sailor	Sweet・sailor	コアマガジン
sweetest-tripper	SWEETEST-TRIPPER	オークラ出版
tadaima-heart-konsen-chuu	ただいまハート❤混線中	白夜書房
tadokoro-san	田所さん	キルタイムコミュニケーション
taekwondoer-park	テコンダー朴	コアマガジン
taishou-karisomekon	大正仮初婚	秋水社
takanashi-kun-no-hanbun-wa-sado-de-dekiteimasu	高梨くんの半分はサドでできています	オークラ出版
takatora-kun-to-omegatachi	鷹虎くんとオメガたち	フランス書院
take-the-a-train	TAKE THE “A”TRAIN	ワニマガジン社
tarot-maiden-kisara	タロットメイデンきさら	キルタイムコミュニケーション
teens-paradise	ていーんず・パラダイス	司書房
teiitaimu	ティータイム	白夜書房
teisou-gyakuten-sekai	貞操逆転世界	キルタイムコミュニケーション
tenbaiyaa-kaneki-kun	テンバイヤー金木くん	ジーオーティー
tennen-na-koroshiya-san-to-fuun-na-oyome-san	天然な殺し屋さんと不運なお嫁さん〈仮〉	フランス書院
tenzen-momoko-sakuhinshuu	天禅桃子作品集	コアマガジン
the-drugs-dont-work	ザ・ドラッグス・ドント・ワーク	ジーオーティー
the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	白夜書房
tobidasu-mousou	飛び出す妄想	久保書店
tokyo-dungeon-shimai	東京ダンジョン姉妹	ワニマガジン社
tokyo-kazoku-2019	東京家族	茜新社
tokyo-nyuusei-kanrikyoku	東京入星管理局	ジーオーティー
tokyo-shinjuu-2013	東京心中	茜新社
tokyo-tenshi	東京天使	三和出版
tonari-no-hitozuma-ooya-san	隣の人妻大家さん	エンジェル出版
toppatsuteki-kurieito-family	突発的クリエイトファミリー	ジーオーティー
toriotoko-vs-sukuuruzamurai	鳥男vsスクール侍	コアマガジン
toshishita-joushi-to-torotoro-onsen	年下上司とトロトロ温泉	フランス書院
toshishita-kun-ga-asa-made-hanashite-kuremasentsu	年下くんが朝まで離してくれませんっ!	フランス書院
toshokan-no-yousei	図書館の妖精	司書房
totsugeki-kuratama-24-ji	突撃くらたま24時	白夜書房
toutto-de-apero	トゥットでアペロ	キルタイムコミュニケーション
towa-ni-miru-yume	とわにみるゆめ。	ワニマガジン社
trance	Trance	ワニマガジン社
triangle-mysterian	トライアングルミステリアン	白夜書房
trouble-evocation	Trouble evocation	茜新社
trouble-maker-2002	トラブルメイカー	コアマガジン
tsubaki-kun-no-netsu-ni-oboretai	椿くんの熱におぼれたい	ジーオーティー
tsugomori-no-toorimichi	つごもりの通り道	茜新社
tsuki-ni-koishite	月に恋して	エンジェル出版
tsuki-o-aishite	月を愛して	エンジェル出版
tsukikoi	月恋	コアマガジン
tsumugi-to-himitsu-no-amai-mission	つむぎと秘蜜の甘いミッション	フランス書院
tsuyameku-yami-to-oboreru-hikari	艶めく闇と溺れる光	キルタイムコミュニケーション
tsuzuraori	九十九織	コアマガジン
turbo-lover	TURBO LOVER	ワニマガジン社
twins	TWINS	茜新社
twins-sing	ツインズシング	ジーオーティー
two-sides-of-the-same-coin	Two sides of the same coin	フランス書院
uchuu-no-housoku-sekai-no-kihon	宇宙の法則世界の基本	コアマガジン
ultra-m	ウルトラ-M	白夜書房
ultra-sword	Ultra sword	コアマガジン
uma-uma	UMA・UMA	白夜書房
umibe-no-byouin-de-kanojo-to-hanashita-ikutsuka-no-koto	海辺の病院で彼女と話した幾つかのこと	キルタイムコミュニケーション
unbalance-2	アンバランス×2	キルタイムコミュニケーション
unbalance-kakeru-3	アンバランス×3	キルタイムコミュニケーション
under-point	UNDER POINT	ヒット出版社
unmei-wa-boku-no-tonari	運命は僕の隣	コアマガジン
unmei-wa-maigo	運命は迷子	コアマガジン
unperfect-teacher	アンパーフェクト・ティーチャー	コアマガジン
uranaishi-niwa-hana-kishi-no-koigokoro-ga-miete-imasu	占い師には花騎士の恋心が見えています	キルタイムコミュニケーション
ushinawareta-toki-o-motomete	失われた時を求めて	白夜書房
usotsukina-kimi-no-toriko	嘘つきなキミの虜	オークラ出版
utopolis	ユトポリス	ジーオーティー
utsunara-kataneba	打つなら勝たねば	白夜書房
uwaki-acme	浮気アクメ	ジーオーティー
uwasa-no-ouji-sama	うわさの王子様	オークラ出版
valkyrie	ワルキューレ	久保書店
valkyrie-romantsue	ワルキューレロマンツェ	キルタイムコミュニケーション
vanilla-resort	バニラリゾート	コアマガジン
versus-earth-alternative	バーサスアース・オルタナティブ	久保書店
virgin-pachisuro	ゔぁーじんパチスロ	白夜書房
wagamamana-otoko	わがままな男	オークラ出版
waka	若!!	コアマガジン
wanko-to-nyanko	わんことにゃんこ	コアマガジン
wanwan-otou-san-kiwami	わんわんお義父さん極	キルタイムコミュニケーション
warukute-hna-oji-sama-wa-are-mo-yappari-sugoindesu	ワルくてHなオジサマは、アレもやっぱり凄いんです!	オークラ出版
wasureru-otoko	忘れる男	フランス書院
watashi-o-kanrishitanowa-dosna-aitsu	私を管理したのは…ドSなアイツ	オークラ出版
watashi-o-sukisugiru-yuusha-sama-o-riyou-shite-konsei-koso-nagaiki-suru-tsumori-datta-noni	私を好きすぎる勇者様を利用して、今世こそ長生きするつもりだったのに〈多分、また失敗した〉	キルタイムコミュニケーション
watashi-to-neta-hito-dare-desu-ka	私と寝た人、誰ですか!?	フランス書院
watashitachi-wa-moto-joshi-desu	私たちは元女子です	ジーオーティー
wine-color-monogatari	ワインカラー物語	白夜書房
witch-hunter	ウィッチハンター	キルタイムコミュニケーション
wrestle-idol	レッする!アイドル	キルタイムコミュニケーション
yaeba-no-maria-chan	八重歯のまりあちゃん	コアマガジン
yajuu-shitsuji-no-ikenai-shitsuke	野獣執事のイケナイ躾け	オークラ出版
yakara-to-donkan	輩と鈍感	フランス書院
yakuza-ga-tensei-shitara-mori-ranmaru-datta-ken	ヤクザが転生したら森蘭丸だった件	キルタイムコミュニケーション
yami-ni-naku-hikari	闇に哭く光	オークラ出版
yankee-akuyaku-reijou	ヤンキー悪役令嬢	キルタイムコミュニケーション
yannoka-koratsu	やんのかコラッ	白夜書房
yareru-app	ヤレるアプリ	エンジェル出版
yaritaikei-gal-to-tenage-etchi	ヤりたい系ギャルとテンアゲえっち	コアマガジン
yatouki	夜盗姫	司書房
yogore-hime	汚レ姫	久保書店
yoi-nori	ヨイ×ノリ	コアマガジン
yoichi-to-tsugumo	与一とツグモ	フランス書院
yoiko-no-uta	よいこの唄	コアマガジン
yokan	予感	オークラ出版
yokubou-pandora	欲望パンドラ	ジーオーティー
yome-nusubito	ヨメヌスビト	オークラ出版
yomigaeru-konekotachi	よみがえる子猫たち	ジーオーティー
yomoyama-byouin-he-doozo	よもやま病院へどーぞ!	ワニマガジン社
yoru-no-kyoushitsu	よるの教室	コアマガジン
yoru-o-hashirinukeru	夜を走り抜ける	オークラ出版
yoshitsune-kagemaru	義経	ワニマガジン社
yotsumoji	よつもじ。	コアマガジン
yotsuya-koidan	四ツ谷恋談。	コアマガジン
you-are-my-religion	You are my religion	オークラ出版
youka-san-ga-nameru	八日さんが舐める	ジーオーティー
your-eyes-only	Your eyes only	ワニマガジン社
yukemuri-journey	湯けむりジャーニー	オークラ出版
yumemiru-haken-ichigo-chan	夢見る派遣苺ちゃん	エンジェル出版
yuri-fetish-life	百合フェチLIFE	ジーオーティー
yuri-rabu-slave	百合ラブスレイブ	キルタイムコミュニケーション
yuucha-to-maou	ゆーちゃと魔王	ジーオーティー
yuureiou	幽霊王	キルタイムコミュニケーション
yuusha-sama-no-oshishou-sama	勇者様のお師匠様	キルタイムコミュニケーション
yuusha-sama-wa-houshuu-ni-hitozuma-o-go-kibou-desu	勇者さまは報酬に人妻をご希望です	ジーオーティー
yuuwaku-recipe	誘惑レシピ	コアマガジン
zero-2009	ZERO-始まりの章ー	キルタイムコミュニケーション
zettai-fuhatsu-atomikku-girl	絶対不発アトミックガール	キルタイムコミュニケーション
ziggurat	Ziggurat	キルタイムコミュニケーション
zodiac-lovers	Zodiac lovers	ワニマガジン社
