tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	kekkon-no-real	結婚のリアル	seed4	0	bunkobon	文庫版	YOU漫画文庫	1	LEAD	9784087852318	2002-01	結婚のリアル(vol.1)	島津郷子	集英社	o	o	o	x	o	9784087				2	9784087852325	2002-01	集英社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	kick-ass	キック・アス	seed4	0	standard	通常版	ShoPro Books	1	LEAD	9784796870818	2010-11	KICK-ASS	マーク・ミラー/ジョン・ロミータ	小学館集英社プロダクション	o	o	o	o	o	9784796				2	9784796871976	2014-04	小学館集英社プロダクション	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	mikan-enikki-tokubetsuhen	みかん・絵日記 特別編	seed4	0	standard	通常版	花とゆめCOMICS	1	LEAD	9784592171171	2001-06-05	みかん・絵日記特別編(第1巻)	安孫子三和	白泉社	o	o	o	o	o	9784592				2	9784592171188	2002-05-10	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	mitarai	ミタライ	seed4	0	standard	通常版	モーニングKC	1	LEAD	9784063871852	2013-01	ミタライ : 探偵御手洗潔の事件記録. 1	原, 点火	講談社	o	o	o	x	o	9784063				2	9784063872453	2013-10-23	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	seed4	0	bunkobon	文庫版	白泉社文庫	1	LEAD	9784592182115	2005-01	なんて素敵にジャパネスク人妻編(第1巻)	山内直実/氷室冴子	白泉社	o	o	o	o	o	9784592				5	9784592890553	2014-09-17	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	seed4	0	bunkobon	文庫版	白泉社文庫	2	LEAD	9784592182221	2005-07	なんて素敵にジャパネスク人妻編(第2巻)	山内直実/氷室冴子	白泉社	o	o	o	o	o	9784592				5	9784592890553	2014-09-17	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	seed4	0	bunkobon	文庫版	白泉社文庫	3	LEAD	9784592182238	2006-02	なんて素敵にジャパネスク人妻編(第3巻)	山内直実/氷室冴子	白泉社	o	o	o	o	o	9784592				5	9784592890553	2014-09-17	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	seed4	0	bunkobon	文庫版	白泉社文庫	4	LEAD	9784592182245	2006-10	なんて素敵にジャパネスク人妻編(第4巻)	山内直実/氷室冴子	白泉社	o	o	o	o	o	9784592				5	9784592890553	2014-09-17	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	rouran-mappou-emaki	狼蘭末法絵巻	seed4	0	standard	通常版	プリンセスコミックス	1	LEAD	9784253077422	1999-09	狼蘭末法絵巻. 1	桟敷, 美和	秋田書店	o	o	o	o	o	9784253				2	9784253077439	2000-04	秋田書店	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	supuun-oba-san	スプーンおばさん	seed4	0	standard	通常版	GKコミックス	2	MID	9784051005931	1983-05	スプーンおばさん(第2巻)		Gakken	o	o	o	?	o	9784051	1	9784051005924	1983-05	3	9784051007010	1983-08	学習研究社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
