slug	title	authors	year	publisher	total_volumes
shin-ranchesutaa-senryaku	新ランチェスター戦略	佐藤けんいち	1987	(unknown)	8
maji	本気!	立原あゆみ	1987	akita	74
crescent	CRESCENT	葉月しのぶ	1988	tokyo-sanseisha	20
help	HELP	御茶漬海苔	1988	tokyo-sanseisha	3
enueichikei-manga-chikyuu-daikikou	NHKまんが地球大紀行	ひきの真二	1988	shogakukan	2
shion	Shion	衣谷遊	1988	tokyo-sanseisha	2
osomatsu-kun	おそ松くん	赤塚不二夫	1988	kodansha	60
himitsu-de-naito	ひ・み・つでナイト	折原みと	1988	jitsugyo-no-nihon	2
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	山本まゆり	1988	asahi-sonorama	27
mikio-to-mikio	みきおとミキオ	藤子・F・不二雄・佐々木多利尓	1988	chuokoron	3
mikosuri-gekijou	みこすり半劇場	岩谷テンホー	1988	bunkasha	18
ruriiro-princess	るり色プリンセス	折原みと	1988	jitsugyo-no-nihon	5
out	アウト	麻生歩	1988	fujimi-shobo	13
saibaa-comics	サイバーコミックス	こやま基夫	1988	(unknown)	3
doctor-hankotsui	ドクター反骨医	根本テツヤ	1988	nihon-bungeisha	18
perman	パーマン	藤子・F・不二雄	1988	shogakukan	14
bikkuriman-omoshirorando	ビックリマン おもしろランド	菅野誠一	1988	akita	4
bikkuriman-omoshiro-land	ビックリマンおもしろランド	企画者104	1988	akita	2
manga-ningen-no-jouken	マンガ人間の條件	石川森彦	1988	(unknown)	2
red-mask	レッドマスク	横山光輝	1988	shogakukan	4
ningen-no-jouken	人間の條件	石川森彦	1988	(unknown)	2
gekiga-shousetsu-yoshida-gakkou	劇画 小説吉田学校	さいとう・たかを	1988	(unknown)	17
hei-no-naka-no-korinai-menmen	塀の中の懲りない面々	土山しげる	1988	shonen-gahosha	2
shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	叶精作	1988	koike-shoin	22
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	叶精作	1988	koike-shoin	22
myououden-rei	明王伝レイ	菊池としを	1988	kodansha	15
nagi	椰	流水凜子	1988	tairiku-shobo	10
hana-takeda-1988	花	武田京子	1988	shogakukan	9
wakaoku-sama-wa-udemakuri	若奥さまは腕まくり!	新井雅人	1988	wani-books	2
fuuhai-ni-kike	風牌に訊け	嶺岸信明	1988	kasakura-shuppan	5
marubou-kabushikigaisha	〔○暴〕株式会社	緒方恭二	1989	houbunsha	25
canon-1989	カノン	手塚治虫	1989	daitosha	2
shippo-ga-tomodachi	シッポがともだち	桜沢エリカ	1989	shueisha	11
hardboiled-daddy	ハードボイルド・ダディ	石原浩平	1989	shueisha	2
lemon-kids	レモンキッズ	AKIRA	1989	(unknown)	6
ningen-korogashi	人間ころがし	山藤章二	1989	kodansha	2
gekiga-ningen-kakumei	劇画人間革命	石井いさみ	1989	(unknown)	55
nomizukushi-sakezukushi	呑みづくし酒づくし	まきのこうじ	1989	(unknown)	3
youma-no-fuuin	妖魔の封印	葉月しのぶ	1989	tokyo-sanseisha	22
obi-o-gyutto-ne	帯をギュッとね!	河合克敏	1989	shogakukan	60
tokyo-monogatari	東京物語	いしかわじゅん	1989	shueisha	8
green-no-kifujin	芝の貴婦人	平野仁	1989	kodansha	3
kozame-kaikyou	虎鮫海峡	新谷かおる	1989	akita	2
ariel-comic	ARIEL COMIC	笹本祐一	1990	asahi-sonorama	5
nagisa	NAGISA	村上もとか	1990	shogakukan	3
shoichi	Shoichi	神田たけ志・柳史一郎	1990	takeshobo	8
ushio-to-tora	うしおととら	藤田和日郎	1990	shogakukan	62
nee-try-shite	ねえトライ（try）して!	かわだ寛	1990	futabasha	2
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	はた万次郎	1990	shueisha	7
captain-kid	キャプテンキッド	宇野比呂士	1990	kodansha	19
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	1990	square-enix	22
power-bomb-theater	パワーボムtheater	青山広美	1990	leed	3
pin-pin-pin	ピン!ピン!ピン!	大島岳詩	1990	leed	2
kyou-kara-ore-wa	今日から俺は!!	西森博之	1990	shogakukan	68
shi-no-white-magic	死のホワイトマジック	門松巧大	1990	kodansha	4
kenrou-densetsu	犬狼伝説	藤原カムイ	1990	nihon-shuppansha	2
seiden-rg-veeda	聖伝 RG VEDA	CLAMP	1990	shinshokan	8
hana-no-deka	花の慶次	原哲夫	1990	shueisha	41
shamo-1990	軍鶏	篠原とおる	1990	leed	4
seishun	青春	国友やすゆき	1990	futabasha	18
quartet	かるてっと	山花典之	1991	shueisha	2
mameda-sensei	まめだ先生	高知市浦戸小学校5年・高知市浦戸小学校6年一同	1991	(unknown)	2
manga-girishia-shinwa-1991	まんがギリシア神話	石原しゅん	1991	(unknown)	4
watashi-ga-mama-yo	わたしがママよ	森本梢子	1991	shueisha	8
image	イマージュ	すたんだっぷ	1991	byakuya-shobo	14
keirin-yarou	ケイリン野郎	くさか里樹	1991	shogakukan	55
jiimago-rhapsody	ジイマゴらぷそでぃー	高井研一郎・浅野拓	1991	leed	3
basutaado	バスタード	萩原一至・岸間信明	1991	shueisha	6
waibaan-no-kodomotachi	ワイバーンの子供たち	和由宇子	1991	tokyo-sanseisha	4
oedo-hankachou-tansakuya-gai	大江戸犯科帖 探索屋ガイ	さいとう・たかを	1991	leed	2
