slug	題	巻書誌に無い著者	頁の巻数	照合できた巻数	巻書誌にある著者	reason
20-seiki-shounen-no-wakiyaku	20世紀少年の脇役	浦沢直樹	1	1	ウジオ / ウジコ / 浦沢 / 浦沢直樹ウジコウジオ / 直樹	
21-seiki-no-tame-no-azuma-hideo	21世紀のための吾妻ひでお	吾妻ひでお	1	1	ひでお / 吾妻 / 吾妻ひでお山本直樹 / 山本 / 直樹	
21-seiki-no-tame-no-azuma-hideo	21世紀のための吾妻ひでお	山本直樹	1	1	ひでお / 吾妻 / 吾妻ひでお山本直樹 / 山本 / 直樹	
21seiki-21-ga-taishou-selection	21世紀マンガ大賞セレクション	八坂麻美子	1	1	金田一蓮十郎	
21seiki-21-ga-taishou-selection	21世紀マンガ大賞セレクション	戸土野正内郎	1	1	金田一蓮十郎	
21seiki-21-ga-taishou-selection	21世紀マンガ大賞セレクション	有楽彰展	1	1	金田一蓮十郎	
28sai-hatsutaiken	28歳、初体験。	夏葉ヤシ	1	1	アンソロジー	
28sai-hatsutaiken	28歳、初体験。	本崎月子	1	1	アンソロジー	
28sai-hatsutaiken	28歳、初体験。	芳村かなみ	1	1	アンソロジー	
28sai-hatsutaiken	28歳、初体験。	西園寺みちる	1	1	アンソロジー	
2gether	2gether	JittiRain	4	4	ひろまさ / ジッティレイン / 佐々木 / 奥嶋 / 奥嶋ひろまさジッティレイン佐々木紀 / 奥嶋ひろまさ佐々木紀ジッティレイン / 紀	
2gether	2gether	奥嶋ひろまさ	4	4	ひろまさ / ジッティレイン / 佐々木 / 奥嶋 / 奥嶋ひろまさジッティレイン佐々木紀 / 奥嶋ひろまさ佐々木紀ジッティレイン / 紀	
30-days-naito	30デイズ・ナイト	ジョシュ・メドース	1	1	テンプルスミス / ベン / ベンテンプルスミス	
30-days-naito	30デイズ・ナイト	スティーブ・ナイルズ	1	1	テンプルスミス / ベン / ベンテンプルスミス	
30-days-naito	30デイズ・ナイト	チー	1	1	テンプルスミス / ベン / ベンテンプルスミス	
300	スリーハンドレッド	MillerFrank	1	1	フランク / フランクミラ-リンヴァ-リイ / ミラ- / リン / ヴァ-リイ	
300	スリーハンドレッド	フランク・ミラー	1	1	フランク / フランクミラ-リンヴァ-リイ / ミラ- / リン / ヴァ-リイ	
365ho-no-ryuuta	365歩の竜太	環ちひろ	2	2	たまきちひろ	
365ho-no-ryuuta	365歩の竜太	矢島正雄	2	2	たまきちひろ	
37-sekanzu	37セカンズ	栗原陽平	2	2	HIKARI / 栗原 / 栗原陽平HIKARI / 陽平	
3b-no-koibito	3Bの恋人	朝日放送株式会社	4	4	LINEマンガ / LINEマンガ朝日放送テレビ横山もよ / 朝日放送テレビ / 横山もよ	
3gatsu-no-lion	3月のライオン	先崎学	18	18	チカ / 羽海野 / 羽海野チカ	
4-gun-kun-kari	4軍くん〈仮〉	末広光	13	13	光 / 夕次 / 末広 / 末広光森高夕次 / 森高	
4-gun-kun-kari	4軍くん〈仮〉	森高夕次	13	13	光 / 夕次 / 末広 / 末広光森高夕次 / 森高	
4-koma-youkai-watch-geragera-manga-gekijou	4コマ妖怪ウォッチゲラゲラマンガ劇場	ココナス☆ルンバ	3	3	ココナス / ココナスルンバレベルファイブ / ルンバ / レベルファイブ	
4-nigamisama-to-4nin-no-kanojo	死神様と4人の彼女	ChuN	3	3	CHuN / CHuN巣山真 / CHuN（FriendlyLand） / 巣山真 / 巣山真CHuN（FriendlyLand）	
4000-nenburi-ni-kikan-shita-dai-madoushi	4000年ぶりに帰還した大魔導士	kd-dragon	3	3	STUDIO) / kd-dragon(REDICE / kd-dragon(REDICESTUDIO)フジツボ落下傘 / フジツボ / 落	
556-rabo	556ラボ	きむらゆういち	2	2	姫川明 / 姫川明木村裕一 / 木村裕一	
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	三咲あや	1	1	あや / このみ / まゆき / 三咲 / 北村 / 有香 / 環方 / 諸岡きゅうこ / 阿南 / 阿南まゆき北村有香三咲あや諸岡きゅうこ	
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	北村有香	1	1	あや / このみ / まゆき / 三咲 / 北村 / 有香 / 環方 / 諸岡きゅうこ / 阿南 / 阿南まゆき北村有香三咲あや諸岡きゅうこ	
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	環方このみ	1	1	あや / このみ / まゆき / 三咲 / 北村 / 有香 / 環方 / 諸岡きゅうこ / 阿南 / 阿南まゆき北村有香三咲あや諸岡きゅうこ	
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	阿南まゆき	1	1	あや / このみ / まゆき / 三咲 / 北村 / 有香 / 環方 / 諸岡きゅうこ / 阿南 / 阿南まゆき北村有香三咲あや諸岡きゅうこ	
7-dai-tatarimasu-node-hayaku-kekkon-shite-kudasai	7代祟りますので早く結婚してください!	猪熊しのぶ	4	4	TABIKO / しのぶ / 猪熊 / 猪熊しのぶTABIKO	
7-ji-o-wataru-7nin	虹を渡る7人	さくらももこ	1	1	一条ゆかり	
7-ji-o-wataru-7nin	虹を渡る7人	吉住渉	1	1	一条ゆかり	
7-ji-o-wataru-7nin	虹を渡る7人	柊あおい	1	1	一条ゆかり	
7-ji-o-wataru-7nin	虹を渡る7人	矢沢あい	1	1	一条ゆかり	
7-ji-o-wataru-7nin	虹を渡る7人	高倉あつこ	1	1	一条ゆかり	
714-donii-iki-714bin	シドニー行き714便	Hergé	1	1	エルジェ / エルジェ川口恵子 / 川口恵子	
8-man-vs-cyborg-009	8マンvs(バーサス)サイボーグ009	桑田二郎	2	2	七月鏡一 / 七月鏡一早瀬マサト平井和正石ノ森章太郎他 / 他 / 平井和正 / 早瀬マサト / 石ノ森章太郎	
81-yamada-yuusuke-gekijou	8.1山田悠介劇場	U.G.E	2	2	U．G．E / U．G．E山田悠介 / 山田悠介	
86-furagumentaru-neotenii	86-エイティシックス-フラグメンタルネオテニー	鈴木ミニラ	2	2	I-IV / しらび / アサト / シンジョウタクヤ / 安里 / 安里アサトしらびI-IVシンジョウタクヤ	
9-nine	9 nine	クリアレーヴ	2	2	ぱれっと / 河内和泉 / 河内和泉ぱれっと	
99-man-tsubu-no-namida	99万粒の涙	やまざき貴子	1	1	なつの / やまざき / 吉田 / 吉野 / 朔実 / 望都 / 清原 / 田村 / 由美 / 秋生 / 萩尾 / 萩尾望都吉田秋生清原なつ	
99-man-tsubu-no-namida	99万粒の涙	吉田秋生	1	1	なつの / やまざき / 吉田 / 吉野 / 朔実 / 望都 / 清原 / 田村 / 由美 / 秋生 / 萩尾 / 萩尾望都吉田秋生清原なつ	
99-man-tsubu-no-namida	99万粒の涙	吉野朔実	1	1	なつの / やまざき / 吉田 / 吉野 / 朔実 / 望都 / 清原 / 田村 / 由美 / 秋生 / 萩尾 / 萩尾望都吉田秋生清原なつ	
99-man-tsubu-no-namida	99万粒の涙	清原なつの	1	1	なつの / やまざき / 吉田 / 吉野 / 朔実 / 望都 / 清原 / 田村 / 由美 / 秋生 / 萩尾 / 萩尾望都吉田秋生清原なつ	
99-man-tsubu-no-namida	99万粒の涙	田村由美	1	1	なつの / やまざき / 吉田 / 吉野 / 朔実 / 望都 / 清原 / 田村 / 由美 / 秋生 / 萩尾 / 萩尾望都吉田秋生清原なつ	
99-man-tsubu-no-namida	99万粒の涙	萩尾望都	1	1	なつの / やまざき / 吉田 / 吉野 / 朔実 / 望都 / 清原 / 田村 / 由美 / 秋生 / 萩尾 / 萩尾望都吉田秋生清原なつ	
a-d-o-g-s	A.-D.O.G.S.	北嶋博明	3	3	鈴木ダイ	
a3-autumn	A3! AUTUMN!	リベルエンタテインメント	2	2	エンタテインメント / ムネヤマヨシミ / ムネヤマヨシミリベルエンタテインメント冨士原良 / リベル / 冨士原 / 良	
a3-winter	A3 ! winter	リベルエンタテインメント	2	2	エンタテインメント / ムネヤマヨシミ / ムネヤマヨシミリベルエンタテインメント冨士原良 / リベル / 冨士原 / 良	
aa-ioujima-ningen-gyorai-kaiten	「ああ硫黄島」「人間魚雷回天」	梶原一騎	1	1	横山まさみち	
aa-ioujima-ningen-gyorai-kaiten	「ああ硫黄島」「人間魚雷回天」	相良俊輔	1	1	横山まさみち	
aa-ioujima-ningen-gyorai-kaiten	「ああ硫黄島」「人間魚雷回天」	福本和也	1	1	横山まさみち	
aa-ioujima-ningen-gyorai-kaiten	「ああ硫黄島」「人間魚雷回天」	高久進	1	1	横山まさみち	
aa-tokkou	ああ特攻	かわぐちかいじ	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	バロン吉元	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	中島徳博	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	古城武司	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	小川保雄	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	新谷かおる	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	水木しげる	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aa-tokkou	ああ特攻	立原あゆみ	1	1	小池一夫 / 戦史コミック制作委員会 / 戦史コミック制作委員会小池一夫	
aaru-pii-jii-ippatsu-otoko	RPG一発男	Dr.モロー	1	1	Dr．モロー	
aaru-pii-jii-ippatsu-otoko	RPG一発男	スタジオ寿	1	1	Dr．モロー	
aarupiijii-doraemon	RPGドラえもん	三谷幸広	1	1	F / 不二雄 / 小野寺紳 / 藤子 / 藤子F不二雄小野寺紳	
aatsu-shuukatsu-no-megamisamatsu	ああっ就活の女神さまっ	よしづきくみち	5	5	U平 / くみち / よしづき / 康介 / 藤島 / 青木 / 青木U平よしづきくみち藤島康介	
aatsu-shuukatsu-no-megamisamatsu	ああっ就活の女神さまっ	青木U平	5	5	U平 / くみち / よしづき / 康介 / 藤島 / 青木 / 青木U平よしづきくみち藤島康介	
ab-furyaa	AB.フリャー	清水洋三	2	2	家田荘子 / 家田荘子清水洋三（1970-） / 清水洋三（1970-）	
abaki-ya	暴き屋	松井レナ	3	3	FIREBUG / アミューズ / アミューズ講談社FIREBUG松井レナ / レナ / 松井 / 講談社	
abanchurie	アバンチュリエ	モーリス・ルブラン	5	5	モーリス / ルブラン / 森田崇 / 森田崇モーリスルブラン	
abare-ninmaru	あばれ!忍丸	レッドカンパニー	2	2	富田祐弘 / 菊地モモタロー / 菊地モモタロー富田祐弘	
abare-ninmaru	あばれ!忍丸	忍	2	2	富田祐弘 / 菊地モモタロー / 菊地モモタロー富田祐弘	
abc-arbacks	ABCアーバックス	志緒野博	3	3	あかほりさとる	
abe-sada	阿部定	岡崎英生	2	2	上村一夫	
abe-sada	阿部定	戸川昌子	2	2	上村一夫	
abenobashi-mahou-shoutengai	アベノ橋魔法☆商店街	あかほりさとる	2	2	出口竜正	
abunai-rabu-song	あ・ぶ・な・いラブ・ソング	曽祢まさこ	1	1	佐藤まり子	
abura	ABURA	貘九三口造	3	3	NUMBER8 / NUMBER8貘九三口造 / 三口造 / 貘九	
academy-saikyou-no-mob-healer	アカデミー最強のモブヒーラー	八又 ナガト	1	1	きつね / ちゃこ / ナガト / 八又 / 八又ナガト天王寺きつね阿倍野ちゃこ / 天王寺 / 阿倍野	
academy-saikyou-no-mob-healer	アカデミー最強のモブヒーラー	天王寺 きつね	1	1	きつね / ちゃこ / ナガト / 八又 / 八又ナガト天王寺きつね阿倍野ちゃこ / 天王寺 / 阿倍野	
academy-saikyou-no-mob-healer	アカデミー最強のモブヒーラー	阿倍野 ちゃこ	1	1	きつね / ちゃこ / ナガト / 八又 / 八又ナガト天王寺きつね阿倍野ちゃこ / 天王寺 / 阿倍野	
ad-aiko	ADアイコ	戸野倉純	2	2	早坂いあん	
ada-gyakushuu-no-onnatachi	Ada〜逆襲の女たち〜	小田原 愛	3	3	とらふぐ / 小田原 / 小田原愛とらふぐ / 愛	
adabana	adabana 徒花	手塚だい	3	3	NON	
adachi-to-shimamura-mani-2016	安達としまむら	柚原もけ	3	3	まに / まに入間人間 / 入間人間	
adarushan-no-hanayome	アダルシャンの花嫁	雨川恵	2	2	風都ノリ	
adelaide	アデライド	Chae Habin	6	6	Chae / Habin / SUHO / SUHOChaeHabin	
adventure-time	アドベンチャー・タイム	ParolineShelli	2	2	ウォード / シェリィ / ノース / パロライン / ブラデン / ペンデルトン / ペンデルトンウォードライアンノースシェリィパロライン	
adventure-time	アドベンチャー・タイム	シェリィ・パロライン	2	2	ウォード / シェリィ / ノース / パロライン / ブラデン / ペンデルトン / ペンデルトンウォードライアンノースシェリィパロライン	
adventure-time	アドベンチャー・タイム	ブラデン・ラム	2	2	ウォード / シェリィ / ノース / パロライン / ブラデン / ペンデルトン / ペンデルトンウォードライアンノースシェリィパロライン	
adventure-time	アドベンチャー・タイム	ペンデルトン・ウォード	2	2	ウォード / シェリィ / ノース / パロライン / ブラデン / ペンデルトン / ペンデルトンウォードライアンノースシェリィパロライン	
adventure-time	アドベンチャー・タイム	ライアン・ノース	2	2	ウォード / シェリィ / ノース / パロライン / ブラデン / ペンデルトン / ペンデルトンウォードライアンノースシェリィパロライン	
afurika-no-bakudan	アフリカの爆弾	筒井康隆	1	1	山上たつひこ	
afurika-no-bakudan	アフリカの爆弾	草川隆	1	1	山上たつひこ	
aga-kimi-chiruran	吾が君散るらむ	月越優希	2	2	優希 / 月越 / 詩石灯 / 詩石灯月越優希	
agartha-game	アガルタゲーム	倭川佐	4	4	佐 / 倭川 / 兼 / 青海 / 青海兼倭川佐	
agartha-game	アガルタゲーム	青海兼	4	4	佐 / 倭川 / 兼 / 青海 / 青海兼倭川佐	
agasa-kurisuteii-no-meitantei-poirot-to-marple	アガサ・クリスティーの名探偵ポワロとマープル	アガサ・クリスティー	3	3	アガサ / アガサクリスティ大橋志吉 / アガサクリスティ米村正二 / クリスティ / クリスティ- / 大橋志吉 / 石川森彦 / 石川森	
age-ban-bando-shoujo-kyabakura-diary	アゲ×バン バンド少女キャバクラdiary	倉科遼	2	2	倉品遼 / 倉品遼秋重学 / 倉科 / 倉科遼秋重学 / 学 / 秋重 / 秋重学 / 遼	
ahou-ressha	阿房列車	一條裕子	3	3	一條 / 内田 / 内田百間一條裕子 / 百間 / 裕子	
ahou-ressha	阿房列車	内田百間	3	3	一條 / 内田 / 内田百間一條裕子 / 百間 / 裕子	
ai-esu	あいえすっ!	okiura	2	2	今拓人 / 今拓人弓弦イズル / 弓弦イズル	
ai-ga-omome-na-ookami-denka-wa-unmei-no-tsugai-o-nankin-chuu	愛が重めなオオカミ殿下は運命のつがいを軟禁中	北宮あみ	2	2	あみ / 一葉 / 北宮 / 柊 / 柊一葉北宮あみ	
ai-ga-omome-na-ookami-denka-wa-unmei-no-tsugai-o-nankin-chuu	愛が重めなオオカミ殿下は運命のつがいを軟禁中	柊一葉	2	2	あみ / 一葉 / 北宮 / 柊 / 柊一葉北宮あみ	
ai-kirameku-minato-de	愛、きらめく港で	ノーラ・ロバーツ	1	1	英洋子	
ai-michiyuku-umibe-de	愛、充ちゆく海辺で	ノーラ・ロバーツ	1	1	ノーラ / ロバーツ / 英洋子 / 英洋子ノーラロバーツ	
ai-mo-nikushimi-mo-chinmoku-no-naka-de	愛も憎しみも沈黙の中で	The Shubl Website	6	6	Junxi+Chujiujiang / Junxi＋Chujiujiang / QiangTang / QiangTangTheShublW	
ai-mo-nikushimi-mo-chinmoku-no-naka-de	愛も憎しみも沈黙の中で	kkworld	6	6	Junxi+Chujiujiang / Junxi＋Chujiujiang / QiangTang / QiangTangTheShublW	
ai-ni-ikuyo	会いにいくよ	にしもとひでお	1	1	のぶみ / ジョージ / 森川 / 森川ジョージのぶみ	
ai-ni-ikuyo	会いにいくよ	森川ジョージ	1	1	のぶみ / ジョージ / 森川 / 森川ジョージのぶみ	
ai-no-aranjuez	愛のアランフェス	横森理香	9	9	槇村さとる	
ai-no-hate-ni	愛の果てに	吉田玲子	4	4	ありさか / ありさか邦 / 邦	
ai-no-oooku	愛の大奥	あさみさとる	1	1	富沢みどり / 良歩五郎 / 良歩五郎富沢みどり	
ai-no-oooku	愛の大奥	井出智香恵	1	1	富沢みどり / 良歩五郎 / 良歩五郎富沢みどり	
ai-no-oooku	愛の大奥	佐々木みすず	1	1	富沢みどり / 良歩五郎 / 良歩五郎富沢みどり	
ai-no-oooku	愛の大奥	安部大代	1	1	富沢みどり / 良歩五郎 / 良歩五郎富沢みどり	
ai-no-oooku	愛の大奥	虎影誠	1	1	富沢みどり / 良歩五郎 / 良歩五郎富沢みどり	
ai-no-oooku	愛の大奥	高芝昌子	1	1	富沢みどり / 良歩五郎 / 良歩五郎富沢みどり	
ai-no-su-e-ochiro	愛の巣へ落ちろ!	南十字明日菜	4	4	南十字 / 南十字明日菜樋口美沙緒 / 明日菜 / 樋口 / 美沙緒	
