season	anime_title	kind	detail
2002-FALL	キディ・グレイド	NO_PAGE	NO_PAGE:32931 キディ・グレイド-リバース-
2002-FALL	ぷちぷり*ユーシィ	NO_PAGE	NO_PAGE:33692 ぷちぷり・ユーシィ
2001-WINTER	爆転シュート　ベイブレード	NO_PAGE	NO_PAGE:30852 爆転シュート ベイブレード
2001-WINTER	ゾイド新世紀／ゼロ	NO_PAGE	NO_PAGE:30363 ゾイド新世紀／ゼロ
2001-SUMMER	あぃまぃみぃ！ストロベリー・エッグ	NO_PAGE	NO_PAGE:92015 あぃまぃみぃ！ストロベリ・エッグ
2001-SPRING	デジモンテイマーズ	NO_PAGE	NO_PAGE:32389 數碼寶貝03馴獸師之王
2001-SPRING	シスター・プリンセス	NO_CAND	
2001-FALL	ヴァンドレッド the second stage	NO_CAND	
2000-SUMMER	ストレンジ・ドーン	NO_PAGE	NO_PAGE:175014 ストレンジ・ドーン
2000-SPRING	デジモンアドベンチャー０２	NO_PAGE	NO_PAGE:32388 數碼寶貝02 Digimon Adventure Zero Two
2000-FALL	機巧奇傳 ヒヲウ戦記	NO_PAGE	NO_PAGE:92463 機巧奇傳 ヒヲウ戦記
2000-FALL	アルジェント ソーマ	NO_PAGE	NO_PAGE:34176 アルジェントソーマ
1999-WINTER	火魅子伝	NO_PAGE	NO_PAGE:33000 火魅子伝~恋解~
1999-WINTER	B[ボンバーマン]ビーダマン爆外伝Ｖ	NO_PAGE	NO_PAGE:176481 ボンバーマン・ビーダマン爆外伝V
1999-SPRING	デジモンアドベンチャー	NO_PAGE	NO_PAGE:32387 數碼寶貝 Digimon Adventure
1999-SPRING	アークザラッド	GATE_FAIL	GATE_FAIL:64551 アークザラッドII 炎のエルク 候補=['arc-the-lad-ii']
1999-FALL	トラブルチョコレート	NO_PAGE	NO_PAGE:34098 トラブルチョコレートthe comic
1999-FALL	BLUE GENDER	NO_PAGE	NO_PAGE:70203 ブルージェンダー
1998-SPRING	ＤＴエイトロン	NO_PAGE	NO_PAGE:96058 DTエイトロン
1998-SPRING	ああっ女神さまっ 小っちゃいって事は便利だねっ	NO_PAGE	NO_PAGE:32700 ああっ女神さまっ ちっちゃいてことは便利だね
1998-SPRING	Weiß kreuz　ヴァイス　クロイツ	NO_PAGE	NO_PAGE:32722 ヴァイス-AN ASSASSIN AND WHITE SHAMAN
1998-FALL	聖ルミナス女学院	NO_CAND	
1997-SUMMER	みすて♥ないでデイジー	NO_PAGE	NO_PAGE:93823 みすて♡ないでデイジー
1997-SPRING	ハレルヤIIBOY	NO_PAGE	NO_PAGE:37636 HARELUYA II BØY -ボーイ-
