slug	title	authors	year	publisher	total_volumes
korokoro-koromo-chan	ころころころもちゃん	むっく	2003	(unknown)	1
nono-chan	ののちゃん	いしいひさいち	2003	(unknown)	14
ai-no-okurimono	愛のおくりもの	高橋真琴	2003	(unknown)	1
asutororaabe	星讀	桜瀬琥姫	2003	(unknown)	1
kasei-tanken	火星探険	大城のぼる	2003	(unknown)	1
tsurikichi-sanpei-classic	釣りキチ三平classic	矢口高雄	2003	(unknown)	57
oppai-no-tatsujin	おっぱいの達人	桜田幸子	2004	(unknown)	2
ultraman-80-uchuu-daisensou	ウルトラマン80宇宙大戦争	居村眞二	2004	(unknown)	1
manga-nippon-no-shinwa	まんが「日本の神話」	光山勝治	2005	(unknown)	1
chocolate	チョコレート	三原ミツカズ	2005	(unknown)	1
la-boheme	ラ・ボエーム	小野弥夢	2005	(unknown)	1
rengoku-hyouryuu	恋獄漂流	貴志元則	2005	(unknown)	1
kinkon-tosa-nikki	きんこん土佐日記	村岡マサヒロ	2006	(unknown)	15
snow-white	スノウホワイト	諸星大二郎	2006	(unknown)	1
kaisei-gaigaa	怪星ガイガー・八百八狸	杉浦茂	2006	(unknown)	1
jimmy-corrigan	Jimmy Corrigan.	Chris Ware・カレラ・MorrisonGrant・WareChris	2007	(unknown)	3
300	スリーハンドレッド	フランク・ミラー・MillerFrank	2007	(unknown)	1
jitsuroku-kamikaze-tokubetsu-kougekitai	実録神風特別攻撃隊	岩下博美	2007	(unknown)	1
gajumaru-family	がじゅまるファミリー	ももココロ	2008	(unknown)	9
hina-chan-no-nichijou	ひなちゃんの日常	南ひろこ	2008	(unknown)	24
sabbath	サバス!	土田世紀	2008	(unknown)	1
stage-girls	ステージガールズ	黒岩よしひろ	2008	(unknown)	2
tokyo-hakubutsushi	トーキョー博物誌	日高トモキチ	2008	(unknown)	2
ningen-uwasa-happyaku	人間噂八百	足立淳	2008	(unknown)	1
manga-koomote-chan	漫画 小面ちゃん	松村ヨーレイ	2008	(unknown)	10
satougashi-no-dangan-wa-uchinukenai	砂糖菓子の弾丸は撃ちぬけない	杉基イクラ	2008	(unknown)	2
awa-to-usagi-to-kubikazari	泡と兎と首飾り	猫十字社	2009	(unknown)	1
tsurugi-no-mai	つるぎのまい!	龍牙翔	2010	(unknown)	3
akiba-ichiban-no-baka-shimai	アキバいちばんのバカ姉妹	みさくらなんこつ	2010	(unknown)	1
kaban-toshokan	鞄図書館	芳崎せいむ	2010	(unknown)	4
future-2011	FUTURE	鶴田謙二	2011	(unknown)	1
tabun-tantei-purikoro-no-kikan	May探偵プリコロの帰還	魔夜峰央	2011	(unknown)	1
tabun-tantei-purikoronoroubai	May探偵プリコロの狼狽	魔夜峰央	2011	(unknown)	1
otteke-3-haron	おってけ!3ハロン	松本ぷりっつ	2011	(unknown)	3
kotoba-no-yurai-zukan	ことばのゆらい図鑑	ヒサクニヒコ	2011	(unknown)	2
bashou-san-to-obasute-yama-no-tsuki	ばしょうさんとおばすて山の月	すずき大和	2011	(unknown)	1
lucky-strike-2011	ラッキー・ストライク!	肋兵器	2011	(unknown)	1
chuunibyou-kyoushikyoku	中二病狂詩曲	ちょぼらうにょぽみ・久松ゆのみ・橋本花鳥・ぶちマル・佐野友創・四葉ゆいこ・星屑7号・西松屋・滝島朝香・猫田博人・不死咲ユイ・武藤いちる・海産物・斎藤かよこ	2011	(unknown)	1
