type	subtype	severity	slug	title	status	year_started	year_ended	publisher_key	n_vols	n_eds	detail	evidence
YE_EARLY	solo_reprint	22	cinderella-kun	シンデレラくん	completed	1976	1976	sobisha	1	1	year_ended=1976 < 最大巻#1の初版年=1998 (22年後に新刊)	#1=1998-03-01 :: [standard]セブンティーン・コミックス/創美社 1998-1998 n=1
YE_EARLY	solo_reprint	22	kedaruku-hikojirou	気怠く彦次郎	completed	1986	1986	koike-shoin	1	1	year_ended=1986 < 最大巻#1の初版年=2008 (22年後に新刊)	#1=2008-10-01 :: [standard]アクション・コミックス/小池書院 2008-2008 n=1
YE_EARLY	serial_1ed	22	sexadoll	セクサドール	completed	1978	1978	futabasha	2	1	year_ended=1978 < 最大巻#2の初版年=2000 (22年後に新刊)	#2=2000-07-01 :: [standard]秋田漫画文庫/双葉社 2000-2000 n=2
YE_EARLY	solo_reprint	22	supeope-chuugaku	スペオペ宙学	completed	1979	1979	eichishuppan	1	1	year_ended=1979 < 最大巻#1の初版年=2001 (22年後に新刊)	#1=2001-09-01 :: [standard]サンデーコミックス/英知出版 2001-2001 n=1
YE_EARLY	solo_reprint	22	tobakushitachi	賭博師たち	completed	1973	1973	shoueisha	1	1	year_ended=1973 < 最大巻#1の初版年=1995 (22年後に新刊)	#1=1995-04-01 :: [standard]アクション・コミックス/翔泳社 1995-1995 n=1
YE_EARLY	serial_1ed	21	lina	リナ	completed	1976	1976	home-sha	2	1	year_ended=1976 < 最大巻#2の初版年=1997 (21年後に新刊)	#2=1997-10-01 :: [standard]通常版/ホーム社 1997-1997 n=2
YE_EARLY	solo_reprint	21	ougon-no-trunk	黄金のトランク	completed	1958	1958	kodansha	1	1	year_ended=1958 < 最大巻#1の初版年=1979 (21年後に新刊)	#1=1979-02-20 :: [standard]手塚治虫漫画全集/講談社 1979-1979 n=1
YE_EARLY	serial_1ed	21	shounen-giants	少年ジャイアンツ	completed	1975	1975	home-sha	2	1	year_ended=1975 < 最大巻#2の初版年=1996 (21年後に新刊)	#2=1996-02-01 :: [standard]コンパクトコミックス/ホーム社 1996-1996 n=2
YE_EARLY	solo_reprint	21	ultra-q	ウルトラQ	completed	1979	1979	asahi-sonorama	1	1	year_ended=1979 < 最大巻#1の初版年=2000 (21年後に新刊)	#1=2000-01-01 :: [standard]サンコミックス/朝日ソノラマ 2000-2000 n=1
YE_EARLY	solo_reprint	20	bara-no-naka-no-lisa	ばらの中のリザ	completed	1975	1975	home-sha	1	1	year_ended=1975 < 最大巻#1の初版年=1995 (20年後に新刊)	#1=1995-11-01 :: [standard]通常版/ホーム社 1995-1995 n=1
YE_EARLY	solo_reprint	20	dojouan-tsurezure-banashi	泥鰌庵閑話	completed	1975	1975	chikuma-shobo	1	1	year_ended=1975 < 最大巻#1の初版年=1995 (20年後に新刊)	#1=1995-07-24 :: [standard]通常版/筑摩書房 1995-1995 n=1
YE_EARLY	serial_1ed	20	gin-no-oni	銀の鬼	completed	2006	1986	asahi-sonorama	3	1	year_ended=1986 < 最大巻#3の初版年=2006 (20年後に新刊)	#3=2006-05-01 :: [bunkobon]ソノラマコミック文庫/朝日ソノラマ 2006-2006 n=3
YE_EARLY	solo_reprint	20	hanakeisatsu	花警察	completed	1991	1991	koike-shoin	1	1	year_ended=1991 < 最大巻#1の初版年=2011 (20年後に新刊)	#1=2011-12-01 :: [standard]劇画キングシリーズ/小池書院 2011-2011 n=1
YE_EARLY	solo_reprint	20	kaerazaru-toki-no-monogatari	帰らざる時の物語	completed	1978	1978	akita	1	1	year_ended=1978 < 最大巻#1の初版年=1998 (20年後に新刊)	#1=1998-04-10 :: [standard]秋田漫画文庫 14-06/秋田書店 1998-1998 n=1
YE_EARLY	solo_reprint	20	kakine-no-majo	垣根の魔女	completed	1979	1979	shogakukan	1	1	year_ended=1979 < 最大巻#1の初版年=1999 (20年後に新刊)	#1=1999-04-01 :: [standard]ビッグコミックス/小学館 1999-1999 n=1
YE_EARLY	solo_reprint	20	milky-way	ミルキーウェイ	completed	1978	1978	shueisha	1	1	year_ended=1978 < 最大巻#1の初版年=1998 (20年後に新刊)	#1=1998-03-01 :: [standard]りぼんマスコットコミックス/集英社 1998-1998 n=1
YE_EARLY	solo_reprint	20	ojama-yuurei-kun	おじゃまユーレイくん	completed	1980	1980	(unknown)	1	1	year_ended=1980 < 最大巻#1の初版年=2000 (20年後に新刊)	#1=2000-10-01 :: [standard]てんとう虫コミックス/笠倉出版 2000-2000 n=1
YE_EARLY	serial_1ed	20	shisetsutantei-akai-kiba	私設探偵赤い牙	completed	1981	1981	home-sha	2	1	year_ended=1981 < 最大巻#2の初版年=2001 (20年後に新刊)	#2=2001-07-01 :: [standard]芳文社コミックス/ホーム社 2001-2001 n=2
