slug	title_id	カテゴリ	商品題
hyakunin-isshu-note	366797	小説・文芸/小説	詩集・俳句	百人一首ノート
hyouketsukei-koso-saikyou-desu	20041309	ライトノベル/男性向けライトノベル	氷結系こそ最強です！　1　小さくて可愛い師匠と結婚するために最強の魔術師を目指します
iemori-ki-tan	1965295	小説・文芸/小説	国内小説	家守綺譚　上
iinazuke-ga-dekita-to-omottara-sono-iinazuke-ga-gakkou-de-yuumei-na-akuyaku-reijou-dattandakedo-dou	1163569	ライトノベル/男性向けライトノベル	許嫁が出来たと思ったら、その許嫁が学校で有名な『悪役令嬢』だったんだけど、どうすればいい？
ikenie-toshite-suterareta-node-henkyou-ke-ni-jibun-o-urimasu	20059106	ライトノベル/女性向けライトノベル	生贄として捨てられたので、辺境伯家に自分を売ります　～いつの間にか聖女と呼ばれ、溺愛されていました～【電子特典付き】
ikoku-meiro-no-kurowaaze	139530	ライトノベル/男性向けライトノベル	異国迷路のクロワーゼ Le cahier d’ Yune
imasara-desu-osananajimi-o-suki-ni-natte-shimaimashita	20140749	ライトノベル/男性向けライトノベル	今さらですが、幼なじみを好きになってしまいました1
imouto-ni-subete-o-ubawareta-reijou-wa-konyakusha-no-uragiri-o-shiri-kaiki-suru	1567923	ライトノベル/女性向けライトノベル	妹にすべてを奪われた令嬢は婚約者の裏切りを知り回帰する【電子版特典付】（上）
isekai-de-cheat-nouryoku-o-te-ni-shita-ore-wa-genjitsu-sekai-womo-musou-suru-girls-side	20052534	ライトノベル/男性向けライトノベル	異世界でチート能力を手にした俺は、現実世界をも無双する　ガールズサイド　～華麗なる乙女たちの冒険は世界を変えた～
isekai-ittara-watashi-no-shokugyou-yaseiji-datta	804267	TL/TL小説	異世界行ったら私の職業『野生児』だった
isekai-kaeri-no-paradin-ha-saikyou-no-joreishi-tonaru	20028823	ライトノベル/男性向けライトノベル	異世界帰りのパラディンは、最強の除霊師となる　1
isekai-kaeri-no-yuusha-wa-dungeon-ga-shutsugen-shita-genjitsu-sekai-de-influencer-ni-natte-kane-o	20046703	ライトノベル/男性向けライトノベル	異世界帰りの勇者は、ダンジョンが出現した現実世界で、インフルエンサーになって金を稼ぎます！
isekai-kara-kikan-shitara-chikyuu-mo-kanari-fantasy-deshita-ato-make-heroine-domo-ko	1617992	ライトノベル/男性向けライトノベル	異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち見んな。
isekai-kara-tobasarete-kita-kantei-musume-wa-uranai-de-seikei-o-tateru	1959221	小説・文芸/小説	国内小説	異世界から飛ばされて来た鑑定娘は、占いで生計を立てる
isekai-nidome-no-ossan-dou-kangaetemo-koukousei-yuusha-yori-tsuyoi	1299474	ライトノベル/男性向けライトノベル	異世界二度目のおっさん、どう考えても高校生勇者より強い
isekai-no-meikyuu-toshi-de-chiyu-mahoutsukai-yattemasu	299413	ライトノベル/男性向けライトノベル	異世界の迷宮都市で治癒魔法使いやってます ： 1
isekai-ryouridou	302310	ライトノベル/男性向けライトノベル	異世界料理道1
isekai-teni-shite-kyoushi-ni-nattaga-majo-to-osorerarete-iru-ken	1010972	ライトノベル/男性向けライトノベル	異世界転移して教師になったが、魔女と恐れられている件１　～王族も貴族も関係ないから真面目に授業を聞け～
isekai-tensei-ni-kansha-o	562418	ライトノベル/男性向けライトノベル	異世界転生に感謝を 1
itai-nowa-iya-nanode-bougyoryoku-ni-kyokufuri-shitai-to-omoimasu	20157863	ライトノベル/男性向けライトノベル	痛いのは嫌なので防御力に極振りしたいと思います。 15  特装版【イラスト集付き】
jakuten-zero-kyuuketsuki-no-ryouchi-kaikaku	20065371	ライトノベル/男性向けライトノベル	弱点ゼロ吸血鬼の領地改革　１
jamamono-no-you-desu-ouji-no-chuushoku-wa-watashi-ga-tsukuru-you-desu	828810	TL/TL小説	邪魔者のようですが、王子の昼食は私が作るようです
janai-hou-no-hakushaku-reijou	1269058	TL/TL小説	じゃない方の伯爵令嬢
jibun-o-sss-kyuuda-to-omoikondeiru-c-kyuu-majutsu-gakusei	1619322	ライトノベル/男性向けライトノベル	自分をSSS級だと思い込んでいるC級魔術学生 1
jienova-no-deshi	1480827	ライトノベル/男性向けライトノベル	ジェノヴァの弟子 ～10秒しか戦えない魔術師、のちの『魔王』を育てる～
jigoku-no-sata-mo-ougon-shidai	20061852	ライトノベル/男性向けライトノベル	地獄の沙汰も黄金次第 ～会社をクビになったけど、錬金術とかいうチートスキルを手に入れたので人生一発逆転を目指します～ 【電子書籍限定特典SS付き】
js-no-torisetsu	966174	小説・文芸/児童書	よみもの	ＪＳのトリセツ（１）
kaikosareta-sareta-kyuutei-renkinjutsushi-wa-henkyou-de-dai-nouen-o-tsukuriageru	1258588	ライトノベル/男性向けライトノベル	解雇された宮廷錬金術師は辺境で大農園を作り上げる1～祖国を追い出されたけど、最強領地でスローライフを謳歌する～【電子限定SS付き】
kami-no-tsukai-de-nonbiri-isekai-ryokou	1349688	ライトノベル/男性向けライトノベル	神の使いでのんびり異世界旅行　～最強の体でスローライフ。魔法を楽しんで自由に生きていく！～
kami-sama-no-misu-de-isekai-ni-poitsu-to-saremashita	20049134	ライトノベル/男性向けライトノベル	神様のミスで異世界にポイっとされました　～元サラリーマンは自由を謳歌する～１
kanjou-ga-tenkou-ni-hanei-dekiaisareru-tokushu-nouryoku-mochi-reijou-wa-konyaku-kaishou-sareta-node	1439739	ライトノベル/女性向けライトノベル	感情が天候に反映される特殊能力持ち令嬢は婚約解消されたので不毛の大地へ嫁ぎたい
kanzenban-piinattsu-zenshuu	1046565	小説・文芸/小説	海外文学	完全版　ピーナッツ全集　１　スヌーピー１９５０～１９５２
karera-no-hanzai	2250640	小説・文芸/ノンフィクション	ノンフィクション・ドキュメンタリー	彼らの犯罪
kikori-no-isekai-tan	1254389	ライトノベル/男性向けライトノベル	キコリの異世界譚～転生した少年は、斧1本で成り上がる～(サーガフォレスト)1
