slug	title	remaining_gaps
youma-no-fuuin	妖魔の封印	deluxe:[4]
shounangurafutei	湘南グラフティ	(1巻が無い):[1]
shounan-bousouzoku	湘南暴走族	(1巻が無い):[1, 2, 3, 4]
ariel-comic	ARIEL COMIC	standard:[6, 7]
matamoya-daikichi	またもや大吉	(1巻が無い):[1]
sadistic-sayaka-chan	サディスティックさやかちゃん!	(1巻が無い):[1]
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	standard:[4]
power-bomb-theater	パワーボムtheater	standard:[2, 3]
shamo-1990	軍鶏	standard:[2, 4, 6, 7, 8]
yuujin-brand	遊人ブランド	(1巻が無い):[1]
karutteto	かるってと	(1巻が無い):[1]
mameda-sensei	まめだ先生	standard:[2]
image	イマージュ	standard:[14, 15]
zebra	ゼブラ	(1巻が無い):[1, 2, 3, 4, 5, 6]
torufan-no-nishi	トルファンの西	shinsoban:[2]
waibaan-no-kodomotachi	ワイバーンの子供たち	standard:[3, 4]
sora-no-ue-no-aren	空の上のアレン	standard:[3]
comic-hero	Comic HERO	(1巻が無い):[1, 2, 3, 4, 5]
osusume-furiten-kun	おすすめフリテンくん	(1巻が無い):[1]
oki-ni-mesu-mama	お気に召すまま	standard:[3]
kotoza-no-regashii	こと座のレガシー	(1巻が無い):[1]
heba-hello-chan	へば!Helloちゃん	standard:[2, 4];deluxe:[3]
pose-file	ポーズ・ファイル	standard:[2, 7]
rockman-world	ロックマンワールド	standard:[2]
gekiga-hiroike-chikurou	劇画広池千九郎	(1巻が無い):[1]
gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	standard:[4, 5, 9]
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	standard:[3, 5]
kuooto-ando-half	1/4×1/2	standard:[3, 4]
sleeping-beauty-clinic	Sleeping beauty clinic	standard:[2]
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	standard:[5]
alice-no-ochakai	アリスのお茶会	standard:[5]
takeru-1997-2	タケル	standard:[3, 4]
platonic	プラトニック	standard:[2]
shinuhodo-kisu-shite	死ぬほどKISSして	(1巻が無い):[1]
nekketsu-daibouken-tairiku	熱血!大冒険大陸	shinsoban:[4]
chou-diienuei-suit-furogguman	超DNA戦士フロッグマン	standard:[2]
comic-indeep	COMIC INDEEP	(1巻が無い):[1, 2]
crew-1994	Crew 1994	standard:[2, 3, 4, 5, 6, 8]
shiikyuu-salaryman-kouza	C級さらりーまん講座	standard:[7, 8, 9, 10, 11]
lovers	Lovers	(1巻が無い):[1]
x-men-1994	X-MEN	standard:[2, 12]
x-men	X-MEN	standard:[2, 3, 11, 12];shinsoban:[4, 5, 7, 8, 10]
usagi-1994	うさぎ	(1巻が無い):[1]
onetsu-wa-nando	お熱は何度?	(1巻が無い):[1, 2, 3]
mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
x-men-1994-4	エックスメン	standard:[3, 4, 5, 6, 8, 9, 10, 11]
