popularity	season	anime_title	manga_aid	manga_title	hint
788	1978-SPRING	魔女っ子チックル	136077	魔女っ子チックル	
765	2025-SPRING	けものっ娘通信〜The Animation〜 狸娘ポコラ	111452	けものっ娘通信 ～理想のケモ娘、あなたにお届け～	
699	1976-FALL	マグネロボ・ガ・キーン	193852	マグネロボ ガ・キーン	
697	2014-SPRING	ムーンレイカーズ	91232	ムーンレイカーズ	
680	2023-SPRING	Mark Your Kiss - The Animation	153631	MARK YOUR KISS	
672	2026-SPRING	オタクの僕が一軍ギャルと付き合えるまでの話	202759	オタクの僕が一軍ギャルと付き合えるまでの話	
642	2014-SPRING	迷走！アンダーワールド	91233	迷走！アンダーワールド	
633	2024-SUMMER	まぁるい彼女と残念な彼氏	147656	まぁるい彼女と残念な彼氏	
609	1979-FALL	闘士ゴーディアン	213688	闘士ゴーディアン	
588	1971-FALL	アパッチ野球軍	138906	アパッチ野球軍	
522	2021-SPRING	しかるねこ	128395	しかるねこ	
495	2027-SPRING	尚善	158454	尚善	
469	1963-FALL	仙人部落	109840	仙人部落	CN?
452	1987-FALL	のらくろクン	57251	のらくろ漫画集	
448	2018-SUMMER	キスまで, あと1秒.	122913	キスまで、あと1秒。	
403	2016-FALL	中古ビデオ屋の女店員 Ｘ	99113	中古ビデオ屋の女店員 X	
367	1976-FALL	リトル・ルルとちっちゃい仲間	190236	リトル・ルルとちっちゃい仲間	
364	2026-SUMMER	ごーすと・みーつ・ぎゃる！	214728	ごーすと・みーつ・ぎゃる！	
361	1994-SPRING	カラオケ戦士 マイク次郎	140268	カラオケ戦士マイク次郎	
284	2025-SUMMER	彼女がセパレートをまとう理由	195977	彼女がセパレートをまとう理由― 女陸少女と中年おじさんのカンケイー	
270	1967-SUMMER	ピュンピュン丸	170757	忍者あわて丸	
261	1970-FALL	のらくろ	57251	のらくろ漫画集	
260	2024-WINTER	ちこまる	136939	ちこまる	
252	2012-FALL	ちいさなおじさん	74075	ちいさいおやじ日記	
240	2025-FALL	推しが部下になりました	180039	推しが部下になりました	
197	2015-SUMMER	猫絵日記	100275	猫絵日記	CN?
184	2021-SPRING	ハイパーポジティブよごれモン	140134	ハイパーポジティブよごれモン	
147	2024-FALL	まぁるい彼女と残念な彼氏 第2期	147656	まぁるい彼女と残念な彼氏	
131	1982-WINTER	フクちゃん (1982)	151105	フクちゃん	
116	2026-SPRING	おしりダンディ ザ・ヤング	115081	おしりダンディ ザ・ヤング	
113	2022-WINTER	お昼のショッカーさん	141744	お昼のショッカーさん	
55	2026-FALL	ゆうさんち！from 遊ハち	212489	デカいはち	
