season	title	class	gensaku	kousei
2027-WINTER	業物語 かれんオウガ	?	西尾維新 キャラクター原案：VOFAN	
2027-WINTER	モモモ！ニニモ	?		
2027-WINTER	ゴールデンカムイ 最終章「暴走列車編」	?		
2027-WINTER	ひらやすみ	?	真造圭伍 監督・シリーズ構成・脚本：末澤慧	
2027-WINTER	じょせまる	?		
2027-WINTER	えぶりでいホスト 続編	?		
2027-WINTER	THE ONE PIECE	MANGA?	尾田栄一郎 （集英社「 週刊少年ジャンプ 」連載）	
2027-WINTER	BLUE EYE SAMURAI/ブルーアイ・サムライ	?		
2026-WINTER	超宇宙刑事ギャバン インフィニティ	?		
2026-WINTER	聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました シーズン2	?	よどら文鳥 作画：ミドリRTC STUDIO	
2026-WINTER	終末のワルキューレⅢ	MANGA?	｢ 終末のワルキューレ ｣（作画：アジチカ 原作：梅村真也 構成：フクイタクミ「月刊コミックゼノン」連載／コアミックス）	
2026-WINTER	牙狼＜GARO＞ 東ノ界楼	?	雨宮慶太 エグゼクティヴ・プロデューサー：二宮清隆 プロデューサー：井野十兵 安養寺紗季 特別協力：サンセイアールアンドディ 製作／制作：東北新社 主題歌 OP：「GARO 東ノ界楼 with JAM Project	
2026-WINTER	時光代理人 -LINK CLICK- 英都篇	?		
2026-WINTER	悪魔くん	?		
2026-WINTER	天穂のサクナヒメ ココロワ稲作日誌	non-manga	えーでるわいす「 天穂のサクナヒメ 」 ストーリー協力：安藤敬而「 天穂のサクナヒメ ココロワ稲作日誌 」 (集英社 JUMP j BOOKS刊)	
2026-WINTER	ホロのぐらふぃてぃ	?		
2026-WINTER	アンデッドアンラック ウィンター編	MANGA?	戸塚慶文 「 アンデッドアンラック 」（集英社 ジャンプコミックス刊） 監督/絵コンテ/演出：朴性厚	
2026-WINTER	かぐや様は告らせたい 大人への階段	MANGA?	赤坂アカ （集英社ヤングジャンプコミックス刊）	
2026-WINTER	CHOPPER’s	?	『 ONE PIECE CHOPPER’s 』（『 ONE PIECE 』（原作： 尾田栄一郎 ）より）	
2026-SUMMER	角醒ハンター オメガホーン	?		
2026-SUMMER	盗掘王	?	SAN.G Yuns（REDICE STUDIO） キャラクター原案：P-crush（3B2S studio）	
2026-SUMMER	刃牙道 第2クール	MANGA?	板垣恵介 『 刃牙道 』（秋田書店「少年チャンピオン・コミックス」刊）	
2026-SUMMER	ラブル＆クルー	?	スピンマスター 制作協力：ニコロデオン 日本語製作： ラブル＆クルー 製作委員会 公開開始年＆季節 2026夏アニメ (C)2026 Spin Master Ltd. RUBBLE & CREW, PAW PATROL and all related titles, logos, characters; and SPI	
2026-SUMMER	マツケンアニメ〜これ成敗してもいいですか？	?		
2026-SUMMER	トミカ クロスレスキュー	non-manga	タカラトミー	
2026-SUMMER	コードギアス 奪還のロゼ TV放送	?		
2026-SUMMER	ウルトラマンテオ	?		
2026-SUMMER	ばなにゃ あっとほーむぱーてぃー	?	クーリア	
2026-SUMMER	ONE PIECE HEROINES	non-manga	『 ONE PIECE novel HEROINES』小説：江坂純／イラストレーション：諏訪さやか（集英社 JUMP j BOOKS刊）（『 ONE PIECE 』原作： 尾田栄一郎 より）	
2026-SUMMER	BEYBLADE X 真・未来編	MANGA?	BEYBLADE X （小学館「月刊コロコロコミック」連載）［作］ 河本ほむら 武野光 ／ ［漫画］出水ぽすか	
2026-SPRING	終末のワルキューレⅢ	MANGA?	｢ 終末のワルキューレ ｣（作画：アジチカ 原作：梅村真也 構成：フクイタクミ「月刊コミックゼノン」連載／コアミックス）	
2026-SPRING	百妖譜 傑作選	?	裟椤双樹	
2026-SPRING	新幹線変形ロボ シンカリオン 特別ダイヤ版	?		
2026-SPRING	姫騎士は蛮族（バルバロイ）の嫁	MANGA?	コトバノリアキ （講談社「別冊少年マガジン」連載）	
2026-SPRING	僕のヒーローアカデミア More	MANGA?	堀越耕平 （集英社ジャンプ コミックス刊）	
2026-SPRING	ネコのクラちゃん～クラレ王国 大陸のLutte Amor～	?		
2026-SPRING	デザート キャッチ！ティニピン	?		
2026-SPRING	スティール・ボール・ラン ジョジョの奇妙な冒険	?	荒木飛呂彦	
2026-SPRING	スター・ウォーズ：モール／シャドウ・ロード	?		
2026-SPRING	サク山チョコ次郎	?	正栄デリシィ 監督・脚本・キャラクターデザイン・色彩・美術・撮影・編集：植村みのり	
2026-SPRING	カードファイト!! ヴァンガード 15周年リマスター	MANGA?	ブシロード 伊藤彰 連載：ケロケロエース（角川書店刊） コンプエース（角川書店刊）	
2026-SPRING	ようこそ実力至上主義の教室へ 4th Season	non-manga	衣笠彰梧(MF 文庫J「 ようこそ実力至上主義の教室へ 」/KADOKAWA 刊) キャラクター原案： トモセシュンサク	
2026-SPRING	ほっかいどうぶつ	?	ほっかいどうぶつ プロデューサー：並木翔太	
2026-SPRING	こんなこいるかな	?		
2026-SPRING	こめかみっ！ガールズ	?	こめかみっ！ガールズ プロジェクト	
2026-SPRING	おジャ魔女どれみにょん	?	東堂いづみ 統括プロデューサー：関弘美 企画プロデューサー：高柳香織 ディレクター：白川東一（KOO-KI）	
2026-SPRING	うそ探偵トマント	?	サンエックス・ ファンワークス 作者：ウソ・ダ・マッカ シリーズ構成・脚本： 加藤陽一	
2026-SPRING	TVSP 異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～	non-manga	美紅（株式会社KADOKAWA ファンタジア文庫刊） キャラクター原案：桑島黎音	
2026-SPRING	BEASTARS FINAL SEASON Part2	MANGA?	『 BEASTARS 』 板垣巴留 （秋田書店少年チャンピオン・コミックス刊）	
2026-FALL	鳴海の平日	MANGA?	松本直也 （集英社ジャンプコミックス刊） ストーリー原案：渡邉築	
2026-FALL	紫禁・御猫房～紫禁城猫警備室～	MANGA?	阿喃 呆兔 原作企画：快看漫画 エグゼクティブプロデューサー：龚宇 アソシエイトプロデューサー：陈安妮 チーフスーパーバイザー：王晓晖 スーパーバイザー：陈潇 チーフエディター：王兆楠 チーフプロデューサー：郝博	
2026-FALL	百妖譜 京師篇	?	裟椤双樹	
2026-FALL	楽楽飯店	?		
2026-FALL	朱色の仮面	?		
2026-FALL	僕らが選んだベストアドベンチャー	?		
2026-FALL	仮面ライダーマイス	?	石ノ森章太郎	
2026-FALL	ポップパップポルターズ	?		
2026-FALL	タヌキとキツネ	MANGA?	アタモト『 タヌキとキツネ 』（フロンティアワークス／リラクトコミックス刊）	
2026-FALL	スティール・ボール・ラン ジョジョの奇妙な冒険 2nd & 3rd STAGE	?	荒木飛呂彦	
2026-FALL	ケロロ軍曹☆	?		
2026-FALL	ガールズ＆パンツァー もっとらぶらぶ作戦です！	MANGA?	「 ガールズ&amp;パンツァー 」シリーズ コミックス：弐尉マルコ「 ガールズ&amp;パンツァー もっとらぶらぶ作戦です！ 」（MFコミックス アライブシリーズ/KADOKAWA刊）	
2026-FALL	ぷにるんず ぷに４	?		
2026-FALL	ごーすと・みーつ・ぎゃる！	?	カエルDX	
2026-FALL	dreamland	?	Reno Lemaire	
2026-FALL	LEGO® ONE PIECE	?		
2026-FALL	Duel Masters LOST ～断罪の少年～	MANGA?	松本しげのぶ 作画： 金林洋 （小学館「週刊コロコロコミック」連載） ストーリー原案： 松本しげのぶ キャラクターデザイン原案：	
2026-FALL	Bass X Machina: バス X マキナ	?		
2025-WINTER	夜は猫といっしょ 第3期	?	キュルZ（「 夜は猫といっしょ 」／KADOKAWA刊） 監督・脚本：芦名みのる キャラクターデザイン・作画監督・美術監督・美術設定：たけはらみのる	
2025-WINTER	五等分の花嫁＊	?	春場ねぎ 監督・シリーズ構成：神保昌登 脚本協力： 春場ねぎ	
2025-WINTER	ミニミニ minini	?		
2025-WINTER	パンの赤ちゃん	?		
2025-WINTER	スパイダーマン：フレンドリー・ネイバーフッド	?		
2025-WINTER	どこでもマキバオー	MANGA?	つの丸『 みどりのマキバオー 』（集英社文庫コミック版刊） 監督・シリーズ構成・演出： FROGMAN	
2025-WINTER	【アニコミ】聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました	?	よどら文鳥 作画：ミドリRTC STUDIO	
2025-WINTER	「1分間だけ触れてもいいよ…」シェアハウスの秘密ルール。	?		
2025-WINTER	Sランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士として暮らしてます	MANGA?	東雲太郎（漫画） 銀翼のぞみ（原作） 東雲太郎 夜ノみつき（キャラクター原案）「Sランクモンスターの≪ベヒーモス≫だけど、猫と間違われてエルフ娘の騎士として暮らしてます」（白泉社「ヤングアニマル」連載）	
2025-WINTER	SWEETS MATE	?		
2025-WINTER	RINGING FATE	?		
2025-WINTER	FARMAGIA	?	FARMAGIA （マーベラス） キャラクター原案： 真島ヒロ	
2025-WINTER	BEASTARS FINAL SEASON	MANGA?	『 BEASTARS 』 板垣巴留 （秋田書店少年チャンピオン・コミックス刊）	
2025-WINTER	ARK：アニメーションシリーズ	?		
2025-SUMMER	転生宗主の覇道譚 ～すべてを呑み込むサカナと這い上がる～	?	默「鲲吞天下」	
2025-SUMMER	特装合体ロボ ジョブレイバー	non-manga	タカラトミー	
2025-SUMMER	映栄杉さん家はお侍	non-manga	「 映栄杉さん家はお侍 」 松竹・イマジカインフォス 企画・製作：松竹株式会社 イノベーション推進部 株式会社イマジカインフォス 制作プロダクション：株式会社ビットグルーヴプロモーション 公開開始年＆季節 2025夏アニメ (C)松竹・TapNovel	
2025-SUMMER	傷心タイムリープ	?		
2025-SUMMER	マリー・アントワネットに転生したので全力でギロチンを回避します	?		
2025-SUMMER	ファムファタル育成計画	?		
2025-SUMMER	ハイガクラ	?	高山しのぶ （ゼロサムオンライン／一迅社刊）	
2025-SUMMER	ネコのクラちゃん ～Ordinary days～	?		
2025-SUMMER	ウルトラマンオメガ	?		
2025-SUMMER	にゃんデレ	?		
2025-SUMMER	ちびゴジラの逆襲 最新作	?		
2025-SUMMER	cocoon（コクーン） ～ある夏の少女たちより～	?	今日マチ子 『cocoon』	
2025-SUMMER	SAND LAND: THE SERIES	?		
2025-SUMMER	Jack the Reaper	?	長月達平 シリーズ構成/脚本：羽咲うさぎ	
2025-SUMMER	9-nine- Ruler's Crown	?	ぱれっと キャラクター原案：和泉つばす	
2025-SPRING	限界OL霧切ギリ子	?	ミートスパ土本 公開開始年＆季節 2025春アニメ (C)ミートスパ土本/集英社 『限界OL霧切ギリ子』公式X（Twitter） 関連記事 限界OL霧切ギリ子 pic.twitter.com/WkhI64IhMz&mdash;限界OL霧切ギリ子【ショートアニメ公式】(@giriko_offical)2025年5月26日	
2025-SPRING	遊☆戯☆王デュエルモンスターズGX 20th Remaster	MANGA?	高橋和希 スタジオ・ダイス（集英社「週刊少年ジャンプ」）	
2025-SPRING	ニンジャバットマン対ヤクザリーグ	?		
2025-SPRING	ツインズひなひま	?	ツインズひなひま （KaKa Creation）	
2025-SPRING	ゲゲゲの鬼太郎 私の愛した歴代ゲゲゲ	?		
2025-SPRING	キミと僕の最後の戦場、あるいは世界が始まる聖戦 Season II	non-manga	細音啓（ファンタジア文庫『 キミと僕の最後の戦場、あるいは世界が始まる聖戦 』KADOKAWA刊） キャラクター原案：猫鍋蒼	
2025-SPRING	この恋で鼻血を止めて	?	澄子「無聊就会死」	
2025-SPRING	げっかん！なんものアニメ	?		
2025-SPRING	かぐや様は告らせたい～メモリーズセレクション～	MANGA?	赤坂アカ （集英社ヤングジャンプコミックス刊）	
2025-SPRING	TO BE HERO X	?		
2025-SPRING	GAMERA -Rebirth-	?	KADOKAWA	
2025-SPRING	Devil May Cry	?		
2025-FALL	龍族Ⅱ -The Mourner's Eyes-	?	ジャン・ナン「龍族」 監督・シリーズ構成：ワン・シン キャラクター原案：ワン・シン 大暮維人	
2025-FALL	藤本タツキ 17-26	?	藤本タツキ 制作統括：FLAGSHIP LINE 配給：エイベックス・ピクチャーズ 製作：「 藤本タツキ 17-26 」製作委員会 公開開始年＆季節	
2025-FALL	羅小黒戦記	?		
2025-FALL	破産富豪 The Richest Man in GAME	?	青衫取醉	
2025-FALL	地球のラテール	?	高岸遥	
2025-FALL	仮面ライダーゼッツ	?	石ノ森章太郎	
2025-FALL	マーベル・ゾンビーズ	?		
2025-FALL	ケンガンアシュラ Season2 Part.2（TV放送）	MANGA?	サンドロビッチ・ヤバ子 作画： だろめおん （小学館「マンガワン」連載）	
2025-FALL	ある日、お姫様になってしまった件について	non-manga	Spoon Plutus KWBOOKS (CARROTOON) エグゼクティブプロデューサー：龚宇 陈安妮 チーフスーパーバイザー：王晓晖 スーパーバイザー：陈潇 チーフエディター：王兆楠 チーフプロデューサー：郝博 刘青艳 邓志巍 プロデューサー：王梦桥 黄丽瑛 王欣桐 曾雯丝	
2025-FALL	「魔法少女まどか☆マギカ 始まりの物語／永遠の物語」TV Edition	?	MagicaQuartet	
