series_key	title	class	subtitle	vols	first_date	last_date	imprints	authors	isbn	既存頁slug	類似頁	材料	著者既掲載
name:ながめ空|name:生贄の神は鈴の音に眠る	生贄の神は鈴の音に眠る	未掲載		2	2025-09-13	2026-04-04	BE LOVE KC	ながめ空	9784065407509			紹介文+書影	
name:すちふぁ|name:無能と言われ続けた魔導師、実は世界最強なのに幽閉されていたので自覚なし	無能と言われ続けた魔導師、実は世界最強なのに幽閉されていたので自覚なし	未掲載		2	2025-09-13	2026-04-04	ガルドコミックス	奉 / すちふぁ	9784824013514			紹介文+書影	
name:青鹿毛スバル|name:怪物王子と毒草使いの姫君	怪物王子と毒草使いの姫君	未掲載		2	2026-01-02	2026-04-04	プティルFantasyコミックス	青鹿毛スバル	9784302108633			紹介文+書影	
name:中島佑|name:巡る遊星	巡る遊星	未掲載		2	2025-07-18	2026-04-04	ヤングジャンプコミックス	中島佑	9784088936789			紹介文+書影	
name:穂菓つみき|name:崖っぷち令嬢が4人の仲間と共に王妃になるまで	崖っぷち令嬢が4人の仲間と共に王妃になるまで	未掲載		2	2025-09-27	2026-04-04	フロースコミック	言寺あまね / 穂菓つみき	9784046600158			紹介文+書影	済
name:丸伝次郎|name:名探偵コナン100万ドルの五稜星	名探偵コナン100万ドルの五稜星	未掲載		2	2026-04-04	2026-04-04	少年サンデーコミックス	大倉崇裕 / 青山剛昌 / 永岡智佳	9784098545339		meitantei-conan	未取得	済
name:ただまなみ|name:センセイはキスが下手なヴァンパイア	センセイはキスが下手なヴァンパイア	未掲載		2	2025-05-09	2026-04-04	KCデラックス	ただまなみ	9784065395097			紹介文+書影	済
name:大麦こあら|name:カットオーバー・クライテリア	カットオーバー・クライテリア	未掲載		2	2021-07	2026-04-04	NUUDE COMICS / 光文社BL COMICS	大麦こあら	9784334109011			紹介文+書影	
name:大麦こあら|name:エマのごちそう	エマのごちそう	未掲載		2	2022-08	2026-04-04	NUUDE COMICS / 光文社BL COMICS	大麦こあら	9784334109028			紹介文+書影	
name:noho|name:となりの妖怪さん外伝	となりの妖怪さん外伝	未掲載		2	2023-08	2026-04-04		noho	9784781622347		tonari-no-youkai-san	未取得	済
name:境壱幸|name:この縁談は解釈違いです!	この縁談は解釈違いです!	未掲載		2	2025-03-28	2026-04-04	Pomme Comics	戯屋べんべ	9784048114691			紹介文+書影	済
name:ロケット商会|name:おかけになった呪文は現在使われておりません	おかけになった呪文は現在使われておりません	未掲載		2	2025-11-08	2026-04-04	シリウスKC	ロケット商会 / 天宮ケイリ	9784065412718			紹介文+書影	済
name:兎山もなか|name:うるさい理性を脱ぎ捨てて	うるさい理性を脱ぎ捨てて	未掲載		2	2026-04-04	2026-04-04	Pink cherie comics	兎山もなか / 小雨	9784815531201			紹介文+書影	済
name:着ちよあ|name:読むたびに幸せを!	読むたびに幸せを!	未掲載		2	2026-01-16	2026-04-01	ガンガンコミックス	安達園丸	9784301002734			紹介文+書影	
name:中山有香里|name:天国での暮らしはどうですか	天国での暮らしはどうですか	未掲載		2	2025-08-13	2026-04-01		中山有香里	9784046848666			紹介文+書影	済
name:ぺい|name:冒険者になれなかった俺、スキル「おっぱい矯正」で悩めるあの子を人助け!?	冒険者になれなかった俺、スキル「おっぱい矯正」で悩めるあの子を人助け!?	未掲載		2	2025-07-15	2026-04-01	電撃コミックスNEXT	ぺい	9784049164862			紹介文+書影	
name:ゼノトゥーン|name:メイクアガール	メイクアガール	未掲載		2	2025-06-01	2026-04-01	電撃コミックスNEXT	熊谷まひろ / 安田現象 / ゼノトゥーン	9784049164367			紹介文+書影	
name:端坂梨海|name:バイクが趣味の地味子の日常	バイクが趣味の地味子の日常	未掲載		2	2025-10-08	2026-04-01	ボーダーコミックス	端坂梨海	9784845869824			紹介文+書影	
name:まつたけうめ|name:デッドマウント・デスプレイ外伝 怪人ソリティアの神仙偽術	デッドマウント・デスプレイ外伝 怪人ソリティアの神仙偽術	未掲載		2	2025-11-15	2026-04-01	ヤングガンガンコミックス	成田良悟 / まつたけうめ / 藤本新太	9784301001881		dead-mount-death-play	未取得	済
name:NHN|name:アルカリレットウセイ	アルカリレットウセイ	未掲載		2	2025-03-05	2026-04-01	MFコミックス. ジーンシリーズ	城崎 / NHN PlayArt株式会社 / 佐藤まひろ	9784046846075			紹介文+書影	済
name:なぎと|name:アプリコットファズ	アプリコットファズ	未掲載		2	2025-09-10	2026-04-01	電撃コミックスNEXT	なぎと	9784049166873			紹介文+書影	済
name:衣笠彰梧|name:ようこそ実力至上主義の教室へ2年生編2nd Stage	ようこそ実力至上主義の教室へ2年生編2nd Stage	未掲載		2	2025-08-06	2026-04-01	MFコミックス. アライブシリーズ	衣笠彰梧 / 駒田ハチ	9784046600110			紹介文+書影	済
name:翁丸ジョン|name:ちはるくんは女装をしたくない!	ちはるくんは女装をしたくない!	未掲載		2	2025-10-01	2026-04-01	ガンガンコミックスup!	翁丸ジョン	9784301000907			紹介文+書影	
name:宮野金太郎|name:ただ制服を着てるだけ	ただ制服を着てるだけ	未掲載		2	2025-05-30	2026-04-01	ガンガンコミックスup!	神田暁一郎 / 宮野金太郎	9784301004424			紹介文+書影	
name:島國|name:その政略結婚、謹んでお受け致します。	その政略結婚、謹んでお受け致します。	未掲載		2	2025-02-12	2026-04-01	KCx	島國 / 心音瑠璃	9784065384329			紹介文+書影	済
name:朝依しると|name:VTuberのエンディング、買い取ります。	VTuberのエンディング、買い取ります。	未掲載		2	2025-09-13	2026-04-01	ガンガンコミックス	背筋 / 朝依しると	9784301000549			紹介文+書影	済
name:丹野ちくわぶ|name:鷹神様と憐れな生贄	鷹神様と憐れな生贄	未掲載		2	2022-08	2026-03-27	Gush comics / Kaiohsha comics. Gush comics	丹野ちくわぶ	9784796415385			紹介文+書影	
name:宮村樹|name:鬼騎士団長様がキュートな乙女系カフェに毎朝コーヒーを飲みに来ます。	鬼騎士団長様がキュートな乙女系カフェに毎朝コーヒーを飲みに来ます。	未掲載		2	2025-08-29	2026-03-27	ガンガンコミックスup!	氷雨そら / 宮村樹	9784301003687			紹介文+書影	
name:福留和|name:鬼嫁うららはメロらせたい	鬼嫁うららはメロらせたい	未掲載		2	2025-10-01	2026-03-27	ガンガンコミックスonline	福留和	9784301001218			紹介文+書影	
name:神江ちず|name:華麗なる悪女になりたいわ!	華麗なる悪女になりたいわ!	未掲載		2	2025-06-21	2026-03-27	ガンガンコミックスonline	Bcoca / 神江ちず / 転	9784301003953			紹介文+書影	済
name:かなめもにか|name:箱入りお嬢様と庶民な俺のやりたい100のこと	箱入りお嬢様と庶民な俺のやりたい100のこと	未掲載		2	2024-10-27	2026-03-27	ガンガンコミックスup!	かなめもにか / Bcoca	9784301003526			紹介文+書影	済
name:金田正太郎|name:狼王弟と白のお嫁さん	狼王弟と白のお嫁さん	未掲載		2	2023-05	2026-03-27	Birz comics = バーズコミックス / Birz comics = バーズコミックス. Estro collection = エストロコレクション	金田正太郎	9784344852297			紹介文+書影	済
name:香穂|name:推しセフ	推しセフ	未掲載		2	2025-09-13	2026-03-27	ガンガンコミックスonline	香穂	9784301000624			紹介文+書影	済
name:佐伊村司|name:惨劇山脈～ヒグマ襲撃～	惨劇山脈～ヒグマ襲撃～	未掲載		2	2025-11-01	2026-03-27	ヤングチャンピオン・コミックス		9784253004725			紹介文+書影	
name:小川春|name:12月の明星	12月の明星	未掲載		2	2025-03-28	2026-03-27	ガンガンコミックスBLiss	米々	9784301004110			紹介文+書影	
name:夏目漱石|name:門	門	未掲載		2	2010-10	2026-03-25	KADOKAWA MASTERPIECE COMICS / MANGA BUNGOシリーズ	夏目漱石 / 井上大助	9784046077677			紹介文+書影	済
name:望公太|name:鷲尾さんは楽天的でいたい	鷲尾さんは楽天的でいたい	未掲載		2	2025-11-15	2026-03-20	ヤングガンガンコミックス	望公太 / 松田遊	9784301001935			紹介文+書影	済
name:くろこだわに|name:虐げられの魔術師令嬢は、『氷狼宰相』様に溺愛される	虐げられの魔術師令嬢は、『氷狼宰相』様に溺愛される	未掲載		2	2025-08-13	2026-03-20	isekai f	水垣するめ / 鈴木ミニラ	9784838733439			紹介文+書影	済
name:折紙ちよこ|name:芝居と呼ぶには恋すぎる	芝居と呼ぶには恋すぎる	未掲載		2	2025-06-21	2026-03-20	ガンガンコミックスBLiss	折紙ちよこ	9784301004103			紹介文+書影	済
name:うみとしま|name:砂漠の国の雨降らし姫	砂漠の国の雨降らし姫	未掲載		2	2025-06-21	2026-03-20	ガンガンコミックスonline	守雨 / うみとしま	9784301003885			紹介文+書影	済
name:宍戸まめぞう|name:悪役令息、好きな人を金で買う	悪役令息、好きな人を金で買う	未掲載		2	2025-07-25	2026-03-20	ガンガンコミックスjoker	宍戸まめぞう	9784301000808			紹介文+書影	済
name:月本弓|name:君を映して離さない	君を映して離さない	未掲載		2	2025-11-15	2026-03-20	HC Special / Hanatoyume comics special. マンガpark	くろもとみつぐ	9784592230977			紹介文+書影	
name:葵梅太郎|name:ひねくれ騎士とふわふわ姫様	ひねくれ騎士とふわふわ姫様	未掲載		2	2025-07-11	2026-03-20	ガンガンコミックス	葵梅太郎	9784301003830			紹介文+書影	済
name:enem|name:さようなら、私たちに優しくなかった、すべての人々	さようなら、私たちに優しくなかった、すべての人々	未掲載		2	2025-08-22	2026-03-20	ガンガンコミックスup!	井上みつる / enem	9784301003588			紹介文+書影	済
