分類	slug	頁題	著者	頁巻数	対象巻数	再録元候補	isbn	楽天題	楽天副題	レーベル	同著者他頁数
RECOLLECT	tada-kaoru-the-best	多田かおるTHE BEST	多田かおる	1	1	イタズラなkiss(37巻) / 愛してナイト(11巻)	9784088650920	多田かおるthe　best	愛！笑い！感動！ラブコメディ名作セレクション	クイーンズコミックス	13
REVIEW	taihenai	大変愛	もりたじゅん	1	1		9784088624563	大変愛	もりたじゅん名作集	YOUコミックス	33
VERSION_MIX	taishou-yarou	大正野郎	山田芳裕	2	1		9784091933218	大正野郎	山田芳裕傑作集 1	コミック文庫（青年）	10
VERSION_MIX	tanpopo-san-no-uta	たんぽぽさんの詩	西岸良平	7	1		9784575992342	たんぽぽさんの詩（1）	西岸良平名作選	アクションコミックス	20
RECOLLECT	tarot-sansou-satsujin-jiken	タロット山荘殺人事件	さとうふみや・天樹征丸	1	1	金田一少年の事件簿(61巻) / 金田一少年の事件簿(61巻)	9784063343427	タロット山荘殺人事件	「金田一少年の事件簿」ベストセレクション	KCデラックス	21
RECOLLECT	tasogare-ryuuseigun-best-obu-best	黄昏流星群ベストオブベスト	弘兼憲史	3	3	黄昏流星群(93巻) / 人間交差点(46巻)	9784091855299	黄昏流星群 ベスト オブ ベスト（1）	弘兼憲史自選傑作集	ビッグ コミックス	54
RECOLLECT	tasogare-ryuuseigun-best-obu-best	黄昏流星群ベストオブベスト	弘兼憲史	3	3	黄昏流星群(93巻) / 人間交差点(46巻)	9784091855305	黄昏流星群ベスト オブ ベスト（2）	弘兼憲史自選傑作集	ビッグ コミックス	54
RECOLLECT	tasogare-ryuuseigun-best-obu-best	黄昏流星群ベストオブベスト	弘兼憲史	3	3	黄昏流星群(93巻) / 人間交差点(46巻)	9784091855664	黄昏流星群ベスト オブ ベスト（3）	弘兼憲史自選傑作集	ビッグ コミックス	54
RECOLLECT	teppee-sanjou	てっぺー参上	中津賢也	1	1	桃色サバス(19巻) / 妖怪仕置人(16巻)	9784047130104	てっぺー参上	中津賢也傑作集	コンプコミックス	8
REVIEW	terashimachou-ki-tan	寺島町奇譚	滝田ゆう	1	1		9784835455594	寺島町奇譚	傑作選		13
RECOLLECT	texture-heroine	テクスチャーヒロイン	御米椎	1	1	それゆけ!宇宙戦艦ヤマモト・ヨーコRemix(8巻)	9784886536242	テクスチャーヒロイン	御米椎傑作集	Hard　comics	2
VERSION_MIX	the-debut	ザ★デビュー	本田恵子・ホーム社・創美社	3	2		9784088480107	ザ★デビュー（2）	マーガレット新人まんが傑作集	マーガレットコミックス	29
VERSION_MIX	the-debut	ザ★デビュー	本田恵子・ホーム社・創美社	3	2		9784088482279	ザ★デビュー（3）	マーガレット新人まんが傑作集	マーガレットコミックス	29
RECOLLECT	toki-no-nai-tokei-natsu-no-onpu	時のない時計/夏の音符	永田正実	1	1	恋愛カタログ(54巻) / 好きって言わせる方法(9巻)	9784086183390	時のない時計／夏の音符	永田正実初期作品セレクション	集英社文庫	10
RECOLLECT	tokimeki-eru-saizu	ときめき❤えるサイズ	すぎ恵美子	1	1	♂と♀の方程式(15巻) / げっちゅー(13巻)	9784091320971	ときめき・えるサイズ	すぎ恵美子傑作集 7	フラワーコミックス	35
RECOLLECT	tonda-shinkiroku	とんだ新記録	やぶうち優	1	1	水色時代(16巻) / ドーリィ♪カノン(10巻)	9784091351739	とんだ新記録	やぶうち優傑作集 3	フラワーコミックス	27
RECOLLECT	toppi-hakase-no-chinbouken	トッピ博士の珍冒険	前谷惟光	1	1	ロボット三等兵(14巻) / ロボットくん(5巻)	9784775912430	トッピ博士の珍冒険	前谷惟光傑作集９	マンガショップシリ-ズ	14
REVIEW	toppuya-joe	トップ屋ジョー	江波譲二	1	1		9784944154432	トップ屋ジョー	貸本劇画傑作選　4		0
RECOLLECT	toriotoko-vs-sukuuruzamurai	鳥男vsスクール侍	見ル野栄司	1	1	異世界町工場無双(7巻)	9784862522214	鳥男vsスク-ル侍	スナック鳥男セレクション		17
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245210	十津川警部犯罪レポート（1）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスWIDE	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245227	十津川警部犯罪レポート（2）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスWIDE	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245234	十津川警部犯罪レポート（3）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスWIDE	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245241	十津川警部犯罪レポート（4）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスＷＩＤＥ	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245258	十津川警部犯罪レポート（5）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスＷＩＤＥ	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245265	十津川警部犯罪レポート（6）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスＷＩＤＥ	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245272	十津川警部犯罪レポート（7）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスＷＩＤＥ	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245289	十津川警部犯罪レポート（8）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスＷＩＤＥ	74
REVIEW	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	小山田いく・服部あゆみ・瀬畑純・鳥羽笙子・宗美智子・風祭壮太・大舞キリコ	9	9		9784253245296	十津川警部犯罪レポート（9）	西村京太郎ミステリーコミックセレクション	秋田トップコミックスＷＩＤＥ	74
RECOLLECT	tsumujikaze	つむじ風	鎌田洋次	1	1	風の翼(10巻) / タンブリング(7巻)	9784091512314	つむじ風（1）	ベースボールコミック傑作集	ヤングサンデーコミックス	9
VERSION_MIX	uchuu-keisatsu-tetsuo	宇宙警察テツオ	大江慎一郎	3	1		9784088705903	宇宙警察テツオ（1）	最強ジャンプGAGセレクション6	ジャンプコミックス	2
RECOLLECT	ultraman-daigekisen	ウルトラマン大激戦	内山まもる	1	1	番外甲子園(18巻) / こんな女と暮らしてみたい(16巻)	9784091490711	ウルトラマン大激戦	内山まもるウルトラ傑作選	てんとう虫コミックススペシャル	33
RECOLLECT	uta	歌	松田奈緒子	1	1	重版出来!(20巻) / レタスバーガープリーズ.OK,OK!(11巻)	9784594055493	歌	文芸ロマン漫画傑作選		12
RECOLLECT	watashi-ga-kieru-toki	わたしが消える時	曽祢まさこ	1	1	不思議の国の千一夜(17巻) / 呪いの招待状(6巻)	9784821187898	わたしが消える時	曽祢まさこ傑作集	ホラーMコミック文庫	64
VERSION_MIX	watashi-no-kawahara-izumi	ワタシの川原泉	川原泉	5	4		9784592198901	ワタシの川原泉（1）	川原泉傑作集	花とゆめコミックススペシャル	18
VERSION_MIX	watashi-no-kawahara-izumi	ワタシの川原泉	川原泉	5	4		9784592198918	ワタシの川原泉（2）	川原泉傑作集	花とゆめコミックススペシャル	18
VERSION_MIX	watashi-no-kawahara-izumi	ワタシの川原泉	川原泉	5	4		9784592217190	川原泉傑作集 ワタシの川原泉III	川原泉傑作集	花とゆめコミックススペシャル	18
VERSION_MIX	watashi-no-kawahara-izumi	ワタシの川原泉	川原泉	5	4		9784592217206	川原泉傑作集 ワタシの川原泉IV	川原泉傑作集	花とゆめコミックススペシャル	18
RECOLLECT	wide-show	ワイドショー	内田春菊	1	1	私たちは繁殖している(25巻) / 目を閉じて抱いて(10巻)	9784043444267	ワイドショー	内田春菊ホラー傑作選	角川ホラー文庫	78
RECOLLECT	yaiba-2013	刃	さいとう・たかを・さいとうプロダクション	1	1	ゴルゴ13(437巻) / ゴルゴ13(437巻)	9784845843152	刃	時代劇ベストセレクション	SPコミックス	110
RECOLLECT	yakekuso-mokushiroku	やけくそ黙示録	吾妻ひでお	1	1	ななこSOS(8巻) / やけくそ天使(7巻)	9784257916765	やけくそ黙示録	吾妻ひでお傑作選	サンコミックス	46
VERSION_MIX	yami-no-ouji-no-monogatari	闇の王子の物語	曽祢まさこ	3	1		9784821170913	闇の王子の物語	曽祢まさこ傑作集	ホラーＭコミック文庫	64
VERSION_MIX	yasashii-akuma	やさしい悪魔	川口まどか	14	1		9784063198799	やさしい悪魔（fantasy）	川口まどか自選傑作集　3	KCデラックス	14
RECOLLECT	yasashii-akuma-rabu-story	やさしい悪魔 LOVE STORY	川口まどか	1	1	死と彼女とぼく(15巻) / やさしい悪魔(14巻)	9784063198782	やさしい悪魔（love　story）	川口まどか自選傑作集　2	KCデラックス	14
RECOLLECT	yasashii-uta-nanka-iranai	やさしい歌なんかいらない	石塚夢見	1	1	朝倉くんちょっと!(22巻) / ピアニシモでささやいて(12巻)	9784091330833	やさしい歌なんかいらない	石塚夢見傑作集 3	フラワーコミックス	24
RECOLLECT	yatteranneeya	やってらんねえや	伊藤実	1	1	おがみ松吾郎(15巻)	9784063114041	やってらんねえや	伊藤実傑作集	少年マガジンKC	9
RECOLLECT	yellow-man	イエローマン	杉浦茂	1	1	杉浦茂マンガ館(5巻) / 杉浦茂オンデマンド選集(5巻)	9784757749023	イエローマン	杉浦茂シュールへんてこりん傑作選	ビームコミックス	18
RECOLLECT	yome-e	嫁へ	金子節子	1	1	のんちゃんの手のひら(10巻) / オッス!美里ちゃん(7巻)	9784253121804	嫁へ	金子節子“家族”傑作選	秋田レディースコミックスセレクション　アラ還愛子ときどき母	35
RECOLLECT	yomigaerutetsuwan-atom	甦る!鉄腕アトム	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779627927	甦る！鉄腕アトム	手塚治虫セレクション	サンエイムック	330
RECOLLECT	yomu-dake-de-shiawase-ni-naru-black-jack	読むだけで幸せになるブラック・ジャック	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784253132695	読むだけで幸せになるブラック・ジャック	ブラック・ジャックセレクション	少年チャンピオンコミックス　エクストラ	330
RECOLLECT	zenkan-shutsugeki	全艦出撃!!	ふくやまけいこ・道原かつみ・碧也ぴんく・らいとすたっふ	2	2	JOKER(11巻) / 東京物語(10巻)	9784191247703	全艦出撃！！	「銀河英雄伝説」同人誌ベストセレクション		67
RECOLLECT	zenkan-shutsugeki	全艦出撃!!	ふくやまけいこ・道原かつみ・碧也ぴんく・らいとすたっふ	2	2	JOKER(11巻) / 東京物語(10巻)	9784191252868	全艦出撃！！（3）	「銀河英雄伝説」同人誌ベストセレクション		67
