分類	slug	頁題	著者	頁巻数	対象巻数	再録元候補	isbn	楽天題	楽天副題	レーベル	同著者他頁数
RECOLLECT	hachigatsu-no-koi-kooryuu	八月の鯉/コーリュー	江川達也	1	1	まじかる☆タルるートくん(35巻) / 東京大学物語(34巻)	9784087827910	八月の鯉／コーリュー	江川達也傑作集	ヤングジャンプコミックス	22
VERSION_MIX	hadashi-no-joou-marietta	はだしの王女マリエッタ	牧村ジュン	2	1		9784063607413	はだしの王女マリエッタ	牧村ジュン傑作集	講談社漫画文庫	7
RECOLLECT	haha-no-yuigon	母の遺言	金子節子	1	1	のんちゃんの手のひら(10巻) / オッス!美里ちゃん(7巻)	9784253121767	母の遺言	金子節子“いのち”傑作選	秋田レディースコミックスセレクション	35
RECOLLECT	hakanai-yume	はかない夢	水木しげる	1	1	水木しげる漫画大全集(103巻) / ゲゲゲの鬼太郎(41巻)	9784257960362	はかない夢	水木しげる短編傑作集「風刺編」	Sun　wide　comics	197
RECOLLECT	hana-meikyuu-2002	花迷宮	深見じゅん	1	1	悪女(56巻) / ぽっかぽか(35巻)	9784088650913	花迷宮	深見じゅん名作集	クイーンズコミックス	37
RECOLLECT	hangyaku-no-kamon	叛逆の家紋	平田弘史	1	1	黒田・三十六計(8巻) / 薩摩義士伝(6巻)	9784883791910	叛逆の家紋	平田弘史傑作選昭和46年〜50年		28
RECOLLECT	hida-karakuri-yashiki-satsujin-jiken	飛騨からくり屋敷殺人事件	さとうふみや・天樹征丸	1	1	金田一少年の事件簿(61巻) / 金田一少年の事件簿(61巻)	9784063343571	飛騨からくり屋敷殺人事件	「金田一少年の事件簿」ベストセレクション	KCデラックス	21
RECOLLECT	hige-no-ooeru-yabuuchi-sasako	ヒゲのOL薮内笹子	しりあがり寿	1	1	弥次喜多 in DEEP(8巻)	9784812450345	ヒゲのOL藪内笹子	しりあがり寿傑作集2	バンブーコミックス	57
RECOLLECT	himitsu-no-koi-wa-itsumo-hni	ヒミツの恋はいつもHに	酒井美羽	1	1	その男、ワガママにつき(16巻) / ￥十億少女(15巻)	9784592152644	ヒミツの恋はいつもHに	酒井美羽スペシャルセレクション　4	白泉社レディースコミックス	105
VERSION_MIX	hisui-no-mori	翡翠の森	名香智子	2	1		9784575724776	翡翠の森	ミステリ-名作選集１	双葉文庫	67
RECOLLECT	hna-koi-de-lich-ni-narou	Hな恋でリッチになろう	酒井美羽	1	1	その男、ワガママにつき(16巻) / ￥十億少女(15巻)	9784592152613	Hな恋でリッチになろう	酒井美羽スペシャルセレクション　1	白泉社レディースコミックス	105
RECOLLECT	honoo-no-fudedama	炎の筆魂	島本和彦	3	3	アオイホノオ(33巻) / 炎の転校生(22巻)	9784257903123	炎の筆魂	島本和彦傑作選	Asahi　sonorama　comics	48
RECOLLECT	honoo-no-fudedama	炎の筆魂	島本和彦	3	3	アオイホノオ(33巻) / 炎の転校生(22巻)	9784257903543	炎の筆魂（2之拳）	島本和彦傑作選	Asahi　sonorama　comics	48
RECOLLECT	honoo-no-fudedama	炎の筆魂	島本和彦	3	3	アオイホノオ(33巻) / 炎の転校生(22巻)	9784257905332	炎の筆魂（3之拳）	島本和彦傑作選	Asahi　sonorama　comics	48
REVIEW	hoosuke-ga-ita	ホースケがいた	福地泡介	1	1		9784532162412	ホースケがいた	福地泡介〈マンガ＋エッセイ〉傑作選		1
RECOLLECT	hoshi-no-fune-ni-notte	星の舟に乗って	深見じゅん	1	1	悪女(56巻) / ぽっかぽか(35巻)	9784088625010	星の舟に乗って	深見じゅん名作集	YOUコミックス	37
VERSION_MIX	hunter-hunter-treasure	HUNTER×HUNTER Treasure	冨樫義博	11	1		9784081110407	HUNTER×HUNTER総集編Treasure（2（天空闘技場））	総集編	集英社マンガ総集編シリーズ	4
VERSION_MIX	iara	イアラ	楳図かずお	12	1		9784091703118	イアラ	異色短編傑作選		100
