title	kana	authors	vols	lacking
異世界帰りの大賢者様はそれでもこっそり暮らしているつもりです.	イセカイガエリノダイケンジャサマワソレデモコッソリクラシテイルツモリデス	木野二九/岡﨑純平	[9]	巻不連続[9];v1書影無(楽天)
異世界最強の嫁ですが、夜の戦いは俺の方が強いようです : 知略を活かして成り上がるハーレム戦記.	イセカイサイキョウノヨメデスガヨルノタタカイワオレノホウガツヨイヨウデス:チリャ	ありのかまち/シンギョウガク	[4]	巻不連続[4];v1書影無(楽天)
異世界車中泊物語 : アウトランナーPHEV.	イセカイシャチュウハクモノガタリ:アウトランナーピーエイチイーブイ	芳賀概夢/灯まりも	[5]	巻不連続[5];v1書影無(楽天)
異世界娼館.	イセカイショウカン	しいなかずき	[4]	巻不連続[4];v1書影無(楽天)
異世界商人 : スキル〈異世界渡航〉を駆使して、悠々自適なお金持ちスローライフを送ります.	イセカイショウニン:スキルイセカイトコウオクシシテユウユウジテキナオカネモチスロ	はも/青葉	[1]	題不一致(NDL/楽天):異世界商人 スキル<異世界渡
異世界転移したら愛犬が最強になりました : シルバーフェンリルと俺が異世界暮らしを始めたら : THE COMIC.	イセカイテンイシタラアイケンガサイキョウニナリマシタ:シルバーフェンリルトオレガ	一花ハナ/龍央	[5]	巻不連続[5];v1書影無(楽天)
異世界転生スラム街からの成り上がり : 採取や猟をしてご飯食べてスローライフするんだ.	イセカイテンセイスラムガイカラノナリアガリ:サイシュヤリョウオシテゴハンタベテス	幾夜大黒堂/滝川海老郎	[3]	巻不連続[3];v1書影無(楽天)
異世界転生の冒険者.	イセカイテンセイノボウケンシャ	しばの番茶/ケンイチ	[11]	巻不連続[11];v1書影無(楽天)
異世界でチート能力を手にした俺は、現実世界をも無双するガールズサイド = I got a cheat ability in a different world,and became extraordinary even in the rea	イセカイデチートスキルオテニシタオレワゲンジツセカイオモムソウスルガールズサイド	瀬尾みいのすけ/琴平稜	[1]	題不一致(NDL/楽天):異世界でチート能力を手にした
異世界の沙汰は社畜次第.	イセカイノサタワシャチクシダイ	采和輝/八月八	[6]	巻不連続[6];v1書影無(楽天)
異世界バトルロイヤル.	イセカイバトルロイヤル	平石六/巖本英利	[4]	巻不連続[4];v1書影無(楽天)
異世界マンチキン : HP1のままで最強最速ダンジョン攻略.	イセカイマンチキン:ヒットポイントイチノママデサイキョウサイソクダンジョンコウリ	志瑞祐/青桐良	[11]	巻不連続[11];v1書影無(楽天)
