tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	src	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		4	LEAD	9784880238715	2004-12	rakuten-live	世界の名作オペラ(4)	つづき佳子	ティーケイシー出版	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023871.jpg
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		5	LEAD	9784880238722	2005-01	rakuten-live	世界の名作オペラ(5)	つづき佳子	ティーケイシー出版	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023872.jpg
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		6	LEAD	9784880238739	2005-01	rakuten-live	世界の名作オペラ(6)	つづき佳子	本の泉社	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023873.jpg
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		7	LEAD	9784880238746	2005-02	rakuten-live	世界の名作オペラ(7)	つづき佳子	本の泉社	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023874.jpg
ACCEPT	senmonogatari	千物語	seed4	0	standard	通常版		1	LEAD	9784871830324	1987-01	rakuten-live	千物語(Vol.1)		オーク出版サービス	o	o	o	?	o	9784871				7	9784871831864	1989-04-25	桜桃書房	2	版元o+ISBN連番o+日付o	
ACCEPT	senmonogatari	千物語	seed4	0	standard	通常版		2	LEAD	9784871830423	1987-04	rakuten-live	千物語(2)		桜桃書房	o	o	o	?	o	9784871				7	9784871831864	1989-04-25	桜桃書房	1	版元o+ISBN連番o+日付o	
ACCEPT	senmonogatari	千物語	seed4	0	standard	通常版		3	LEAD	9784871830546	1987-07-01	rakuten-live	千物語(3)		オーク出版サービス	o	o	o	?	o	9784871				7	9784871831864	1989-04-25	桜桃書房	1	版元o+ISBN連番o+日付o	
ACCEPT	senmonogatari	千物語	seed4	0	standard	通常版		4	LEAD	9784871831260	1988-07-01	rakuten-live	千物語(4)		オーク出版サービス	o	o	o	?	o	9784871				7	9784871831864	1989-04-25	桜桃書房	1	版元o+ISBN連番o+日付o	
ACCEPT	senmonogatari	千物語	seed4	0	standard	通常版		5	LEAD	9784871831550	1988-11-01	rakuten-live	千物語(5)		オーク出版サービス	o	o	o	?	o	9784871				7	9784871831864	1989-04-25	桜桃書房	1	版元o+ISBN連番o+日付o	
ACCEPT	senmonogatari	千物語	seed4	0	standard	通常版		6	LEAD	9784871831710	1989-02-01	rakuten-live	千物語(6)		オーク出版サービス	o	o	o	?	o	9784871				7	9784871831864	1989-04-25	桜桃書房	1	版元o+ISBN連番o+日付o	
ACCEPT	skip-kiss	SKIP-KISS	seed4	0	standard	通常版	Gust comic	1	LEAD	9784756712486	1999-08-07	rakuten-live	SKIP-KISS(1)	大和名瀬	桜桃書房	o	o	o	o	o	9784756				2	9784756713582	2000-10-10	桜桃書房	1	版元o+ISBN連番o+日付o	
ACCEPT	tales-of-symphonia-4-koma-kings	テイルズオブシンフォニア4コマkings	seed4	0	standard	通常版	DNAメディアコミックス	2	LEAD	9784758001793	2004-05	rakuten-live	テイルズオブシンフォニア4コマkings(2)		一迅社	o	o	o	?	o	9784758				3	9784758002189	2004-12	一迅社	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7580/75800179.jpg
ACCEPT	yama-kaimashita	山、買いました	seed4	0	standard	通常版	MFC	1	LEAD	9784046835659	2024-11	ndl	山、買いました = I BOUGHT A MOUNTAIN. : 異世界暮らしも悪くない. 1	炎堂, たつや/実川, えむ	KADOKAWA	o	o	o	o	o	9784046				2	9784046845467	2025-03-05	KADOKAWA	1	版元o+ISBN連番o+日付o	
REVIEW_TOKEN	dramatic-maestro	ドラマチック・マエストロ	seed4	0	standard	通常版	Be×boy comics	1	LEAD	9784862634436	2008-08-09	rakuten-live	ドラマチック・マエストロ	サガミワカ	リブレ	o	o	o	o	x	9784862				2	9784862637024	2009-12-10	リブレ出版	1	題に巻番号が無い=単巻本か1巻か判別不能	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8626/86263443.jpg
REVIEW_TOKEN	koukidou-gensou-ganpareedo-march-4-koma-manga-gekijou	高機動幻想ガンパレード・マーチ 4コママンガ劇場	seed4	0	standard	通常版		1	LEAD	9784757505902	2001-12	rakuten-live	高機動幻想ガンパレード・マーチ4コママンガ劇場		スクウェア・エニックス	o	o	o	?	x	9784757				2	9784757506695	2002-04-19	エニックス	1	題に巻番号が無い=単巻本か1巻か判別不能	
REVIEW_TOKEN	love-drug	ラブドラッグ	seed4	0	standard	通常版	ダイヤモンドコミックス. ガールズポップコレクション	1	LEAD	9784790118046	2006-09	rakuten-live	ラブドラッグ		松文館	o	o	o	?	x	9784790				2	9784790118244	2006-10-15	松文館	3	題に巻番号が無い=単巻本か1巻か判別不能	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7901/79011804.jpg
REVIEW_TOKEN	mansion-neko-no-kyoumi-shinshin	マンションネコの興味シンシン	seed4	0	standard	通常版	VARIETY BOOK	1	LEAD	9784047050013	1984-04	rakuten-live	マンションネコの興味シンシン	竹宮恵子	角川書店	o	o	o	o	x	9784047				2	9784047050068	1984-10	角川書店	1	題に巻番号が無い=単巻本か1巻か判別不能	
REVIEW_TOKEN	samenyan	サメにゃん	seed4	0	standard	通常版		1	LEAD	9784778036263	2024-04-26	rakuten-live	サメにゃん	ぢゅの	小学館クリエイティブ	o	o	o	o	x	9784778				2	9784778036430	2025-04-30	小学館クリエイティブ	1	題に巻番号が無い=単巻本か1巻か判別不能	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6263/9784778036263_1_3.jpg
REVIEW_TOKEN	saurus-no-mini-yonku-super-tekunikku	ザウルスのミニ四駆スーパーテクニック	seed4	0	standard	通常版	ワンダーライフスペシャル	1	LEAD	9784091025180	1995-10	rakuten-live	ザウルスのミニ四駆スーパーテクニック	徳田ザウルス	小学館	o	o	o	o	x	9784091				2	9784091025456	1996-08	小学館	1	題に巻番号が無い=単巻本か1巻か判別不能	
REVIEW_TOKEN	shinseiki-evangelion-koutetsu-no-girlfriend-2nd-4-koma-manga-gekijou	新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd4コママンガ劇場	seed4	0	standard	通常版		1	LEAD	9784757510685	2003-12	rakuten-live	新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd 4コママンガ劇場		スクウェア・エニックス	o	o	o	?	x	9784757				2	9784757511767	2004-04-16	スクウェア・エニックス	1	題に巻番号が無い=単巻本か1巻か判別不能	
REVIEW_TOKEN	tales-of-symphonia-4-koma-kings	テイルズオブシンフォニア4コマkings	seed4	0	standard	通常版	DNAメディアコミックス	1	LEAD	9784758001458	2003-11	rakuten-live	テイルズオブシンフォニア4コマkings		一迅社	o	o	o	?	x	9784758				3	9784758002189	2004-12	一迅社	1	題に巻番号が無い=単巻本か1巻か判別不能	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7580/75800145.jpg
REVIEW_TOKEN	yuri-shoujo	百合少女	seed4	0	standard	通常版	Kyun comics	1	LEAD	9784774730233	2009-11	rakuten-live	百合少女		コスミック出版	o	o	o	?	x	9784774				3	9784774730356	2010-11	コスミック出版	2	題に巻番号が無い=単巻本か1巻か判別不能	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7747/77473023.jpg
REJECT_EDITION	boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	seed4	0	standard	通常版	MFコミックス	1	LEAD	9784840150194	2013-02-27	rakuten-live	僕と先輩の鉄拳交際 1	おそら/成田 駿	KADOKAWA	x	o	o	o	o	9784040				2	9784840150965	2013-07-27	KADOKAWA	1	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0194/9784840150194.jpg
REJECT_EDITION	gensou-fantasy	幻想ファンタジー	seed4	0	standard	通常版	Eyes comics	1	LEAD	9784000089630	2004-02-25	rakuten-live	幻想 ファンタジー	高階 秀爾	岩波書店	x	o	o	x	x	9784837				4	9784837261698	2004-10	ホーム社	1	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0000/00008963.jpg
REJECT_EDITION	la-vie-en-rose-1998	ラヴィアンローズ	seed4	0	standard	通常版	プリンセスコミックスデラックス	1	LEAD	9784087716672	2016-07-26	rakuten-live	ラヴィアンローズ	村山由佳	集英社	x	o	x	x	x	9784253				2	9784253153652	1998-04-20	秋田書店	4	版元prefix不一致(既存候補4件も有)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6672/9784087716672_1_2.jpg
REJECT_EDITION	love-neko	ラブ・ネコ	seed4	0	standard	通常版	まんがタイムmy pal comics	1	LEAD	9784835218748	2006-03-10	rakuten-live	ラブネコ	三島一彦	ビブロス	x	x	o	x	x	9784832				4	9784832267282	2009-04	芳文社	1	版元prefix不一致(既存候補1件も有)	
REJECT_EDITION	love-taishitsu	恋愛体質	seed4	0	standard	通常版	Daito comics BLシリーズ	1	LEAD	9784062116596	2003-04-24	rakuten-live	恋愛体質	梨花	講談社	x	o	o	x	x	9784864				2	9784864956420	2024-03	大都社	1	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6596/9784062116596.jpg
REJECT_EDITION	makai-densetsu	魔界伝説	seed4	0	standard	通常版	ラポートコミックス	1	LEAD	9784576940588	1994-04-25	rakuten-live	魔界伝説	ルイス・ラム-ア/中野圭二	リヨン社	x	o	o	x	x	9784897				2	9784897991559	1995-01	ラポート	3	版元prefix不一致	
REJECT_EDITION	ningen-no-jouken	人間の條件	seed4	0	standard	通常版		1	LEAD	9784380560019		rakuten-live	人間の條件(1)	五味川純平	三一書房	x	o	?	o	o	9784794				2	9784794503152	1988-05	草土文化	1	版元prefix不一致	
REJECT_EDITION	nippon-jinbutsushi	日本人物史	seed4	0	standard	通常版	朝日小学生新聞の学習まんが	1	LEAD	9784284500951	2008-06	rakuten-live	日本人物史		日本図書センター	x	o	o	?	x	9784907				4	9784907150273	2014-05-30	朝日学生新聞社	1	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0951/9784284500951.jpg
REJECT_EDITION	piisu-maker-kurogane	PEACE MAKER鐡	seed4	0	standard	通常版	MGC	1	LEAD	9783865807014		ndl	Peace maker Kurogane 1	平田, 智浩/黒乃, 奈々絵	Universum Film	x	o	?	o	o	9784800				12	9784800006769	2017-04-14	マッグガーデン	1	版元prefix不一致	
REJECT_EDITION	pumpkin	パンプキン	seed4	0	standard	通常版		1	LEAD	9784776402572	2007-10	rakuten-live	パンプキン	ケン・ロビンズ/千葉茂樹	BL出版	x	o	x	x	x	9784893				2	9784938256098	1986-02-20	白夜書房	2	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7764/77640257.jpg
REJECT_EDITION	romeo	Romeo	seed4	0	standard	通常版	ジュネットコミックス	1	LEAD	9784896442717	2015-12	rakuten-live	ROMEO(1)	わたなべあじあ	サン・メディアレップ	x	o	o	o	o	9784910				2	9784896442984	2017-03	ジュネット	1	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2717/9784896442717.jpg
REJECT_EDITION	shintouki	神統記	seed4	0	standard	通常版	PASH!COMICS	1	LEAD	9784003210710	1984-01-17	rakuten-live	神統記	ヘシオドス/廣川 洋一	岩波書店	x	o	o	x	x	9784391				11	9784391162301	2024-04-05	主婦と生活社	1	版元prefix不一致	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0710/9784003210710.jpg
