class	severity	slug	title	ed_idx	ed_label	ed_imprint	ed_publisher	n_vols	numbers	date	verdict	detail	extra
PRE_ISBN_ERA	情報	miraizer-ban	ミライザーバン	0	通常版	サンコミックス	朝日ソノラマ	1	1	1977-10-28		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784257914631
PRE_ISBN_ERA	情報	miraizer-ban	ミライザーバン	0	通常版	サンコミックス	朝日ソノラマ	1	2	1977-12		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784257914679
PRE_ISBN_ERA	情報	mister-saint	ミスター・セイント	0	デラックス版	ヤングレディKCデラックス	講談社	1	1	1978-03-10		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061720091
PRE_ISBN_ERA	情報	mitcha-mix	ミッチャ・ミックス	0	通常版	講談社コミックスミミ	講談社	1	1	1979-01-15		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061089341
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	0	講談社コミックス版	講談社コミックス	講談社	1	1	1975-04		ISBN有なのに1975年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061092969
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	0	講談社コミックス版	講談社コミックス	講談社	1	2	1975-07-10		ISBN有なのに1975年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061093041
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	0	講談社コミックス版	講談社コミックス	講談社	1	5	1976-12		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061094024
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	0	講談社コミックス版	講談社コミックス	講談社	1	6	1977-09-20		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061094154
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	1	1977-06-15		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087019
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	2	1977-10-20		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087026
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	3	1978-06-25		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087033
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	4	1978-08-30		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087040
