slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
waltz-no-niau-koro	standard	通常版	2	1	1	1
wedding-license	standard	通常版	2	1	1	2
wild-7-1972	standard	通常版	3	1	1	2
yabure-kabure	standard	通常版	3	1	1	1
yajuu-densetsu	standard	通常版	3	1	1	2
yami-no-ouji-no-monogatari	standard	通常版	2	1	1	1
yatsupa-ahoogan-yo	standard	通常版	6	1	1	4
yojigen-sekai	bunkobon	小学館文庫(1977)	2	1	1	1
youkiden	standard	通常版	2	1	1	2
yunbo-kun	standard	通常版	5	1	1	5
za-chounouryoku	standard	通常版	3	1	1	3
zoku-toshishita-no-anchikushou	standard	通常版	2	1	1	2
zuba-ban	standard	通常版	3	1	1	3
