tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
2	shokugeki-no-sooma-retowaaru-2019	shokugeki-no-sooma-retowaaru-2019	食戟のソーマL'étoile	ショクゲキノソーマエトワール	ショクゲキ ノ ソーマ エトワール		SLUG_TOKEN_MISMATCH:retowaaru
2	shoojikun-fumetsu-no-100-meisaku	shoojikun-fumetsu-no-100-meisaku	ショージ君不滅の100名作	ショージクンフメツノ100メイサク	ショージクン フメツ ノ ヒャク メイサク	ショージクン フメツ ノ 100 メイサク	SLUG_TOKEN_MISMATCH:shoojikun
2	shooting-star-takano-2006	shooting-star-takano-2006	Shooting Star	シューティングスター	シューティング スター	シューティング スター	SLUG_TOKEN_MISMATCH:takano
2	shop-jibun	shop-jibun	Shop自分	Shopジブン	ショップ ジブン		KANA_DIFF_RAKUTEN
2	short-arabesque	short-arabesque	ショート・アラベスク	ショートアラベスク	テズカ オサム マンガ ゼンシュウ	ショート アラベスク	KANA_DIFF_RAKUTEN
2	short-twist	short-twist	SHORT TWIST	ササキ,ジュンコ	シヨートトウイスト		KANA_DIFF_RAKUTEN
2	shotaro-ukiyo-zoushi	shotaro-ukiyo-zoushi	Shotaro浮世双紙	Shotaroウキヨゾウシ	ショウタロウ ウキヨ ゾウシ	Shotaro ウキヨ ゾウシ	KANA_DIFF_RAKUTEN
2	shoujo-doll-mizushiro-1999	shoujo-doll-mizushiro-1999	少女人形	ショウジョニンギョウ	ショウジョ ニンギョウ	ショウジョ ニンギョウ	SLUG_TOKEN_MISMATCH:mizushiro
2	shoujo-ijou-shounen-miman	shoujo-ijou-shounen-miman	少女以上少年未満	ショウジョイジョウショウネンミマン	サイモンフミベストセレクシヨン	ショウジョ イジョウ ショウネン ミマン	KANA_DIFF_RAKUTEN
2	shoujo-wakusei	shoujo-wakusei	少女惑星	ショウジョワクセイ	ガールズ プラネット	ショウジョ ワクセイ	KANA_DIFF_RAKUTEN
2	shoujonoshinwa	shoujonoshinwa	少女の神話	ショウジョノシンワ		ショウジョノシンワ	NOHYPHEN_UNVERIFIED
2	shoujozakari	shoujozakari	少女ざかり	ショウジョザカリ		ショウジョザカリ	NOHYPHEN_UNVERIFIED
2	shoukoujo-nakagawa-1983	shoukoujo-nakagawa-1983	小公女	ショウコウジョ	ショウコウジョ	ショウコウジョ	SLUG_TOKEN_MISMATCH:nakagawa
2	shouma-no-senritsu	shouma-no-senritsu	招魔の旋律	ショウマノセンリツ	デーモニッシュ メロディ	ショウマ ノ センリツ	KANA_DIFF_RAKUTEN
2	shounen-esuefu-tanpen	shounen-esuefu-tanpen	少年SF短篇	ショウネンエスエフタンペン	ウチュウジン	ショウネン エスエフ タンペン	KANA_DIFF_RAKUTEN
2	shounen-sf-tanpen	shounen-sf-tanpen	少年SF短編	ショウネンSFタンペン	フジコエフフジオダイゼンシュウショウネンエスエフ	ショウネン SF タンペン	KANA_DIFF_RAKUTEN
2	shounen-shoujo-akatsuki-2016	shounen-shoujo-akatsuki-2016	症年症女	ショウネンショウジョ	ショウネンショウジョ	ショウネン ショウジョ	SLUG_TOKEN_MISMATCH:akatsuki
2	shounen-tantei-rock-holmes	shounen-tantei-rock-holmes	少年探偵ロック・ホーム	ショウネンタンテイロックホーム	テズカ オサム マンガ ゼンシュウ	ショウネン タンテイ ロック ホーム	KANA_DIFF_RAKUTEN
2	shounentachi-no-ita-natsu	shounentachi-no-ita-natsu	少年たちのいた夏	ショウネンタチノイタナツ	ホウジヨウツカサセンキタンペ	ショウネンタチ ノ イタ ナツ	KANA_DIFF_RAKUTEN
2	shouri-no-hi-made	shouri-no-hi-made	勝利の日まで	ショウリノヒマデ	テヅカオサムソウサクノートトショキサクヒンシュウ	ショウリ ノ ヒ マデ	KANA_DIFF_RAKUTEN
2	shouwa-goeika	shouwa-goeika	昭和御詠歌	ショウワゴエイカ	ツゲ タダオ センシュウ	ショウワ ゴエイカ	KANA_DIFF_RAKUTEN
2	show-1992	show-1992	将	ショウ	シヨウ	ショウ	SLUG_TOKEN_MISMATCH:show
2	show-1996	show-1996	SHOW!	Show	ショウ		KANA_DIFF_RAKUTEN
2	show-me-the-magic	show-me-the-magic	Show me the magic	Showmethemagic	シヨウミーザマジツク		KANA_DIFF_RAKUTEN
2	shuffle-navel-2004	shuffle-navel-2004	SHUFFLE!	シャッフル	シャッフル	シャッフル	SLUG_TOKEN_MISMATCH:navel
2	shugo-chara-illustrations	shugo-chara-illustrations	しゅごキャラ! illustrations	シュゴキャラillustrations	シュゴ キャラ イラストレーションズ	シュゴ キャラ illustrations	KANA_DIFF_RAKUTEN
2	shuttle-eyes	shuttle-eyes	シャトルアイズ	シャトルアイズ	シャトルアイズ	その目に映るモノ	KANA_DIFF_MADB
2	shuudensha-aruko-2010	shuudensha-aruko-2010	終電車	シュウデンシャ	シュウデンシャ	シュウデンシャ	SLUG_TOKEN_MISMATCH:aruko
2	shuushifunohibiki	shuushifu-no-hibiki	終止符の響き	シュウシフノヒビキ	ピリオドノヒビキ	シュウシフノヒビキ	KANA_DIFF_RAKUTEN
2	sign-wa-ui	sign-wa-ui	サインはV!	サインワウ゛イ		サインハV	KANA_DIFF_MADB
2	silent-blue	silent-blue	Silent blue	サイレントブルー	Silent Blue	サイレント ブルー	KANA_DIFF_RAKUTEN
2	silent-knight-show	silent-knight-show	SILENT KNIGHT 翔	SILENTKNIGHTショウ	サイレントナイトシヨウ	SILENT KNIGHT ショウ	KANA_DIFF_RAKUTEN
2	silk-the-gigolo-story	silk-the-gigolo-story	シルク the gigolo story	Silkthegigolostory	シルク		KANA_DIFF_RAKUTEN
2	silver-mountain	silver-mountain	シルバーマウンテン	シルバーマウンテン	ウシオ ト トラ		KANA_DIFF_RAKUTEN
2	silver-suetsugu-2005	silver-suetsugu-2005	Silver	シルバー	シルバー	シルバー	SLUG_TOKEN_MISMATCH:suetsugu
2	single-action-army	single-action-army	Single action army	Singleactionarmy	シングルアクシヨンアーミー		KANA_DIFF_RAKUTEN
