tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
NOHIT	janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	seed4	0	standard	通常版	アクションコミックス	3	MID										o	9784575	2	9784575817775	1992-03	4	9784575817881	1992-05	双葉社	0	NDLにも該当巻なし	
NOHIT	janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	seed4	0	standard	通常版	アクションコミックス	5	MID										o	9784575	4	9784575817881	1992-05	6	9784812450512	1996-06	双葉社	0	NDLにも該当巻なし	
NOHIT	jinjuu-houretsuden	仁獣芳烈伝	seed4	0	standard	通常版	いち好き・コミックス	11	MID										o	9784887	10	9784887413528	2000-01	12	9784887413870	2000-06	冬水社	0	NDLにも該当巻なし	
NOHIT	kaettekita-kita-dora-neko	帰って来たどらン猫(こ)	canon:extra[0]	1	bunkobon	双葉文庫名作シリーズ	双葉文庫名作シリーズ	2	MID										o	9784575	1	9784575727180	2009-07	3	9784575727197	2009-07	双葉社	0	NDLにも該当巻なし	
NOHIT	kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	seed4	0	standard	通常版	廣済堂コミックス	1	LEAD										o	9784331				2	9784331250655	1985-12	廣済堂出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		1	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		2	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		3	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		4	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		5	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		6	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		7	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		8	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		9	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		10	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kaikyaku-sengen	海客宣言	seed4	0	standard	通常版		11	LEAD										o	9784906				12			キャロット出版	0	NDLにも該当巻なし	
NOHIT	kamui-gaiden-dai-2-bu	カムイ外伝第2部	seed4	0	standard	通常版	ビッグコミックス	1	LEAD										o	9784091				4	9784091805942	1983-06	小学館	0	NDLにも該当巻なし	
NOHIT	kamui-gaiden-dai-2-bu	カムイ外伝第2部	seed4	0	standard	通常版	ビッグコミックス	2	LEAD										o	9784091				4	9784091805942	1983-06	小学館	0	NDLにも該当巻なし	
NOHIT	kamui-gaiden-dai-2-bu	カムイ外伝第2部	seed4	0	standard	通常版	ビッグコミックス	3	LEAD										o	9784091				4	9784091805942	1983-06	小学館	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	1	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	2	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	3	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	4	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	5	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	6	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	7	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	8	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	9	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	10	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	11	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	12	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	13	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	14	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	15	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	16	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	17	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	18	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	seed4	0	standard	通常版	単行本コミックス	19	LEAD										o	9784041				20	9784041085080	2019-08-24	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	karabuki-shitene	からぶき♥してね	seed4	0	standard	通常版	ACTION COMICS	1	LEAD										o	9784575				2	9784575943658	2012-11-12	双葉社	0	NDLにも該当巻なし	
NOHIT	karutteto	かるってと	seed4	0	standard	通常版	ヤングジャンプ・コミックス・スペシャル	1	LEAD										o	9784088				2	9784088750620	1991-09-19	集英社	0	NDLにも該当巻なし	
NOHIT	kasei-yakiyoku	華星夜曲	seed4	0	standard	通常版	ヒットコミックス	1	LEAD										o	9784785				2	9784785945039	1985-05-15	少年画報社	0	NDLにも該当巻なし	
NOHIT	kasumigaseki-furiimeeson	霞ヶ関フリーメーソン	seed4	0	standard	通常版		1	LEAD										o	9784870				2	9784870311787		飛鳥新社	0	NDLにも該当巻なし	
NOHIT	kasuribana	掏摸花	canon:extra[0]	1	shinsoban	けいせい出版版	けいせい出版版	1	LEAD										o	9784874				2	9784874443811	1988-10	けいせい出版	0	NDLにも該当巻なし	
NOHIT	katakoi-kekkon	片恋結婚	seed4	0	standard	通常版	Bunkasha comics	1	LEAD										o	9784821				2	9784821139996	2020-12	ぶんか社	0	NDLにも該当巻なし	
NOHIT	kazenowatokinowasunanowa	風の輪・時の和・砂の環	seed4	0	standard	通常版	Wings comics	2	MID										o	9784403	1	9784403610523	1984-04-10	6	9784048526012	1996-02-11	新書館	0	NDLにも該当巻なし	
NOHIT	kazenowatokinowasunanowa	風の輪・時の和・砂の環	seed4	0	standard	通常版	Wings comics	3	MID										o	9784403	1	9784403610523	1984-04-10	6	9784048526012	1996-02-11	新書館	0	NDLにも該当巻なし	
NOHIT	kazenowatokinowasunanowa	風の輪・時の和・砂の環	seed4	0	standard	通常版	Wings comics	4	MID										o	9784403	1	9784403610523	1984-04-10	6	9784048526012	1996-02-11	新書館	0	NDLにも該当巻なし	
NOHIT	kazenowatokinowasunanowa	風の輪・時の和・砂の環	seed4	0	standard	通常版	Wings comics	5	MID										o	9784403	1	9784403610523	1984-04-10	6	9784048526012	1996-02-11	新書館	0	NDLにも該当巻なし	
