slug	頁題	頁最大巻	巻	isbn	発売日	楽天題	楽天副題	楽天著者	出版社	レーベル	見送り理由
totteoki-maxion	とっておきMaxion	1	3	9784056019223	1998-05-14	とっておきMAXION（3）		武林武士	Gakken	NORAコミックス	G2:レーベル不一致(NORAコミックス≠ノーラコミックス)
totteoki-maxion	とっておきMaxion	1	4	9784056019629	1998-08-26	とっておきMAXION（4）		武林武士	Gakken	NORAコミックス	G2:レーベル不一致(NORAコミックス≠ノーラコミックス)
tsuihousareta-sareta-akuyaku-reijou-to-tensei-danshaku-no-slow-de-fushigi-na-kekkon-seikatsu	追放された悪役令嬢と転生男爵のスローで不思議な結婚生活	2	3	9784821159291	2024-10-18	追放された悪役令嬢と転生男爵のスローで不思議な結婚生活（3）		郁橋むいこ/ヒーター	ぶんか社	BKコミックスf	G2:レーベル不一致(BKコミックスf≠BK COMICS f)
tsukimi-san	スーパー主婦 月美さん	4	5	9784812454619	2000-12	スーパー主婦月美さん（5）		臼井儀人	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
tsuukin-nounai-kakusei-densha	通勤脳内覚醒電車	1	2	9784870311770	1994-06	通勤脳内覚醒電車（2）		ジョージ秋山	飛鳥新社	デイリーアスカコミックス	G3:日付逆行(1994-06<)
tsuyokina-shoushinmono-chan	強気な小心者ちゃん	0	2	9784840114912	2006-02	強気な小心者ちゃん（2）		鈴木ともこ	メディアファクトリー		G1:standard版なし
turkey-de-watashi-mo-kangaeta	トルコで私も考えた	1	2	9784088644394	1999-06	トルコで私も考えた（2）		高橋由佳利	集英社	YOUNG　YOUコミックスワイド版	G3:日付逆行(1999-06<)
turkey-de-watashi-mo-kangaeta	トルコで私も考えた	1	3	9784088645797	2002-08	トルコで私も考えた（3）		高橋由佳利	集英社	YOUNG　YOUコミックスワイド版	G3:日付逆行(2002-08<)
turkey-de-watashi-mo-kangaeta	トルコで私も考えた	1	4	9784088646145	2005-04	トルコで私も考えた（4）		高橋由佳利	集英社	ヤングユーコミックスワイド版	G3:日付逆行(2005-04<)
uchi-no-ko-ni-hibi-daibaku-show	うちの子に日々大爆show	1	2	9784812464694	2006-05	うちの子に日々大爆SHOW（2）		胡桃ちの	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
uchi-no-ko-ni-hibi-daibaku-show	うちの子に日々大爆show	1	3	9784812468500	2008-07	うちの子に日々大爆SHOW（3）		胡桃ちの	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
umai-hanashi-nya-sakana-ari	美味い話にゃ肴あり	13	14	9784821159239	2024-10-17	美味い話にゃ肴あり（14）		ラズウェル細木	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics)
umai-hanashi-nya-sakana-ari	美味い話にゃ肴あり	13	15	9784821112081	2026-08-17	美味い話にゃ肴あり（15）		ラズウェル細木	ぶんか社	ぶんか社コミックス	G2:レーベル不一致(ぶんか社コミックス≠Bunkasha comics)
ushimitsu-gao	ウシミツガオ	2	3	9784253018784	2026-08-06	ウシミツガオ　3		板垣巴留	秋田書店	少年チャンピオン・コミックス	G2:レーベル不一致(少年チャンピオン・コミックス≠SHŌNEN CHAMPION COMICS)
usotsuki-hanayome-to-dousei-kekkonron	嘘つき花嫁と同性結婚論	1	2	9784758027618	2024-10-18	嘘つき花嫁と同性結婚論(2)		コダマ ナオコ	一迅社	百合姫コミックス	G2:レーベル不一致(百合姫コミックス≠IDコミックス)
utahime	う・た・ひ・め	7	8	9784785914844	1995-09-22	う・た・ひ・め（8）		清水としみつ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
utahime	う・た・ひ・め	7	9	9784785915209	1996-04-24	う・た・ひ・め（9）		清水としみつ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
utahime	う・た・ひ・め	7	10	9784785915391	1996-10-09	う・た・ひ・め（10）		清水としみつ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
utahime	う・た・ひ・め	7	11	9784785915711	1997-05-23	う・た・ひ・め（11）		清水としみつ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
utahime	う・た・ひ・め	7	12	9784785915834	1997-07-09	う・た・ひ・め（12）		清水としみつ	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
utsurobune	うつろ舟	1	2	9784758051002	2004-09	うつろ舟（2）		加倉井ミサイル	一迅社	IDコミックス　ZERO-SUMコミックス	G2:レーベル不一致(IDコミックス　ZERO-SUMコミックス≠Zero-sum comics)
utsurobune	うつろ舟	1	3	9784758051699	2005-08	うつろ舟（3）		加倉井ミサイル	一迅社	IDコミックス　ZERO-SUMコミックス	G2:レーベル不一致(IDコミックス　ZERO-SUMコミックス≠Zero-sum comics)
utsurobune	うつろ舟	1	4	9784758051705	2005-08	うつろ舟（4）		加倉井ミサイル	一迅社	IDコミックス　ZERO-SUMコミックス	G2:レーベル不一致(IDコミックス　ZERO-SUMコミックス≠Zero-sum comics)
