vols	base	brand	pub	first_date	last_date	isbns
12	おとなのねこぱんち	にゃんcomi	少年画報社	2011-12	2016-06	9784785937454,9784785938338,9784785938741,9784785939717,9784785950354,9784785951672,9784785952464,9784785953225
12	コミックマスターEX		ホビージャパン	1992-06	1994-04	9784894250048,9784894250260,9784894250208,9784894250116,9784894250000,9784938461676,9784938461706,9784938461720
12	Kanonコミックアンソロジー	DNAメディアコミックス	スタジオDNA	2000-12	2002-09	9784921066703,9784921066949,9784921066758,9784921066598,9784758000666,9784758000475,9784758000413,9784758000338
12	標的綱吉	北辰コミックス同人アンソロジー	北辰堂出版	2007-04	2009-07	9784904086520,9784904086476,9784904086445,9784904086384,9784904086322,9784904086278,9784904086223,9784904086186
12	マジキュー4コマ 乙女はお姉さまに恋してる	マジキューコミックス	エンターブレイン	2007-04	2009-04	9784757745964,9784757747753,9784757744936,9784757743809,9784757742734,9784757741683,9784757740211,9784757739109
11	本当にあった笑える話	ぶんか社ムック	ぶんか社	2015-08	2022-10	9784821167432,9784821168491,9784821166282,9784821166374,9784821166398,9784821166541,9784821166596,9784821166749
11	時代劇コミック斬	GW mook	ガイドワークス	2017-11	2022-05	9784865357424,9784865356885,9784865356892,9784865356908,9784865359848,9784865359862,9784867100844,9784865356571
11	Comic陣	RKムック	楽楽出版	2019-08	2021-04	9784867040027,9784867040102,9784867040133,9784867040195,9784867040256,9784867040355,9784867040423,9784867040454
11	Comic必剣	RKムック	楽楽出版	2019-08	2021-04	9784867040034,9784867040089,9784867040140,9784867040201,9784867040218,9784867040263,9784867040300,9784867040379
11	Ground smash!	Oak comix	オークラ出版	2001-06	2003-01	9784872789690,9784872789300,9784775500071,9784775500484,9784775500880,9784775500897,9784872787658,9784872788082
11	X-MEN	アメコミ新潮	新潮社	2003-04	2004-04	9784106031137,9784106031199,9784106031175,9784106031144,9784106031205,9784106031090,9784106031083,9784106031052
11	電脳恋姫コレクション	OKS comix	オークス	2003-03	2004-09	9784861051388,9784861051135,9784861051616,9784861051548,9784861051050,9784861050787,9784861050718,9784861050602
11	スパイダーマン	アメコミ新潮	新潮社	2003-05	2004-05	9784106031229,9784106031212,9784106031182,9784106031168,9784106031151,9784106031120,9784106031113,9784106031076
11	ライジング・アース	F′packs	青磁ビブロス	1995-08	1996-07	9784882714286,9784882714248,9784882714200,9784882714095,9784882714088,9784882714071,9784882714057,9784882714033
11	ぐるぐる症候群		ノアール出版	2000-12	2004-08	9784860020033,9784860020071,9784931396937,9784860020774,9784860020620,9784860020538,9784860020347,9784860020255
