slug	title	ours	rakuten	year	isbn
kekkon-nochi-love	結婚、のち恋愛。	森こさち / 綾河ららら	朔也 / 蘇我空木	2025	9784867781296
kekkon-shitakedo-otto-ni-kataomoi-shite-imasu	結婚したけど…夫に片想いしています	春キャベツ	小倉すぱ	2025	9784865182767
kireteru-futari-no-shutchou-meshi	キレてるふたりの出張めし	塩胡蝶	岩国　ひろひと	2025	9784049161649
kita-kun-ga-kawai-sugite-te-ni-amaru-node-3-nin-de-share-suru-koto-ni-shimashita	北くんがかわいすぎて手に余るので、3人でシェアすることにしました。	榊間おつぶ	榊こつぶ	2025	9784575339796
kiyasuku-fureru-na-kuro-bara-ni	きやすく触れるな黒薔薇に	あさき美暮	茜音 かや	2025	9784065412121
kizuguchi-to-houtai	傷口と包帯	ペル	七井 海星	2025	9784065407851
koi-kara-wa-nigerarenai	恋からは逃げられない	浪咲ゆか	長谷川 真也	2025	9784537149937
koitsu-wa-dame-da-to-shitte-iru-vii-ensemble	こいつはダメだと知っているvie ensemble	奈院ゆりえ	吉田　実加	2025	9784046839107
konna-hazu-ja-nakatta-sore-wa-zannen-deshitane	こんなはずじゃなかった?それは残念でしたね	熊雪ふる / haeyeon	風見 ゆうみ / 志風 きよ / しあびす	2025	9784065380888
konya-mo-kimi-to-koubutsu-dinaa-o	今夜もきみと鉱物ディナーを	鹿ちゃん	アサナエアラタ	2025	9784046849694
kotowarenai-kaichou-wa-tomoe-kun-ni-dake-shite-agetai	断れない会長は友江くんにだけしてあげたい	由村	沼地　どろまる	2025	9784040757490
koyubi-sensei-no-reiteki-chousen	こゆび先生の霊的挑戦	ひよどり祥子	うぐいす祥子	2025	9784022144164
kuma-to-usagi-wa-tomodachi-dewa-irarenai	クマとウサギは友達ではいられない	漆赤	犬好晶	2025	9784757599239
kunigei	クニゲイ	髙野陽介	高野 陽介	2025	9784088842738
kurone-san-wa-nyaa-to-nakanai	黒根さんはニャーと鳴かない	竹村優作	乙川 灯	2025	9784065382806
kyatchi-the-sento	キャッチ・ザ・セント	玖乃緑	荒川　三喜夫	2025	9784048116305
kyuutei-madoushi-tsuihousareta-dekiaisareru	宮廷魔導師、追放される	吉田しゃけ	きつね丸 / しんこせい / ろこ	2025	9784824012678
let-s-go-nirvana	Let's go nirvana	みやこかっく	百地 元	2025	9784107728111
maipeesu-to-aruku	マイペースと歩く	小倉あすか	三本 阪奈	2025	9784107728104
matte-suki	まって、好き。	冬村蜜柑	おまゆ	2025	9784799771006
migawari-akuyaku-reijou-tenseisaki-de-yami-no-maou-ni-hoshigararete-imasu	身代わり悪役令嬢、転生先で闇の魔王に欲しがられています	ヨコイエミ	司馬かなん	2025	9784867871218
mobamin	モバミン	上田敦夫	ずんだコロッケ	2025	9784065410288
mofumofu-yashiki-no-neko-to-ore	モフモフ屋敷の猫とオレ	藤野もやむ	桑佳 あさ	2025	9784785980030
mokke-no-banbanzai	もっけの万々歳!	直木三十三	伽奈茶井子	2025	9784334106829
mongaata-no-tabibito-yo	モンガータの旅人よ	蔦屋空	野間　与太郎	2025	9784049163872
motto-dogeza-de-tanonde-mita	もっと土下座で頼んでみた	ふなつ一輝	ふなつ　かずき	2025	9784046847058
muku-kano	ムクカノ	まえじま	原田繭	2025	9784832259812
munou-no-akudou-ouji-wa-ikinokoritai	無能の悪童王子は生き残りたい	ニシキギカエデ / 中浦トモキ	水面ミレ / サンボン	2025	9784575421781
mushoku-kakutou-niito-konbatto	無職格闘-ニート・コンバット-	ナマキマキセミ	若生 真也	2025	9784065401798
