tier	slug	title	publishers	year	cover_missing
T3	acid-flower	アシッド・フラワー	コアマガジン	2004	2/3
T3	adoribu-ouji	アドリブ王子	白夜書房	2001	2/4
T3	adoribu-tenchou	アドリブ店長	白夜書房	2002	1/5
T3	adventure-kid	アドベンチャーkid	ワニマガジン社	1988	4/4
T3	ai-o-yumemite	愛を夢みて…	久保書店	1985	1/1
T3	ai-to-yokubou-wa-abunoomaru-de	愛と欲望はアブノーマルで	コアマガジン	2015	0/1
T3	ai-to-yokubou-wa-gakuen-de	愛と欲望は学園で	コアマガジン	2005	1/12
T3	aiba-kun-wa-ano-mitsu-ga-sukisugiru	相葉くんは〈あの蜜〉が好きすぎる!	フランス書院	2023	0/2
T3	aishiteru-fujitani-2008	愛してる	コアマガジン	2008	0/1
T3	akari-senpai-to-hyouga-no-taihenna-seikatsu	灯先輩と氷河の大変な生活	オークラ出版	2012	0/2
T3	akazukin-kagekidan	赤ずきん過激団	オークラ出版	1995	1/1
T3	akuyaku-reijou-no-torimaki-ee-desu-outaishi-denka-ni-semararete-imasu	悪役令嬢の取り巻きAですが、王太子殿下に迫られています。	フランス書院	2024	0/3
T3	alicia-y	アリシア・Y	茜新社	1994	0/1
T3	anamorphosis-no-meijuu	アナモルフォシスの冥獣	コアマガジン	2010	0/1
T3	anata-wa-otto-ni-damasareteiru	あなたは夫に騙されている	秋水社	2021	0/2
T3	ane-no-reotaado	姉のレオタード	フランス書院	1987	1/2
T3	anta-no-dorei-no-mama-de-ii	アンタのドレイのママでイイ	茜新社	2014	0/1
T3	arabian-naito	アラビアン・騎士	コアマガジン	2009	0/1
T3	artificial-memory	アータフィシャル・メモリィ	白夜書房	1991	1/1
T3	ashita-tenki-ni-naare-1979	あした天気になァれ	久保書店	1979	1/1
T3	ayakashi-no-yometori	あやかしの嫁取り	コアマガジン	2021	0/1
T3	baka-to-hasami	馬鹿とハサミ	コアマガジン	2020	0/4
T3	bakedanuki-soudou-kidan	化狸騒動奇譚	コアマガジン	1995	2/2
T3	banana-kids	バナナキッズ	白夜書房	1988	5/5
T3	banana-sisters	バナナ❤シスターズ!!	白夜書房	1985	1/1
T3	banchou-kami-eshi-koitsu-desu	番長!神絵師コイツです!	フランス書院	2025	0/1
T3	bara-no-kobeya-ni-yurino-shindai	薔薇の小部屋に百合の寝台	久保書店	1981	1/1
T3	berry-very-sutoroberii	Berry Very すとろべりぃ	コアマガジン	1998	1/1
T3	best-ending	ベストエンディング?	コアマガジン	2011	0/1
T3	bible	BIBLE	白夜書房	1990	0/1
T3	big-game	BIG GAME	茜新社	1995	2/2
T3	bike-land	バイクランド	白夜書房	1991	1/1
T3	binetsu-shoujo-1991	美熱少女	白夜書房	1991	1/1
T3	binwan-joushi-to-oboreru-koi-pafuyuumu	敏腕上司と溺れる恋～Perfume～	フランス書院	2024	0/2
T3	bishoujo-genmukan	美少女幻夢館	久保書店	1982	1/1
T3	black-dog-no-biscuits	ブラックドッグノービスケッツ	茜新社	2017	0/1
T3	black-monta-no-waru-zubatsu	ブラックモンタの悪ズバッ!	コアマガジン	2009	0/1
T3	blanc	blanc	茜新社	2020	1/2
T3	bleu-de-roi	ブルー・ド・ロワ	コアマガジン	2019	0/5
T3	blue-drawing	Blue Drawing	ワニマガジン社	2019	0/1
T3	bokura-wa-setsunaku-koi-o-suru	僕らは切なく恋をする	オークラ出版	2004	0/1
T3	borderline	ボーダーライン	コアマガジン	2009	0/1
T3	boys-of-the-dead	BOYS OF THE DEAD	フランス書院	2021	0/1
T3	buraiden	BURAIDEN	白夜書房	1990	1/1
T3	buyo-buyo	BUYO BUYO	白夜書房	1984	1/1
T3	case-b	Case B	久保書店	1987	1/1
T3	cendrillon	サンドリヨン	オークラ出版	2010	0/1
T3	charm-the-cat	Charm the cat	茜新社	1997	2/2
T3	chi-no-wana	血の罠	白夜書房	1987	6/6
T3	chiisana-koi-no-melody	小さな恋のメロディ	コアマガジン	2011	0/3
T3	chikatetsu-no-inu	地下鉄の犬	コアマガジン	2010	0/1
T3	chotto-umai-hanashi	ちょっとウマい話	ワニマガジン社	1991	1/1
T3	choukyoukei-otoko	調教系男子	フランス書院	2019	0/3
T3	chuniku-chunika	チュニクチュニカ	司書房	2007	0/1
T3	cinderella-credit-service	シンデレラクレジットサービス	オークラ出版	1999	0/1
T3	cinderella-plot	シンデレラプロット	オークラ出版	2015	0/3
T3	circle-game-1998-2	サークルゲーム	オークラ出版	1998	2/2
T3	co-lemon	Co❤LEMON	白夜書房	1986	1/1
T3	come-on-lets-go	カモンレツゴー	白夜書房	1992	0/2
T3	comic-bii-tarou	コミックビー太郎	茜新社	1994	4/4
T3	comic-image-special	コミックイマージュ・スペシャル	白夜書房	1994	2/2
T3	cr	CR	白夜書房	1998	1/1
T3	cristo-magaki-kemono-to-seija-no-kai	Christ禍き獣と聖者の戒	オークラ出版	2014	0/2
T3	critical-lovers	CRITICAL LOVERS	コアマガジン	2008	0/2
T3	croquis	Croquis	ワニマガジン社	1991	2/2
T3	daikirai	大キライ!	オークラ出版	1999	0/1
T3	damasaretemo-sukina-hito	だまされても好きなひと	コアマガジン	2005	0/1
T3	damatte-ore-ni-aisaretokeba	黙って俺に愛されとけば?	オークラ出版	2023	0/2
T3	daniel	ダニエル	白夜書房	1993	2/2
T3	dark-ethos	ダークエートス	茜新社	1998	0/2
T3	datte-maou-sama-wa-kare-ga-kirai	だってまおうさまは彼が嫌い	コアマガジン	2013	0/3
T3	dekapin-de-pon	デカピンでポン!!	白夜書房	1995	1/1
T3	dekiai-shiiku	溺愛飼育	オークラ出版	2004	0/1
T3	desert-moon	デザート・ムーン	コアマガジン	2003	0/2
T3	dobakuchi-saiyuuki	どばくちさいゆうき	白夜書房	1997	1/1
T3	dokidoki-kinoko-party	Doki dokiきのこパーティ	フランス書院	1992	1/1
T3	dokkin-minako-sensei	ドッキン❤美奈子先生!	白夜書房	1987	4/4
T3	doku-ni-kuchizuke	毒にくちづけ	コアマガジン	2025	0/2
T3	dokuzukai-ranko	毒使い蘭子	久保書店	2025	0/2
T3	dos-keiyaku-room-share	ドS契約ルームシェア	オークラ出版	2017	0/1
T3	double-mints	ダブルミンツ	茜新社	2009	0/1
T3	doujinshi-doujin-sofuto-nyuushu-manual	同人誌同人ソフト入手マニュアル	久保書店	1995	4/4
T3	doukyuusei-2008	同級生	茜新社	2008	0/1
T3	doura	童羅	ワニマガジン社	1993	1/1
T3	doushitara-oshi-to-kekkon-dekimasuka	どうしたら推しと結婚できますか!?	フランス書院	2023	0/2
T3	dragon-eraser	DRAGON ERASER	ワニマガジン社	1993	3/3
T3	dragon-fly	DRAGON FLY	ワニマガジン社	2008	0/2
T3	dramatic-ni-rakurai	ドラマチックに落雷	コアマガジン	2017	0/2
T3	drug-store	Drug store	茜新社	1996	1/1
T3	echiechi-gakuensai	えちえち学園祭	久保書店	2022	0/6
T3	eigyou-nikatsu	営業二課っ!	コアマガジン	2015	0/2
T3	eikoku-hakushaku-to-geshukunin-no-mitsugoto	英国伯爵と下宿人の密事	オークラ出版	2023	0/2
T3	empty-hear	empty hear	オークラ出版	2003	0/1
T3	emu-no-rakuen	Mの楽園	茜新社	2024	0/1
T3	engine-room	エンジンルーム	コアマガジン	1996	1/1
T3	etches	えっちーず	ワニマガジン社	1995	4/4
T3	etchina-kanojo-no-okiniiri	エッチな彼女のお気に入り	コアマガジン	2017	0/1
T3	exhiibition	EXHIIBITION	白夜書房	1994	1/1
