kind	popularity	season	anime_title	gensaku(animatetimes)
AT無し(2010以前/表記差)	1580	2020-WINTER	映像研 ミニアニメ	
AT無し(2010以前/表記差)	1515	1997-SPRING	スーパーフィッシング グランダー武蔵	
AT無し(2010以前/表記差)	1470	2005-FALL	冒険王ビィト エクセリオン	
AT無し(2010以前/表記差)	1444	2021-WINTER	ドキドキ！ミニミニ！隠しダンジョン劇場	
AT無し(2010以前/表記差)	1412	2019-SPRING	魔王様、“プチ”リトライ！	
AT無し(2010以前/表記差)	1338	2022-SPRING	カッコウのいいかげん！	
AT無し(2010以前/表記差)	1285	2023-SPRING	べあべあべあくまーぱーんち！	
AT無し(2010以前/表記差)	1233	2010-WINTER	怪盗レーニャ	
AT無し(2010以前/表記差)	1214	2020-SUMMER	スライムたちの井戸端会議	
AT無し(2010以前/表記差)	1103	1988-SPRING	ハロー! レディリン	
AT無し(2010以前/表記差)	1097	2026-SUMMER	スナックはざま-HAZAMA-	
AT無し(2010以前/表記差)	1081	2025-WINTER	ミニっと！かいじゅう８号	
AT無し(2010以前/表記差)	1049	2022-SUMMER	ちいちゃい！魔王さま!!	
AT無し(2010以前/表記差)	1036	2022-FALL	真・進化の実劇場	
AT無し(2010以前/表記差)	1017	1988-SPRING	つるピカハゲ丸くん	
AT無し(2010以前/表記差)	1007	2020-SUMMER	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ	
AT無し(2010以前/表記差)	1007	2021-SUMMER	カタリナ脳内会議 X	
AT無し(2010以前/表記差)	965	2019-SUMMER	ホークのお悩み相談室	
AT無し(2010以前/表記差)	930	2024-SPRING	夜桜さんちのミニ作戦	
AT無し(2010以前/表記差)	929	2002-WINTER	幻魔大戦－神話前夜の章	
AT無し(2010以前/表記差)	928	1998-SPRING	ふたり暮らし	
AT無し(2010以前/表記差)	906	2021-SPRING	夏目友人帳×熊本県「人吉・球磨での優しい時間」	
AT無し(2010以前/表記差)	878	1966-FALL	ジャングル大帝 進めレオ!	
AT無し(2010以前/表記差)	826	2023-WINTER	最強陰陽師みに	
AT無し(2010以前/表記差)	811	2017-WINTER	超・少年探偵団NEO	
AT無し(2010以前/表記差)	810	2026-SUMMER	ようじょしぇんき2	
AT無し(2010以前/表記差)	776	2023-WINTER	スライムたちの井戸端会議２	
AT無し(2010以前/表記差)	757	1998-SPRING	グランダー武蔵ＲＶ	
AT無し(2010以前/表記差)	720	2015-SPRING	BAR 嫌われ野菜	
AT無し(2010以前/表記差)	717	2015-FALL	ポンコツランド・サガ	
AT無し(2010以前/表記差)	713	2016-FALL	6つ子とおうまの物語	
AT無し(2010以前/表記差)	688	2010-FALL	SHIN-MEN	
AT無し(2010以前/表記差)	686	2019-WINTER	えいがのおそ松さん 劇場公開記念 オリジナル短編劇場	
AT無し(2010以前/表記差)	681	2022-SUMMER	ぷち！東京ミュウミュウ にゅ～♡	
AT無し(2010以前/表記差)	632	2021-SUMMER	ふんばり温泉 繁盛記	
AT無し(2010以前/表記差)	628	2022-FALL	英雄王、武を極めるため転生す ミニアニメ	
AT無し(2010以前/表記差)	627	1994-SPRING	ゴールFH (フィールド・ハンター)	
AT無し(2010以前/表記差)	616	2010-FALL	食パンミミー	
AT無し(2010以前/表記差)	611	2024-SUMMER	直江くんは痩せさせたい。	
AT無し(2010以前/表記差)	596	2023-SUMMER	セリア先生のわくわくまじかる教室season2	
AT無し(2010以前/表記差)	579	2022-SUMMER	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ 3rd	
AT無し(2010以前/表記差)	571	2023-WINTER	小林さんのツンデレ講座	
AT無し(2010以前/表記差)	566	2019-FALL	継つぐももミニアニメ	
AT無し(2010以前/表記差)	529	2023-SUMMER	キンバリー魔法学校のゆかいな日常	
AT無し(2010以前/表記差)	525	1974-FALL	はじめ人間ギャートルズ	
AT無し(2010以前/表記差)	510	2020-WINTER	囀る動物はやるしかない！	
AT無し(2010以前/表記差)	491	2021-FALL	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ 2nd	
AT無し(2010以前/表記差)	478	2021-WINTER	おかしなさばくのスナとマヌ	
AT無し(2010以前/表記差)	448	2025-SPRING	勘違いの工房主ミニアニメ	
AT無し(2010以前/表記差)	439	1980-FALL	ほえろブンブン	
AT無し(2010以前/表記差)	418	2011-SPRING	はっぴ〜カッピ	
AT無し(2010以前/表記差)	406	2024-FALL	カズヒホとマリーのようこそキッチン。	
AT無し(2010以前/表記差)	379	2023-WINTER	ツンリゼ ミニ	
AT無し(2010以前/表記差)	374	1990-WINTER	平成天才バカボン	
AT無し(2010以前/表記差)	360	2021-SPRING	ドキドキ！ミニミニ！隠しダンジョン劇場 アーティストコラボ	
AT無し(2010以前/表記差)	351	2024-WINTER	ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する ミニアニメ	
AT無し(2010以前/表記差)	348	2015-FALL	スーパーショートコミックス	
AT無し(2010以前/表記差)	320	2021-FALL	邪神ちゃんまめアニメ	
AT無し(2010以前/表記差)	307	2022-WINTER	印西あるある物語	
AT無し(2010以前/表記差)	303	2006-FALL	ぷるるんっ！しずくちゃん	
AT無し(2010以前/表記差)	298	2018-WINTER	d松さん	
AT無し(2010以前/表記差)	297	2025-SPRING	プチフォルマ～電犯局日誌～	
AT無し(2010以前/表記差)	291	2014-SPRING	くつだる。	
AT無し(2010以前/表記差)	285	2026-SUMMER	北斗の拳 拳王軍ザコたちの挽歌 第2クール	
AT無し(2010以前/表記差)	277	2023-SUMMER	キンバリー魔法学校通信	
AT無し(2010以前/表記差)	274	2013-SPRING	W・TAILS CAT - A STRANGE PRESENCE	
AT無し(2010以前/表記差)	268	2020-SUMMER	転生前の竜馬と田淵	
AT無し(2010以前/表記差)	267	1999-FALL	いつも心に太陽を!	
AT無し(2010以前/表記差)	263	1966-WINTER	戦え! オスパー	
AT無し(2010以前/表記差)	261	2019-FALL	耐え子の日常	
