巻数	タイトル	最新巻発売月	未発売	状態	著者	出版社	総巻数(全版合計)	slug	URL
5	抱かれた悪役令嬢は、激変王子の溺愛ルートに突入中!?	2026-07		ongoing	吉田にん	harpercollins-japan	5	dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu	https://mangal.shuichi0725.workers.dev/manga/dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu
5	汚れた私でも幸せになれますか?	2026-03		completed	菊池たけし/かざあな/よしだペケ	vivion-vivion-thoth	5	yogoreta-watashi-demo-shiawase-ni-naremasu-ka	https://mangal.shuichi0725.workers.dev/manga/yogoreta-watashi-demo-shiawase-ni-naremasu-ka
5	治癒魔法は使えないと追放されたのに、なぜか頼られてます	2025-12		completed	猫田博人/里海慧	starts-shuppan	5	chiyu-mahou-wa-tsukaenai-to-tsuihousareta-sareta-noni-naze-tayoraretemasu	https://mangal.shuichi0725.workers.dev/manga/chiyu-mahou-wa-tsukaenai-to-tsuihousareta-sareta-noni-naze-tayoraretemasu
5	火喰鳥	2026-06		ongoing	瀬口忍/今村翔吾	akita	5	hikuidori-imamura	https://mangal.shuichi0725.workers.dev/manga/hikuidori-imamura
5	片恋結婚	2025-09		ongoing	おおひらしるす	bunkasha	5	katakoi-kekkon	https://mangal.shuichi0725.workers.dev/manga/katakoi-kekkon
5	王宮女官の覗き見事件簿	2025-07		completed	もり/大橋薫	shonen-gahosha	5	oukyuu-jokan-no-nozokimi-file	https://mangal.shuichi0725.workers.dev/manga/oukyuu-jokan-no-nozokimi-file
5	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	2026-05		ongoing	ひろのあきとみ	nihon-bungeisha	5	isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu	https://mangal.shuichi0725.workers.dev/manga/isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu
5	異世界ジビエ飯	2025-05		completed	田辺崇	takeshobo	5	isekai-jibie-meshi	https://mangal.shuichi0725.workers.dev/manga/isekai-jibie-meshi
5	異世界メイドの三ッ星グルメ	2026-04		ongoing	モリタ/U4	kodansha	5	isekai-maid-no-mitsuboshi-gourmet	https://mangal.shuichi0725.workers.dev/manga/isekai-maid-no-mitsuboshi-gourmet
5	皇帝の子供を隠す方法	2026-08		ongoing	SSAL/26	ichijinsha	5	koutei-no-kodomo-o-kakusu-houhou	https://mangal.shuichi0725.workers.dev/manga/koutei-no-kodomo-o-kakusu-houhou
5	神を〈神様ガチャ〉で生み出し放題	2025-05		completed	こはるんるん/一竜輝	kadokawa	5	kami-o-kami-sama-gacha-de-umidashi-houdai	https://mangal.shuichi0725.workers.dev/manga/kami-o-kami-sama-gacha-de-umidashi-houdai
5	結婚、のち恋愛。	2026-10	予約	ongoing	蘇我空木/朔也	seisensha	5	kekkon-nochi-love	https://mangal.shuichi0725.workers.dev/manga/kekkon-nochi-love
5	義家族に執着されています	2026-08		ongoing	HanYoon seol/Seungwoo	ichijinsha	5	gikazoku-ni-shuuchaku-sarete-imasu	https://mangal.shuichi0725.workers.dev/manga/gikazoku-ni-shuuchaku-sarete-imasu
5	貸した魔力は〈リボ払い〉で強制徴収	2025-11		ongoing	飯島しんごう/まさキチ	flex-comix	5	kashita-maryoku-wa-ribo-barai-de-kyousei-choushuu	https://mangal.shuichi0725.workers.dev/manga/kashita-maryoku-wa-ribo-barai-de-kyousei-choushuu
5	贄姫の婚姻	2026-05		ongoing	もぐす/宮之みやこ	ichijinsha	5	niehime-no-konin	https://mangal.shuichi0725.workers.dev/manga/niehime-no-konin
5	赤子さんはかく語れり	2026-07		ongoing	魅月乱	akita	5	akago-san-wa-kaku-katareri	https://mangal.shuichi0725.workers.dev/manga/akago-san-wa-kaku-katareri
5	転生前のチュートリアルで異世界最強になりました。	2026-05		ongoing	桐沢十三/小川悟	seiunsha	5	tenseimae-no-chuutoriaru-de-isekai-saikyou-ni-narimashita	https://mangal.shuichi0725.workers.dev/manga/tenseimae-no-chuutoriaru-de-isekai-saikyou-ni-narimashita
5	転生賢者のやり直し	2026-03		completed	深山鈴/Mカフェ	starts-shuppan	5	tensei-kenja-no-yarinaoshi	https://mangal.shuichi0725.workers.dev/manga/tensei-kenja-no-yarinaoshi
