crows-gaiden-housenka	standard/通常版	19	NDL在(適用済)	isbn=9784253252942 date=2024.6
cuddle	standard/通常版	3	NDL在(適用済)	isbn=9784866578255 date=2025.2
cult-on-demand	standard/通常版	4	NDL在(適用済)	isbn=9784065370322 date=2024.10
daiki-no-baka-h-special	standard/通常版	1	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	3	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	4	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	5	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	6	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	7	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	8	手掛かりなし	
daiki-no-baka-h-special	standard/通常版	9	手掛かりなし	
danjo-no-yuujou-wa-seiritsu-suru-iya-shinai	standard/通常版	4	NDL在(適用済)	isbn=9784049160666 date=2024.11
dare-nimo-ienai-hi	standard/通常版	1	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	10	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	11	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	12	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	13	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	14	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	15	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	17	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	18	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	2	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	20	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	22	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	23	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	24	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	29	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	3	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	30	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	31	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	34	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	35	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	37	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	39	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	4	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	40	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	41	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	42	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	5	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	7	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dare-nimo-ienai-hi	standard/通常版	8	ドロップ(ユーザ裁定2026-08-05: 18禁成年アンソロジー=掲載除外①)	
dareka-kono-joukyou-o-setsumei-shite-kudasai	standard/通常版	10	NDL在(適用済)	isbn=9784866578057 date=2024.12
densetsu-no-yarichin-vs-teppeki-no-shiriana	deluxe/デラックス版	1	手掛かりなし	
doctor-hankotsui	standard/通常版	11	手掛かりなし	
dogs	standard/通常版	2	手掛かりなし	
dogs	standard/通常版	4	手掛かりなし	
dogs	standard/通常版	5	手掛かりなし	
dogs	standard/通常版	6	手掛かりなし	
dogs-sato-2023	standard/通常版	2	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	10	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	11	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	12	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	13	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	14	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	15	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	16	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	17	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	18	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	2	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	20	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	21	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	23	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	24	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	25	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	26	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	27	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	3	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	4	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	5	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	6	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	7	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	8	手掛かりなし	
dokusha-toukou-shinrei-taiken	standard/通常版	9	手掛かりなし	
doragonkuesuto-1p-comic-gekijou	standard/通常版	1	楽天live在(適用済)	isbn=9784870257641 date=1994年09月
doragonkuesuto-1p-comic-gekijou	standard/通常版	3	楽天live在(適用済)	isbn=9784870258105 date=1995年05月
doragonkuesuto-4-koma-manga-gekijou	standard/通常版	4	手掛かりなし	
dotsukiri-angel	standard/通常版	2	手掛かりなし	
dou-ganbattemo-etchi-ni-natchau-osananajimi	standard/通常版	2	楽天live在(適用済)	isbn=9784065373040 date=2024年10月18日
doughnuts-books	standard/通常版	1	手掛かりなし	
doughnuts-books	standard/通常版	10	手掛かりなし	
doughnuts-books	standard/通常版	11	手掛かりなし	
doughnuts-books	standard/通常版	12	手掛かりなし	
doughnuts-books	standard/通常版	13	手掛かりなし	
doughnuts-books	standard/通常版	14	手掛かりなし	
doughnuts-books	standard/通常版	15	手掛かりなし	
doughnuts-books	standard/通常版	2	手掛かりなし	
doughnuts-books	standard/通常版	28	手掛かりなし	
doughnuts-books	standard/通常版	3	手掛かりなし	
doughnuts-books	standard/通常版	30	手掛かりなし	
doughnuts-books	standard/通常版	31	手掛かりなし	
doughnuts-books	standard/通常版	33	手掛かりなし	
doughnuts-books	standard/通常版	4	手掛かりなし	
doughnuts-books	standard/通常版	5	手掛かりなし	
doughnuts-books	standard/通常版	6	手掛かりなし	
doughnuts-books	standard/通常版	7	手掛かりなし	
doughnuts-books	standard/通常版	8	NDL在(適用済)	isbn=9784575960099 date=1985.01.10
doughnuts-books	standard/通常版	9	手掛かりなし	
douka-ore-o-houtteoitekure	standard/通常版	5	NDL在(適用済)	isbn=9784757597860 date=2025.4
doyoubi-no-ehon	standard/通常版	5	手掛かりなし	
dr-nekoyanagita-no-kagakuteki-seishun	standard/通常版	2	手掛かりなし	
dragless-sex	standard/通常版	2	手掛かりなし	
ehon-kouroumu	standard/通常版	2	creator束縛再走で適用(分冊版ノイズ型)	
elf-dorei-to-kizuku-dungeon-harem	standard/通常版	3	手掛かりなし	
enueichikei-manga-chikyuu-daikikou	standard/通常版	2	手掛かりなし	
enueichikei-manga-chikyuu-daikikou	standard/通常版	3	手掛かりなし	
enueichikei-manga-chikyuu-daikikou	standard/通常版	4	手掛かりなし	
enueichikei-manga-chikyuu-daikikou	standard/通常版	5	手掛かりなし	
eroi-skill-de-isekai-musou	standard/通常版	4	creator束縛再走で適用(分冊版ノイズ型)	
esu-rank-party-o-munou-da-to-tsuihousareta-saretakedo-kantei-to-chiyu-mahou-de-nariagari-musou	standard/通常版	6	NDL在(適用済)	isbn=9784813764168 date=2025.2
esudii-gundam-gaiden-kishi-gundam-monogatari-seikihei-monogatari-hen	standard/通常版	2	手掛かりなし	
euromanga	standard/通常版	2	手掛かりなし	
euromanga	standard/通常版	3	手掛かりなし	
euromanga	standard/通常版	4	手掛かりなし	
euromanga	standard/通常版	5	手掛かりなし	
euromanga	standard/通常版	6	手掛かりなし	
evangelion-anthology-comic	standard/通常版	1	手掛かりなし	
evangelion-anthology-comic	standard/通常版	3	2周目適用(rakuten-regate)	isbn=9784896012552
fairy-tail-chronicle	standard/通常版	6	NDL在(適用済)	isbn=9784866578002 date=2024.11
finding-dory	standard/通常版	2	手掛かりなし	
fire-emblem-4-koma-manga-gekijou	standard/通常版	3	楽天live在(適用済)	isbn=9784870257979 date=1995年02月
fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta	standard/通常版	13	NDL在(適用済)	isbn=9784065374207 date=2024.11
fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta	standard/通常版	15	NDL在(適用済)	isbn=9784065387177 date=2025.3
fukou-reijou-deshitaga-happy-end-o-mukaemashita	standard/通常版	3	手掛かりなし	
futsutsukana-akujo-dewa-gozaimasuga	standard/通常版	8	NDL在(適用済)	isbn=9784758086554 date=2025.3
fuuhai-ni-kike	standard/通常版	2	手掛かりなし	
gakken-manga-sekai-no-rekishi	standard/通常版	1	creator束縛再走で適用(分冊版ノイズ型)	
gakken-manga-sekai-no-rekishi	standard/通常版	10	creator束縛再走で適用(分冊版ノイズ型)	
gakken-manga-sekai-no-rekishi	standard/通常版	2	creator束縛再走で適用(分冊版ノイズ型)	
gakken-manga-sekai-no-rekishi	standard/通常版	3	creator束縛再走で適用(分冊版ノイズ型)	
gakken-manga-sekai-no-rekishi	standard/通常版	4	手掛かりなし	
gakken-manga-sekai-no-rekishi	standard/通常版	5	手掛かりなし	
gakken-manga-sekai-no-rekishi	standard/通常版	6	creator束縛再走で適用(分冊版ノイズ型)	
gakken-manga-sekai-no-rekishi	standard/通常版	8	creator束縛再走で適用(分冊版ノイズ型)	
gakken-manga-sekai-no-rekishi	standard/通常版	9	手掛かりなし	
gakushuu-comic-sengoku-no-bushou	standard/通常版	2	手掛かりなし	
gal-ga-sylvanian-family-o-dekiai-shitara	standard/通常版	1	手掛かりなし	
gal-ga-sylvanian-family-o-dekiai-shitara	standard/通常版	4	NDL在(適用済)	isbn=9784065370520 date=2024.10
gamaran-shura	standard/通常版	33	NDL在(適用済)	isbn=9784065375037 date=2024.11
gamurakan	standard/通常版	2	手掛かりなし	
gekiga-ningen-kakumei	standard/通常版	3	手掛かりなし	
gekiga-oya-sama-monogatari	standard/通常版	3	creator束縛再走で適用(分冊版ノイズ型)	
gekiga-shousetsu-yoshida-gakkou	standard/通常版	17	手掛かりなし	
gekiga-shousetsu-yoshida-gakkou	standard/通常版	18	手掛かりなし	
gendai-juukyouden	standard/通常版	4	手掛かりなし	
gendai-juukyouden	standard/通常版	5	手掛かりなし	
gendai-juukyouden	standard/通常版	7	手掛かりなし	
gendai-juukyouden	standard/通常版	8	手掛かりなし	
gendai-juukyouden	standard/通常版	9	手掛かりなし	
generous-kiss	standard/通常版	1	手掛かりなし	
generous-kiss	standard/通常版	3	手掛かりなし	
generous-kiss	standard/通常版	5	手掛かりなし	
gensou-tairiku	standard/通常版	3	手掛かりなし	
gensou-tairiku	standard/通常版	4	手掛かりなし	
gensou-tairiku	standard/通常版	5	手掛かりなし	
goshujin-sama-no-oshioki	standard/通常版	2	手掛かりなし	
guild-tsuihousareta-sareta-zatsuyougakari-no-gekokujou	standard/通常版	5	NDL在(適用済)	isbn=9784088935201 date=2025.2
guranpuri-tengoku	standard/通常版	2	NDL在(適用済)	isbn=9784779609534 date=2010.7
guresanpo	standard/通常版	2	手掛かりなし	
guruguru-kakumei	standard/通常版	7	手掛かりなし	
guruguru-kakumei	standard/通常版	8	手掛かりなし	
gush-mania	standard/通常版	2	手掛かりなし	
gush-mania	standard/通常版	3	手掛かりなし	
gush-mania	standard/通常版	4	手掛かりなし	
gush-mania	standard/通常版	5	手掛かりなし	
gush-mania	standard/通常版	6	手掛かりなし	
gush-mania	standard/通常版	8	手掛かりなし	
habou-no-wadachi	standard/通常版	2	NDL在(適用済)	isbn=9784088935645 date=2025.2
