class	title	sid	edition	imprint	isbn0	date0	min_numbered	numbered	頁
HIDDEN_HASV1	カルメン	42373	standard	マンガ名作オペラ	9784124034691	2004-04	2006-12	1	carmen
HIDDEN_HASV1	カードキャプターさくら	75101	standard	講談社キャラクターズA	9784063588408	2016-10	2019-08	7,8,10	card-kyaputaa-sakura-2016
HIDDEN_HASV1	クレメンテ商会	3349	standard	眠れぬ夜の奇妙な話コミックス	9784257904182	2000-06	2012-03	1	kuremente-shoukai
HIDDEN_HASV1	ゴーストワールド	76970	standard		9784990081201	2001	2011	1	ghost-world
HIDDEN_HASV1	サザエさん旅あるき	38049	standard		9784022613417	2001-07	2016-03	1	sazae-san-tabiaruki
HIDDEN_HASV1	シトラス学園	15141	standard		9784796622530	2001-06	2013-06	1	citrus-gakuen
HIDDEN_HASV1	スパングル	32605	standard		9784883791651	2004-08-31	2015-04	1	supanguru
HIDDEN_HASV1	スプライトシュピーゲル	78585	standard	YK ours comics	9784785933517	2010-04-16	2011-11	1,2,3	sprite-spiegel
HIDDEN_HASV1	スマグラー	23969	standard	アフタヌーンKC	9784063142495	2000-08	2011-09	1	smuggler
HIDDEN_HASV1	ダブルゼータくんここにあり	3763	standard		9784073010104	1994-04	2016-07	1,2	double-zeta-kun-kokoni-ari
HIDDEN_HASV1	テコンダー朴	79978	standard		9784792605261	2015-07	2017-01	1,2,3,4,5,6,7,8	taekwondoer-park
HIDDEN_HASV1	ドクター秩父山	23277	standard		9784757211865	2005-11	2012-12	1,3	doctor-chichibuyama
HIDDEN_HASV1	ハヤテのごとく!	13149	standard	少年サンデーコミックススペシャル	9784091237361	2012-05-23	2023-06	1,2,3,4,5,6,7,8	hayate-no-gotoku-kanzenban
HIDDEN_HASV1	パチスロであった全部旨い話	18672	standard	白夜コミックス	9784893679925	2003-02	2004-08	1,2,3,5,7,8,9,10	pachisuro-de-atta-zenbu-umai-hanashi
HIDDEN_HASV1	パチンコにはちょっとひとこといわせてもらいたい	41515	standard		9784893672421	1991-10	2013-10	1	pachinko-niwa-chotto-hitokoto-iwasete-moraitai
HIDDEN_HASV1	パリの鈴木家	3392	standard		9784781600864	2010-01	2013-11	1,3	paris-no-suzukike
HIDDEN_HASV1	ピットスポルム	144058	standard	picn comics	9784823603754	2022-11	2025-08-18	5	pittosporum
HIDDEN_HASV1	ピットスポルム	144058	standard	picn comics	9784823605833	2023-12	2025-08-18	5	pittosporum
HIDDEN_HASV1	ファラオの葉巻	144125	standard	タンタンの冒険	9784990109738	2005-03-20	2011-06	1	farao-no-hamaki
HIDDEN_HASV1	ファラオの葉巻	144125	standard	タンタンの冒険	9784990109745	2005-03-20	2011-06	1	farao-no-hamaki
HIDDEN_HASV1	フィガロの結婚	42392	standard	マンガ名作オペラ	9784124034714	2004-08	2007-02	1	figaro-no-kekkon
