first_date	latest_date	n_vols	slug	title	missing	genres	authors
2020-10-12	2022-08-10	5	danna-sama-kari-ha-dekiai-yakuza	旦那さま (仮) は溺愛ヤクザ	both	romance	秕ユウジ
2021-05-28	2023-01-05	5	sengoku-basara-soukyoku-no-mahoroba	戦国BASARA双極の幻(まほろば)	both	action,historical	浅田有皆
2021-11-08	2023-08-31	5	motoshiikaazu-cafe-e-youkoso	モトシーカーズ・カフェへようこそ!	both	comedy	ばどみゅーみん
2017-12-29	2024-07-04	5	kinnikuman-jump	キン肉マンジャンプ	both	action,sports,comedy	ゆでたまご
2025-08-11	2025-08-11	5	hii-sama-muri-desu	姫様、無理です!	both	fantasy,romance	竹輪/小神よみ子
2026-01-23	2026-01-23	5	mihara-drops	みはらドロップス	both	comedy	中石田真輔
2024-12-03	2026-04-25	5	comic-mei-tantei-asami-mitsuhiko	コミック名探偵浅見光彦	both	mystery	あさみさとる
2025-03-28	2026-06-20	5	comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー	both	mystery	大橋薫/油豆/赤川次郎/夏木美香/中原まい
2024-10-19	2026-08-20	5	koutei-no-kodomo-o-kakusu-houhou	皇帝の子供を隠す方法	both	fantasy,romance,drama	SSAL/'26'
2026-08-24	2026-08-24	5	mamono-no-hanayome	魔物の花嫁	both		山冨
2025-01-13	2026-10-22	5	kekkon-nochi-love	結婚、のち恋愛。	both	romance,drama	蘇我空木/朔也
