kind	severity	layer	slug	title	ed_idx	ed_type	ed_imprint	number	isbn_raw	suggest	release_date	has_cover	is_version	n_same_value	detail
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L172	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L175	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L178	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L181	9789784537100	元ISBNは 978453710… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537100'(=元ISBN13の頭9桁'978453710'に to13 を再適用)。検算は通るが実在しない
DOUBLE_PREFIX	確実な破損	seed:data/seeds/edition-canonical/ginga-densetsu-weed.yml	ginga-densetsu-weed					L184	9789784537124	元ISBNは 978453712… で始まる13桁(下4桁不明=要外部照会)					二重接頭辞: '978'+'9784537124'(=元ISBN13の頭9桁'978453712'に to13 を再適用)。検算は通るが実在しない
CHECKDIGIT_BAD	確実な破損	seed2		とっておきまんまる団地				0	9784409058162	9784406058162	2014-10-25				検算NG 正しい検算桁=9 説明=1digit@0,1,2+ ★実在する近傍ISBN=9784406058162(検算桁を直すのでなくこちらが正解の可能性)
PREFIX_BAD	要確認	production	yoshida-akimi	夜明け	0	standard		1	0371820482831		1982-07-15	0	0	1	先頭3桁=037(検算もNG)
PREFIX_BAD	要確認	seed2		吉田秋生				0	0371820482831		1982-07-15				先頭3桁=037(検算もNG)
PREFIX_BAD	要確認	seed:data/seeds/rakuten-kana-pending.jsonl	rakuten-kana-pending					L1336	2100015137956						先頭3桁=210(検算はOK)
PREFIX_BAD	要確認	seed:data/seeds/rakuten-kana-pending.jsonl	rakuten-kana-pending					L1337	2100015137963						先頭3桁=210(検算はOK)
PREFIX_BAD	要確認	seed:data/seeds/rakuten-kana-pending.jsonl	rakuten-kana-pending					L1376	2100015137475						先頭3桁=210(検算はOK)
JAN_CODE	要確認	production	happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	0	standard	通常版	1	4984343212718		2002	0	1	1	書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	production	happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	0	standard	通常版	2	4984343212725		2002	0	1	1	書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	production	happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	0	standard	通常版	3	4984343212732		2002	0	1	1	書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed2		八百八町表裏化粧師			ダイソーコミックシリーズ	1	4984343212718		2002				書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
