yoiken-japan	suikenjapan	酔拳JAPAN	スイケンジャパン
code-osint-koodooshinto	koodooshinto	Code;OSINT コードオシント	コードオシント
code-osint-koodooshinto	koodooshinto	Code;OSINT コードオシント	コードオシント
shinrabanshou-takamiya-mari-1-st-foto-essay	shinrabanshoutakamiyamarifaasutofotoessei	森羅万象 高宮まり1stフォトエッセイ	シンラバンショウタカミヤマリファーストフォトエッセイ
tu-casa-koko-wa-kimi-no-ie	tsukaasakoko-wa-kimi-no-ie	tu casa ここは君の家	ツカーサココハキミノイエ
megaphone-parade	megafonpareedo	MEGAPHONE PARADE	メガフォンパレード
isekai-ntr-sensou	isekaienutiaarusensou	異世界NTR戦争	イセカイエヌティアールセンソウ
manga-de-ikki-yomi-asami-mitsuhiko-nazo-toki-toraberu-misuterii-sp	man-ga-day-kkiyomiasamimitsuhikonazotokitoraberumisuteriisupesharu	まんがでイッキ読み!浅見光彦 謎解きトラベルミステリーSP	マンガデイッキヨミアサミミツヒコナゾトキトラベルミステリースペシャル
tsuukaku-tantei-tsuu-ten-tera-natsume-volume-2-two	tsuukakutanteitsuutenjinatsume-volume-2-two	痛覚探偵 通天寺ナツメ [超感覚者たちの華麗なる事件記録] VOLUME 2 TWO	ツウカクタンテイツウテンジナツメ[チョウカンカクシャタチノカレイナルジケンキロク]VOLUME2TWO
isekai-majutsushi-wa-mahou-o-tonaenai-the-comic	isekaimajutsushi-wa-mahou-o-tonaenaizakomikkuhachi	異世界魔術師は魔法を唱えない THE COMIC8	イセカイマジュツシハマホウヲトナエナイザコミックハチ
ore-no-shoukan-mahou-ga-okashii-jako-sugiru-to-tsuihou-sareta-shoukan	ore-no-shoukanmahou-ga-okashiizakosugiru-to	俺の召喚魔法がおかしい。〜雑魚すぎると追放された召喚魔法使いの俺は、現代兵器を召喚して育成チートで無双する〜 vol.02	オレノショウカンマホウガオカシイザコスギルトツイホウサレタショウカンマホウツカイノオレハゲンダイヘイキヲショウカンシテイクセイチートデムソウスルヴォルゼロツー
gorugo-13-vskgb	gorugosaatiinbaasasukeijiibii	ゴルゴ13vsKGB	ゴルゴサーティーンバーサスケイジービー
kyoku-cho-art-works-ra-bu-bo-kusu	kyokuchoaatowaakusurabubokkusu	きょくちょ ART WORKS らぶぼっくす♥	キョクチョアートワークスラブボックス
hirotta-doreitachi-ga-tabidatte-haya-juunen-naze-ka-ore-ga-densetsu	hirottadoreitachi-ga-tabidattehayajuunennazekaore-ga-densetsu-ni	拾った奴隷たちが旅立って早十年なぜか俺が伝説になっていた@comic	ヒロッタドレイタチガタビダッテハヤジュウネンナゼカオレガデンセツニナッテイタ
bullet-bullet	bullet	BULLET-バレットー	バレット
bullet-bullet	bullet	BULLET-バレットー	バレット
