regress_years	slug	title	authors	edition	n_vols	worst_pair	isbn_pattern
7	kasuribana	掏摸花	小島剛夕・船越晞古・昴すまる	standard	3	2巻(1988-10)→3巻(1981-11)	有→無
7	mahha-sanshirou	マッハ三四郎	九里一平・久米みのる	standard	6	1巻(2005-09-03)→5巻(1998-12-10)	有→無
7	megiddo-no-hi	メギドの火	つのだじろう	standard	3	1巻(1984-07-06)→3巻(1977-06)	有→無
7	meirei-kuchou-no-kuchibiru-de	命令口調の唇で	あかま日砂紀	standard	2	1巻(2008-08)→2巻(2001-07)	有→有
7	momoiro-anzuiro-sakurairo	ももいろあんずいろさくらいろ	咲	standard	3	1巻(2021-03-05)→2巻(2014-11)	有→有
7	ninja-hishou	忍者飛翔	和田慎二	standard	2	1巻(2002-06-22)→2巻(1995-08)	有→有
7	old-boy-ruuzu-senki	オールド・ボーイ ルーズ戦記	土屋ガロン・嶺岸信明	standard	8	1巻(2004-11)→2巻(1997-09)	有→有
7	revenge	REVENGE	池田さとみ	standard	2	1巻(2011-08-26)→2巻(2004-05)	有→有
7	shikakui-jungle	四角いジャングル	中城健	standard	11	1巻(1986-01-09)→7巻(1979-06-25)	有→無
7	shin-karate-jigokuhen	新カラテ地獄変	中城健	standard	13	1巻(1989-04-06)→11巻(1982-01)	有→無
7	shouwa-gokudoushi	昭和極道史	村上和彦	standard	33	1巻(1984-01)→4巻(1977-12-31)	有→有
7	sleeping-beauty	Sleeping beauty	芳崎せいむ	standard	4	1巻(2009-10-26)→3巻(2002-02-12)	有→有
7	sono-na-wa-101	その名は101	横山光輝	standard	5	2巻(1987-06-15)→4巻(1980-01-20)	有→無
7	subarashiki-bandittsu	素晴らしきバンディッツ	峰岸とおる	standard	10	3巻(1987-01-07)→6巻(1980-01-20)	有→無
7	tetsuwan-atom	鉄腕アトム	手塚治虫	bunkobon	15	1巻(2002-06)→14巻(1995-12-15)	有→有
7	wild-life	WILD LIFE	藤崎聖人	standard	27	20巻(2007-01-15)→23巻(2000-08-15)	有→有
7	young-and-tears	Young and tears	やまだないと	standard	3	1巻(2006-04)→2巻(1999-08)	有→有
6	akira	AKIRA	大友克洋	deluxe	6	5巻(1999-12-11)→6巻(1993-03-23)	有→有
6	arms	ARMS	皆川亮二・七月鏡一	wideban	12	5巻(2014-08-12)→9巻(2008-02-23)	有→有
6	blue-hole	ブルーホール	星野之宣	bunkobon	2	1巻(2002-03)→2巻(1996-01)	有→有
6	bolt-and-nut	ボルト＆ナット	田中むねよし	standard	16	2巻(2004-08)→4巻(1998-04)	有→有
6	bunchou-sama-to-watashi	文鳥様と私	今市子	standard	26	1巻(2009-02-06)→4巻(2003-04)	有→有
6	cleopatra-d-c	クレオパトラD.C.	新谷かおる	standard	8	2巻(1995-01-28)→5巻(1989-09-16)	有→有
6	dameoyaji	ダメおやじ	古谷三敏	standard	18	4巻(1979-02)→5巻(1973-01-31)	無→無
6	double-call	Double call	緋色れーいち	standard	5	2巻(2004-10-09)→4巻(1998-11-10)	有→有
6	enueichikee-darwin-ga-kita	NHKダーウィンが来た!	講談社・日本放送協会・戸井原和巳	standard	5	1巻(2014-12-11)→2巻(2008-05-30)	有→有
6	gokujou-drops	極上ドロップス	三国ハヂメ	standard	3	1巻(2015-09)→3巻(2009-12)	有→有
6	jinrou-game	人狼ゲーム	小独活	standard	4	1巻(2021-08)→3巻(2015-07)	有→有
6	kamurobamura-e	かむろば村へ	いがらしみきお	standard	4	2巻(2014-05)→3巻(2008-11)	有→有
6	ki-tan-club	綺譚倶楽部	Jet	standard	4	2巻(1999-05)→3巻(1993-07)	有→有
6	kounodori	コウノドリ	鈴ノ木ユウ	standard	32	26巻(2019-03-22)→30巻(2013-06)	有→有
6	kyoushi-mo-iroiro-aru-wake-de	教師も色々あるわけで	大和名瀬	standard	2	1巻(2016-12-10)→2巻(2010-04-10)	有→有
6	mononoke	モノノ怪	蜷川ヤエコ	standard	3	1巻(2014-08)→2巻(2008-10)	有→有
6	nankin-road-ni-hanafubuki	南京路に花吹雪	森川久美	standard	4	1巻(1989-07-17)→3巻(1983-04-25)	有→有
6	nekketsu-daibouken-tairiku	熱血!大冒険大陸	茶々組	standard	6	1巻(2000-12)→2巻(1994-01)	有→有
6	nijitte-monogatari	弐十手物語	神江里見	standard	110	1巻(1987-12)→2巻(1981-07)	有→無
6	nippon-hakubutsushi	ニッポン博物誌	矢口高雄	standard	4	1巻(1986-08-06)→3巻(1980-11-15)	有→無
