n	type	imprint	series_key	excluded	isbns
36	standard	KPC	qid:Q1195859|name:賭博黙示録カイジ	除外レーベル	9784063531138,9784063531145,9784063531237,9784063531244,9784063531350,9784063531367,9784063740493,9784063740516,9784063740530,9784063740622,9784063740769,9784063740844,9784063744750,9784063744767,9784063745085,9784063745122,9784063745238,9784063745283,9784063748819,9784063748826
36	standard	ちばてつや全集	qid:Q2339941|name:あした天気になあれ		9784834282412,9784834282429,9784834282436,9784834282443,9784834282450,9784834282467,9784834282474,9784834282481,9784834282498,9784834282504,9784834282511,9784834282528,9784834282535,9784834282542,9784834282559,9784834282566,9784834282573,9784834282580,9784834282597,9784834282603
36	standard	講談社プラチナコミックス	qid:Q8060533|name:ダイヤのA	除外レーベル	9784063857467,9784063857474,9784063857542,9784063857603,9784063857917,9784063857924,9784063857955,9784063858020,9784063858259,9784063858266,9784063858303,9784063859171,9784063859188,9784063859195,9784063859201,9784063859393,9784063859409,9784063859706,9784063859737,9784063859768
35	standard	中公コミックス	name:藤子不二雄|name:ドラえもん		9784124100020,9784124100068,9784124100105,9784124100143,9784124100181,9784124100228,9784124100266,9784124100303,9784124100341,9784124100389,9784124100426,9784124100464,9784124100501,9784124100549,9784124100587,9784124100624,9784124100662,9784124100709,9784124100747,9784124100785
35	standard	KCスペシャル	qid:Q3514183|name:釣りキチ三平		9784061011571,9784061011588,9784061011595,9784061011601,9784061011618,9784061011632,9784061011656,9784061011663,9784061011830,9784061011854,9784061011861,9784061012318,9784061012325,9784061012332,9784061012349,9784061012356,9784061012363,9784061012370,9784061012387,9784061012394
35	standard	KPC	qid:Q618883|name:将太の寿司	除外レーベル	9784063532234,9784063532241,9784063532357,9784063532500,9784063532647,9784063532784,9784063532890,9784063533057,9784063533248,9784063533422,9784063533569,9784063534047,9784063534160,9784063534269,9784063534375,9784063534467,9784063719741,9784063719857,9784063740011,9784063740202
34	bunkobon	双葉文庫	qid:Q5404939|name:じゃりン子チエ		9784575670240,9784575728002,9784575728019,9784575728026,9784575728033,9784575728040,9784575728057,9784575728064,9784575728071,9784575728088,9784575728101,9784575728118,9784575728125,9784575728132,9784575728149,9784575728156,9784575728163,9784575728170,9784575728187,9784575728194
34	standard	赤塚不二夫漫画大全集	qid:Q958256|name:おそ松くん		9784090016639,9784090016646,9784090016653,9784090016660,9784090016677,9784090016684,9784090016691,9784090016707,9784090016714,9784090016721,9784090016738,9784090016745,9784090016752,9784090016769,9784090016776,9784090016783,9784090016790,9784090016806,9784090016813,9784090016820
32	standard	講談社プラチナコミックス	qid:Q9003824|name:スーパードクターK	除外レーベル	9784063748611,9784063748772,9784063748987,9784063749175,9784063749373,9784063749625,9784063749809,9784063749953,9784063750096,9784063750232,9784063750409,9784063750614,9784063750805,9784063856682,9784063856743,9784063856965,9784063857207,9784063857511,9784063857733,9784063857931
31	standard	Akita top comics	qid:Q11557657|name:浦安鉄筋家族		9784253181860,9784253188487,9784253188494,9784253188500,9784253188517,9784253188524,9784253188531,9784253188548,9784253188555,9784253188562,9784253188579,9784253189828,9784253189835,9784253189842,9784253189859,9784253189866,9784253189873,9784253189880,9784253241007,9784253241014
31	standard	KPC	qid:Q1721423|name:沈黙の艦隊	除外レーベル	9784063533361,9784063533606,9784063533859,9784063534115,9784063534306,9784063534504,9784063534726,9784063534931,9784063715170,9784063715422,9784063715620,9784063715828,9784063716023,9784063716221,9784063716375,9784063716481,9784063741995,9784063742015,9784063742107,9784063742244
31	standard	KCスペシャル	qid:Q850892|name:コータローまかりとおる!		9784063057676,9784063057683,9784063057690,9784063057706,9784063057713,9784063057720,9784063057737,9784063057744,9784063057751,9784063057768,9784063057775,9784063057782,9784063057799,9784063057805,9784063057812,9784063057829,9784063057836,9784063057843,9784063057850,9784063057867
30	standard	KPC	qid:Q11513149|name:哲也	除外レーベル	9784063740240,9784063740301,9784063740400,9784063740462,9784063740615,9784063740707,9784063740837,9784063740905,9784063741032,9784063741117,9784063741735,9784063741742,9784063741773,9784063741780,9784063741797,9784063741803,9784063741810,9784063741827,9784063741834,9784063746334
30	standard	KPC	qid:Q1195859|name:賭博破戒録カイジ	除外レーベル	9784063716290,9784063716306,9784063716351,9784063716443,9784063716474,9784063716542,9784063740967,9784063741049,9784063741261,9784063741322,9784063741407,9784063741490,9784063745405,9784063745474,9784063745573,9784063745634,9784063745740,9784063745832,9784063748062,9784063748161
29	standard	My first big special	qid:Q11670885|name:土竜の唄	除外レーベル	9784091173317,9784091173584,9784091173812,9784091174093,9784091174406,9784091174680,9784091177391,9784091177629,9784091177759,9784091177957,9784091178220,9784091178497,9784091185525,9784091185648,9784091185860,9784091186133,9784091186317,9784091186553,9784091186812,9784091187079
