slug	title	authors	year	publisher	total_volumes
chako-chan-no-nikki	チャコちゃんの日記	今村洋子	1968	(unknown)	8
shimakko	島っ子	ちばてつや	1968	(unknown)	8
nagareboshi-gojuusantsugi	流れ星五十三次	石ノ森章太郎	1968	mediafactory	5
denjin-arrow	電人アロー	一峰大二	1968	asahi-sonorama	5
mama-no-baiorin	ママのバイオリン	ちばてつや	1969	shueisha	8
yuki-no-taiyou	ユキの太陽	ちばてつや	1969	(unknown)	8
yuuyake-banchiyou	夕やけ番長	荘司としお	1969	(unknown)	17
shin-manga-bungaku-zenshuu	新漫画文学全集	東海林さだお	1969	chikuma-shobo	9
kutabare-namida-kun	くたばれ!!涙くん	石井いさみ	1970	(unknown)	8
tv-tenshi	テレビ天使	ちばてつや	1970	shueisha	6
bibabareebooru	ビバ!バレーボール	井出智香恵	1970	bunkasha	6
myuutantoden	ミュータント伝	桑田二郎	1970	pan-rolling	2
judo-itchokusen	柔道一直線	ダイナマイト鉄・永島慎二	1970	kobunsha	18
sakurako-sumireko	さくら子すみれ子	わたなべまさこ	1971	shueisha	4
maboroshi-tantei	まぼろし探偵	桑田二郎	1971	(unknown)	10
ken-to-sutekina-nakama	ケンとすてきな仲間	関谷ひさし	1971	pan-rolling	2
sennenoukoku	千年王国	水木しげる	1971	shueisha	3
yuujousanmyaku	友情山脈	福原秀美	1971	pan-rolling	2
saizensen	最前線	望月三起也	1971	daitosha	4
asahi-no-koibito	朝日の恋人	かざま鋭二	1971	(unknown)	4
okane-tamemasu	お金ためます!	忠津陽子	1972	(unknown)	2
kimidori-midoro-aomidoro	きみどりみどろあおみどろ	土田よしこ	1972	chuokoron	3
maro	まろ	永井豪	1972	mediafactory	5
gakuen-taikutsu-otoko	ガクエン退屈男	永井豪	1972	asahi-sonorama	3
golden-boy	ゴールデンボーイ	山本まさはる・本宮ひろ志	1972	kodansha	3
goyoukiba	御用牙	神田たけ志	1972	koike-shoin	19
niji-o-yobu-ken	虹をよぶ拳	つのだじろう	1972	pan-rolling	7
oboro-juunin-chou	おぼろ十忍帖	小島剛夕	1973	(unknown)	2
sasori	さそり	篠原とおる	1973	(unknown)	19
boku-no-doubutsuen-nikki	ぼくの動物園日記	飯森広一	1973	shueisha	10
poteto-chan-esuooesu	ぽてとちゃんSOS	山田路子	1973	shogakukan	2
madara-no-kyoufu	まだらの恐怖	楳図かずお	1973	akita	1
toilet-hakase	トイレット博士	とりいかずよし	1973	(unknown)	29
chikyuuzeronen	地球0年	田辺節雄	1973	sekai-bunka	4
kaidan-koiningyou	怪談恋人形	さがみゆき	1973	hibari-shobo	2
kouya-no-shounen-isamu	荒野の少年イサム	川崎のぼる	1973	shueisha	24
tobakushitachi	賭博師たち	バロン吉元	1973	(unknown)	3
shiawase	しあわせ	戸田誠二	1974	ozora-shuppan	2
fuji-santarou	フジ三太郎	サトウサンペイ	1974	asahi-shimbun	10
tenposen	天呆銭	神田たけ志	1974	koike-shoin	3
miyamoto-musashi	宮本武蔵	石ノ森章太郎	1974	mediafactory	3
shinigami-daisenki	死神大戦記	水木しげる	1974	asahi-sonorama	4
retsupuu	烈風	貝塚ひろし	1974	gakken	4
gendai-juukyouden	現代柔侠伝	バロン吉元	1974	(unknown)	11
chizome-no-monshou	血染めの紋章	かわぐちかいじ	1974	(unknown)	2
tetsumonkai-shouninden	鉄門海上人伝	とみ新蔵	1974	seiunsha	3
oni-rinban	鬼輪番	ながやす巧・やまさき拓味	1974	akita	5
oira-sukeban	おいら女蛮	永井豪	1975	asahi-sonorama	7
bara-no-naka-no-lisa	ばらの中のリザ	わたなべまさこ	1975	home-sha	2
watashi-wa-shijimi	わたしはしじみ!	土田よしこ	1975	chuokoron	3
animal-1	アニマル1	川崎のぼる	1975	shogakukan	5
etoruria-no-ken	エトルリアの剣	文月今日子	1975	kodansha	1
joker-he	ジョカへ・・・・・	大島弓子	1975	shogakukan	1
tinker-bell	ティンカー・ベル	山岸凉子	1975	asahi-sonorama	1
mimoza-kan-de-tsukamaete	ミモザ館でつかまえて	大島弓子	1975	asahi-sonorama	1
hitokui-yashiki	人喰い屋敷	さがみゆき	1975	hibari-shobo	3
hikaru-kaze	光る風	山上たつひこ	1975	asahi-sonorama	6
shounen-giants	少年ジャイアンツ	ちばてつや	1975	home-sha	6
shishunki	思春期	庄司陽子	1975	kodansha	1
kaidanfutariiwa-sama	怪談ふたり岩さま	さがみゆき	1975	hibari-shobo	3
dojouan-tsurezure-banashi	泥鰌庵閑話	滝田ゆう	1975	chikuma-shobo	4
ikichi-o-suu-youjo	生血を吸う幼女	古賀新一	1975	hibari-shobo	2
kurenai-no-chousensha	紅の挑戦者	中城けんたろう	1975	tokuma	10
midoriiro-no-sunadokei	緑色の砂時計	和田慎二	1975	kodansha	1
chi-to-bara-no-akuma	血とばらの悪魔	高階良子	1975	kodansha	1
noibara-shouen	野イバラ荘園	大島弓子	1975	asahi-sonorama	1
kuroiwashi	黒い鷲	バロン吉元	1975	chuokoron	5
ijiwaruikka	いじわる一家	赤塚不二夫	1976	shogakukan	2
itte-shimatta-natsu	いってしまった夏	津雲むつみ	1976	shueisha	2
inakappe-taishou	いなかっぺ大将	川崎のぼる	1976	nihon-bungeisha	10
kusobabaa	くそババア!!	赤塚不二夫	1976	shogakukan	2
hadashi-no-kyojin	はだしの巨人	望月三起也	1976	asahi-sonorama	3
makasetechouta	まかせて長太	赤塚不二夫	1976	shogakukan	3
waga-seishun-no-arcadia	わが青春のアルカディア	企画・松本零士	1976	kodansha	3
afurika-no-bakudan	アフリカの爆弾	山上たつひこ	1976	(unknown)	2
iyahayanantomo	イヤハヤ南友	永井豪・ダイナミック・プロ	1976	asahi-sonorama	8
akai-kami-no-shounen-christmas	クリスマス	山岸凉子	1976	asahi-sonorama	1
