slug	title	authors	canonical済	worst	page_shape	cluster_shape
ninpou-juuban-shoubu-shirato	忍法十番勝負	白土三平		24年 standard 1巻(2013-09)→2巻(1989-12-30)	bunkobon[文庫版]/秋田漫画文庫 1冊 1976-07〜1976-07 ; standard[通常版]/Akita top comics wide 2冊 1989-12-30〜2013-09	sid7801/ed9096 bunkobon[秋田漫画文庫] 1冊 1976-07〜1976-07 ISBN0 || sid7801/ed9097 standard[SUNDAY COMICS] 1冊 1966-10-05〜1966-10-05 ISBN0 || sid31688/ed37262 standard[-] 1冊 -〜- ISBN1 || sid36585/ed43520 bunkobon[秋田漫画文庫] 1冊 1976-07〜1976-07 ISBN0 || sid36585/ed43521 standard[Akita top comics wide] 1冊 2013-09〜2013-09 ISBN1 || sid45368/ed55581 bunkobon[秋田文庫] 1冊 2003-06〜2003-06 ISBN1 || sid45555/ed55910 standard[秋田コミックスACセレクト] 1冊 1988-04-15〜1988-04-15 ISBN1
notari-matsutarou	のたり松太郎	ちばてつや・滝瀬源一		22年 bunkobon 1巻(2003-08)→5巻(1981-05-20)	standard[通常版]/ビッグコミックス 36冊 1976-03〜2000-03-01 ; bunkobon[文庫版]/小学館文庫 22冊 1981-05-20〜2004-10	sid37094/ed44195 standard[ビッグコミックス] 51冊 1976-03〜2000-03-01 ISBN36 || sid37094/ed44196 bunkobon[小学館文庫] 23冊 1986-07〜2004-10 ISBN23 || sid37094/ed44197 standard[ちばてつや全集] 9冊 1997-04〜1997-06-24 ISBN9 || sid37094/ed44198 standard[小学館叢書] 8冊 1988-12-10〜1992-01-10 ISBN8 || sid136712/ed154173 bunkobon[小学館文庫] 15冊 1980-06〜1986-02 ISBN8 || sid136713/ed154174 standard[ちばてつや全集] 12冊 1997-07〜1997-10 ISBN12
ookami-kozou	狼小僧	白土三平		21年 bunkobon 1巻(1999-08)→3巻(1978-10)	standard[通常版]/- 2冊 1961-04〜1961-04 ; bunkobon[文庫版]/小学館文庫 3冊 1978-10〜1999-08	sid31711/ed37303 standard[-] 2冊 1961-04〜1961-04 ISBN0 || sid31711/ed37304 bunkobon[小学館文庫] 5冊 1978-07〜1999-08 ISBN2 || sid31711/ed37305 standard[コンパクトコミックス] 2冊 -〜- ISBN0
ore-wa-teppei	おれは鉄兵	ちばてつや		23年 bunkobon 1巻(2001-06)→13巻(1978-06) / 20年 standard 19巻(1998-05)→22巻(1978-07-25)	bunkobon[文庫版]/ちばてつや漫画文庫 31冊 1978-06〜2001-11 ; standard[通常版]/講談社コミックス 31冊 1978-07-25〜1998-05	sid37084/ed44177 bunkobon[ちばてつや漫画文庫] 31冊 1977-12〜1980-08 ISBN0 || sid37084/ed44178 standard[ちばてつや全集] 21冊 1997-11〜1998-05 ISBN21 || sid37084/ed44179 standard[講談社コミックススペシャル] 1冊 1985-04-06〜1985-04-06 ISBN1 || sid37084/ed44180 standard[KCスペシャル] 8冊 1984-11〜1985-03 ISBN8 || sid37084/ed44181 bunkobon[講談社漫画文庫] 12冊 2001-06〜2001-11 ISBN12 || sid37084/ed44182 standard[講談社コミックス] 32冊 1974-08-05〜1980-06 ISBN0 || sid37084/ed44183 standard[My first big special] 4冊 2016-10〜2017-01 ISBN4 || sid134440/ed151833 standard[KCスペシャル] 2冊 1985-04〜1985-05 ISBN2 || sid134440/ed151834 standard[講談社コミックススペシャル] 1冊 1985-05-04〜1985-05-04 ISBN1 || sid134441/ed151835 standard[KCスペシャル] 6冊 1984-10〜1984-11 ISBN6
red-mask	レッドマスク	横山光輝		23年 standard 3巻(2012-12)→5巻(1989-12-25)	standard[通常版]/横山光輝名作集 4冊 1988-09-20〜2012-12	sid45523/ed55828 standard[-] 1冊 2012-12〜2012-12 ISBN1 || sid45523/ed55829 standard[横山光輝名作集] 3冊 1988-09-20〜1989-12-25 ISBN0
retsupuu	烈風	貝塚ひろし		25年 standard 1巻(1999-07)→4巻(1974-07-20)	standard[通常版]/少年チャンピオン・コミックス 4冊 1974-07-20〜1999-09	sid27485/ed32198 standard[青林堂オンデマンド] 4冊 2002-08-01〜2002-08-01 ISBN0 || sid27485/ed32199 standard[Rekishi gunzo books] 2冊 1999-08〜1999-09 ISBN2 || sid27485/ed32200 standard[RGC歴史群像コミックス] 1冊 1999-07〜1999-07 ISBN1 || sid27485/ed32201 standard[少年チャンピオン・コミックス] 4冊 1973-07-20〜1974-07-20 ISBN0
robot-santou-hei	ロボット三等兵	前谷惟光		26年 standard 3巻(1997-10)→5巻(1971-06-15)	standard[通常版]/虫コミックス 8冊 1971-06-15〜1997-10 ; bunkobon[文庫版]/講談社漫画文庫 6冊 1976-06-01〜1976-08-24	sid34734/ed40881 standard[虫コミックス] 5冊 1969-02-28〜1971-06-15 ISBN0 || sid34734/ed40882 standard[漫画名作館] 3冊 1995-11-24〜1997-10 ISBN3 || sid34734/ed40883 standard[ペップおもしろまんがランド] 1冊 1989-10-20〜1989-10-20 ISBN0 || sid34734/ed40884 standard[MANGA Shop Series] 3冊 2007-08-02〜2007-08-02 ISBN3 || sid34734/ed40885 bunkobon[講談社漫画文庫] 3冊 1976-06-01〜1976-08-24 ISBN0 || sid34734/ed40886 standard[-] 9冊 -〜- ISBN0 || sid34734/ed40887 bunkobon[講談社の特選漫画文庫] 6冊 -〜- ISBN0 || sid87274/ed102372 standard[-] 2冊 -〜- ISBN0
robotta-kun	ロボッ太くん	とりいかずよし		23年 standard 2巻(2006-04)→3巻(1983-04-25)	standard[通常版]/てんとう虫コミックス 4冊 1982-04-25〜2006-04	sid4650/ed5516 standard[てんとう虫コミックスライブラリー] 2冊 2006-04〜2006-04 ISBN2 || sid4650/ed5517 standard[てんとう虫コミックス] 3冊 1982-04-25〜1983-04-25 ISBN2 || sid146410/ed164135 standard[てんとう虫コミックス] 1冊 1984-03-25〜1984-03-25 ISBN1
saizensen	最前線	望月三起也		22年 standard 1巻(1993-09)→4巻(1971-08-01)	standard[通常版]/キング・コミックス 4冊 1971-08-01〜1993-09	sid18164/ed21412 standard[ヒットコミックス] 3冊 1974-07-15〜1975-03-01 ISBN0 || sid18164/ed21413 standard[St comics] 3冊 1993-09〜1993-09 ISBN3 || sid18164/ed21414 standard[キング・コミックス] 5冊 1968-08〜1971-08-01 ISBN0 || sid18164/ed21415 standard[Star comics] 4冊 1983-07-08〜1983-07-08 ISBN0 || sid156494/ed174456 standard[シマムラ漫画シリーズ] 1冊 -〜- ISBN0
samurai-giants	侍ジャイアンツ	井上コオ		28年 standard 1巻(2002-02)→9巻(1974-04-30)	standard[通常版]/ジャンプ・コミックス 16冊 1974-04-30〜2002-04 ; bunkobon[文庫版]/講談社漫画文庫 8冊 2002-02〜2002-04	sid9086/ed10562 standard[サンケイコミックス] 7冊 1986-11〜1987-01 ISBN0 || sid31234/ed36643 standard[ジャンプ・コミックス] 16冊 1972-03〜1975-04-30 ISBN0 || sid31234/ed36644 bunkobon[講談社漫画文庫] 8冊 2002-02〜2002-04 ISBN8 || sid31234/ed36645 standard[梶原一騎原作漫画傑作選] 8冊 2002-02〜2002-04 ISBN8 || sid31234/ed36646 standard[サンケイコミックス] 5冊 1986-09-01〜1986-11 ISBN0
