imprint	label	type	slug	title	巻数	書影数	書影	初刊	最終
デュオ・セレクション・オリジナル	通常版	standard	battle-machine	バトル・マシーン	7	0	0/7	1986-01-31	1987-03-30
デュオ・セレクション・オリジナル	通常版	standard	boogeyman	ブギーマン	1	0	0/1	1986-08-30	1986-08-30
デュオ・セレクション・オリジナル	通常版	standard	hero-wa-ikaga	ヒーローはいかが?	1	0	0/1	1987-07-01	1987-07-01
デュオ・セレクション・オリジナル	通常版	standard	megami-no-mita-yume	女神の見た夢	1	0	0/1	1986-06-30	1986-06-30
デュオ・セレクション・オリジナル	通常版	standard	the-combat	ザ・コンバット	2	0	0/2	1986-01	1986-11
デュオ・セレクション・オリジナル	通常版	standard	the-konbatto	ザ・コンバット	2	0	0/2	1986-01	1986-08
バンブーエッセイセレクション	通常版	standard	ikinari-singapore-kazoku-de-watashiboshi-shimashita	いきなりシンガポール　家族で渡星しました	1	1	1/1	2026-11-02	2026-11-02
バンブーエッセイセレクション	通常版	standard	thailand-ijuu-ni-idomu-around-forty-gakeppuchi-joshi-no-kunan	タイ移住に挑む、アラフォー崖っぷち女子の苦難	1	1	1/1	2026-07-30	2026-07-30
バンブーエッセイセレクション	通常版	standard	uchi-no-ko-nante-itteru	うちの子、なんて言ってる?	1	1	1/1	2026-07-23	2026-07-23
バンブーコミックス 潤恋オトナセレクション	新装版(2021)	shinsoban	momoiro-anzuiro-sakurairo	ももいろあんずいろさくらいろ	1	1	1/1	2021-03-05	2021-03-05
バンブーコミックス 麗人セレクション	通常版	standard	hinekuresha-no-2-nin-wa-koishirazu	ひねくれ者の2人は恋知らず	1	1	1/1	2026-09-26	2026-09-26
プラチナS・girlセレクション	通常版	standard	megane-de-aishite	眼鏡で愛して!?	1	1	1/1	2007-12	2007-12
ボーイズduoセレクション	通常版	standard	ano-toki-kara-sukidattanda-to-omou	あの時からスキだったんだと思う	2	2	2/2	2021-06-25	2021-06-25
ボーイズduoセレクション	通常版	standard	ayakashi-ko-tan	アヤカシ古譚	1	1	1/1	2010-03	2010-03
ボーイズduoセレクション	通常版	standard	ever-after	エバーアフター	1	1	1/1	2014-11-25	2014-11-25
ボーイズduoセレクション	通常版	standard	geboku-wa-sereburitei	下僕はセレブリティ	2	2	2/2	2009-12-16	2010-03
ボーイズduoセレクション	通常版	standard	netsujou-to-yokubou-no-yukue	熱情と欲望のゆくえ	2	2	2/2	2009-12	2010-01
ミッシィコミックスセレクション	通常版	standard	loop-salad	ルプ☆さらだ	1	0	0/1	1992-12-10	1992-12-10
ミッシィコミックスセレクション	通常版	standard	tondemo-doll-akane-chan	とんでもドールあかねちゃん	1	0	0/1	1993-01	1993-01
ヤングジャンプ・コミックスセレクション	通常版	standard	goutama	ゴータマ	2	0	0/2	1993-04-19	1993-05-19
ヤングジャンプ・コミックスセレクション	ヤングジャンプ・コミックスセレクション	shinsoban	hanappe-bazooka	花平バズーカ	3	0	0/3	1991-01-18	1994-09-19
ヤングジャンプ・コミックスセレクション	通常版	standard	monmon-akademii-1997	もんもんアカデミー	3	3	3/3	1997-01-17	1997-03-18
ワイド版高橋葉介ベストセレクション	ワイド版	wideban	umikarakitadooru	海から来たドール	1	1	1/1	2008-07	2008-07
山岸凉子スペシャルセレクション	新装版	shinsoban	ao-no-jidai	青青の時代	2	2	2/2	2016-04-20	2016-06-20
山岸凉子スペシャルセレクション	通常版	standard	futsukazuki	二日月	1	1	1/1	2010-10	2010-10
山岸凉子スペシャルセレクション	通常版	standard	kishimojin	鬼子母神	1	1	1/1	2010-12	2010-12
山岸凉子スペシャルセレクション	通常版	standard	tokoyo-no-naganakidori	常世長鳴鳥	1	1	1/1	2010-08	2010-08
山岸凉子スペシャルセレクション	山岸凉子スペシャルセレクション	shinsoban	youseiou	妖精王	3	3	3/3	2011-06	2011-10
火の玉ゲームコミックシリーズベストセレクション	通常版	standard	plastic-babies	プラスティック: ベイビイズ	5	5	5/5	2000-06-10	2011-05
秋田コミックスセレクト	通常版	standard	horobi-no-fue	滅びの笛	3	0	0/3	1984-01	1998-12
秋田コミックスセレクト	秋田コミックスセレクト	shinsoban	kyoufu-shinbun	恐怖新聞	5	0	0/5	1984-01	1984-10-10
秋田コミックスセレクト	通常版	standard	yumegeshou	夢化粧	3	0	0/3	1985-07-15	1986-04
秋田トップコミックス	秋田トップコミックス	shinsoban	vampire	バンパイヤ	1	0	0/1	2002-11	2002-11
講談社アニメ化作品セレクション!	通常版	standard	5-ma-kousaku-hoka-5dai-animeka-sakuhin-kyouen	島耕作他5大アニメ化作品共演	1	1	1/1	2011-07	2011-07
講談社アニメ化作品セレクション!	通常版	standard	5-ma-kousaku-hoka-5dai-animeka-sakuhin-toujou	島耕作他5大アニメ化作品登場	1	1	1/1	2011-06	2011-06
講談社プラチナコミックス	講談社プラチナコミックス	shinsoban	ai-to-makoto	愛と誠	6	6	6/6	2012-05	2012-07
酒井美羽スペシャルセレクション	通常版	standard	futari-no-pinchi-o-h-ni-norikiru	ふたりのピンチをHにのりきる	1	1	1/1	2001-12	2001-12
酒井美羽スペシャルセレクション	通常版	standard	himitsu-no-koi-wa-itsumo-hni	ヒミツの恋はいつもHに	1	1	1/1	2002-02	2002-02
酒井美羽スペシャルセレクション	通常版	standard	hna-koi-de-lich-ni-narou	Hな恋でリッチになろう	1	1	1/1	2001-11	2001-11
酒井美羽スペシャルセレクション	通常版	standard	koi-to-h-wa-seme-de-iku	恋とHは攻め!でいく	1	1	1/1	2002-01	2002-01
集英社ホームリミックス	集英社ホームリミックス	other	captain	キャプテン	2	2	2/2	2022-03	2022-04
青林堂オンデマンド	通常版	standard	arashino-champion	嵐のチャンピオン	1	0	0/1	2007-02	2007-02
青林堂オンデマンド	通常版	standard	jaiantsu16gou	巨人16号	1	0	0/1	2009-06	2009-06
青林堂オンデマンド	青林堂オンデマンド	shinsoban	maicching-machiko-sensei	まいっちんぐマチコ先生	3	0	0/3		
青林堂オンデマンド	通常版	standard	nanatsumekozou	七つ目小僧	1	0	0/1	1988-07-09	1988-07-09
青林堂オンデマンド	通常版	standard	oba-san-again	おばさんアゲイン	1	0	0/1	2002-08-15	2002-08-15
青林堂オンデマンド	青林堂オンデマンド	shinsoban	retsupuu	烈風	4	0	0/4	2002-08-01	2002-08-01
青林堂オンデマンド	通常版	standard	shounenjupitaa	少年ジュピター	1	0	0/1	2006-08	2006-08
青林堂オンデマンド	通常版	standard	torufan-no-nishi	トルファンの西	3	0	0/3	2002-08-01	2002-08-01
青林堂オンデマンド	通常版	standard	toukyouzman	東京Zマン	1	1	1/1	2006-03-03	2006-03-03
食Akita top comics	通常版	standard	manga-kiwamezara	マンガ極皿	1	1	1/1	2018-08	2018-08
高橋葉介ベストセレクション	通常版	standard	kage-ichigou-shirei	影一号指令	1	1	1/1	2008-11-11	2008-11-11
