verdict	slug	title	wiki_article	本番巻	wiki対	採用巻	SAME	ADOPT_MONTH	ADOPT_DAY	ADOPT_GAIN	BLOCK_PROD	BLOCK_SPLIT	NOT_IN_WIKI	ALREADY_OVERRIDDEN
SKIP_PAGE	tetsuwan-atom	鉄腕アトム	鉄腕アトム	116	250	50	28	0	0	50	1	21	16	0
SKIP_PAGE	shijou-saikyou-no-deshi-kenichi	史上最強の弟子ケンイチ	史上最強の弟子ケンイチ	61	80	48	10	23	22	3	2	1	0	0
SKIP_PAGE	patalliro	パタリロ!	パタリロ!	150	104	47	18	2	3	42	0	2	46	37
SKIP_PAGE	kariage-kun	かりあげクン	かりあげクン	69	132	46	18	33	1	12	0	5	0	0
SKIP_PAGE	tsukiji-uogashi-sandaime	築地魚河岸三代目	築地魚河岸三代目	42	42	41	0	41	0	0	0	1	0	0
SKIP_PAGE	beck	BECK	BECK (漫画)	68	74	40	23	0	38	2	0	0	5	0
SKIP_PAGE	g-defend	G・defend	G・DEFEND	102	84	40	0	0	0	40	0	0	62	0
SKIP_PAGE	komatta-toki-niwa-hoshi-ni-kike	困った時には星に聞け!	困った時には星に聞け!	42	42	39	0	0	0	39	0	3	0	0
SKIP_PAGE	mukoubuchi	むこうぶち	むこうぶち	66	71	39	12	38	1	0	15	0	0	0
SKIP_PAGE	kyou-kara-ore-wa	今日から俺は!!	今日から俺は!!	74	56	38	18	38	0	0	0	0	18	0
SKIP_PAGE	sora-wa-akai-kawa-no-hotori	天は赤い河のほとり	天は赤い河のほとり	44	54	36	6	36	0	0	0	2	0	0
SKIP_PAGE	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	ドカベン スーパースターズ編	53	67	35	0	24	3	8	0	18	0	0
SKIP_PAGE	chiruran-shinsengumi-requiem	ちるらん新撰組鎮魂歌	ちるらん 新撰組鎮魂歌	36	35	34	0	34	0	0	0	1	1	0
SKIP_PAGE	tokimeki-tonight	ときめきトゥナイト	ときめきトゥナイト	46	82	34	7	0	32	2	0	2	3	0
SKIP_PAGE	yowamushi-pedal	弱虫ペダル	弱虫ペダル	102	122	34	42	1	32	1	0	21	5	0
SKIP_PAGE	haamerun-no-baiorinhiki	ハーメルンのバイオリン弾き	ハーメルンのバイオリン弾き	37	46	33	1	33	0	0	1	0	2	0
SKIP_PAGE	mobile-keisatsu-patlabor	機動警察パトレイバー	機動警察パトレイバー	44	58	33	0	33	0	0	0	0	11	0
SKIP_PAGE	shoot	シュート!	シュート!	49	153	33	0	0	0	33	15	1	0	0
SKIP_PAGE	angel-heart	エンジェル・ハート	エンジェル・ハート	33	52	32	0	0	0	32	1	0	0	0
SKIP_PAGE	nichiro-sensou-monogatari	日露戦争物語	日露戦争物語	34	35	31	0	22	0	9	3	0	0	0
SKIP_PAGE	urayasu-tekkin-kazoku	浦安鉄筋家族	浦安鉄筋家族	46	143	31	0	20	0	11	5	10	0	0
SKIP_PAGE	dokaben-puroyakyuuhen	ドカベン プロ野球編	ドカベン プロ野球編	77	77	29	1	27	0	2	25	6	1	15
SKIP_PAGE	h2	H2	H2 (漫画)	71	71	29	38	0	0	29	0	4	0	0
SKIP_PAGE	salaryman-kintarou	サラリーマン金太郎	サラリーマン金太郎	50	46	29	1	0	0	29	0	0	20	0
SKIP_PAGE	seito-sho-kun-kyoushi-hen	生徒諸君!教師編	生徒諸君!教師編	35	36	29	1	0	0	29	4	0	1	0
SKIP_PAGE	chiisana-koi-no-monogatari	小さな恋のものがたり	小さな恋のものがたり	60	44	27	3	0	0	27	6	0	24	0
SKIP_PAGE	dokaben-doriimutoonamentohen	ドカベン ドリームトーナメント編	ドカベン ドリームトーナメント編	34	58	27	4	0	24	3	0	3	0	0
SKIP_PAGE	gekkou-jourei	月光条例	月光条例	29	29	27	1	0	27	0	0	1	0	0
SKIP_PAGE	karneval	カーニヴァル	カーニヴァル (漫画)	28	36	27	0	27	0	0	0	0	1	0
SKIP_PAGE	king-golf	KING GOLF	KING GOLF	44	44	27	16	0	27	0	0	1	0	0
SKIP_PAGE	shuujin-riku	囚人リク	囚人リク	38	41	27	3	0	23	4	1	7	0	0
SKIP_PAGE	shuumatsu-no-valkyrie	終末のワルキューレ	終末のワルキューレ	29	57	27	1	26	1	0	0	0	1	0
SKIP_PAGE	arakure-knight	荒くれKNIGHT	荒くれKNIGHT	28	98	26	0	23	0	3	0	2	0	0
SKIP_PAGE	black-jack	ブラック・ジャック	ブラック・ジャック	109	135	26	20	13	0	13	12	48	0	3
SKIP_PAGE	donketsu	ドンケツ	ドンケツ	28	59	26	1	22	0	4	0	0	1	0
SKIP_PAGE	hachiwan-diver	ハチワンダイバー	ハチワンダイバー	35	35	26	0	0	0	26	9	0	0	0
SKIP_PAGE	kimi-ni-todoke	君に届け	君に届け	30	69	26	2	0	26	0	0	2	0	0
SKIP_PAGE	ekuseru-saga	エクセル❤サーガ	エクセル・サーガ	27	27	25	1	23	0	2	0	1	0	0
SKIP_PAGE	gang-king	ギャングキング	ギャングキング	64	65	25	37	0	0	25	0	2	0	0
SKIP_PAGE	hayate-no-gotoku	ハヤテのごとく!	ハヤテのごとく!	53	86	25	15	10	6	9	1	11	1	0
SKIP_PAGE	mobuko-no-koi	モブ子の恋	モブ子の恋	26	25	25	0	25	0	0	0	0	1	0
SKIP_PAGE	ouke-no-monshou	王家の紋章	王家の紋章	98	101	25	9	12	6	7	14	49	1	0
SKIP_PAGE	shiawasenojikan	幸せの時間	幸せの時間	44	63	25	15	4	0	21	0	0	4	0
SKIP_PAGE	tetsu-no-linebarrels	鉄のラインバレル	鉄のラインバレル	26	46	25	0	25	0	0	0	1	0	0
SKIP_PAGE	yakitate-japan	焼きたて!!ジャぱん	焼きたて!!ジャぱん	26	31	25	0	25	0	0	0	1	0	0
SKIP_PAGE	amai-seikatsu	甘い生活	甘い生活 (漫画)	52	59	24	12	0	2	22	0	4	12	0
SKIP_PAGE	chinmoku-no-kantai	沈黙の艦隊	沈黙の艦隊	59	75	24	0	1	0	23	33	2	0	0
SKIP_PAGE	clover	クローバー	クローバー (平川哲弘の漫画)	43	43	24	0	6	18	0	0	19	0	0
SKIP_PAGE	amatsuki	あまつき	あまつき	24	26	23	0	23	0	0	0	0	1	0
SKIP_PAGE	rave	Rave	RAVE (漫画)	54	35	23	12	0	0	23	0	0	19	0
SKIP_PAGE	the-chef	ザ・シェフ	ザ・シェフ	51	41	23	0	1	0	22	0	18	10	0
SKIP_PAGE	gorilla-man	ゴリラーマン	ゴリラーマン	48	73	22	3	0	0	22	23	0	0	0
SKIP_PAGE	kaiouki	海皇紀	海皇紀	67	69	22	37	0	22	0	6	1	1	0
SKIP_PAGE	kareshi-kanojo-no-jijou	彼氏彼女の事情	彼氏彼女の事情	31	32	22	8	0	0	22	0	0	1	0
SKIP_PAGE	kenran-taru-grand-seenu	絢爛たるグランドセーヌ	絢爛たるグランドセーヌ	30	30	22	7	19	3	0	0	0	1	0
SKIP_PAGE	koori-no-mamono-no-monogatari	氷の魔物の物語	氷の魔物の物語	24	38	22	0	0	0	22	0	2	0	0
SKIP_PAGE	madonna	マドンナ	マドンナ (漫画)	29	22	22	0	22	0	0	0	0	7	0
SKIP_PAGE	radical-hospital	ラディカル・ホスピタル	ラディカル・ホスピタル	43	42	22	17	0	2	20	1	1	2	0
SKIP_PAGE	super-doctor-k	スーパードクターK	スーパードクターK	66	81	22	0	0	0	22	44	0	0	0
SKIP_PAGE	usogui	嘘喰い	嘘喰い	49	50	22	0	0	0	22	27	0	0	0
SKIP_PAGE	hyakki-yagyou-show	百鬼夜行抄	百鬼夜行抄	53	85	21	14	0	2	19	17	0	1	0
SKIP_PAGE	koucha-ouji	紅茶王子	紅茶王子	37	51	21	0	0	0	21	1	15	0	0
SKIP_PAGE	mobile-suit-gundam-aguressaa	機動戦士ガンダムアグレッサー	機動戦士ガンダム アグレッサー	24	23	21	1	15	6	0	1	0	1	0
SKIP_PAGE	namikibashidooriaobajitenshaten	並木橋通りアオバ自転車店	並木橋通りアオバ自転車店	32	87	21	0	20	0	1	10	0	1	0
SKIP_PAGE	ooi-tonbo	オーイ!とんぼ	オーイ! とんぼ	64	64	21	38	11	8	2	4	1	0	0
SKIP_PAGE	slam-dunk	SLAM DUNK	SLAM DUNK	75	82	21	41	0	1	20	8	5	0	0
SKIP_PAGE	tetsujin-28-gou	鉄人28号	鉄人28号	42	35	21	2	0	0	21	0	0	19	0
SKIP_PAGE	yamikin-ushijima-kun-gaiden-nikumamushi-densetsu	闇金ウシジマくん外伝肉蝮伝説	闇金ウシジマくん外伝 肉蝮伝説	26	25	21	4	21	0	0	0	0	1	0
SKIP_PAGE	akatsuki-no-yona	暁のヨナ	暁のヨナ	47	49	20	24	0	20	0	0	2	1	0
SKIP_PAGE	dokaben	ドカベン	ドカベン	72	101	20	0	7	0	13	18	30	1	3
SKIP_PAGE	hitomi-sensei-no-hokenshitsu	ヒトミ先生の保健室	ヒトミ先生の保健室	21	21	20	0	20	0	0	0	1	0	0
SKIP_PAGE	hokuto-no-ken	北斗の拳	北斗の拳	46	151	20	20	1	15	4	6	0	0	0
SKIP_PAGE	jesus	ジーザス	ジーザス (漫画)	27	20	20	0	20	0	0	0	0	7	0
SKIP_PAGE	kaze-hikaru	風光る	風光る (七三太朗・川三番地の漫画)	57	65	20	8	0	0	20	23	6	0	0
SKIP_PAGE	kinnikuman	キン肉マン	キン肉マン	112	209	20	30	0	17	3	18	0	1	43
SKIP_PAGE	pandora-hearts	Pandora hearts	PandoraHearts	24	32	20	3	9	0	11	0	0	1	0
SKIP_PAGE	aa-megami-sama	ああっ女神さまっ	ああっ女神さまっ	48	85	19	27	0	0	19	2	0	0	0
SKIP_PAGE	arte	アルテ	アルテ (漫画)	22	21	19	1	19	0	0	0	1	1	0
SKIP_PAGE	circuit-no-ookami	サーキットの狼	サーキットの狼	30	32	19	10	0	0	19	0	0	1	0
SKIP_PAGE	eden-no-tohoku	エデンの東北	エデンの東北	21	24	19	1	18	0	1	0	1	0	0
SKIP_PAGE	fruits-basket	フルーツバスケット	フルーツバスケット (漫画)	23	46	19	0	0	0	19	0	4	0	0
SKIP_PAGE	hana-no-deka	花の慶次	花の慶次	61	124	19	20	0	7	12	22	0	0	0
SKIP_PAGE	iketerufutari	イケてる2人	イケてる2人	33	43	19	4	0	0	19	4	6	0	0
SKIP_PAGE	kurokouchi	クロコーチ	クロコーチ	23	23	19	3	18	0	1	0	1	0	0
SKIP_PAGE	magi	マギ	マギ (漫画)	37	62	19	8	0	18	1	0	9	1	0
SKIP_PAGE	ningen-kousaten	人間交差点	人間交差点	46	46	19	0	19	0	0	0	0	0	27
SKIP_PAGE	rokudenashi-blues	ろくでなしblues	ろくでなしBLUES	67	67	19	42	0	5	14	0	6	0	0
SKIP_PAGE	shoujiki-fudou-san	正直不動産	正直不動産	25	26	19	5	18	1	0	0	0	1	0
SKIP_PAGE	skip-beat	スキップ・ビート!	スキップ・ビート!	53	55	19	9	0	18	1	0	23	2	0
SKIP_PAGE	ushio-to-tora	うしおととら	うしおととら	70	86	19	12	19	0	0	0	21	18	0
SKIP_PAGE	hikaru-no-go	ヒカルの碁	ヒカルの碁	55	67	18	29	0	0	18	8	0	0	0
SKIP_PAGE	koukou-debut	高校デビュー	高校デビュー	23	32	18	0	0	10	8	0	5	0	0
SKIP_PAGE	pazurugeemuhaisukuuru	パズルゲーム☆はいすくーる	パズルゲーム☆はいすくーる	52	55	18	0	0	0	18	0	0	34	0
SKIP_PAGE	samurai-deeper-kyo	SAMURAI DEEPER KYO	SAMURAI DEEPER KYO	55	58	18	36	0	0	18	0	0	1	0
SKIP_PAGE	seishokuki	性食鬼	性食鬼	24	30	18	5	15	3	0	0	0	1	0
SKIP_PAGE	adekan	艶漢	艶漢	21	22	17	0	16	0	1	4	0	0	0
SKIP_PAGE	dai-koshien	大甲子園	大甲子園	43	53	17	2	16	1	0	17	7	0	0
SKIP_PAGE	daichouhen-doraemon	大長編ドラえもん	大長編ドラえもん	41	59	17	0	17	0	0	0	24	0	0
SKIP_PAGE	ganbare-kickers	がんばれ!キッカーズ	がんばれ!キッカーズ	20	28	17	1	17	0	0	0	2	0	0
SKIP_PAGE	jitsu-wa-watashi-wa	実は私は	実は私は	22	22	17	0	0	17	0	1	3	1	0
SKIP_PAGE	monster	Monster	MONSTER (漫画)	18	27	17	0	17	0	0	0	0	1	0
SKIP_PAGE	nekomusume-michikusa-nikki	ねこむすめ道草日記	ねこむすめ道草日記	20	18	17	0	13	0	4	0	1	2	0
SKIP_PAGE	sakura-tsuushin	桜通信	桜通信	20	22	17	0	17	0	0	1	2	0	0
SKIP_PAGE	salad-days	SALAD DAYS	SALAD DAYS	18	20	17	0	17	0	0	0	1	0	0
SKIP_PAGE	black-cat	Black cat	BLACK CAT	32	35	16	0	0	0	16	16	0	0	0
SKIP_PAGE	chibi-maruko-chan	ちびまる子ちゃん	ちびまる子ちゃん	28	34	16	2	0	16	0	0	0	10	0
SKIP_PAGE	football-nation	フットボールネーション	フットボールネーション	20	20	16	2	15	1	0	0	1	1	0
SKIP_PAGE	freezing	フリージング	フリージング (漫画)	33	36	16	5	11	0	5	2	0	10	0
