class	severity	slug	title	isbn13	isbn_ok	n_rows	n_editions	numbers	ed_idx	ed_types	ed_labels	ed_imprints	release_dates	ed_overlap	flags	slot_conflict	note
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587288	1	2	2	8	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1996-12-02|1996-12-07	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587295	1	2	2	9	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1997-07-04|1997-07-09	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088590011	1	2	2	10	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1998-01-09|1998-01-14	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	green-no-kifujin	芝の貴婦人	9784061037984	1	2	2	2	0,1	deluxe|standard	デラックス版|通常版	KCデラックス|	1989-06-23	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	inasaku	稲作	9784063344295	1	2	2	1	0,1	standard|deluxe	通常版|デラックス版	キャラクターブックス|KCデラックス	2001-07	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	kishibe-no-uta	岸辺の唄	9784834275087	1	2	2	2	0,1	standard|bunkobon	通常版|文庫版	Eyes comics|[ホーム社漫画文庫]	2013-10-18	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	kishibe-no-uta	岸辺の唄	9784834275124	1	2	2	3	0,1	standard|bunkobon	通常版|文庫版	Eyes comics|[ホーム社漫画文庫]	2017-04-18	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	kizuguchi-to-houtai	傷口と包帯	9784065440797	1	2	2	5	0,1	deluxe|standard	デラックス版|通常版	講談社コミックスデラックス. 月刊少年マガジン|講談社	2026-07-03|2026-07-16	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	kousaka-shachou-wa-gaman-dekinai	高坂社長は我慢できない	9784065372364	1	2	2	5	0,1	deluxe|standard	デラックス版|通常版	KCデラックス|	2024-10-11	100%	PHANTOM_ED		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	myououden-rei	明王伝レイ	9784063131437	1	2	2	8	0,1	standard|deluxe	通常版|デラックス版	KCDX|KCデラックス	1990-07-23	50%			版の大半が重複(共有率50%)
EDITION_DOUBLE	確実な破損	myououden-rei	明王伝レイ	9784063131444	1	2	2	9	0,1	standard|deluxe	通常版|デラックス版	KCDX|KCデラックス	1990-11-22	50%			版の大半が重複(共有率50%)
EDITION_DOUBLE	確実な破損	myououden-rei	明王伝レイ	9784063132113	1	2	2	10	0,1	standard|deluxe	通常版|デラックス版	KCDX|KCデラックス	1991-03-16	50%			版の大半が重複(共有率50%)
EDITION_DOUBLE	確実な破損	nanahan-rider	750ライダー	9784253171977	1	2	2	3	0,1	standard|bunkobon	通常版|文庫版	Akita Bunko|秋田文庫	1976-07|1996-06-10	33%	DATE_DIFF		版の大半が重複(共有率33%)
EDITION_DOUBLE	確実な破損	neo-devilman	ネオデビルマン	9784063600087	1	2	2	1	2,3	shinsoban|bunkobon	講談社漫画ブンコ|講談社漫画文庫	講談社漫画ブンコ|講談社漫画文庫	2001-06|2001-06-12	100%	JOGE,DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172684	1	2	2	3	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1972-02|1996-10-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172691	1	2	2	4	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1972-08|1996-12	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172714	1	2	2	6	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1973-08|1997-02-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172721	1	2	2	7	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1973-12|1997-02-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172738	1	2	2	8	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1974-05|1997-03-31	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172745	1	2	2	9	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1974-07|1997-06-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172752	1	2	2	10	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1974-09|1997-08-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172776	1	2	2	12	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1974-11|1997-12-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172783	1	2	2	13	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1974-12|1998-02-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172790	1	2	2	14	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1974-12|1998-04-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	otoko-do-ahou-koshien	男どアホウ甲子園	9784253172806	1	2	2	15	0,1	standard|bunkobon	通常版|文庫版	SUNDAY COMICS|秋田文庫	1975-02|1998-06-10	73%	DATE_DIFF		版の大半が重複(共有率73%)
EDITION_DOUBLE	確実な破損	ouji-sama-no-dakimakura	王子さまの抱きまくら	9784799767122	1	2	2	2	0,1	deluxe|standard	デラックス版|通常版	ビーボーイコミックスデラックス|	2024-05-10	100%	PHANTOM_ED		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	raise-dewa-chanto-shimasu	来世ではちゃんとします	9784087928228	1	2	2	16	0,1	aizoban|standard	愛蔵版|通常版	グランドジャンプ愛蔵版コミックス|集英社	2026-07-03|2026-07-17	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	rinta-no-momoiro-comic	りん太のももいろコミック	9784764817586	1	2	2	2	0,1	standard|deluxe	通常版|デラックス版	エルティーンbooks|デラックス近代映画 エルティーンBOOKS	1995-04	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	9784065378830	1	2	2	6	0,1	standard|deluxe	通常版|デラックス版	月刊少年マガジン|講談社コミックスデラックス. 月刊少年マガジン	2025-01-08|2025-01-03	86%	JOGE,DATE_DIFF		版まるごと複製(共有率86%)
EDITION_DOUBLE	確実な破損	saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	9784065392669	1	2	2	7	0,1	standard|deluxe	通常版|デラックス版	月刊少年マガジン|講談社コミックスデラックス. 月刊少年マガジン	2025-04-09|2025-04-02	86%	JOGE,DATE_DIFF		版まるごと複製(共有率86%)
EDITION_DOUBLE	確実な破損	saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	9784065399187	1	2	2	8	0,1	standard|deluxe	通常版|デラックス版	月刊少年マガジン|講談社コミックスデラックス. 月刊少年マガジン	2025-07-09|2025-07-04	86%	JOGE,DATE_DIFF		版まるごと複製(共有率86%)
EDITION_DOUBLE	確実な破損	saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	9784065409251	1	2	2	9	0,1	standard|deluxe	通常版|デラックス版	月刊少年マガジン|講談社コミックスデラックス. 月刊少年マガジン	2025-10-09|2025-10-10	86%	JOGE,DATE_DIFF		版まるごと複製(共有率86%)
EDITION_DOUBLE	確実な破損	saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	9784065420980	1	2	2	10	0,1	standard|deluxe	通常版|デラックス版	月刊少年マガジン|講談社コミックスデラックス. 月刊少年マガジン	2026-01-08|2026-01-26	86%	JOGE,DATE_DIFF		版まるごと複製(共有率86%)
EDITION_DOUBLE	確実な破損	saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	9784065431658	1	2	2	11	0,1	standard|deluxe	通常版|デラックス版	月刊少年マガジン|講談社コミックスデラックス. 月刊少年マガジン	2026-04-09|2026-04-04	86%	JOGE,DATE_DIFF		版まるごと複製(共有率86%)
EDITION_DOUBLE	確実な破損	shi-no-white-magic	死のホワイトマジック	9784063131680	1	2	2	2	0,1	standard|deluxe	通常版|デラックス版	KCDX|KCデラックス	1990-09-22	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	shippo-ga-tomodachi	シッポがともだち	9784088622460	1	2	2	3	0,1	standard|deluxe	通常版|デラックス版	|Youコミックスデラックス	1993-04-22	50%			版の大半が重複(共有率50%)
EDITION_DOUBLE	確実な破損	tasokare-no-yume	たそかれの夢	9784088590752	1	2	2	2	0,1	deluxe|standard	デラックス版|通常版	JUMP COMICSDELUXE|SJ	1999-05|1999-05-05	100%	DATE_DIFF		版まるごと複製(共有率100%)
