tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	6	ELEAD	9784253178228	2009-01	ドカベン スーパースターズ編(6)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8228/9784253178228.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	7	ELEAD	9784253178235	2009-04	ドカベン スーパースターズ編(7)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8235/9784253178235.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	8	ELEAD	9784253178242	2009-07	ドカベン スーパースターズ編(8)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317824.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	9	ELEAD	9784253178259	2009-10	ドカベン スーパースターズ編(9)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317825.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	10	ELEAD	9784253178266	2010-01	ドカベン スーパースターズ編(10)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317826.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	11	ELEAD	9784253178273	2010-04	ドカベン スーパースターズ編(11)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317827.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	12	ELEAD	9784253178280	2010-07	ドカベン スーパースターズ編(12)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317828.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	13	ELEAD	9784253178297	2010-10	ドカベン スーパースターズ編(13)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317829.jpg
EXISTS	dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	14	ELEAD	9784253178303	2011-01	ドカベン スーパースターズ編(14)	水島新司	秋田書店						9784253				15	9784253178358	2011-04	秋田書店	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2531/25317830.jpg
EXISTS	dr-typhoon	Dr.タイフーン	overrides	1	wideban	ワイド版(1996)		1	ELEAD	9784575810653	1986-03	Dr.タイフーン(1)	かざま鋭二/高橋三千綱	双葉社						9784575				2	9784575934564	1996-07	双葉社	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	1	ELEAD	9784796243834	1996-07-29	ファイアーエムブレム(1)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	20	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	2	ELEAD	9784796243971	1996-10-29	ファイアーエムブレム(2)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	12	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	3	ELEAD	9784796244039	1997-01-29	ファイアーエムブレム(3)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	12	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	4	ELEAD	9784796244138	1997-04-28	ファイアーエムブレム(4)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	12	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	5	ELEAD	9784796244206	1997-07-29	ファイアーエムブレム(5)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	11	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	6	ELEAD	9784796244268	1997-10-29	ファイアーエムブレム(6)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	7	ELEAD	9784796244336	1998-02-25	ファイアーエムブレム(7)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	8	ELEAD	9784796244398	1998-04-27	ファイアーエムブレム(8)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	9	ELEAD	9784796244473	1998-07-29	ファイアーエムブレム(9)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	10	ELEAD	9784796244480	1998-10-29	ファイアーエムブレム(10)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	11	ELEAD	9784796244657	1999-01-29	ファイアーエムブレム(11)	大沢美月	スコラ						9784889				12	9784889917741	2001-02-23	メディアファクトリー	6	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	gessekai-ryokou	月世界旅行	seed4	1	standard	通常版		1	ELEAD	9784797373394	2013-03	月世界旅行	山田石人	SBクリエイティブ						9784797				2	9784797377125	2014-09-16	SBクリエイティブ	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3394/9784797373394.jpg
EXISTS	go-west-2004	Go!west	canon:extra[0]	1	shinsoban	ムービック版(1993)	ムービック版(1993)	1	ELEAD	9784872879452	1998-12	GO WEST	有坂亜摘	宙出版						9784896				5	9784896010770	1993-10	ムービック	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	go-west-2004	Go!west	canon:extra[2]	3	shinsoban	fukkan.com	fukkan.com	1	ELEAD	9784872879452	1998-12	GO WEST	有坂亜摘	宙出版						9784835				2	9784835440873	2004-02	復刊ドットコム	3	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	go-west-2004	Go!west	canon:extra[0]	1	shinsoban	ムービック版(1993)	ムービック版(1993)	3	ELEAD	9784840227384	2004-06-26	Go West!(3)	矢上 裕	KADOKAWA						9784896				5	9784896010770	1993-10	ムービック	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8402/84022738.jpg
EXISTS	go-west-2004	Go!west	canon:extra[0]	1	shinsoban	ムービック版(1993)	ムービック版(1993)	4	ELEAD	9784840229548	2005-01-27	Go West!(4)	矢上 裕	KADOKAWA						9784896				5	9784896010770	1993-10	ムービック	2	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8402/84022954.jpg
EXISTS	gunnm-last-order	銃夢last order	canon:extra[1]	2	shinsoban	KCDX	KCDX	1	ELEAD	9784088761886	2001-07	銃夢Last Order(1)	木城ゆきと	集英社						9784063				11	9784063769913	2014-04	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1886/9784088761886.jpg
EXISTS	gunnm-last-order	銃夢last order	canon:extra[1]	2	shinsoban	KCDX	KCDX	2	ELEAD	9784088762760	2002-02	銃夢Last Order(2)	木城ゆきと	集英社						9784063				11	9784063769913	2014-04	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2760/9784088762760.jpg
EXISTS	gunnm-last-order	銃夢last order	canon:extra[1]	2	shinsoban	KCDX	KCDX	3	ELEAD	9784088763507	2002-09	銃夢Last Order(3)	木城ゆきと	集英社						9784063				11	9784063769913	2014-04	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3507/9784088763507.jpg
EXISTS	gunnm-last-order	銃夢last order	canon:extra[1]	2	shinsoban	KCDX	KCDX	4	ELEAD	9784088764719	2003-06	銃夢Last Order(4)	木城ゆきと	集英社						9784063				11	9784063769913	2014-04	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0887/08876471.jpg
