class	slug	title	name	detail
MISSING_STORY	buta-kizoku-wa-mirai-o-kirihiraku-you-desu	豚貴族は未来を切り開くようです	しんこせい	頁に原作者不在
MISSING_STORY	cake-cake-cake	ケーキ ケーキ ケーキ	一ノ木アヤ	頁に原作者不在
MISSING_STORY	canaan	CANAAN	Type-Moon	頁に原作者不在
MISSING_STORY	capeta	capeta	冨山玖呂	頁に原作者不在
MISSING_STORY	captain-commando	キャプテンコマンドー	カプコン/田淵健康	頁に原作者不在
MISSING_STORY	captain-tsubasa-kids-dream	キャプテン翼KIDS DREAM	高橋陽一	頁に原作者不在
MISSING_STORY	cardfight-vanguard-g-stride-generation	カードファイト!!ヴァンガードGストライドジェネレーション	伊藤彰	頁に原作者不在
MISSING_STORY	champagne	シャンパーニュ	城アラキ	頁に原作者不在
MISSING_STORY	champagne-tower-no-mukougawa	シャンパンタワーの向こう側	りんこ	頁に原作者不在
MISSING_STORY	chatterley-fujin-no-koibito	チャタレイ夫人の恋人	DavidHerbertRichardsLawrence	頁に原作者不在
MISSING_STORY	cheat-na-tablet-o-motte-kaiteki-isekai-seikatsu	チートなタブレットを持って快適異世界生活	ちびすけ	頁に原作者不在
MISSING_STORY	chibichuki	ちびちゅき!	Type-Moon	頁に原作者不在
MISSING_STORY	chibikko-kaijuu-yadamon	ちびっこ怪獣ヤダモン	藤川桂介	頁に原作者不在
MISSING_STORY	chibikko-kenja-lv-1-kara-isekai-de-ganbarimasu	ちびっこ賢者、Lv.1から異世界でがんばります!	彩戸ゆめ	頁に原作者不在
MISSING_STORY	chiisa-na-madougu-gishi-no-rakuraku-sei-san-kakumei	小さな魔道具技師のらくらく生産革命	鈴木竜一	頁に原作者不在
MISSING_STORY	chikaano-k	チカーノKEI	KEI	頁に原作者不在
MISSING_STORY	chikashitsu-dungeon	地下室ダンジョン	錆び匙	頁に原作者不在
MISSING_STORY	chikyuu-bouchou	地球膨張	よっしゃあっ！	頁に原作者不在
MISSING_STORY	chill	CHILL	一雅木内	頁に原作者不在
MISSING_STORY	chitei-ryokou	地底旅行	JulesGabrielVerne	頁に原作者不在
MISSING_STORY	chocolate-confusion	チョコレート・コンフュージョン	星奏なつめ	頁に原作者不在
MISSING_STORY	chopin-no-jikenfu	ショパンの事件譜	北原雅紀	頁に原作者不在
