decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	kuni-o-owareta-ryuushi-san-hirowareta-ringoku-de-ukkari-musou-shite-shimau	国を追われた竜師さん、拾われた隣国でうっかり無双してしまう。	seed4	0	standard	通常版	モーニングKC	1	LEAD	9784065370315	2024-10	国を追われた竜師さん、拾われた隣国でうっかり無双してしまう。 : 弱小国家が大陸最強の竜の楽園になるまで. 1	謙虚なサークル/佐藤, 駿光	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065382974	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	manga-de-wakaru-shinryounaika	マンガで分かる心療内科	seed4	0	standard	通常版	YKコミックス	18	MID	9784785965686	2019-12	マンガで分かる心療内科. 18	ゆうき, ゆう, 1976-/ソウ	少年画報社	少年画報社	o	o	o	o	o	o	o	o	17	9784785964160	19	9784785966836	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	manga-de-wakaru-shinryounaika	マンガで分かる心療内科	seed4	0	standard	通常版	YKコミックス	23	MID	9784785970680	2022-02	マンガで分かる心療内科. 23	ゆうき, ゆう, 1976-/ソウ	少年画報社	少年画報社	o	o	o	o	o	o	o	o	22	9784785969974	24	9784785971328	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	manga-de-wakaru-shinryounaika	マンガで分かる心療内科	seed4	0	standard	通常版	YKコミックス	25	MID	9784785972288	2022-09	マンガで分かる心療内科. 25	ゆうき, ゆう, 1976-/ソウ	少年画報社	少年画報社	o	o	o	o	o	o	o	o	24	9784785971328	26	9784785973285	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	1	LEAD	9784088583013	1988-03	めざせ漫画家！手塚・赤塚賞受賞作品集 １		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	2	LEAD	9784088583020	1988-09	めざせ漫画家！手塚・赤塚賞受賞作品集 ２		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	4	LEAD	9784088583044	1989-09-15	めざせ漫画家!手塚・赤塚賞受賞作品集 4		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	5	LEAD	9784088583051	1990-03	めざせ漫画家!手塚・赤塚賞受賞作品集 5		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	7	LEAD	9784088583075	1991-01	めざせ漫画家!手塚・赤塚賞受賞作品集. 7		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	8	LEAD	9784088583082	1991-07	めざせ漫画家!手塚・赤塚賞受賞作品集 8		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
