class	isbn	ym	title	author	publisher	slug	reason
zokkan	9784592167341	2026-11	捕虜英雄〜捨て駒にされた剣奴は敵国で成り上がる〜 4	真じろう/海空 りく	白泉社	horyo-eiyuu	
zokkan	9784592161486	2026-11	ふたりエッチ 96	克・亜樹	白泉社	futari-etchi	
zokkan	9784592162384	2026-11	軍師 黒田官兵衛伝 8	重野 なおき	白泉社	gunshi-kuroda-kanbei-den	
zokkan	9784041178775	2026-11	陰の実力者になりたくて！　（19）	坂野　杏梨/逢沢　大介/東西	KADOKAWA	kage-no-jitsuryokusha-ni-naritakute	
zokkan	9784041179543	2026-11	29歳独身は異世界で自由に生きた……かった。　（9）	リュート/オオハマイコ/桑島　黎音	KADOKAWA	29-sai-dokushin-wa-isekai-de-jiyuu-ni-ikitakatta	
zokkan	9784041179536	2026-11	隣の席のヤンキー清水さんが髪を黒く染めてきた（4）	底花/真田　若楓/ハム	KADOKAWA	tonari-no-seki-no-yankee-shimizu-san-ga-kami-o-kuroku-sometekita	
zokkan	9784041180358	2026-11	陰キャの俺が席替えでS級美少女に囲まれたら秘密の関係が始まった。 （4）	バラマツヒトミ/星野　星野/黒兎　ゆう	KADOKAWA	inkya-no-ore-ga-sekigae-de-s-kyuu-bishoujo-ni-kakomaretara-himitsu-no-kankei-ga-hajimatta	
zokkan	9784041177624	2026-11	公女殿下の家庭教師　（6）	七野りく/無糖党/cura	KADOKAWA	koujo-denka-no-katei-kyoushi	
zokkan	9784785983307	2026-11	ギャングキング 2	柳内 大樹	少年画報社	gang-king	
zokkan	9784088944241	2026-11	最後の不良 11	山本 隆一郎	集英社	saigo-no-furyou	
zokkan	9784088944210	2026-11	ヤンキー君と科学ごはん 10	岡 叶/樋口 直哉	集英社	yankee-kun-to-kagaku-gohan	
zokkan	9784088943664	2026-11	高校時代に傲慢だった女王様との同棲生活は意外と居心地が悪くない 5	兎川 律/ミソネタ・ドザえもん/ユーキ あきら/	集英社	koukou-jidai-ni-gouman-datta-joou-sama-tono-dousei-seikatsu-wa-igai-to-igokochi-ga-warukunai	
zokkan	9784088943527	2026-11	バカ女26時 4	彩乃 浦助/遠野 めざ	集英社	baka-onna-26-ji	
zokkan	9784088944180	2026-11	私と相性良い人、いませんか？ 3	春輝	集英社	watashi-to-aishou-yoi-hito-imasenka	
