sid	series_key	title	kana	n_isbn	isbn1
104494	name:フローレンス林と上流階級のお仲間たち|name:有閑倶楽部の秘密	有閑倶楽部の秘密	ユウカン クラブ ノ ヒミツ	1	9784887181991
104498	name:P.A.WORKS|name:有頂天家族 フィルムコミック	有頂天家族 フィルムコミック	ウチョウテン カゾク フィルム コミック	2	9784344025271
104504	name:あきばさやか|name:服はあるのにキマらない!	服はあるのにキマらない!	フク ワ アル ノニ キマラナイ	1	9784839963019
104506	name:青山りさ|name:服を脱ぐのも仕事のうちです	服を脱ぐのも仕事のうちです	フク オ ヌグ ノ モ シゴト ノ ウチ デス	1	9784821136049
104508	name:柏木真|name:服従のあと	服従のあと	フクジュウ ノ アト	1	9784801953857
104509	name:夏生恒|name:服従のくちづけ|sub:淫らな獣に導かれて	服従のくちづけ	Daito comics TLシリーズ	1	9784864953061
104511	name:かぶとまる蝶子|name:服従の学園	服従の学園	フクジュウ ノ ガクエン	1	9784775513798
104513	name:中原都|name:服従キス・マキアート	服従キス・マキアート	フクジュウ キス マキアート	1	9784776733065
104514	name:風雅ゆゆ|name:服従ゲーム	服従ゲーム	フクジュウ ゲーム	1	9784864950589
104515	name:たぐちぇ|name:服従スキャンダル	服従スキャンダル	フクジュウ スキャンダル	1	9784775527955
104517	name:おおの藻梨以|name:服部さんはスプーン1杯のユウウツ	服部さんはスプーン1杯のユウウツ	ハツトリサン ワ スプーン イツパイ ノ ユウウ	1	9784061700819
104522	name:那葉優花|name:朗読執事	朗読執事	ロウドク シツジ	1	9784834262247
104523	name:888|name:朗読少女	朗読少女	ロウドク ショウジョ	1	9784048915632
104526	name:まさお三月|name:望むべくもない	望むべくもない	ノゾムベク モ ナイ	1	9784403663710
104528	name:スタジオL|name:望・満月の夜に	望・満月の夜に	ノゾム マンゲツ ノ ヨル ニ	1	9784876567102
104530	name:宮原歩|name:望月さんの恋文	望月さんの恋文	モチズキサン ノ コイブミ	1	9784812476383
104539	name:池上竜矢|name:朝の来ない家	朝の来ない家	アサ ノ コナイ イエ	1	9784812487488
104544	name:しゃあた|name:朝まで何度も、何度でも	朝まで何度も、何度でも	アサ マデ ナンド モ ナンド デモ	1	9784091377890
104546	name:小越なつえ|name:朝まで抱いて	朝まで抱いて	アサ マデ ダイテ	1	9784091350428
104549	name:清水佳子|name:朝もや	朝もや	アサモヤ	1	9784061762107
104552	name:華谷艶|name:朝チュン!	朝チュン!	アサチュン	1	9784091332103
104555	name:品川かおるこ|name:朝倉家の人々	朝倉家の人々	アサクラケ ノ ヒトビト	1	9784403660641
104556	name:加来耕三|name:朝倉義景	朝倉義景	アサクラ ヨシカゲ	1	9784591144268
104558	name:村上左知|name:朝川くんとキスをするなら	朝川くんとキスをするなら	アサカワクン ト キス オ スルナラ	1	9784537132328
104560	name:嶋二|name:朝日奈怜一郎はいつも憂鬱	朝日奈怜一郎はいつも憂鬱	アサヒナ レイイチロウ ワ イツモ ユウウツ	1	9784041051016
104565	name:西村しゅうこ|name:朝焼けのダイヤモンド・ライフ	朝焼けのダイヤモンド・ライフ	アサヤケ ノ ダイヤモンド ライフ	1	9784883029877
104570	name:つむらちた|name:朝起きたら女の子になっていた男子高校生たちの話	朝起きたら女の子になっていた男子高校生たちの話	アサ オキタラ オンナノコ ニ ナッテ イタ ダ	1	9784041109359
104572	name:北沢きょう|name:朝長隆太郎の淫らな日常	朝長隆太郎の淫らな日常	アサナガ リュウタロウ ノ ミダラナ ニチジョウ	1	9784832288706
104573	name:北沢きょう|name:朝長風月、書道家です。	朝長風月、書道家です。	アサナガ フウゲツ ショドウカ デス	1	9784832288300
104574	name:黒井緑|name:朝雲は振り向かない	朝雲は振り向かない	アサグモ ワ フリムカナイ	1	9784592711308
104578	name:米谷たかね|name:期間限定のダンナ様	期間限定のダンナ様	キカン ゲンテイ ノ ダンナサマ	1	9784776743095
104579	name:藤間みお|name:期間限定ファミリー	期間限定ファミリー	キカン ゲンテイ ファミリー	1	9784834262582
104581	name:香川まさひと|name:朧	朧	オボロ	1	9784903955056
104582	name:佐木飛朗斗|name:朧伝	朧伝	オボロデン	1	9784938343071
104584	name:鳳巳乱|name:朧月夜	朧月夜	オボロズキヨ	1	9784871839471
104585	name:中陸なか|name:木々は春	木々は春	キギ ワ ハル	1	9784834264593
104591	name:林家木久蔵|name:木久蔵流錦絵草紙	木久蔵流錦絵草紙	キクゾウリュウ ニシキエゾウシ	1	9784947629739
