kind	season	anime_title	page_slug	gensaku
A_LINKED/AL側に居る	2022-FALL	異世界おじさん	isekai-oji-san	殆ど死んでいる（WebComicアパンダ連載／KADOKAWA刊）
A_LINKED/AL側に居る	2022-SPRING	コタローは1人暮らし	kotaroo-wa-hitorigurashi	津村マミ「コタローは 1 人暮らし」(小学館 「ビッグコミックスペリオール」 連載中)
A_LINKED/AL側に居る	2022-SUMMER	Dr.STONE 龍水		稲垣理一郎 ・ Boichi （集英社「 週刊少年ジャンプ 」連載）
A_LINKED/AL側に居る	2022-WINTER	ジョジョの奇妙な冒険 ストーンオーシャン	jojo-no-kimyou-na-bouken-stone-ocean	荒木飛呂彦 （集英社ジャンプコミックス刊）
A_LINKED/AL側に居る	2022-WINTER	範馬刃牙	hanma-baki	板垣恵介 （秋田書店「週刊少年チャンピオン」連載）
A_LINKED/AL側に居る	2023-FALL	ケンガンアシュラ Season2	kengan-ashura	サンドロビッチ・ヤバ子 作画： だろめおん （小学館「マンガワン」連載）
A_LINKED/AL側に居る	2023-FALL	範馬刃牙 2期	hanma-baki	板垣恵介 （秋田書店「週刊少年チャンピオン」連載）
A_LINKED/AL側に居る	2023-FALL	終末のワルキューレⅡ	shuumatsu-no-valkyrie	｢ 終末のワルキューレ ｣（作画：アジチカ 原作：梅村真也 構成：フクイタクミ「月刊コミックゼノン」連載／コアミックス）
A_LINKED/AL側に居る	2023-FALL	転生したらスライムだった件 コリウスの夢	tensei-shitara-slime-datta-ken	川上泰樹 伏瀬 みっつばー 『 転生したらスライムだった件 』 （講談社「月刊少年シリウス」連載）
A_LINKED/AL側に居る	2023-FALL	進撃の巨人 The Final Season 完結編 後編		諫山創 （別冊少年マガジン／講談社）
A_LINKED/AL側に居る	2023-SPRING	ゴールデンカムイ 第四期		野田サトル （集英社「週刊ヤングジャンプ」連載） チーフディレクター：すがはらしずたか
A_LINKED/AL側に居る	2023-SUMMER	あやかしトライアングル	ayakashi-triangle	矢吹健太朗（集英社「少年ジャンプ＋」連載）
A_LINKED/AL側に居る	2023-SUMMER	五等分の花嫁∽	gotoubun-no-hanayome	春場ねぎ 「 五等分の花嫁 」（講談社『週刊少年マガジン』）
A_LINKED/AL側に居る	2023-SUMMER	魔王学院の不適合者 Ⅱ ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～		秋氏によるライトノベル。WEB 小説サイト「小説家になろう」にて2017年4月より連載が開始、そして、電撃文庫（KADOKAWA刊）より2018年3月から刊行。
A_LINKED/AL側に居る	2023-WINTER	コタローは1人暮らし	kotaroo-wa-hitorigurashi	津村マミ「コタローは 1 人暮らし」(小学館 「ビッグコミックスペリオール」 連載中)
A_LINKED/AL側に居る	2023-WINTER	ジョジョの奇妙な冒険 ストーンオーシャン 第25話～最終話		荒木飛呂彦 （集英社ジャンプコミックス刊）
A_LINKED/AL側に居る	2023-WINTER	機動戦士ガンダム サンダーボルト（TVエディション）	mobile-suit-gundam	矢立肇 富野由悠季 (「機動戦士ガンダム」より) 漫画原作・デザイン：太田垣康男 監督・脚本：松尾衡 アニメーションキャラクターデザイン：高谷浩利 モビルスーツ
A_LINKED/AL側に居る	2023-WINTER	進撃の巨人 The Final Season 完結編		諫山創 （別冊少年マガジン／講談社）
A_LINKED/AL側に居る	2024-FALL	ケンガンアシュラ Season2 Part.1		サンドロビッチ・ヤバ子 作画： だろめおん （小学館「マンガワン」連載）
A_LINKED/AL側に居る	2024-FALL	神之塔 -Tower of God- 工房戦		SIU（「LINEマンガ」連載）
A_LINKED/AL側に居る	2024-SPRING	僕のヒーローアカデミア（7期）		堀越耕平 （集英社「週刊少年ジャンプ」連載）
A_LINKED/AL側に居る	2024-SUMMER	FAIRY TAIL 100年クエスト	fairy-tail-100-years-quest	真島ヒロ ・上田敦夫『 FAIRY TAIL 100 YEARS QUEST』（講談社「マガジンポケット」連載）
A_LINKED/AL側に居る	2024-SUMMER	監禁区域レベルX	kankin-kuiki-level-x	大石ロミー（peep） 絵：江頭大樹 株式会社サーチフィールド Webtoon制作：taskey STUDIO
A_LINKED/AL側に居る	2024-WINTER	BASTARD!! －暗黒の破壊神－地獄の鎮魂歌編		「BASTARD!! 暗黒の破壊神」 萩原一至 （集英社ジャンプ コミックス刊）
A_LINKED/AL側に居る	2024-WINTER	BURN THE WITCH #0.8		久保帯人 （集英社「週刊少年ジャンプ」連載）
A_LINKED/AL側に居る	2024-WINTER	邪神ちゃんドロップキック【世紀末編】		ユキヲ （COMICメテオ連載／フレックスコミックス刊） 製作総指揮：夏目公一朗
A_LINKED/AL側に居る	2024-WINTER	魁!!令和の男塾	sakigake-otokojuku	宮下あきら『魁!!男塾』 集英社 集英社文庫（コミック版）刊 監督・キャラクターデザイン・演出・編集： FROGMAN
A_LINKED/AL側に居る	2025-FALL	ケンガンアシュラ Season2 Part.2（TV放送）		サンドロビッチ・ヤバ子 作画： だろめおん （小学館「マンガワン」連載）
A_LINKED/AL側に居る	2025-SPRING	遊☆戯☆王デュエルモンスターズGX 20th Remaster		高橋和希 スタジオ・ダイス（集英社「週刊少年ジャンプ」）
A_LINKED/AL側に居る	2025-WINTER	BEASTARS FINAL SEASON	beastars	『 BEASTARS 』 板垣巴留 （秋田書店少年チャンピオン・コミックス刊）
A_LINKED/AL側に居る	2025-WINTER	どこでもマキバオー	midori-no-makibaoo	つの丸『 みどりのマキバオー 』（集英社文庫コミック版刊） 監督・シリーズ構成・演出： FROGMAN
A_LINKED/AL側に居る	2026-FALL	ガールズ＆パンツァー もっとらぶらぶ作戦です！	girls-ando-panzer-motto-raburabu-sakusen-desu	「 ガールズ&amp;パンツァー 」シリーズ コミックス：弐尉マルコ「 ガールズ&amp;パンツァー もっとらぶらぶ作戦です！ 」（MFコミックス アライブシリ
A_LINKED/AL側に居る	2026-FALL	タヌキとキツネ	tanuki-to-kitsune	アタモト『 タヌキとキツネ 』（フロンティアワークス／リラクトコミックス刊）
A_LINKED/AL側に居る	2026-SPRING	BEASTARS FINAL SEASON Part2	beastars	『 BEASTARS 』 板垣巴留 （秋田書店少年チャンピオン・コミックス刊）
