分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
HEAD(前半別社)	butsumetsu-kekkon	仏滅結婚	None	HCヒーローズコミックス	小学館クリエイティブ	6	978486805x4	978486468x2	9784864682077,9784864682596
HEAD(前半別社)	bw	BW	None	近代麻雀comics	竹書房	3	97848019x2	97848124x1	9784812485590
HEAD(前半別社)	candy-candy	キャンディ・キャンディ	None	KCなかよし	講談社	7	978406x5	978412x2	9784120020292,9784120020308
HEAD(前半別社)	chichi-to-higegorira-to-watashi	父とヒゲゴリラと私	None	Bamboo comics	竹書房	7	97848019x5	97848124x2	9784812477977,9784812483404
HEAD(前半別社)	chii-chan-no-oshinagaki	ちぃちゃんのおしながき	None	Bamboo comics	竹書房	21	97848019x11	97848124x10	9784812460078,9784812464816,9784812465516,9784812467862,9784812468906,9784812471
HEAD(前半別社)	chii-chan-no-oshinagaki-hanjouki	ちぃちゃんのおしながき繁盛記	None	Bamboo comics	竹書房	14	97848019x8	97848124x6	9784812471692,9784812474570,9784812476710,9784812477953,9784812481462,9784812485
HEAD(前半別社)	chiisana-koi-no-melody	小さな恋のメロディ	None	Drap comics	コアマガジン	3	978486436x2	978486252x1	9784862529640
HEAD(前半別社)	chiisana-ochakai	小さなお茶会	None	花とゆめコミックス	白泉社	7	9784592x5	9784299x2	9784299071873,9784299072597
HEAD(前半別社)	chirizokonai-no-hiraeth	散り損ないのヒラエス	None	ふらっとヒーローズコミックス	ヒーローズ	3	978486805x2	978486468x1	9784864682107
HEAD(前半別社)	chou-adoribu-ouji	超アドリブ王子	None	GW comics	ガイドワークス	6	978486535x5	9784906936x1	9784906936366
HEAD(前半別社)	choukyori-love-no-kodoku	長距離恋愛の孤独	None	ラキッシュ・コミックス	冬水社	3	978488741x2	9784344x1	9784344831247
HEAD(前半別社)	christie-london-massive	クリスティ・ロンドンマッシブ	None	MFコミックス	KADOKAWA	5	978404x3	97848401x2	9784840144889,9784840150361
HEAD(前半別社)	clannad-2008	CLANNAD	None	電撃コミックス	角川グループパブリッシング	5	978404x4	97848402x1	9784840242165
HEAD(前半別社)	corpse-party-another-child	コープスパーティーanother child	None	Blade comics	マッグガーデン	3	97848000x2	978486127x1	9784861279584
HEAD(前半別社)	cosmos-rakuenki	コスモス楽園記	None	KC deluxe	スコラ	4	97847962x2	978406x1 / 978488275x1	9784061037809,9784882750437
HEAD(前半別社)	coyote	コヨーテ	None	Daria comics	フロンティアワークス	4	978486657x3	978486134x1	9784861349492
HEAD(前半別社)	cyborg-009	サイボーグ009	None	MFコミックス版(2001-02)	メディアファクトリー	36	97848401x33	978488991x3	9784889917949,9784889917956,9784889917963
HEAD(前半別社)	d-flag	ディーふらぐ!	None	MFコミックス	KADOKAWA	20	978404x13	97848401x7	9784840125338,9784840129299,9784840133470,9784840137584,9784840140782,9784840147
HEAD(前半別社)	dai-akutou-shounen	大悪党少年	None	ガンガンコミックスup!	スクウェア・エニックス	5	9784301x3	97847575x2	9784757598867,9784757599949
HEAD(前半別社)	daijoubu-club	大丈夫倶楽部	None	路草COMICS	トゥーヴァージンズ	3	978486791x2	9784910352x1	9784910352459
HEAD(前半別社)	dakara-miyoko-desu	だから美代子です	None	Bamboo comics	竹書房	4	97848019x3	97848124x1	9784812484463
HEAD(前半別社)	dakedo-kurasedo-suki-ga-ienai	抱けど暮らせど「好き」が言えない	None	LOVE COFFRE COMICS	ブライト出版	3	978486787x2	978486123x1	9784861239854
HEAD(前半別社)	danna-sama-kari-ha-dekiai-yakuza	旦那さま (仮) は溺愛ヤクザ	None	Shusui digital comics TL (teens love) シリーズ	青泉社	5	9784910429x4	9784907203x1	9784907203948
HEAD(前半別社)	debonair-drive	DEBONAIR DRIVE	None	BEAM COMIX	エンターブレイン	3	978404x2	97847577x1	9784757744233
HEAD(前半別社)	dejipara	でじぱら	None	DENGEKI COMICS	角川グループパブリッシング	5	978404x3	97848402x2	9784840235730,9784840239622
HEAD(前半別社)	dengeki-tenjikaazu	電撃テンジカーズ	None	Dengeki Comics EX	角川グループパブリッシング	3	978404x2	97848402x1	9784840242141
HEAD(前半別社)	dennou-nao-san	電脳なをさん	None	None	アスキー	5	97847561x4	978404x1	9784048687850
HEAD(前半別社)	devil-may-cry-5	Devil May Cry 5	None	LINE COMICS	LINE Digital Frontier	5	978486697x4	9784909767x1	9784909767967
