slug	title	reason
heaven-2001	Heaven	標準版無
kyuupii-gaiden-drama-special	QP外伝ドラマスペシャル	同imprint同年帯=YK best(2011-12)=部分重複行
re-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活	巻番号 [2, 3]
shion	SHION	著者不一致 種2=['ひなしょ2002-'] 頁=['衣谷遊']
vitamin-z	VitaminZ	種2側上下label
puyopuyo	ぷよぷよ　4コマギャグバトル	上下label(canonical非対応)
manga-grimm-douwa-2003	まんがグリム童話	著者不一致 種2=['つか絵夢子', 'つるたえみこ'] 頁=['魔木子']
elisabeth	エリザベート	標準版無
chance-1987	チャンス!	著者不一致 種2=['北川悦吏子', '小野佳苗'] 頁=['まさき輝']
doraemon-himitsu-dougu-hyakka	ドラえもんひみつ道具百科.	上下label(canonical非対応)
final-fantasy	ファイナルファンタジー	page無
herubooi	ヘルボーイ	page無
louvre-no-neko	ルーヴルの猫	上下label(canonical非対応)
maeda-toshiie	前田利家	上下label(canonical非対応)
ten-yori-takaku	天より高く	page無
ten-yori-takaku	天より高く!	page無
soukei	宗桂	種2側上下label
shin-rabutsuna	新ラブツナ	著者不一致 種2=['九猫あざみ'] 頁=['百々りんご']
kasuga-no-tsubone-1988-2	春日局	上下label(canonical非対応)
mobile-suit-bui-gundam	機動戦士Vガンダム	種2側上下label
mobile-suit-gundam-gaiden	機動戦士ガンダム外伝	標準版無
sugao-no-mamade-1985	素顔のままで	標準版無
kishi-gundam-seiden	騎士ガンダム聖伝	種2側上下label
mukuro-buiesu-hibari	骸VSヒバリ	著者不一致 種2=['ペプシ'] 頁=['中条亮']
sanada-yukimura		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
supanguru		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
young-fine		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
yoru-no-ryouiki		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
iron-virgin-jun		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
frankenstein		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
sorekara		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
tadaima-okaeri		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
jieenea		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
izu-no-odoriko		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
urawaza-derakkusu		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
