first_date	latest_date	n_vols	slug	title	missing	genres	authors
1989-09-25	1990-12-18	5	kaze-no-umareru-tokoro	風の生まれるところ	both	romance,drama	佐々木潤子
1988-12-06	1991-01-08	5	omochabako-kakumei	おもちゃ箱革命	both	romance	八木ちあき
1989-12-13	1991-01-12	5	pride-1989	プライド	both	drama,school	万里村奈加
1988-07-08	1991-02-08	5	nurse-station-kozan-1990	ナースステーション	both	drama	田中つかさ
1989-08-20	1991-02-20	5	ai-no-you-ni-odorinasai	愛のように幻想りなさい	both	romance,drama	石塚夢見
1989-12-16	1991-07-17	5	maido-raamenya-desu	毎度ラーメン屋です	both	comedy,slice-of-life	三枝義浩
1990-08-06	1991-08-23	5	guy-saito-1990	ガイ	both	action	さいとう・たかを
1989-06-25	1991-09-25	5	miracle-mimi-kun	みらくるミミkun	both	fantasy,comedy	うえだ未知
1974-06-20	1991-10-01	5	fuji-santarou	フジ三太郎	both	comedy,slice-of-life	サトウサンペイ
1991-11-20	1991-11-20	5	hana-mo-arashi-mo-ouendan	花も嵐も応援団!	both	comedy,school	武内昌美
1989-05-25	1991-12-21	5	kiss-1989	KISS××××	both	romance,drama	楠本まき
1990-08-20	1992-01-10	5	moegi-sensation	Moegi・せんせーしょん!	catch	bl,romance	戸川視友
1991-03-06	1992-03-06	5	v8-kid	V8キッド	both	sports,comedy	もとはしまさひで
1991-11-05	1992-05-15	5	sakufuu-no-banka	朔風の挽歌	both	historical,drama	本庄敬
1991-09-17	1992-05-16	5	combat-high-school	コンバット★ハイスクール	both	action,school,comedy	永野あかね
1989-04-17	1992-05-17	5	kyaatsu	キャーッ!!	both	comedy,school	村田順子
1990-10-01	1992-05-20	5	soopu-no-moko-chan	SoapのMokoちゃん	both	comedy,school	久寿川なるお
1991-05-24	1992-05-25	5	merry-san-no-hitsuji	めりーさんの羊	both	romance	神尾葉子
1990-10-01	1992-06-30	5	mad-angel	まっどエンジェル	both	comedy,ecchi	飛鳥弓樹
1992-01-01	1992-07-01	5	adventure-2030-gakuen	アドベンチャー2030学園	both	sci-fi,adventure,school	みやた泰宏
1990-12-04	1992-07-08	5	actress	アクトレス	both	drama,romance	山田謙二
1989-11-20	1992-07-20	5	hanaoni	花鬼	both	fantasy,supernatural	高生浩子
1991-04-19	1992-07-22	5	kabushikigaisha-tokugawa-ieyasu	株式会社徳川家康	both	historical,comedy	永井豪
1990-02-15	1992-08-15	5	charger-500	Charger 500	both	sports	鷹岬諒
1991-10-24	1992-08-20	5	jiimago-rhapsody	ジイマゴらぷそでぃー	both	essay,comedy,slice-of-life	高井研一郎/浅野拓
1992-09-05	1992-09-05	5	oniwaban-mairu	お庭番参る!	both	historical,comedy,samurai	森みずほ
1975-06-01	1992-09-15	5	yakyuu-doahou-den	野球どアホウ伝	both	sports,comedy,drama	水島新司
1992-01-24	1992-11-25	5	tsunayoshi-kun	つなよしくん	both	romance,school	堀内美佳/堀内三佳
1992-02-01	1992-12-01	5	reikai-doll	霊界人形	both	horror,supernatural	沖田有美子
1989-05-24	1993-01-06	5	juujin-seiiki	獣人聖域	both	fantasy,action,supernatural	鈴宮和由
1991-06-28	1993-01-07	5	fighting-cock	Fighting cock	both	sports,action	あだちつよし
1992-10-04	1993-01-13	5	q-i	Q＆I	both	mystery,drama	遊人
1984-11-06	1993-02-22	5	yaminodoki	闇の土鬼	both	action,drama	横山光輝
1993-03-25	1993-03-25	5	dennou-boy	電脳ボーイ	both	sci-fi,comedy	ながいのりあき
1992-01-09	1993-04-09	5	dr-kou	Dr.汞	both	drama	能條純一
1991-08-06	1993-05-08	5	tamaroido-choucgandamu	タマロイド超Cガンダム	both	comedy	神矢みのる
1993-05-20	1993-05-20	5	kansetsuou	関節王	both	sports,action	三倉佳境
1992-12-25	1993-06-15	5	comic-nanjou-tokimitsu	コミック南条時光	both	historical	和田たつみ
1989-11-22	1993-06-15	5	salaryman-senka	サラリーマン専科	both	comedy,slice-of-life	東海林さだお
1993-09-20	1993-09-20	5	makuu-hakken-den	魔空八犬伝	both	fantasy,action,supernatural	石川賢
1991-11-05	1993-09-25	5	tokyo-yakyuu-kozou	東京野球小僧	both	baseball,sports	枝松克幸
