slug	title	seed_max	page_max	missing	status	title_id	next_cid
kingdom-hearts	キングダムハーツ	3	4	1	completed	220838	220838_004
toumei-otoko-to-ningen-onna	透明男と人間女	9	10	1	ongoing	20039219	20039219_010
zero-matsumoto	ZERO	2	3	1	completed	321460	321460_003
yuushakei-ni-shosu	勇者刑に処す	2	3	1	ongoing	20052132	20052132_003
akuyaku-reijou-no-ani-ni-tensei-shimashita	悪役令嬢の兄に転生しました	8	9	1	ongoing	1124019	1124019_009
kenrou-densetsu	犬狼伝説	1	2	1	completed	20156725	20156725_002
chiikawa	ちいかわ	8	9	1	ongoing	907142	907142_009
sasen-sareta-munou-ouji-wa-jitsuryoku-o-kakushitai	左遷された無能王子は実力を隠したい	7	8	1	ongoing	20050410	20050410_008
ane-ga-kensei-de-imouto-ga-kenja-de	姉が剣聖で妹が賢者で	6	7	1	ongoing	943155	943155_007
isekai-shoukan-oji-san-no-juu-musou-life	異世界召喚おじさんの銃無双ライフ	10	11	1	ongoing	1263153	1263153_011
20-mensou-ni-onegai	20面相におねがい!!	1	2	1	completed	229240	229240_002
orukusen-oukokushi	オルクセン王国史	6	7	1	ongoing	1588088	1588088_007
gakuen-tokkei-duklyon	学園特警デュカリオン	1	2	1	completed	229234	229234_002
purantsu-doll	観用少女	3	4	1	completed	257243	257243_004
sakura-no-uta	さくらの唄	2	3	1	completed	19820	19820_003
saru-demo-kakeru-manga-kyoushitsu	サルでも描けるまんが教室	2	3	1	completed	461446	461446_003
baroque-2001	BAROQUE	2	3	1	completed	1109785	1109785_003
nyotaika-shita-boku-o-kishisamatachi-ga-nerattemasu	女体化した僕を騎士様達がねらってます	2	3	1	ongoing	724565	724565_003
chrome-no-regios	鋼殻のレギオス	2	3	1	completed	141194	141194_003
romeria-senki	ロメリア戦記	5	6	1	ongoing	20037560	20037560_006
butai-shoujo-kageki-revuyuu-sutaa-light	舞台少女☆歌劇レヴュースタァライト	2	3	1	completed	594229	594229_003
kizoku-ka-sannan-no-nariagari-life	貴族家三男の成り上がりライフ	3	4	1	ongoing	1724313	1724313_004
raitei-to-yobareta-saikyou-boukensha-majutsu-gakuin-ni-nyuugaku-shite-issai-no-enryo-naku-musou-suru	雷帝と呼ばれた最強冒険者、魔術学院に入学して一切の遠慮なく無双する	7	8	1	ongoing	999825	999825_008
sarusuberi	百日紅	2	3	1	completed	1756249	1756249_003
grateful-dead	グレイトフルデッド	2	3	1	completed	241786	241786_003
pippira-note	ぴっぴら帳	2	3	1	completed	988394	988394_003
mou-kyoumi-ga-nai-to-rikon-sareta-reijou-no-igai-to-tanoshii-shinseikatsu	もう興味がないと離婚された令嬢の意外と楽しい新生活	5	6	1	ongoing	20070237	20070237_006
choujin-locke	超人ロック	37	38	1	completed	234137	234137_038
yuushagoroshi-no-moto-ansatsusha	勇者殺しの元暗殺者。	5	6	1	ongoing	1605411	1605411_006
ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	1	2	1	completed	2204764	2204764_002
love-plus	ラブプラス	1	2	1	completed	649160	649160_002
mukoubuchi	むこうぶち	65	66	1	ongoing	208855	208855_066
bitter	BITTER	1	2	1	completed	381444	381444_002
konya-mo-serial-killer-to-machiawase	今夜もシリアルキラーと待ち合わせ	4	5	1	ongoing	1709339	1709339_005
shitagokoro-ga-yomeru-app	下心が読めるアプリ	1	2	1	completed	20114029	20114029_002
minazukike-no-iinazuke	水無月家の許嫁	9	10	1	ongoing	1251441	1251441_010
kani-kousen	蟹工船	1	2	1	completed	2204763	2204763_002
seireitsukai	精霊使い	3	4	1	completed	60003943	60003943_004
neiru-chan-to-fukazume-san	ネイルちゃんと深爪さん。	1	2	1	completed	901781	901781_002
seekers	シーカーズ	6	7	1	ongoing	1526908	1526908_007
35-sai-no-sentaku	35歳の選択	8	9	1	ongoing	1200630	1200630_009
ningyo-no-awa-koi	人魚のあわ恋	3	4	1	ongoing	1883034	1883034_004
majutsushi-oofen-haguretabi	魔術士オーフェンはぐれ旅	5	6	1	completed	430755	430755_006
isekai-maid-ga-yattekita	異世界メイドがやってきた	3	4	1	ongoing	1730768	1730768_004
joumon-shounen-yogi	縄文少年ヨギ	1	2	1	completed	60004580	60004580_002
fushigi-hunter	不思議ハンター	1	2	1	completed	20010177	20010177_002
ii-gomibun-dana-ore-ni-kureyo	いいご身分だな、俺にくれよ	1	2	1	ongoing	20084853	20084853_002
